dataset,total_frames,gt_count,base_pred_count,base_pe_ratio,base_tp,base_fp,base_fn,base_recall,hyb_pred_count,hyb_pe_ratio,hyb_tp,hyb_fp,hyb_fn,hyb_recall,tp_diff,pred_diff
44b6_7e557709,100,570,65254,114.48070175438596,564,64690,6,0.9894736842105263,87795,154.02631578947367,570,87225,0,1.0,6,22541
44b6_808952d6,100,181,17224,95.16022099447514,181,17043,0,1.0,26237,144.95580110497238,181,26056,0,1.0,0,9013
44b6_81c256f0,100,199,11216,56.36180904522613,199,11017,0,1.0,23180,116.48241206030151,199,22981,0,1.0,0,11964
44b6_87bba6c4,100,153,32176,210.30065359477123,138,32038,15,0.9019607843137255,46244,302.2483660130719,144,46100,9,0.9411764705882353,6,14068
44b6_8cc6506c,100,400,41673,104.1825,370,41303,30,0.925,63412,158.53,386,63026,14,0.965,16,21739
44b6_8f5ab931,100,616,30551,49.59577922077922,539,30012,77,0.875,42576,69.11688311688312,596,41980,20,0.9675324675324676,57,12025
44b6_8f9ecab4,100,374,92405,247.07219251336898,366,92039,8,0.9786096256684492,118950,318.048128342246,371,118579,3,0.9919786096256684,5,26545
44b6_90724892,100,105,28773,274.0285714285714,103,28670,2,0.9809523809523809,45220,430.6666666666667,104,45116,1,0.9904761904761905,1,16447
44b6_949adeb1,100,388,43879,113.09020618556701,339,43540,49,0.8737113402061856,58660,151.18556701030928,359,58301,29,0.9252577319587629,20,14781
44b6_95029e92,100,200,5913,29.565,200,5713,0,1.0,10729,53.645,200,10529,0,1.0,0,4816
44b6_97725144,100,225,47282,210.14222222222222,197,47085,28,0.8755555555555555,70488,313.28,212,70276,13,0.9422222222222222,15,23206
44b6_996155de,100,380,10337,27.20263157894737,362,9975,18,0.9526315789473684,31013,81.61315789473684,377,30636,3,0.9921052631578947,15,20676
44b6_9be80b04,100,222,85928,387.06306306306305,209,85719,13,0.9414414414414415,113691,512.1216216216217,218,113473,4,0.9819819819819819,9,27763
44b6_9bfa6a0a,100,264,79170,299.8863636363636,253,78917,11,0.9583333333333334,102377,387.7916666666667,263,102114,1,0.9962121212121212,10,23207
44b6_a21120c2,100,296,24409,82.46283783783784,294,24115,2,0.9932432432432432,35866,121.16891891891892,295,35571,1,0.9966216216216216,1,11457
44b6_a2bb48bb,100,416,78676,189.125,378,78298,38,0.9086538461538461,102342,246.01442307692307,402,101940,14,0.9663461538461539,24,23666
44b6_aaf8b0ea,100,209,22211,106.27272727272727,209,22002,0,1.0,51421,246.0334928229665,209,51212,0,1.0,0,29210
44b6_abf82518,100,96,29893,311.3854166666667,96,29797,0,1.0,46847,487.9895833333333,96,46751,0,1.0,0,16954
44b6_b2c44266,100,170,75642,444.9529411764706,160,75482,10,0.9411764705882353,100402,590.6,164,100238,6,0.9647058823529412,4,24760
44b6_c15fded2,100,104,22867,219.875,103,22764,1,0.9903846153846154,68668,660.2692307692307,101,68567,3,0.9711538461538461,-2,45801
44b6_c50204e0,100,333,56853,170.72972972972974,288,56565,45,0.8648648648648649,78700,236.33633633633633,303,78397,30,0.9099099099099099,15,21847
44b6_c771cb04,100,227,64807,285.49339207048456,211,64596,16,0.9295154185022027,90116,396.9867841409692,222,89894,5,0.9779735682819384,11,25309
44b6_c8e2a523,100,168,37699,224.39880952380952,167,37532,1,0.9940476190476191,53757,319.98214285714283,168,53589,0,1.0,1,16058
44b6_c96cfa10,100,629,53090,84.40381558028616,602,52488,27,0.9570747217806042,70361,111.86168521462639,618,69743,11,0.9825119236883942,16,17271
44b6_cf2536e8,100,76,69079,908.9342105263158,53,69026,23,0.6973684210526315,96276,1266.7894736842106,66,96210,10,0.868421052631579,13,27197
44b6_cf8fed6b,100,191,47913,250.85340314136127,191,47722,0,1.0,61881,323.9842931937173,191,61690,0,1.0,0,13968
44b6_d29c9ab2,100,1353,44111,32.602365114560236,1334,42777,19,0.9859571322985957,62800,46.415373244641536,1338,61462,15,0.9889135254988913,4,18689
44b6_d2f34f90,100,283,28700,101.41342756183745,264,28436,19,0.9328621908127208,53221,188.0600706713781,277,52944,6,0.9787985865724381,13,24521
44b6_d5e7d891,100,906,53871,59.46026490066225,783,53088,123,0.8642384105960265,68178,75.25165562913908,866,67312,40,0.9558498896247241,83,14307
44b6_d754aa59,100,72,7350,102.08333333333333,72,7278,0,1.0,21051,292.375,72,20979,0,1.0,0,13701
44b6_d78e09d9,100,463,24698,53.34341252699784,429,24269,34,0.9265658747300216,34541,74.60259179265658,453,34088,10,0.978401727861771,24,9843
44b6_db3c847b,100,165,16863,102.2,144,16719,21,0.8727272727272727,32294,195.72121212121212,160,32134,5,0.9696969696969697,16,15431
44b6_ddf577ad,100,659,64301,97.57359635811837,635,63666,24,0.9635811836115327,84660,128.46737481031866,646,84014,13,0.9802731411229135,11,20359
44b6_deabac95,100,126,15124,120.03174603174604,111,15013,15,0.8809523809523809,21243,168.5952380952381,126,21117,0,1.0,15,6119
44b6_e28840c6,100,311,95848,308.19292604501607,306,95542,5,0.9839228295819936,126881,407.9774919614148,308,126573,3,0.9903536977491961,2,31033
44b6_e29f0176,100,51,13777,270.1372549019608,31,13746,20,0.6078431372549019,23988,470.3529411764706,45,23943,6,0.8823529411764706,14,10211
44b6_e31261b4,100,116,83674,721.3275862068965,115,83559,1,0.9913793103448276,105888,912.8275862068965,116,105772,0,1.0,1,22214
44b6_e35b117d,100,270,39005,144.46296296296296,206,38799,64,0.762962962962963,79335,293.8333333333333,238,79097,32,0.8814814814814815,32,40330
44b6_e57ff5c6,100,193,22140,114.71502590673575,161,21979,32,0.8341968911917098,43663,226.23316062176167,187,43476,6,0.9689119170984456,26,21523
44b6_eb2880fc,100,390,50593,129.72564102564104,365,50228,25,0.9358974358974359,65289,167.40769230769232,380,64909,10,0.9743589743589743,15,14696
44b6_f28707c6,100,63,22080,350.4761904761905,53,22027,10,0.8412698412698413,32923,522.5873015873016,51,32872,12,0.8095238095238095,-2,10843
6bba_05b6850b,100,861,7879,9.150987224157955,805,7074,56,0.9349593495934959,11401,13.24157955865273,825,10576,36,0.9581881533101045,20,3522
6bba_05db0fb1,100,1229,81678,66.45890968266883,1172,80506,57,0.9536208299430431,104143,84.7379983726607,1179,102964,50,0.9593165174938975,7,22465
6bba_062c8d37,100,930,6721,7.226881720430107,893,5828,37,0.9602150537634409,11859,12.751612903225807,892,10967,38,0.9591397849462365,-1,5138
6bba_07477033,100,613,5708,9.3115823817292,597,5111,16,0.9738988580750407,8999,14.68026101141925,596,8403,17,0.9722675367047309,-1,3291
6bba_07e24132,100,359,38367,106.87186629526462,322,38045,37,0.8969359331476323,84323,234.88300835654596,352,83971,7,0.9805013927576601,30,45956
6bba_085bf656,100,1198,9308,7.769616026711185,1184,8124,14,0.988313856427379,18584,15.512520868113523,1195,17389,3,0.9974958263772955,11,9276
6bba_09961292,100,1950,38969,19.984102564102564,1919,37050,31,0.9841025641025641,63241,32.431282051282054,1937,61304,13,0.9933333333333333,18,24272
6bba_0c7fa718,100,704,15769,22.399147727272727,645,15124,59,0.9161931818181818,48089,68.30823863636364,702,47387,2,0.9971590909090909,57,32320
6bba_0e7c0d07,100,209,26439,126.50239234449761,183,26256,26,0.8755980861244019,41556,198.83253588516746,203,41353,6,0.9712918660287081,20,15117
6bba_12665c0e,100,1036,8834,8.527027027027026,1006,7828,30,0.971042471042471,16806,16.22200772200772,1032,15774,4,0.9961389961389961,26,7972
6bba_13f19531,100,737,6420,8.710990502035278,734,5686,3,0.9959294436906377,13384,18.16010854816825,734,12650,3,0.9959294436906377,0,6964
6bba_15403b9a,100,758,7344,9.688654353562006,699,6645,59,0.9221635883905013,15668,20.670184696569923,752,14916,6,0.9920844327176781,53,8324
6bba_1d0d8384,100,1438,21469,14.929763560500696,1279,20190,159,0.8894297635605007,37963,26.399860917941584,1335,36628,103,0.9283727399165508,56,16494
6bba_1ebfb80d,100,745,13186,17.6993288590604,666,12520,79,0.8939597315436242,30347,40.73422818791946,722,29625,23,0.9691275167785235,56,17161
6bba_1f58c2f6,100,317,35684,112.56782334384857,292,35392,25,0.9211356466876972,61701,194.6403785488959,314,61387,3,0.9905362776025236,22,26017
6bba_207c6aaf,100,475,14719,30.987368421052633,339,14380,136,0.7136842105263158,38972,82.04631578947368,431,38541,44,0.9073684210526316,92,24253
6bba_20852818,100,952,11104,11.663865546218487,874,10230,78,0.9180672268907563,18210,19.1281512605042,906,17304,46,0.9516806722689075,32,7106
6bba_2312ac41,100,1156,12500,10.813148788927336,1112,11388,44,0.9619377162629758,20593,17.81401384083045,1138,19455,18,0.9844290657439446,26,8093
6bba_23af9eeb,100,513,5285,10.30214424951267,504,4781,9,0.9824561403508771,8306,16.191033138401558,505,7801,8,0.9844054580896686,1,3021
6bba_2540cd90,100,529,4392,8.302457466918714,528,3864,1,0.998109640831758,9328,17.63327032136106,526,8802,3,0.994328922495274,-2,4936
6bba_2646afc7,100,738,6426,8.707317073170731,667,5759,71,0.9037940379403794,9843,13.33739837398374,693,9150,45,0.9390243902439024,26,3417
6bba_268e1230,100,641,5841,9.112324492979718,531,5310,110,0.828393135725429,12596,19.650546021840874,566,12030,75,0.8829953198127926,35,6755
6bba_2819ca14,100,986,6164,6.251521298174442,948,5216,38,0.9614604462474645,41184,41.76876267748479,977,40207,9,0.9908722109533469,29,35020
6bba_283bf9f1,100,1342,21678,16.15350223546945,1229,20449,113,0.9157973174366617,30406,22.657228017883757,1282,29124,60,0.9552906110283159,53,8728
6bba_312f0dc3,100,520,10546,20.28076923076923,488,10058,32,0.9384615384615385,17279,33.228846153846156,514,16765,6,0.9884615384615385,26,6733
6bba_32db13fc,100,862,46191,53.58584686774942,737,45454,125,0.8549883990719258,71949,83.46751740139212,799,71150,63,0.9269141531322506,62,25758
6bba_337b1b3a,100,1272,32564,25.60062893081761,1258,31306,14,0.9889937106918238,47923,37.6753144654088,1264,46659,8,0.9937106918238994,6,15359
6bba_372c8cb8,100,1036,8325,8.035714285714286,1012,7313,24,0.9768339768339769,17587,16.975868725868725,1014,16573,22,0.9787644787644788,2,9262
6bba_3a1849c2,100,1173,7959,6.7851662404092075,903,7056,270,0.7698209718670077,15799,13.468883205456095,963,14836,210,0.8209718670076727,60,7840
6bba_3abfe10a,100,997,62567,62.75526579739218,917,61650,80,0.9197592778335005,86689,86.94984954864594,967,85722,30,0.9699097291875627,50,24122
6bba_3c5691b6,100,765,7425,9.705882352941176,764,6661,1,0.9986928104575163,15784,20.632679738562093,762,15022,3,0.996078431372549,-2,8359
6bba_3db54e20,100,502,24686,49.17529880478088,441,24245,61,0.8784860557768924,33155,66.04581673306772,457,32698,45,0.9103585657370518,16,8469
6bba_3fda6b25,100,1207,10400,8.616404308202155,1188,9212,19,0.9842584921292461,40180,33.28914664457332,1206,38974,1,0.9991714995857498,18,29780
6bba_43fea39d,100,910,6380,7.010989010989011,893,5487,17,0.9813186813186813,10457,11.491208791208791,903,9554,7,0.9923076923076923,10,4077
6bba_474be664,100,292,34179,117.0513698630137,131,34048,161,0.4486301369863014,56826,194.6095890410959,243,56583,49,0.8321917808219178,112,22647
6bba_48816121,100,935,25482,27.253475935828877,888,24594,47,0.9497326203208556,34795,37.213903743315505,907,33888,28,0.9700534759358289,19,9313
6bba_4aa14c89,100,707,7103,10.046676096181047,660,6443,47,0.9335219236209336,23080,32.64497878359264,699,22381,8,0.9886845827439887,39,15977
6bba_4f99ce20,100,1057,6672,6.312204351939451,1046,5626,11,0.9895931882686849,27649,26.157994323557237,1050,26599,7,0.9933774834437086,4,20977
6bba_4ffd3da3,100,706,18722,26.518413597733712,510,18212,196,0.7223796033994334,31145,44.11473087818697,619,30526,87,0.876770538243626,109,12423
6bba_55b7eebe,100,705,5682,8.059574468085106,700,4982,5,0.9929078014184397,33750,47.87234042553192,705,33045,0,1.0,5,28068
6bba_55c70843,100,490,42213,86.14897959183673,403,41810,87,0.8224489795918367,69665,142.1734693877551,462,69203,28,0.9428571428571428,59,27452
6bba_57b7cc1e,100,1659,84501,50.93490054249548,1357,83144,302,0.8179626280892104,120869,72.85654008438819,1486,119383,173,0.8957203134418324,129,36368
6bba_5a4d9360,100,747,6268,8.390896921017402,624,5644,123,0.8353413654618473,10874,14.556894243641231,676,10198,71,0.9049531459170014,52,4606
6bba_5b28472a,100,737,7002,9.50067842605156,724,6278,13,0.9823609226594301,10624,14.415196743554953,728,9896,9,0.9877883310719131,4,3622
6bba_5c039895,100,1174,9587,8.166098807495741,1140,8447,34,0.9710391822827938,32854,27.984667802385008,1172,31682,2,0.9982964224872232,32,23267
6bba_5c824876,100,1170,26484,22.635897435897437,1089,25395,81,0.9307692307692308,35674,30.49059829059829,1144,34530,26,0.9777777777777777,55,9190
6bba_5dfe9ad1,100,1542,29905,19.393644617380026,1402,28503,140,0.9092088197146563,41941,27.199092088197148,1475,40466,67,0.956549935149157,73,12036
6bba_5f89039d,100,904,4890,5.40929203539823,889,4001,15,0.9834070796460177,9804,10.845132743362832,894,8910,10,0.9889380530973452,5,4914
6bba_61dd1e0d,100,558,10913,19.557347670250895,540,10373,18,0.967741935483871,24268,43.4910394265233,551,23717,7,0.9874551971326165,11,13355
6bba_61ecbe65,100,640,6158,9.621875,609,5549,31,0.9515625,10594,16.553125,634,9960,6,0.990625,25,4436
6bba_6321a359,100,827,5589,6.758162031438936,810,4779,17,0.9794437726723095,9565,11.56590084643289,822,8743,5,0.9939540507859734,12,3976
6bba_6479435d,100,617,28656,46.44408427876823,487,28169,130,0.7893030794165316,54073,87.63857374392221,568,53505,49,0.9205834683954619,81,25417
6bba_67ebd073,100,462,19119,41.383116883116884,435,18684,27,0.9415584415584416,35117,76.0108225108225,439,34678,23,0.9502164502164502,4,15998
6bba_6ca87370,100,1081,8309,7.686401480111009,1030,7279,51,0.9528214616096207,35062,32.43478260869565,1079,33983,2,0.9981498612395929,49,26753
6bba_6db0e9b4,100,449,32475,72.32739420935413,434,32041,15,0.9665924276169265,66728,148.61469933184856,445,66283,4,0.9910913140311804,11,34253
6bba_6feb10f0,100,1368,8948,6.54093567251462,205,8743,1163,0.14985380116959066,56710,41.4546783625731,1226,55484,142,0.8961988304093568,1021,47762
6bba_6feeb0b1,100,1389,8967,6.455723542116631,1319,7648,70,0.9496040316774658,34996,25.19510439164867,1380,33616,9,0.9935205183585313,61,26029
6bba_705ec2c9,100,596,6463,10.843959731543624,530,5933,66,0.889261744966443,10767,18.065436241610737,537,10230,59,0.9010067114093959,7,4304
6bba_718b21f9,100,661,4928,7.455370650529501,645,4283,16,0.9757942511346445,10857,16.425113464447808,643,10214,18,0.972768532526475,-2,5929
6bba_74686d6a,100,586,28174,48.07849829351536,513,27661,73,0.8754266211604096,70155,119.7184300341297,545,69610,41,0.9300341296928327,32,41981
6bba_767a1e17,100,718,54227,75.525069637883,648,53579,70,0.9025069637883009,69034,96.14763231197772,669,68365,49,0.9317548746518106,21,14807
6bba_76db78c1,100,617,5168,8.376012965964344,616,4552,1,0.9983792544570502,9929,16.092382495948137,617,9312,0,1.0,1,4761
6bba_784a78c9,100,1788,13689,7.656040268456376,1746,11943,42,0.9765100671140939,23539,13.164988814317674,1778,21761,10,0.9944071588366891,32,9850
6bba_786893ac,100,1465,77375,52.815699658703075,1347,76028,118,0.9194539249146758,114462,78.13105802047781,1407,113055,58,0.9604095563139932,60,37087
6bba_789f8168,100,713,11959,16.772791023842917,701,11258,12,0.9831697054698457,23099,32.3969144460028,704,22395,9,0.9873772791023843,3,11140
6bba_78a7bd97,100,886,41877,47.26523702031603,647,41230,239,0.7302483069977427,68442,77.24830699774266,833,67609,53,0.9401805869074492,186,26565
6bba_7af54fde,100,1131,10592,9.365163572060125,1059,9533,72,0.9363395225464191,27692,24.48452696728559,1106,26586,25,0.97789566755084,47,17100
6bba_7b5d3b2c,100,565,6016,10.647787610619469,549,5467,16,0.9716814159292035,21278,37.66017699115044,564,20714,1,0.9982300884955753,15,15262
6bba_7d3058ae,100,1200,8447,7.039166666666667,1187,7260,13,0.9891666666666666,15770,13.141666666666667,1189,14581,11,0.9908333333333333,2,7323
6bba_7f87b3d8,100,1000,12399,12.399,934,11465,66,0.934,42460,42.46,998,41462,2,0.998,64,30061
6bba_80d12824,100,680,10688,15.717647058823529,656,10032,24,0.9647058823529412,17201,25.29558823529412,657,16544,23,0.9661764705882353,1,6513
6bba_825bd1c6,100,968,9640,9.958677685950413,943,8697,25,0.9741735537190083,29912,30.90082644628099,966,28946,2,0.9979338842975206,23,20272
6bba_87289e13,100,724,16170,22.334254143646408,722,15448,2,0.9972375690607734,25783,35.61187845303867,722,25061,2,0.9972375690607734,0,9613
6bba_8b7818bf,100,741,6929,9.350877192982455,729,6200,12,0.9838056680161943,10863,14.65991902834008,736,10127,5,0.9932523616734144,7,3934
6bba_907271db,100,945,8202,8.679365079365079,905,7297,40,0.9576719576719577,24259,25.67089947089947,941,23318,4,0.9957671957671957,36,16057
6bba_91951b3a,100,1188,12881,10.842592592592593,1150,11731,38,0.968013468013468,22228,18.71043771043771,1179,21049,9,0.9924242424242424,29,9347
6bba_96833384,100,758,5260,6.939313984168866,718,4542,40,0.9472295514511874,11156,14.717678100263852,754,10402,4,0.9947229551451188,36,5896
6bba_969618f6,100,679,14630,21.54639175257732,601,14029,78,0.8851251840942562,27016,39.7879234167894,665,26351,14,0.979381443298969,64,12386
6bba_971fa5e0,100,792,6604,8.33838383838384,776,5828,16,0.9797979797979798,10982,13.866161616161616,782,10200,10,0.9873737373737373,6,4378
6bba_9a41d029,100,1401,20674,14.756602426837972,1310,19364,91,0.9350463954318344,35434,25.291934332619558,1397,34037,4,0.9971448965024983,87,14760
6bba_9e23430b,100,914,7988,8.73960612691466,872,7116,42,0.9540481400437637,16153,17.672866520787746,887,15266,27,0.9704595185995624,15,8165
6bba_a5e926bb,100,741,9095,12.273954116059379,723,8372,18,0.9757085020242915,18974,25.605937921727396,738,18236,3,0.9959514170040485,15,9879
6bba_a90a0b9c,100,1147,41202,35.92153443766347,982,40220,165,0.8561464690496948,82372,71.8151700087184,1075,81297,72,0.937227550130776,93,41170
6bba_ab78413d,100,1179,11794,10.003392705682781,386,11408,793,0.3273960983884648,58724,49.808312128922815,1043,57681,136,0.8846480067854113,657,46930
6bba_acd782a8,100,356,21431,60.199438202247194,341,21090,15,0.9578651685393258,35656,100.15730337078652,353,35303,3,0.9915730337078652,12,14225
6bba_ae82a791,100,1495,8368,5.597324414715719,1456,6912,39,0.9739130434782609,26964,18.036120401337794,1495,25469,0,1.0,39,18596
6bba_aeee7805,100,795,5401,6.793710691823899,792,4609,3,0.9962264150943396,9714,12.218867924528302,789,8925,6,0.9924528301886792,-3,4313
6bba_af149c94,100,1350,9746,7.2192592592592595,1260,8486,90,0.9333333333333333,28020,20.755555555555556,1325,26695,25,0.9814814814814815,65,18274
6bba_afb141ff,100,654,7185,10.986238532110091,632,6553,22,0.9663608562691132,10843,16.579510703363916,643,10200,11,0.9831804281345565,11,3658
6bba_b1ae37b9,100,612,27101,44.282679738562095,596,26505,16,0.9738562091503268,65358,106.79411764705883,608,64750,4,0.9934640522875817,12,38257
6bba_b204cac7,100,826,5737,6.945520581113802,788,4949,38,0.9539951573849879,13455,16.289346246973366,794,12661,32,0.9612590799031477,6,7718
6bba_b329af44,100,1316,75221,57.15881458966565,1209,74012,107,0.918693009118541,95457,72.53571428571429,1260,94197,56,0.9574468085106383,51,20236
6bba_b693381b,100,983,7042,7.163784333672432,967,6075,16,0.9837232960325534,13873,14.11291963377416,977,12896,6,0.9938962360122076,10,6831
6bba_bb9f20c3,100,1925,28147,14.621818181818181,1810,26337,115,0.9402597402597402,53091,27.57974025974026,1889,51202,36,0.9812987012987013,79,24944
6bba_bbb708ca,100,892,7461,8.364349775784753,853,6608,39,0.9562780269058296,11972,13.42152466367713,850,11122,42,0.952914798206278,-3,4511
6bba_c27cba08,100,517,6721,13.0,486,6235,31,0.9400386847195358,16932,32.7504835589942,513,16419,4,0.9922630560928434,27,10211
6bba_c328f2fd,100,511,34132,66.79452054794521,413,33719,98,0.8082191780821918,52008,101.77690802348337,464,51544,47,0.9080234833659491,51,17876
6bba_c73a1d11,100,737,20080,27.245590230664856,436,19644,301,0.5915875169606513,56773,77.0325644504749,667,56106,70,0.9050203527815468,231,36693
6bba_cdcfe533,100,1419,31517,22.210711768851304,1417,30100,2,0.9985905567300916,44900,31.64200140944327,1416,43484,3,0.9978858350951374,-1,13383
6bba_cf35214c,100,842,39548,46.96912114014252,834,38714,8,0.9904988123515439,53273,63.26959619952494,836,52437,6,0.9928741092636579,2,13725
6bba_cff5865f,100,1571,51949,33.06747294716741,1543,50406,28,0.982176957352005,72883,46.39274347549332,1554,71329,17,0.9891788669637174,11,20934
6bba_d0fc38b5,100,835,6990,8.37125748502994,819,6171,16,0.9808383233532935,11105,13.29940119760479,816,10289,19,0.9772455089820359,-3,4115
6bba_d1acb6ff,100,681,15971,23.452276064610867,595,15376,86,0.8737151248164464,25079,36.82672540381792,669,24410,12,0.9823788546255506,74,9108
6bba_d2b9fc0c,100,944,24858,26.33262711864407,934,23924,10,0.989406779661017,44535,47.17690677966102,941,43594,3,0.996822033898305,7,19677
6bba_d3da753b,100,887,20870,23.528748590755356,884,19986,3,0.9966178128523112,32807,36.98647125140924,887,31920,0,1.0,3,11937
6bba_d5eae175,100,528,4983,9.4375,526,4457,2,0.9962121212121212,10148,19.21969696969697,528,9620,0,1.0,2,5165
6bba_d6ecebbb,100,886,6487,7.321670428893905,741,5746,145,0.8363431151241535,9230,10.417607223476297,746,8484,140,0.8419864559819413,5,2743
6bba_d82a4fc6,100,545,31734,58.22752293577982,538,31196,7,0.9871559633027523,58318,107.00550458715597,543,57775,2,0.9963302752293578,5,26584
6bba_debd7bfa,100,766,12834,16.754569190600524,666,12168,100,0.8694516971279374,22370,29.203655352480418,744,21626,22,0.9712793733681462,78,9536
6bba_df673a83,100,668,20892,31.275449101796408,616,20276,52,0.9221556886227545,29447,44.08233532934132,636,28811,32,0.9520958083832335,20,8555
6bba_e16ffc58,100,964,7897,8.191908713692946,921,6976,43,0.9553941908713693,14354,14.890041493775934,926,13428,38,0.9605809128630706,5,6457
6bba_e5e44988,100,666,6072,9.117117117117116,606,5466,60,0.9099099099099099,32825,49.286786786786784,658,32167,8,0.987987987987988,52,26753
6bba_ebdf3b34,100,847,64864,76.58087367178277,825,64039,22,0.974025974025974,89454,105.61275088547816,840,88614,7,0.9917355371900827,15,24590
6bba_ebff6e76,100,1318,46641,35.38770864946889,980,45661,338,0.7435508345978755,106148,80.53717754172989,1203,104945,115,0.9127465857359636,223,59507
6bba_ed9377fd,100,531,5375,10.12241054613936,511,4864,20,0.9623352165725048,9148,17.227871939736346,522,8626,9,0.9830508474576272,11,3773
6bba_edf14583,100,801,63513,79.29213483146067,791,62722,10,0.9875156054931336,98501,122.97253433208489,796,97705,5,0.9937578027465668,5,34988
6bba_eebc57a5,100,1026,9520,9.278752436647174,953,8567,73,0.928849902534113,26750,26.07212475633528,994,25756,32,0.9688109161793372,41,17230
6bba_ef7b4f7e,100,1234,6505,5.271474878444084,1221,5284,13,0.9894651539708266,10808,8.758508914100487,1232,9576,2,0.9983792544570502,11,4303
6bba_f17befbc,100,1078,26704,24.771799628942485,982,25722,96,0.9109461966604824,59227,54.94155844155844,1056,58171,22,0.9795918367346939,74,32523
6bba_f1fde7e0,100,476,10066,21.147058823529413,410,9656,66,0.8613445378151261,69149,145.27100840336135,472,68677,4,0.9915966386554622,62,59083
