dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
6bba_6321a359,7.0,827,3539,4821,711,2828,116,0.2009,0.8597,0.3257,2.6525
6bba_6479435d,7.0,617,4823,23453,127,4696,490,0.0263,0.2058,0.0467,2.846
6bba_67ebd073,7.0,462,4051,16061,265,3786,197,0.0654,0.5736,0.1174,3.2806
6bba_6ca87370,7.0,1081,4091,7195,661,3430,420,0.1616,0.6115,0.2556,3.7506
6bba_6db0e9b4,7.0,449,3593,28435,108,3485,341,0.0301,0.2405,0.0534,3.7327
6bba_6feb10f0,7.0,1368,291,8862,1,290,1367,0.0034,0.0007,0.0012,5.9982
6bba_6feeb0b1,7.0,1389,6507,7518,1052,5455,337,0.1617,0.7574,0.2665,2.8914
6bba_705ec2c9,7.0,596,2347,5600,178,2169,418,0.0758,0.2987,0.121,2.8721
6bba_718b21f9,7.0,661,3733,4306,461,3272,200,0.1235,0.6974,0.2098,3.6523
6bba_74686d6a,7.0,586,3097,29803,14,3083,572,0.0045,0.0239,0.0076,3.8519
6bba_767a1e17,7.0,718,9230,47714,161,9069,557,0.0174,0.2242,0.0324,3.0068
6bba_76db78c1,7.0,617,2825,4855,446,2379,171,0.1579,0.7229,0.2592,3.0696
6bba_784a78c9,7.0,1788,9485,13096,1454,8031,334,0.1533,0.8132,0.258,2.7418
6bba_786893ac,7.0,1465,6443,58979,375,6068,1090,0.0582,0.256,0.0948,3.58
6bba_789f8168,7.0,713,5565,10676,451,5114,262,0.081,0.6325,0.1437,2.406
6bba_78a7bd97,7.0,886,2443,40613,100,2343,786,0.0409,0.1129,0.0601,3.2233
6bba_7af54fde,7.0,1131,4191,9624,585,3606,546,0.1396,0.5172,0.2198,2.5114
6bba_7b5d3b2c,7.0,565,2944,5780,11,2933,554,0.0037,0.0195,0.0063,3.9329
6bba_7d3058ae,7.0,1200,5580,7611,950,4630,250,0.1703,0.7917,0.2802,2.2465
6bba_7f87b3d8,7.0,1000,6167,10581,564,5603,436,0.0915,0.564,0.1574,2.1111
6bba_80d12824,7.0,680,5231,9021,437,4794,243,0.0835,0.6426,0.1479,3.1065
6bba_825bd1c6,7.0,968,5393,7586,691,4702,277,0.1281,0.7138,0.2173,3.2448
6bba_87289e13,7.0,724,10301,14966,590,9711,134,0.0573,0.8149,0.107,2.1723
6bba_8b7818bf,7.0,741,3996,5828,468,3528,273,0.1171,0.6316,0.1976,3.0719
6bba_907271db,7.0,945,5306,7306,760,4546,185,0.1432,0.8042,0.2432,3.4716
6bba_91951b3a,7.0,1188,8349,11907,856,7493,332,0.1025,0.7205,0.1795,3.2602
6bba_96833384,7.0,758,3667,4869,569,3098,189,0.1552,0.7507,0.2572,3.004
6bba_969618f6,7.0,679,5289,13888,365,4924,314,0.069,0.5376,0.1223,2.7428
6bba_971fa5e0,7.0,792,4363,5609,398,3965,394,0.0912,0.5025,0.1544,2.7918
6bba_9a41d029,7.0,1401,6153,18231,407,5746,994,0.0661,0.2905,0.1078,2.5683
6bba_9e23430b,7.0,914,2732,7708,263,2469,651,0.0963,0.2877,0.1443,2.6453
6bba_a5e926bb,7.0,741,6050,8440,486,5564,255,0.0803,0.6559,0.1431,2.3256
6bba_a90a0b9c,7.0,1147,3930,36896,144,3786,1003,0.0366,0.1255,0.0567,4.7704
6bba_ab78413d,7.0,1179,836,9241,26,810,1153,0.0311,0.0221,0.0258,4.4491
6bba_acd782a8,7.0,356,8866,19710,203,8663,153,0.0229,0.5702,0.044,2.596
6bba_ae82a791,7.0,1495,3642,7403,735,2907,760,0.2018,0.4916,0.2862,2.0705
6bba_aeee7805,7.0,795,3580,5034,623,2957,172,0.174,0.7836,0.2848,2.433
6bba_af149c94,7.0,1350,6330,8933,1104,5226,246,0.1744,0.8178,0.2875,3.3051
6bba_afb141ff,7.0,654,3464,6054,346,3118,308,0.0999,0.5291,0.168,2.7141
6bba_b1ae37b9,7.0,612,5221,24298,249,4972,363,0.0477,0.4069,0.0854,3.9628
6bba_b204cac7,7.0,826,4409,5092,742,3667,84,0.1683,0.8983,0.2835,2.6886
6bba_b329af44,7.0,1316,6971,62465,162,6809,1154,0.0232,0.1231,0.0391,2.4966
6bba_b693381b,7.0,983,4202,5558,519,3683,464,0.1235,0.528,0.2002,1.9247
6bba_bb9f20c3,7.0,1925,7991,23071,781,7210,1144,0.0977,0.4057,0.1575,2.5998
6bba_bbb708ca,7.0,892,4538,6785,583,3955,309,0.1285,0.6536,0.2147,2.5834
6bba_c27cba08,7.0,517,4396,6445,381,4015,136,0.0867,0.7369,0.1551,2.9441
6bba_c328f2fd,7.0,511,5512,31228,272,5240,239,0.0493,0.5323,0.0903,2.8624
6bba_c73a1d11,7.0,737,2972,16315,50,2922,687,0.0168,0.0678,0.027,2.1613
6bba_cdcfe533,7.0,1419,14093,29785,717,13376,702,0.0509,0.5053,0.0924,2.0671
6bba_cf35214c,7.0,842,11234,34890,240,10994,602,0.0214,0.285,0.0397,2.0953
6bba_cff5865f,7.0,1571,14302,46362,572,13730,999,0.04,0.3641,0.0721,2.3994
6bba_d0fc38b5,7.0,835,3835,6111,722,3113,113,0.1883,0.8647,0.3092,3.1673
6bba_d1acb6ff,7.0,681,7405,14719,451,6954,230,0.0609,0.6623,0.1116,2.4331
6bba_d2b9fc0c,7.0,944,13864,20178,432,13432,512,0.0312,0.4576,0.0583,3.0671
6bba_d3da753b,7.0,887,13732,17246,777,12955,110,0.0566,0.876,0.1063,2.4773
6bba_d5eae175,7.0,528,3793,4519,375,3418,153,0.0989,0.7102,0.1736,3.1444
6bba_d6ecebbb,7.0,886,2906,5359,518,2388,368,0.1783,0.5847,0.2732,3.1514
6bba_d82a4fc6,7.0,545,5106,27716,242,4864,303,0.0474,0.444,0.0856,1.832
6bba_debd7bfa,7.0,766,7855,11807,423,7432,343,0.0539,0.5522,0.0981,1.9646
6bba_df673a83,7.0,668,7783,19239,357,7426,311,0.0459,0.5344,0.0845,2.9149
6bba_e16ffc58,7.0,964,4533,6367,591,3942,373,0.1304,0.6131,0.215,2.9585
6bba_e5e44988,7.0,666,4415,5615,523,3892,143,0.1185,0.7853,0.2059,3.1226
6bba_ebdf3b34,7.0,847,5770,56847,92,5678,755,0.0159,0.1086,0.0278,4.29
6bba_ebff6e76,7.0,1318,3636,41596,96,3540,1222,0.0264,0.0728,0.0388,4.0101
6bba_ed9377fd,7.0,531,2445,4443,221,2224,310,0.0904,0.4162,0.1485,3.4501
6bba_edf14583,7.0,801,3574,59242,73,3501,728,0.0204,0.0911,0.0334,4.1982
6bba_eebc57a5,7.0,1026,6305,9347,588,5717,438,0.0933,0.5731,0.1604,2.5403
6bba_ef7b4f7e,7.0,1234,3332,6107,658,2674,576,0.1975,0.5332,0.2882,2.0823
6bba_f17befbc,7.0,1078,4209,24963,259,3950,819,0.0615,0.2403,0.098,3.3056
6bba_f1fde7e0,7.0,476,3638,9040,137,3501,339,0.0377,0.2878,0.0666,2.5062
6bba_f20478e9,7.0,1003,4463,5973,691,3772,312,0.1548,0.6889,0.2528,2.6756
6bba_f4ae811c,7.0,1001,5518,8903,627,4891,374,0.1136,0.6264,0.1924,2.4843
6bba_f8ffd5e7,7.0,389,7132,29540,59,7073,330,0.0083,0.1517,0.0157,1.9685
6bba_fbc898dc,7.0,655,2682,4889,237,2445,418,0.0884,0.3618,0.142,1.8834
6bba_fc516dc6,7.0,788,7091,7866,617,6474,171,0.087,0.783,0.1566,2.7976
6bba_fc5f39dc,7.0,471,3484,14020,61,3423,410,0.0175,0.1295,0.0308,1.9592
6bba_fc83837d,7.0,957,2881,13087,351,2530,606,0.1218,0.3668,0.1829,3.5397
6bba_fe670320,7.0,716,4282,10836,405,3877,311,0.0946,0.5656,0.1621,3.3759
