dataset,source_id,target_id,t_src,t_tgt,dt,dist_3d_um,dist_xy_um,dist_z_um,dz_um,dy_um,dx_um,velocity_um_per_frame,fwd_rank,bwd_rank,margin_fwd_um,margin_bwd_um,is_mnn,comp_count_10um,comp_count_15um,cos_gap_prev,cos_next_gap,dead_reckoning_fwd_um,dead_reckoning_bwd_um,dead_reckoning_mean_um,intensity_diff,intensity_ratio,snr_diff,snr_ratio,transformer_prob,ilp_selected,is_gt_edge
44b6_0113de3b,183,408,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,46.0,0.9786,0.6496,0.7619,0.9931,1,0
44b6_0113de3b,24,247,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,13.0,1.0095,1.1667,1.392,0.993,1,0
44b6_0113de3b,184,409,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,244.0,1.2779,1.5507,1.9462,0.993,1,0
44b6_0113de3b,93,323,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,1.0,0.0,0.0,0.0,27.0,1.0218,0.1534,1.0609,0.9929,1,0
44b6_0113de3b,36,265,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.5,0.0,2.3,2.3,40.0,1.0266,0.0717,0.9789,0.9929,1,0
44b6_0113de3b,204,428,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,3.63,3.63,31.0,1.0126,0.4609,0.8589,0.9928,1,0
44b6_0113de3b,202,432,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.5,0.0,2.3,2.3,60.0,1.0395,0.1822,1.0805,0.9928,1,0
44b6_0113de3b,90,318,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,63.0,0.9467,0.9197,0.6957,0.9923,1,0
44b6_0113de3b,157,384,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,25.0,1.012,0.1695,0.9494,0.9922,1,0
44b6_0113de3b,102,331,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,136.0,0.9155,0.9924,0.7348,0.9921,1,0
44b6_0113de3b,33,262,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.8165,0.0,2.81,2.81,63.0,0.9566,0.5343,0.8346,0.9921,1,0
44b6_0113de3b,192,419,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,56.0,1.0286,0.3824,0.8771,0.9918,1,0
44b6_0113de3b,64,297,0,1,1,3.98,2.3,3.25,3.25,1.62,1.62,3.98,1,1,999.0,999.0,1,1,1,0.0,0.8165,0.0,2.81,2.81,16.0,0.9903,0.0886,0.9592,0.9917,1,0
44b6_0113de3b,190,413,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,83.0,0.9183,0.3953,0.7969,0.9916,1,0
44b6_0113de3b,120,352,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,109.0,0.9515,0.1309,0.9627,0.9916,1,0
44b6_0113de3b,216,442,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,519.0,1.4549,0.8197,1.5452,0.9912,1,0
44b6_0113de3b,63,293,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,132.0,1.0544,0.2524,1.0814,0.9911,1,0
44b6_0113de3b,150,377,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,154.0,0.8967,0.5468,0.7912,0.9911,1,0
44b6_0113de3b,209,440,0,1,1,3.98,3.63,1.62,1.62,1.62,3.25,3.98,1,1,999.0,999.0,1,1,1,0.0,0.4082,0.0,3.63,3.63,466.0,1.2274,0.87,1.5249,0.991,1,0
44b6_0113de3b,122,355,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,121.0,0.9362,0.9364,0.7086,0.9909,1,0
44b6_0113de3b,98,328,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.8165,0.0,1.62,1.62,15.0,1.0085,0.4182,1.1572,0.9908,1,0
44b6_0113de3b,123,348,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,1.0,0.0,0.0,0.0,31.0,1.0185,0.9413,1.3899,0.9906,1,0
44b6_0113de3b,211,441,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,199.0,1.1191,0.4977,1.2251,0.9904,1,0
44b6_0113de3b,141,369,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,39.0,0.9653,0.0568,0.9714,0.9904,1,0
44b6_0113de3b,74,307,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,79.0,0.9461,0.2582,1.0951,0.9902,1,0
44b6_0113de3b,55,283,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,273.0,0.8203,1.1354,0.6533,0.9902,1,0
44b6_0113de3b,203,427,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,286.0,1.1884,0.3997,0.8709,0.9901,1,0
44b6_0113de3b,113,342,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.866,0.0,2.3,2.3,131.0,0.9345,0.0119,0.9963,0.9899,1,0
44b6_0113de3b,151,379,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,37.0,0.9701,1.0178,0.7267,0.9899,1,0
44b6_0113de3b,38,267,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.9487,0.0,1.62,1.62,41.0,1.02,2.1903,0.4785,0.9899,1,0
44b6_0113de3b,84,313,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,466.0,0.8096,0.1484,1.0472,0.9897,1,0
44b6_0113de3b,66,294,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,93.0,0.9528,0.3458,0.8727,0.9897,1,0
44b6_0113de3b,31,259,0,1,1,3.63,3.25,1.62,1.62,3.25,0.0,3.63,1,1,999.0,999.0,1,1,1,0.0,0.4472,0.0,3.25,3.25,20.0,1.0126,0.7942,1.2386,0.9896,1,0
44b6_0113de3b,29,260,0,1,1,3.98,2.3,3.25,3.25,1.62,1.62,3.98,1,1,999.0,999.0,1,1,1,0.0,0.9428,0.0,1.62,1.62,246.0,0.8518,1.7204,0.5659,0.9895,1,0
44b6_0113de3b,212,435,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,135.0,1.0676,0.6582,1.2986,0.9894,1,0
44b6_0113de3b,144,371,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,117.0,0.9317,0.0675,1.0237,0.9882,1,0
44b6_0113de3b,179,405,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,-0.5774,0.0,3.98,3.98,223.0,1.1877,1.1415,1.54,0.9882,1,0
44b6_0113de3b,168,394,0,1,1,2.3,2.3,0.0,0.0,1.62,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,125.0,0.9404,0.6409,0.8188,0.988,1,0
44b6_0113de3b,19,250,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.5,0.0,2.3,2.3,119.0,1.1183,0.3262,0.8739,0.9879,1,0
44b6_0113de3b,43,273,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.5,0.0,2.3,2.3,132.0,0.9148,0.5879,1.3246,0.9877,1,0
44b6_0113de3b,125,358,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,56.0,0.972,0.5449,1.2004,0.9876,1,0
44b6_0113de3b,166,393,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,61.0,1.054,0.0953,0.9684,0.9873,1,0
44b6_0113de3b,46,277,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.9487,0.0,1.62,1.62,5.0,0.9966,0.2065,1.0763,0.9872,1,0
44b6_0113de3b,49,275,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,5.0,1.0029,0.1792,0.9368,0.9872,1,0
44b6_0113de3b,18,252,0,1,1,3.63,3.25,1.62,1.62,3.25,0.0,3.63,1,1,999.0,999.0,1,1,1,0.0,0.4472,0.0,3.25,3.25,237.0,0.8845,0.4887,0.8474,0.9871,1,0
44b6_0113de3b,167,397,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,90.0,0.9618,0.3443,0.8982,0.9871,1,0
44b6_0113de3b,20,251,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.9428,0.0,1.62,1.62,70.0,1.0852,0.8263,0.7378,0.9868,1,0
44b6_0113de3b,108,338,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,41.0,0.9741,0.1742,0.9379,0.9867,1,0
44b6_0113de3b,70,296,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,5.14,5.14,255.0,0.8606,0.0922,0.9677,0.9864,1,0
44b6_0113de3b,160,388,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.6325,0.0,2.81,2.81,202.0,0.8861,1.01,0.7177,0.9861,1,0
44b6_0113de3b,52,278,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,3.98,3.98,154.0,0.9367,0.4624,0.857,0.9857,1,0
44b6_0113de3b,147,373,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,21.0,0.9778,0.5514,1.2487,0.9857,1,0
44b6_0113de3b,158,385,0,1,1,3.25,3.25,0.0,0.0,3.25,0.0,3.25,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,3.63,3.63,391.0,0.7992,0.9419,0.6947,0.9855,1,0
44b6_0113de3b,201,431,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,218.0,0.8437,0.8407,0.7034,0.9853,1,0
44b6_0113de3b,153,381,0,1,1,1.62,1.62,0.0,0.0,-1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.4082,0.0,3.63,3.63,245.0,1.3125,0.677,0.7764,0.985,1,0
44b6_0113de3b,111,339,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,126.0,0.9076,0.033,0.9856,0.985,1,0
44b6_0113de3b,155,383,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,338.0,0.756,1.8166,0.4794,0.9848,1,0
44b6_0113de3b,40,270,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.8165,0.0,1.62,1.62,136.0,0.9349,0.2922,1.1087,0.9846,1,0
44b6_0113de3b,51,282,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,10.0,0.9928,0.2734,1.1118,0.9842,1,0
44b6_0113de3b,187,414,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,68.0,0.9334,0.3593,1.1558,0.9841,1,0
44b6_0113de3b,77,309,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,90.0,0.943,1.0052,1.3959,0.9839,1,0
44b6_0113de3b,5,234,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,77.0,0.9307,0.1578,1.1101,0.9836,1,0
44b6_0113de3b,17,243,0,1,1,3.25,3.25,0.0,0.0,3.25,0.0,3.25,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,3.63,3.63,80.0,0.9608,1.3636,0.6168,0.9836,1,0
44b6_0113de3b,47,279,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,48.0,0.9593,0.3413,0.8938,0.9835,1,0
44b6_0113de3b,83,312,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.8528,0.0,3.63,3.63,53.0,0.9696,0.6154,1.2715,0.9829,1,0
44b6_0113de3b,53,285,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.866,0.0,2.3,2.3,84.0,0.9542,0.499,1.1559,0.9828,1,0
44b6_0113de3b,110,344,0,1,1,3.98,2.3,3.25,3.25,1.62,1.62,3.98,1,1,999.0,999.0,1,1,1,0.0,0.8333,0.0,2.3,2.3,61.0,1.0708,0.9628,1.4295,0.9821,1,0
44b6_0113de3b,217,443,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,149.0,1.0881,0.5314,1.3125,0.9813,1,0
44b6_0113de3b,86,319,0,1,1,3.98,2.3,3.25,3.25,1.62,1.62,3.98,1,1,999.0,999.0,1,1,1,0.0,-0.4082,0.0,4.88,4.88,152.0,0.8978,1.5359,0.6152,0.9809,1,0
44b6_0113de3b,72,303,0,1,1,2.81,2.3,1.62,1.62,1.62,-1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,-0.5774,0.0,3.98,3.98,191.0,1.1309,0.9511,1.4289,0.9803,1,0
44b6_0113de3b,131,361,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,97.0,0.8862,0.074,1.0263,0.9801,1,0
44b6_0113de3b,162,390,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,64.0,1.1145,0.7991,1.4934,0.9784,1,0
44b6_0113de3b,56,284,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,-0.4082,0.0,4.88,4.88,59.0,0.9606,0.6637,0.7882,0.9781,1,0
44b6_0113de3b,173,398,0,1,1,2.3,2.3,0.0,0.0,1.62,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,-0.5,0.0,3.98,3.98,62.0,1.0502,0.1425,0.9432,0.9777,1,0
44b6_0113de3b,186,412,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,319.0,1.3596,0.0716,0.9754,0.9777,1,0
44b6_0113de3b,140,367,0,1,1,5.39,5.14,1.62,1.62,4.88,1.62,5.39,1,1,999.0,999.0,1,1,1,0.0,0.7385,0.0,3.63,3.63,294.0,0.6005,0.8565,0.7354,0.9776,1,0
44b6_0113de3b,207,433,0,1,1,2.3,2.3,0.0,0.0,1.62,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,113.0,1.0719,0.2636,1.1133,0.9774,1,0
44b6_0113de3b,101,332,0,1,1,3.63,1.62,3.25,3.25,1.62,0.0,3.63,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,3.98,3.98,115.0,1.1144,0.6656,0.7814,0.9773,1,0
44b6_0113de3b,30,258,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,53.0,1.0421,0.1412,0.9589,0.9765,1,0
44b6_0113de3b,164,389,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,197.0,0.8593,0.0879,0.9745,0.9764,1,0
44b6_0113de3b,69,298,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,206.0,0.8316,1.0053,0.6727,0.9763,1,0
44b6_0113de3b,78,306,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,38.0,0.9617,1.0319,0.6353,0.9755,1,0
44b6_0113de3b,163,392,0,1,1,3.98,2.3,3.25,3.25,1.62,1.62,3.98,1,1,999.0,999.0,1,1,1,0.0,0.8165,0.0,2.81,2.81,118.0,0.9385,0.4892,1.1347,0.9751,1,0
44b6_0113de3b,159,387,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,4.0,1.0022,0.1939,1.0708,0.9748,1,0
44b6_0113de3b,189,417,0,1,1,3.98,3.63,1.62,1.62,1.62,3.25,3.98,1,1,999.0,999.0,1,1,1,0.0,0.4082,0.0,3.63,3.63,27.0,0.9854,0.765,1.2753,0.9735,1,0
44b6_0113de3b,81,310,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.8165,0.0,1.62,1.62,39.0,0.9771,0.7186,1.2819,0.9723,1,0
44b6_0113de3b,121,347,0,1,1,2.3,2.3,0.0,0.0,1.62,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,-0.7071,0.0,3.63,3.63,36.0,1.0306,0.7903,1.3458,0.9721,1,0
44b6_0113de3b,6,244,0,1,1,3.63,1.62,3.25,3.25,0.0,1.62,3.63,1,1,999.0,999.0,1,1,1,0.0,0.9129,0.0,1.62,1.62,442.0,0.6854,0.9354,0.6595,0.9713,1,0
44b6_0113de3b,34,263,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.4714,0.0,3.63,3.63,126.0,1.067,0.4038,0.8622,0.9706,1,0
44b6_0113de3b,152,386,0,1,1,3.63,1.62,3.25,3.25,1.62,0.0,3.63,1,1,999.0,999.0,1,1,1,0.0,0.6325,0.0,2.81,2.81,17.0,0.9919,0.1135,0.9627,0.97,1,0
44b6_0113de3b,210,434,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,1.0,0.0,0.0,0.0,67.0,0.9543,0.1123,1.0427,0.9698,1,0
44b6_0113de3b,185,410,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,141.0,1.1018,0.2173,0.9179,0.9685,1,0
44b6_0113de3b,177,402,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,-0.5774,0.0,3.98,3.98,63.0,1.0379,0.5207,1.1966,0.9682,1,0
44b6_0113de3b,100,325,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,4.0,0.996,0.5685,1.3128,0.9672,1,0
44b6_0113de3b,193,420,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,46.0,0.9704,0.5514,0.8111,0.9668,1,0
44b6_0113de3b,75,308,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.8165,0.0,1.62,1.62,270.0,0.7455,1.1601,0.6839,0.9666,1,0
44b6_0113de3b,48,280,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,1.0,0.0,0.0,0.0,5.0,0.9965,1.3051,1.5534,0.9665,1,0
44b6_0113de3b,44,274,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,3.63,3.63,357.0,0.7155,0.2031,1.0594,0.9654,1,0
44b6_0113de3b,54,287,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.8165,0.0,1.62,1.62,18.0,1.0183,0.0687,1.0227,0.9654,1,0
44b6_0113de3b,215,438,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,477.0,1.2657,0.5883,1.34,0.9654,1,0
