dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_d754aa59,70,4330,28,4302,42,0.0065,0.4,0.0127,28,7,42
44b6_d78e09d9,451,15208,247,14961,204,0.0162,0.5477,0.0315,247,40,204
44b6_db3c847b,162,13065,110,12955,52,0.0084,0.679,0.0166,110,12,52
44b6_ddf577ad,647,48110,385,47725,262,0.008,0.5951,0.0158,387,155,260
44b6_deabac95,124,11355,80,11275,44,0.007,0.6452,0.0139,80,10,44
44b6_e28840c6,309,74442,225,74217,84,0.003,0.7282,0.006,220,55,89
44b6_e29f0176,50,6021,7,6014,43,0.0012,0.14,0.0023,7,6,43
44b6_e31261b4,113,51383,73,51310,40,0.0014,0.646,0.0028,73,12,40
44b6_e35b117d,266,28351,149,28202,117,0.0053,0.5602,0.0104,149,34,117
44b6_e57ff5c6,186,10182,54,10128,132,0.0053,0.2903,0.0104,54,21,132
44b6_eb2880fc,379,36386,273,36113,106,0.0075,0.7203,0.0149,273,74,106
44b6_f28707c6,61,11761,20,11741,41,0.0017,0.3279,0.0034,20,5,41
6bba_05b6850b,845,7205,543,6662,302,0.0754,0.6426,0.1349,541,187,304
6bba_05db0fb1,1183,56724,770,55954,413,0.0136,0.6509,0.0266,770,154,413
6bba_062c8d37,898,5402,400,5002,498,0.074,0.4454,0.127,400,238,498
6bba_07477033,602,5172,409,4763,193,0.0791,0.6794,0.1417,410,142,192
6bba_07e24132,345,31210,224,30986,121,0.0072,0.6493,0.0142,226,77,119
6bba_085bf656,1168,5812,469,5343,699,0.0807,0.4015,0.1344,469,301,699
6bba_09961292,1871,29434,1280,28154,591,0.0435,0.6841,0.0818,1282,351,589
6bba_0c7fa718,659,4980,136,4844,523,0.0273,0.2064,0.0482,136,76,523
6bba_0e7c0d07,198,6540,52,6488,146,0.008,0.2626,0.0154,52,17,146
6bba_12665c0e,998,5117,490,4627,508,0.0958,0.491,0.1603,488,110,510
6bba_13f19531,704,4349,322,4027,382,0.074,0.4574,0.1274,322,100,382
6bba_15403b9a,729,3601,207,3394,522,0.0575,0.284,0.0956,207,98,522
6bba_1d0d8384,1365,15928,632,15296,733,0.0397,0.463,0.0731,629,325,736
6bba_1ebfb80d,719,8021,315,7706,404,0.0393,0.4381,0.0721,315,103,404
6bba_1f58c2f6,299,23672,165,23507,134,0.007,0.5518,0.0138,163,60,136
6bba_207c6aaf,450,6340,106,6234,344,0.0167,0.2356,0.0312,106,44,344
6bba_20852818,909,9003,535,8468,374,0.0594,0.5886,0.1079,539,159,370
6bba_2312ac41,1132,9430,700,8730,432,0.0742,0.6184,0.1326,702,150,430
6bba_23af9eeb,499,4856,338,4518,161,0.0696,0.6774,0.1262,338,123,161
6bba_2540cd90,523,4975,233,4742,290,0.0468,0.4455,0.0848,235,253,288
6bba_2646afc7,721,6156,400,5756,321,0.065,0.5548,0.1163,398,208,323
6bba_268e1230,609,3673,227,3446,382,0.0618,0.3727,0.106,227,93,382
6bba_2819ca14,949,3214,307,2907,642,0.0955,0.3235,0.1475,307,107,642
6bba_283bf9f1,1288,8576,466,8110,822,0.0543,0.3618,0.0945,466,97,822
6bba_312f0dc3,500,4154,130,4024,370,0.0313,0.26,0.0559,130,106,370
6bba_32db13fc,811,26141,316,25825,495,0.0121,0.3896,0.0234,316,115,495
6bba_337b1b3a,1213,18368,630,17738,583,0.0343,0.5194,0.0643,631,207,582
6bba_372c8cb8,1007,7714,663,7051,344,0.0859,0.6584,0.152,665,223,342
6bba_3a1849c2,1142,7475,647,6828,495,0.0866,0.5665,0.1502,645,236,497
6bba_3abfe10a,935,36880,541,36339,394,0.0147,0.5786,0.0286,541,179,394
6bba_3c5691b6,746,6971,546,6425,200,0.0783,0.7319,0.1415,546,179,200
6bba_3db54e20,474,8666,107,8559,367,0.0123,0.2257,0.0234,108,50,366
6bba_3fda6b25,1179,9602,785,8817,394,0.0818,0.6658,0.1456,787,253,392
6bba_43fea39d,880,5394,582,4812,298,0.1079,0.6614,0.1855,578,122,302
6bba_474be664,286,26882,65,26817,221,0.0024,0.2273,0.0048,65,34,221
6bba_48816121,918,15721,485,15236,433,0.0309,0.5283,0.0583,485,134,433
6bba_4aa14c89,681,6268,509,5759,172,0.0812,0.7474,0.1465,509,54,172
6bba_4f99ce20,1010,3796,433,3363,577,0.1141,0.4287,0.1802,435,137,575
6bba_4ffd3da3,689,12427,269,12158,420,0.0216,0.3904,0.041,269,87,420
6bba_55b7eebe,688,5582,447,5135,241,0.0801,0.6497,0.1426,447,145,241
6bba_55c70843,467,29345,252,29093,215,0.0086,0.5396,0.0169,252,74,215
6bba_57b7cc1e,1592,57526,705,56821,887,0.0123,0.4428,0.0239,705,297,887
6bba_5a4d9360,722,3253,203,3050,519,0.0624,0.2812,0.1021,204,103,518
6bba_5b28472a,724,6970,517,6453,207,0.0742,0.7141,0.1344,516,169,208
6bba_5c039895,1145,6548,498,6050,647,0.0761,0.4349,0.1295,495,301,650
6bba_5c824876,1130,16240,671,15569,459,0.0413,0.5938,0.0773,671,67,459
6bba_5dfe9ad1,1487,19129,825,18304,662,0.0431,0.5548,0.08,825,79,662
6bba_5f89039d,885,5426,438,4988,447,0.0807,0.4949,0.1388,442,242,443
6bba_61dd1e0d,543,9229,303,8926,240,0.0328,0.558,0.062,303,130,240
6bba_61ecbe65,614,3594,225,3369,389,0.0626,0.3664,0.1069,227,152,387
6bba_6321a359,798,4976,493,4483,305,0.0991,0.6178,0.1708,493,131,305
6bba_6479435d,580,17523,243,17280,337,0.0139,0.419,0.0268,244,83,336
6bba_67ebd073,438,14230,264,13966,174,0.0186,0.6027,0.036,264,94,174
6bba_6ca87370,1052,5680,455,5225,597,0.0801,0.4325,0.1352,456,206,596
6bba_6db0e9b4,440,22325,299,22026,141,0.0134,0.6795,0.0263,299,62,141
6bba_6feb10f0,1343,7508,139,7369,1204,0.0185,0.1035,0.0314,139,54,1204
6bba_6feeb0b1,1343,7486,569,6917,774,0.076,0.4237,0.1289,569,424,774
6bba_705ec2c9,562,5235,348,4887,214,0.0665,0.6192,0.1201,349,81,213
6bba_718b21f9,652,5699,290,5409,362,0.0509,0.4448,0.0913,293,237,359
6bba_74686d6a,576,23164,370,22794,206,0.016,0.6424,0.0312,370,41,206
6bba_767a1e17,658,16323,253,16070,405,0.0155,0.3845,0.0298,254,68,404
6bba_76db78c1,604,5484,356,5128,248,0.0649,0.5894,0.117,362,185,242
6bba_784a78c9,1739,11116,1173,9943,566,0.1055,0.6745,0.1825,1172,252,567
6bba_786893ac,1395,52793,730,52063,665,0.0138,0.5233,0.0269,728,323,667
6bba_789f8168,681,5109,232,4877,449,0.0454,0.3407,0.0801,230,73,451
6bba_78a7bd97,832,19504,253,19251,579,0.013,0.3041,0.0249,253,79,579
6bba_7af54fde,1092,8929,841,8088,251,0.0942,0.7701,0.1678,841,83,251
6bba_7b5d3b2c,555,5892,359,5533,196,0.0609,0.6468,0.1114,362,121,193
6bba_7d3058ae,1173,8676,691,7985,482,0.0796,0.5891,0.1403,692,299,481
6bba_7f87b3d8,934,4958,298,4660,636,0.0601,0.3191,0.1012,300,125,634
6bba_80d12824,654,8238,369,7869,285,0.0448,0.5642,0.083,370,126,284
6bba_825bd1c6,930,7671,408,7263,522,0.0532,0.4387,0.0949,410,252,520
6bba_87289e13,699,9273,243,9030,456,0.0262,0.3476,0.0487,245,146,454
6bba_8b7818bf,725,6234,488,5746,237,0.0783,0.6731,0.1403,487,195,238
6bba_907271db,921,4025,335,3690,586,0.0832,0.3637,0.1355,336,216,585
6bba_91951b3a,1148,7270,510,6760,638,0.0702,0.4443,0.1212,511,144,637
6bba_96833384,721,4297,416,3881,305,0.0968,0.577,0.1658,414,135,307
6bba_969618f6,658,9244,413,8831,245,0.0447,0.6277,0.0834,414,31,244
6bba_971fa5e0,767,5670,393,5277,374,0.0693,0.5124,0.1221,392,190,375
6bba_9a41d029,1353,15359,787,14572,566,0.0512,0.5817,0.0942,786,235,567
6bba_9e23430b,891,6891,541,6350,350,0.0785,0.6072,0.139,540,153,351
6bba_a5e926bb,698,4470,289,4181,409,0.0647,0.414,0.1118,290,79,408
6bba_a90a0b9c,1112,34934,592,34342,520,0.0169,0.5324,0.0328,589,292,523
6bba_ab78413d,1138,9780,255,9525,883,0.0261,0.2241,0.0467,253,74,885
6bba_acd782a8,330,10976,107,10869,223,0.0097,0.3242,0.0189,107,53,223
6bba_ae82a791,1471,7070,838,6232,633,0.1185,0.5697,0.1962,832,257,639
6bba_aeee7805,768,5327,603,4724,165,0.1132,0.7852,0.1979,606,100,162
6bba_af149c94,1317,8133,725,7408,592,0.0891,0.5505,0.1534,729,333,588
6bba_afb141ff,626,5877,363,5514,263,0.0618,0.5799,0.1116,364,144,262
6bba_b1ae37b9,579,19240,442,18798,137,0.023,0.7634,0.0446,442,41,137
6bba_b204cac7,811,8363,394,7969,417,0.0471,0.4858,0.0859,401,334,410
6bba_b329af44,1268,48278,693,47585,575,0.0144,0.5465,0.028,695,190,573
6bba_b693381b,935,4141,382,3759,553,0.0922,0.4086,0.1505,378,99,557
6bba_bb9f20c3,1879,21581,1010,20571,869,0.0468,0.5375,0.0861,1011,438,868
6bba_bbb708ca,861,5741,530,5211,331,0.0923,0.6156,0.1606,529,112,332
6bba_c27cba08,493,5521,262,5259,231,0.0475,0.5314,0.0871,264,77,229
6bba_c328f2fd,500,26443,251,26192,249,0.0095,0.502,0.0186,249,80,251
6bba_c73a1d11,710,10041,143,9898,567,0.0142,0.2014,0.0266,143,57,567
6bba_cdcfe533,1348,16027,601,15426,747,0.0375,0.4458,0.0692,601,228,747
6bba_cf35214c,817,26879,523,26356,294,0.0195,0.6401,0.0378,524,73,293
6bba_cff5865f,1501,34053,815,33238,686,0.0239,0.543,0.0458,815,219,686
6bba_d0fc38b5,813,6346,515,5831,298,0.0812,0.6335,0.1439,517,241,296
6bba_d1acb6ff,643,6744,245,6499,398,0.0363,0.381,0.0663,245,35,398
6bba_d2b9fc0c,921,14502,350,14152,571,0.0241,0.38,0.0454,350,223,571
6bba_d3da753b,857,10336,225,10111,632,0.0218,0.2625,0.0402,225,236,632
6bba_d5eae175,519,6019,210,5809,309,0.0349,0.4046,0.0642,211,220,308
6bba_d6ecebbb,862,5981,558,5423,304,0.0933,0.6473,0.1631,559,175,303
6bba_d82a4fc6,530,24128,403,23725,127,0.0167,0.7604,0.0327,403,50,127
6bba_debd7bfa,729,5426,276,5150,453,0.0509,0.3786,0.0897,276,49,453
6bba_df673a83,654,14753,424,14329,230,0.0287,0.6483,0.055,428,52,226
6bba_e16ffc58,942,7562,464,7098,478,0.0614,0.4926,0.1091,464,285,478
6bba_e5e44988,634,3040,137,2903,497,0.0451,0.2161,0.0746,138,141,496
6bba_ebdf3b34,803,45718,508,45210,295,0.0111,0.6326,0.0218,508,70,295
6bba_ebff6e76,1264,38693,633,38060,631,0.0164,0.5008,0.0317,632,226,632
6bba_ed9377fd,508,5323,294,5029,214,0.0552,0.5787,0.1008,294,149,214
6bba_edf14583,760,45570,458,45112,302,0.0101,0.6026,0.0198,456,152,304
6bba_eebc57a5,989,9315,435,8880,554,0.0467,0.4398,0.0844,437,315,552
6bba_ef7b4f7e,1201,6090,855,5235,346,0.1404,0.7119,0.2345,860,176,341
6bba_f17befbc,1015,13355,453,12902,562,0.0339,0.4463,0.063,453,83,562
6bba_f1fde7e0,446,3533,104,3429,342,0.0294,0.2332,0.0523,104,48,342
6bba_f20478e9,963,4393,409,3984,554,0.0931,0.4247,0.1527,412,167,551
6bba_f4ae811c,965,6174,584,5590,381,0.0946,0.6052,0.1636,586,98,379
6bba_f8ffd5e7,370,17770,184,17586,186,0.0104,0.4973,0.0203,185,55,185
6bba_fbc898dc,639,5487,537,4950,102,0.0979,0.8404,0.1753,535,68,104
6bba_fc516dc6,762,7174,297,6877,465,0.0414,0.3898,0.0748,299,190,463
6bba_fc5f39dc,458,10246,236,10010,222,0.023,0.5153,0.0441,236,11,222
6bba_fc83837d,923,9485,448,9037,475,0.0472,0.4854,0.0861,449,172,474
6bba_fe670320,680,5977,177,5800,503,0.0296,0.2603,0.0532,178,95,502
