dataset,pred_nodes,unique_frames,nodes_per_frame,candidate_edges,gt_nodes,est_nodes,node_tp,node_fp,node_fn,node_recall,node_precision,node_f1,pre_pe_ratio,final_nodes,final_edges,gt_edges,edge_tp,edge_fp,edge_fn,edge_recall,edge_precision,edge_f1,post_node_recall,final_pe_ratio,official_edge_jaccard,official_division_jaccard,official_score
44b6_2f31fc2f,27637,100,276.37,20764,89,24368,88,27549,1,0.9888,0.0032,0.0063,1.1342,23611,19692,85,71,13,14,0.8353,0.8452,0.8402,0.9888,0.9689,0.7245,0.0,0.7245
44b6_33b596bf,26686,100,266.86,23922,50,23330,50,26636,0,1.0,0.0019,0.0037,1.1438,25424,23381,49,49,0,0,1.0,1.0,1.0,1.0,1.0898,1.0,0.0,1.0
44b6_341df25f,9546,100,95.46,8534,216,7436,216,9330,0,1.0,0.0226,0.0443,1.2838,8994,8395,209,206,1,3,0.9856,0.9952,0.9904,1.0,1.2095,0.981,0.0,0.981
44b6_3a861e03,40804,100,408.04,37336,935,40546,934,39870,1,0.9989,0.0229,0.0448,1.0064,39366,36762,919,890,21,29,0.9684,0.9769,0.9727,0.9968,0.9709,0.9468,0.0,0.9468
44b6_3bb3690f,19177,100,191.77,16153,400,31937,400,18777,0,1.0,0.0209,0.0409,0.6005,17606,15630,396,371,29,25,0.9369,0.9275,0.9322,1.0,0.5513,0.8729,0.0,0.8729
44b6_40c45f5a,39187,100,391.87,32662,200,32681,200,38987,0,1.0,0.0051,0.0102,1.1991,35475,31256,198,185,12,13,0.9343,0.9391,0.9367,1.0,1.0855,0.881,0.0,0.881
44b6_415c0a3a,44324,100,443.24,35553,331,57292,330,43994,1,0.997,0.0074,0.0148,0.7737,39621,34954,322,300,19,22,0.9317,0.9404,0.936,0.994,0.6916,0.8798,0.0,0.8798
44b6_53f95252,39205,100,392.05,32885,70,38715,70,39135,0,1.0,0.0018,0.0036,1.0127,35873,32247,68,65,2,3,0.9559,0.9701,0.963,1.0,0.9266,0.9286,0.0,0.9286
44b6_551a5dba,42437,100,424.37,33841,228,57627,227,42210,1,0.9956,0.0053,0.0106,0.7364,37750,32601,224,198,23,26,0.8839,0.8959,0.8899,1.0,0.6551,0.8016,0.0,0.8016
44b6_5740d24b,16109,100,161.09,13256,173,19730,173,15936,0,1.0,0.0107,0.0213,0.8165,14550,12789,170,167,2,3,0.9824,0.9882,0.9853,1.0,0.7375,0.9709,0.0,0.9709
44b6_587a1e22,20110,100,201.1,18581,381,18137,381,19729,0,1.0,0.0189,0.0372,1.1088,19514,18391,371,357,15,14,0.9623,0.9597,0.961,1.0,1.0759,0.9249,0.0,0.9249
44b6_5f15d135,31042,100,310.42,24378,278,29519,276,30766,2,0.9928,0.0089,0.0176,1.0516,27187,23380,273,234,30,39,0.8571,0.8864,0.8715,0.9892,0.921,0.7723,0.0,0.7723
44b6_668e0cc7,38349,100,383.49,34346,643,39701,643,37706,0,1.0,0.0168,0.033,0.9659,36728,33964,631,614,18,17,0.9731,0.9715,0.9723,1.0,0.9251,0.9461,0.0,0.9461
44b6_66f9292d,31060,100,310.6,20690,200,52710,200,30860,0,1.0,0.0064,0.0128,0.5893,24179,20344,198,185,12,13,0.9343,0.9391,0.9367,0.99,0.4587,0.881,0.0,0.881
44b6_706092f0,35352,100,353.52,26674,118,69898,112,35240,6,0.9492,0.0032,0.0063,0.5058,30556,26015,117,99,11,18,0.8462,0.9,0.8722,0.9407,0.4372,0.7734,0.0,0.7734
44b6_71a4179f,39337,100,393.37,29870,121,67688,121,39216,0,1.0,0.0031,0.0061,0.5812,34068,29247,119,90,41,29,0.7563,0.687,0.72,0.9917,0.5033,0.5625,0.0,0.5625
44b6_74d0c52e,11452,100,114.52,9422,140,15090,140,11312,0,1.0,0.0122,0.0242,0.7589,10346,9125,139,133,3,6,0.9568,0.9779,0.9673,1.0,0.6856,0.9366,0.0,0.9366
44b6_7a302da0,59555,100,595.55,47982,516,66858,516,59039,0,1.0,0.0087,0.0172,0.8908,53156,46299,507,473,31,34,0.9329,0.9385,0.9357,1.0,0.7951,0.8792,0.0,0.8792
44b6_7e557709,50322,100,503.22,45234,570,56060,570,49752,0,1.0,0.0113,0.0224,0.8976,48133,44577,560,540,21,20,0.9643,0.9626,0.9634,1.0,0.8586,0.9294,0.0,0.9294
44b6_808952d6,17857,100,178.57,15934,181,15742,181,17676,0,1.0,0.0101,0.0201,1.1344,16662,15349,179,179,0,0,1.0,1.0,1.0,1.0,1.0584,1.0,0.0,1.0
44b6_81c256f0,12410,100,124.1,11451,199,10052,199,12211,0,1.0,0.016,0.0316,1.2346,11861,11220,197,197,0,0,1.0,1.0,1.0,1.0,1.18,1.0,0.0,1.0
44b6_87bba6c4,36343,100,363.43,29890,153,28102,153,36190,0,1.0,0.0042,0.0084,1.2933,32587,28353,149,134,15,15,0.8993,0.8993,0.8993,1.0,1.1596,0.8171,0.0,0.8171
44b6_8cc6506c,22811,100,228.11,18600,400,32172,400,22411,0,1.0,0.0175,0.0345,0.709,20642,18066,396,378,14,18,0.9545,0.9643,0.9594,1.0,0.6416,0.922,0.0,0.922
44b6_8f5ab931,32150,100,321.5,27663,616,27571,611,31539,5,0.9919,0.019,0.0373,1.1661,29838,26644,604,534,54,70,0.8841,0.9082,0.896,0.9854,1.0822,0.8116,0.0,0.8116
44b6_8f9ecab4,48156,100,481.56,37099,374,74833,374,47782,0,1.0,0.0078,0.0154,0.6435,42169,36323,370,354,12,16,0.9568,0.9672,0.962,1.0,0.5635,0.9267,0.0,0.9267
44b6_90724892,27052,100,270.52,23884,105,25532,104,26948,1,0.9905,0.0038,0.0077,1.0595,25641,23376,103,94,9,9,0.9126,0.9126,0.9126,0.9905,1.0043,0.8393,0.0,0.8393
44b6_949adeb1,45609,100,456.09,38687,388,37179,385,45224,3,0.9923,0.0084,0.0167,1.2267,42048,37202,378,318,47,60,0.8413,0.8712,0.856,0.9845,1.131,0.7482,0.0,0.7482
44b6_95029e92,5271,100,52.71,4873,200,5161,200,5071,0,1.0,0.0379,0.0731,1.0213,5039,4794,198,198,0,0,1.0,1.0,1.0,1.0,0.9764,1.0,0.0,1.0
44b6_97725144,42748,100,427.48,35690,225,35774,224,42524,1,0.9956,0.0052,0.0104,1.1949,38881,34877,221,208,8,13,0.9412,0.963,0.9519,0.9911,1.0869,0.9083,0.0,0.9083
44b6_996155de,10991,100,109.91,9642,380,7573,378,10613,2,0.9947,0.0344,0.0665,1.4513,10254,9329,377,371,2,6,0.9841,0.9946,0.9893,0.9947,1.354,0.9789,0.0,0.9789
44b6_9be80b04,32567,100,325.67,25321,222,57877,222,32345,0,1.0,0.0068,0.0135,0.5627,28625,24479,220,201,11,19,0.9136,0.9481,0.9306,0.9955,0.4946,0.8701,0.0,0.8701
44b6_9bfa6a0a,45548,100,455.48,35457,264,64308,264,45284,0,1.0,0.0058,0.0115,0.7083,39960,34724,259,237,21,22,0.9151,0.9186,0.9168,1.0,0.6214,0.8464,0.0,0.8464
44b6_a21120c2,23219,100,232.19,21791,296,23040,293,22926,3,0.9899,0.0126,0.0249,1.0078,22760,21574,286,274,4,12,0.958,0.9856,0.9716,0.9865,0.9878,0.9448,0.0,0.9448
44b6_a2bb48bb,66481,100,664.81,50643,416,60613,412,66069,4,0.9904,0.0062,0.0123,1.0968,57282,48138,410,358,31,52,0.8732,0.9203,0.8961,0.988,0.945,0.8118,0.0,0.8118
44b6_aaf8b0ea,19469,100,194.69,15847,209,22099,206,19263,3,0.9856,0.0106,0.0209,0.881,17323,15162,206,201,4,5,0.9757,0.9805,0.9781,0.9952,0.7839,0.9571,0.0,0.9571
44b6_abf82518,31479,100,314.79,28081,96,27604,96,31383,0,1.0,0.003,0.0061,1.1404,29862,27396,94,94,0,0,1.0,1.0,1.0,1.0,1.0818,1.0,0.0,1.0
44b6_b2c44266,47432,100,474.32,38880,170,59729,170,47262,0,1.0,0.0036,0.0071,0.7941,42976,37969,168,164,3,4,0.9762,0.982,0.9791,1.0,0.7195,0.9591,0.0,0.9591
44b6_c15fded2,21941,100,219.41,19821,104,20585,104,21837,0,1.0,0.0047,0.0094,1.0659,21053,19406,102,93,6,9,0.9118,0.9394,0.9254,1.0,1.0227,0.8611,0.0,0.8611
44b6_c50204e0,51893,100,518.93,40611,333,47078,329,51564,4,0.988,0.0063,0.0126,1.1023,45161,38369,325,268,33,57,0.8246,0.8904,0.8562,0.982,0.9593,0.7486,0.0,0.7486
44b6_c771cb04,42189,100,421.89,32553,227,53345,227,41962,0,1.0,0.0054,0.0107,0.7909,36765,31344,223,188,29,35,0.843,0.8664,0.8545,0.9824,0.6892,0.746,0.0,0.746
44b6_c8e2a523,31057,100,310.57,28589,168,33144,166,30891,2,0.9881,0.0053,0.0106,0.937,30247,28272,164,158,2,6,0.9634,0.9875,0.9753,0.994,0.9126,0.9518,0.0,0.9518
44b6_c96cfa10,44816,100,448.16,37875,629,46236,629,44187,0,1.0,0.014,0.0277,0.9693,41288,36767,616,565,28,51,0.9172,0.9528,0.9347,0.9889,0.893,0.8773,0.0,0.8773
44b6_cf2536e8,32537,100,325.37,24328,76,57565,76,32461,0,1.0,0.0023,0.0047,0.5652,27829,23721,75,71,7,4,0.9467,0.9103,0.9281,1.0,0.4834,0.8659,0.0,0.8659
44b6_cf8fed6b,47367,100,473.67,41939,191,43729,191,47176,0,1.0,0.004,0.008,1.0832,45245,41392,188,185,2,3,0.984,0.9893,0.9867,1.0,1.0347,0.9737,0.0,0.9737
44b6_d29c9ab2,38307,100,383.07,36378,1353,38055,1350,36957,3,0.9978,0.0352,0.0681,1.0066,37659,36040,1328,1300,23,28,0.9789,0.9826,0.9808,0.9993,0.9896,0.9623,0.0,0.9623
44b6_d2f34f90,20276,100,202.76,16283,283,24074,283,19993,0,1.0,0.014,0.0275,0.8422,17957,15514,281,269,7,12,0.9573,0.9746,0.9659,1.0,0.7459,0.934,0.0,0.934
44b6_d5e7d891,53472,100,534.72,44395,906,44848,898,52574,8,0.9912,0.0168,0.033,1.1923,48379,42416,893,786,84,107,0.8802,0.9034,0.8917,0.9868,1.0787,0.8045,0.0,0.8045
44b6_d754aa59,6588,100,65.88,5707,72,5171,72,6516,0,1.0,0.0109,0.0216,1.274,6007,5558,70,70,0,0,1.0,1.0,1.0,1.0,1.1617,1.0,1.0,1.1
44b6_d78e09d9,25222,100,252.22,22712,463,22259,456,24766,7,0.9849,0.0181,0.0355,1.1331,24095,22143,451,411,22,40,0.9113,0.9492,0.9299,0.9827,1.0825,0.8689,0.0,0.8689
44b6_db3c847b,18670,100,186.7,15907,165,15023,163,18507,2,0.9879,0.0087,0.0173,1.2428,17131,15420,162,156,4,6,0.963,0.975,0.9689,0.9879,1.1403,0.9398,0.0,0.9398
44b6_ddf577ad,47445,100,474.45,39381,659,53492,659,46786,0,1.0,0.0139,0.0274,0.887,43414,38580,647,584,52,63,0.9026,0.9182,0.9104,0.997,0.8116,0.8355,0.0,0.8355
44b6_deabac95,17283,100,172.83,15690,126,13989,126,17157,0,1.0,0.0073,0.0145,1.2355,16361,15129,124,120,4,4,0.9677,0.9677,0.9677,1.0,1.1696,0.9375,0.0,0.9375
44b6_e28840c6,33194,100,331.94,26059,311,74686,302,32892,9,0.9711,0.0091,0.018,0.4444,29563,25445,309,279,22,30,0.9029,0.9269,0.9148,0.9807,0.3958,0.8429,0.0,0.8429
44b6_e29f0176,15807,100,158.07,13758,51,12969,51,15756,0,1.0,0.0032,0.0064,1.2188,14726,13298,50,48,1,2,0.96,0.9796,0.9697,1.0,1.1355,0.9412,0.0,0.9412
44b6_e31261b4,75464,100,754.64,65105,116,72856,116,75348,0,1.0,0.0015,0.0031,1.0358,70645,63183,113,108,4,5,0.9558,0.9643,0.96,0.9914,0.9697,0.9231,0.0,0.9231
44b6_e35b117d,30289,100,302.89,22500,270,28641,270,30019,0,1.0,0.0089,0.0177,1.0575,25681,21477,266,253,3,13,0.9511,0.9883,0.9693,0.9963,0.8967,0.9405,0.0,0.9405
44b6_e57ff5c6,24983,100,249.83,18801,193,20314,193,24790,0,1.0,0.0077,0.0153,1.2298,21132,17720,186,162,17,24,0.871,0.905,0.8877,0.9948,1.0403,0.798,0.0,0.798
44b6_eb2880fc,43536,100,435.36,36619,390,48084,390,43146,0,1.0,0.009,0.0178,0.9054,40162,36066,379,363,17,16,0.9578,0.9553,0.9565,1.0,0.8352,0.9167,0.0,0.9167
44b6_f28707c6,24002,100,240.02,21766,63,18656,63,23939,0,1.0,0.0026,0.0052,1.2866,22922,21249,61,57,3,4,0.9344,0.95,0.9421,1.0,1.2287,0.8906,0.0,0.8906
6bba_05b6850b,7684,100,76.84,6466,861,6362,861,6823,0,1.0,0.1121,0.2015,1.2078,6972,6344,845,833,7,12,0.9858,0.9917,0.9887,0.9977,1.0959,0.9777,0.0,0.9777
6bba_05db0fb1,76078,100,760.78,68623,1229,69800,1226,74852,3,0.9976,0.0161,0.0317,1.0899,73296,67260,1183,1113,68,70,0.9408,0.9424,0.9416,0.9959,1.0501,0.8897,0.0,0.8897
6bba_062c8d37,7024,100,70.24,6043,930,6030,930,6094,0,1.0,0.1324,0.2338,1.1648,6478,5921,898,896,0,2,0.9978,1.0,0.9989,1.0,1.0743,0.9978,0.0,0.9978
6bba_07477033,5969,100,59.69,4884,613,4836,611,5358,2,0.9967,0.1024,0.1857,1.2343,5288,4763,602,582,18,20,0.9668,0.97,0.9684,0.9918,1.0935,0.9387,0.0,0.9387
6bba_07e24132,36527,100,365.27,28147,359,21485,349,36178,10,0.9721,0.0096,0.0189,1.7001,31435,27388,345,319,20,26,0.9246,0.941,0.9327,0.9694,1.4631,0.874,0.0,0.874
6bba_085bf656,9517,100,95.17,8448,1198,8463,1196,8321,2,0.9983,0.1257,0.2232,1.1245,8879,8341,1168,1156,8,12,0.9897,0.9931,0.9914,0.9983,1.0492,0.983,0.0,0.983
6bba_09961292,31706,100,317.06,28930,1950,31117,1947,29759,3,0.9985,0.0614,0.1157,1.0189,30598,28427,1871,1760,95,111,0.9407,0.9488,0.9447,0.9954,0.9833,0.8952,0.0,0.8952
6bba_0c7fa718,15138,100,151.38,12839,704,13650,699,14439,5,0.9929,0.0462,0.0882,1.109,14167,12500,659,632,27,27,0.959,0.959,0.959,0.9929,1.0379,0.9213,0.0,0.9213
6bba_0e7c0d07,26734,100,267.34,22390,209,22467,209,26525,0,1.0,0.0078,0.0155,1.1899,24739,21506,198,188,8,10,0.9495,0.9592,0.9543,1.0,1.1011,0.9126,0.0,0.9126
6bba_12665c0e,9170,100,91.7,8178,1036,8314,1034,8136,2,0.9981,0.1128,0.2026,1.103,8667,8056,998,976,6,22,0.978,0.9939,0.9859,0.9952,1.0425,0.9721,0.0,0.9721
6bba_13f19531,6802,100,68.02,5854,737,5773,737,6065,0,1.0,0.1084,0.1955,1.1782,6229,5738,704,686,13,18,0.9744,0.9814,0.9779,0.9932,1.079,0.9568,0.0,0.9568
6bba_15403b9a,7325,100,73.25,6548,758,6889,758,6567,0,1.0,0.1035,0.1876,1.0633,6918,6375,729,717,14,12,0.9835,0.9808,0.9822,1.0,1.0042,0.965,0.0,0.965
6bba_1d0d8384,21770,100,217.7,18018,1438,17909,1425,20345,13,0.991,0.0655,0.1228,1.2156,19788,17618,1365,1232,91,133,0.9026,0.9312,0.9167,0.984,1.1049,0.8462,0.0,0.8462
6bba_1ebfb80d,14069,100,140.69,11842,745,11558,745,13324,0,1.0,0.053,0.1006,1.2173,12826,11426,719,676,30,43,0.9402,0.9575,0.9488,0.9973,1.1097,0.9025,0.0,0.9025
6bba_1f58c2f6,38371,100,383.71,31311,317,28903,317,38054,0,1.0,0.0083,0.0164,1.3276,34970,30490,299,265,36,34,0.8863,0.8804,0.8833,1.0,1.2099,0.791,0.0,0.791
6bba_207c6aaf,26457,100,264.57,20001,475,11999,467,25990,8,0.9832,0.0177,0.0347,2.2049,21999,18331,450,351,73,99,0.78,0.8278,0.8032,0.9747,1.8334,0.6711,0.0,0.6711
6bba_20852818,11801,100,118.01,10189,952,9758,950,10851,2,0.9979,0.0805,0.149,1.2094,10982,10054,909,876,18,33,0.9637,0.9799,0.9717,0.9895,1.1254,0.945,0.0,0.945
6bba_2312ac41,13971,100,139.71,12621,1156,11950,1156,12815,0,1.0,0.0827,0.1528,1.1691,13108,12311,1132,1118,10,14,0.9876,0.9911,0.9894,1.0,1.0969,0.979,0.0,0.979
6bba_23af9eeb,5544,100,55.44,4643,513,4450,513,5031,0,1.0,0.0925,0.1694,1.2458,4966,4524,499,492,7,7,0.986,0.986,0.986,0.9981,1.116,0.9723,0.0,0.9723
6bba_2540cd90,3591,100,35.91,3456,529,3783,529,3062,0,1.0,0.1473,0.2568,0.9492,3541,3432,523,523,0,0,1.0,1.0,1.0,1.0,0.936,1.0,0.0,1.0
6bba_2646afc7,6163,100,61.63,5532,738,5495,736,5427,2,0.9973,0.1194,0.2133,1.1216,5839,5418,721,699,22,22,0.9695,0.9695,0.9695,0.9973,1.0626,0.9408,0.0,0.9408
6bba_268e1230,6967,100,69.67,5359,641,5107,640,6327,1,0.9984,0.0919,0.1682,1.3642,5919,5063,609,586,9,23,0.9622,0.9849,0.9734,0.9891,1.159,0.9482,0.0,0.9482
6bba_2819ca14,5937,100,59.37,5283,986,5534,986,4951,0,1.0,0.1661,0.2848,1.0728,5582,5139,949,924,21,25,0.9737,0.9778,0.9757,1.0,1.0087,0.9526,0.0,0.9526
6bba_283bf9f1,23847,100,238.47,21423,1342,20861,1340,22507,2,0.9985,0.0562,0.1064,1.1431,22492,20891,1288,1242,34,46,0.9643,0.9734,0.9688,0.997,1.0782,0.9395,0.0,0.9395
6bba_312f0dc3,11081,100,110.81,9576,520,9963,520,10561,0,1.0,0.0469,0.0896,1.1122,10307,9359,500,486,20,14,0.972,0.9605,0.9662,1.0,1.0345,0.9346,0.0,0.9346
6bba_32db13fc,54544,100,545.44,44764,862,38705,854,53690,8,0.9907,0.0157,0.0308,1.4092,49988,43245,811,694,77,117,0.8557,0.9001,0.8774,0.9803,1.2915,0.7815,0.0,0.7815
6bba_337b1b3a,30511,100,305.11,28353,1272,30480,1271,29240,1,0.9992,0.0417,0.08,1.001,29796,28165,1213,1188,21,25,0.9794,0.9826,0.981,0.9984,0.9776,0.9627,0.0,0.9627
6bba_372c8cb8,7661,100,76.61,6962,1036,7021,1036,6625,0,1.0,0.1352,0.2382,1.0912,7263,6839,1007,1005,2,2,0.998,0.998,0.998,1.0,1.0345,0.996,0.0,0.996
6bba_3a1849c2,8782,100,87.82,7042,1173,7003,1163,7619,10,0.9915,0.1324,0.2337,1.254,7702,6873,1142,1084,59,58,0.9492,0.9484,0.9488,0.9906,1.0998,0.9026,0.0,0.9026
6bba_3abfe10a,67608,100,676.08,56460,997,52065,990,66618,7,0.993,0.0146,0.0289,1.2985,62544,54338,935,816,90,119,0.8727,0.9007,0.8865,0.988,1.2013,0.7961,0.0,0.7961
6bba_3c5691b6,7807,100,78.07,6644,765,6258,765,7042,0,1.0,0.098,0.1785,1.2475,7056,6522,746,740,2,6,0.992,0.9973,0.9946,0.9987,1.1275,0.9893,0.0,0.9893
6bba_3db54e20,28085,100,280.85,23588,502,23236,499,27586,3,0.994,0.0178,0.0349,1.2087,26069,22577,474,434,38,40,0.9156,0.9195,0.9175,0.988,1.1219,0.8477,0.0,0.8477
6bba_3fda6b25,13265,100,132.65,9458,1207,9842,1206,12059,1,0.9992,0.0909,0.1667,1.3478,10456,9321,1179,1164,8,15,0.9873,0.9932,0.9902,0.9967,1.0624,0.9806,1.0,1.0806
6bba_43fea39d,7452,100,74.52,5846,910,5748,910,6542,0,1.0,0.1221,0.2177,1.2965,6438,5674,880,861,6,19,0.9784,0.9931,0.9857,0.9923,1.12,0.9718,0.0,0.9718
6bba_474be664,35584,100,355.84,27270,292,28293,290,35294,2,0.9932,0.0081,0.0162,1.2577,30557,26281,286,249,28,37,0.8706,0.8989,0.8845,0.9795,1.08,0.793,0.0,0.793
6bba_48816121,27311,100,273.11,25071,935,23965,929,26382,6,0.9936,0.034,0.0658,1.1396,26080,24451,918,865,31,53,0.9423,0.9654,0.9537,0.9904,1.0883,0.9115,0.0,0.9115
6bba_4aa14c89,9373,100,93.73,7726,707,6787,704,8669,3,0.9958,0.0751,0.1397,1.381,8403,7502,681,636,39,45,0.9339,0.9422,0.9381,0.9929,1.2381,0.8833,0.0,0.8833
6bba_4f99ce20,6283,100,62.83,5559,1057,5965,1053,5230,4,0.9962,0.1676,0.2869,1.0533,5915,5434,1010,990,13,20,0.9802,0.987,0.9836,0.9943,0.9916,0.9677,0.0,0.9677
6bba_4ffd3da3,24382,100,243.82,21346,706,17637,704,23678,2,0.9972,0.0289,0.0561,1.3824,22138,20151,689,639,39,50,0.9274,0.9425,0.9349,0.9958,1.2552,0.8777,0.0,0.8777
6bba_55b7eebe,5418,100,54.18,4912,705,5257,705,4713,0,1.0,0.1301,0.2303,1.0306,5155,4848,688,681,6,7,0.9898,0.9913,0.9905,0.9986,0.9806,0.9813,1.0,1.0813
6bba_55c70843,49491,100,494.91,41421,490,35415,490,49001,0,1.0,0.0099,0.0196,1.3975,45207,39643,467,405,72,62,0.8672,0.8491,0.8581,1.0,1.2765,0.7514,0.0,0.7514
6bba_57b7cc1e,104530,100,1045.3,81049,1659,65511,1647,102883,12,0.9928,0.0158,0.031,1.5956,90593,76042,1592,1225,273,367,0.7695,0.8178,0.7929,0.9765,1.3829,0.6568,0.0,0.6568
6bba_5a4d9360,6256,100,62.56,5625,747,5976,747,5509,0,1.0,0.1194,0.2133,1.0469,5949,5520,722,717,2,5,0.9931,0.9972,0.9951,1.0,0.9955,0.9903,0.0,0.9903
6bba_5b28472a,7544,100,75.44,6399,737,5802,734,6810,3,0.9959,0.0973,0.1773,1.3002,6850,6300,724,705,11,19,0.9738,0.9846,0.9792,0.9919,1.1806,0.9592,0.0,0.9592
6bba_5c039895,9143,100,91.43,8095,1174,8570,1173,7970,1,0.9991,0.1283,0.2274,1.0669,8510,7953,1145,1129,7,16,0.986,0.9938,0.9899,0.9966,0.993,0.98,0.0,0.98
6bba_5c824876,28629,100,286.29,25279,1170,24647,1169,27460,1,0.9991,0.0408,0.0785,1.1616,26850,24732,1130,1090,32,40,0.9646,0.9715,0.968,0.9974,1.0894,0.938,0.0,0.938
6bba_5dfe9ad1,33394,100,333.94,30353,1542,26913,1540,31854,2,0.9987,0.0461,0.0882,1.2408,31959,30011,1487,1450,28,37,0.9751,0.9811,0.9781,0.9981,1.1875,0.9571,0.0,0.9571
6bba_5f89039d,4861,100,48.61,4525,904,4611,904,3957,0,1.0,0.186,0.3136,1.0542,4666,4456,885,878,7,7,0.9921,0.9921,0.9921,1.0,1.0119,0.9843,0.0,0.9843
6bba_61dd1e0d,11895,100,118.95,10252,558,10128,557,11338,1,0.9982,0.0468,0.0895,1.1745,10966,10055,543,523,19,20,0.9632,0.9649,0.9641,0.9946,1.0827,0.9306,0.0,0.9306
6bba_61ecbe65,6877,100,68.77,5821,640,5774,638,6239,2,0.9969,0.0928,0.1697,1.191,6252,5674,614,609,3,5,0.9919,0.9951,0.9935,0.9969,1.0828,0.987,0.0,0.987
6bba_6321a359,6364,100,63.64,5062,827,4821,825,5539,2,0.9976,0.1296,0.2295,1.3201,5474,4923,798,775,14,23,0.9712,0.9823,0.9767,0.9927,1.1354,0.9544,0.0,0.9544
6bba_6479435d,34777,100,347.77,26925,617,23453,614,34163,3,0.9951,0.0177,0.0347,1.4828,30819,25821,580,495,73,85,0.8534,0.8715,0.8624,0.9854,1.3141,0.758,0.0,0.758
6bba_67ebd073,20826,100,208.26,15270,462,16061,457,20369,5,0.9892,0.0219,0.0429,1.2967,17606,14786,438,359,45,79,0.8196,0.8886,0.8527,0.9632,1.0962,0.7433,0.0,0.7433
6bba_6ca87370,7558,100,75.58,6709,1081,7195,1081,6477,0,1.0,0.143,0.2503,1.0505,7110,6510,1052,1037,11,15,0.9857,0.9895,0.9876,0.9991,0.9882,0.9755,0.0,0.9755
6bba_6db0e9b4,31055,100,310.55,26251,449,28435,448,30607,1,0.9978,0.0144,0.0284,1.0921,28671,25508,440,420,17,20,0.9545,0.9611,0.9578,0.9955,1.0083,0.919,0.0,0.919
6bba_6feb10f0,17034,100,170.34,12007,1368,8862,1305,15729,63,0.9539,0.0766,0.1418,1.9221,13723,11451,1343,1168,101,175,0.8697,0.9204,0.8943,0.9466,1.5485,0.8089,0.0,0.8089
6bba_6feeb0b1,8383,100,83.83,7190,1389,7518,1387,6996,2,0.9986,0.1655,0.2839,1.1151,7738,7081,1343,1314,19,29,0.9784,0.9857,0.9821,0.9971,1.0293,0.9648,0.0,0.9648
6bba_705ec2c9,9170,100,91.7,7098,596,5600,593,8577,3,0.995,0.0647,0.1214,1.6375,7889,6764,562,526,27,36,0.9359,0.9512,0.9435,0.9916,1.4087,0.893,0.0,0.893
