dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15,eval_result
6bba_fe670320,2920832,1,59.0,220.0,134.0,0.28787968,3.1492352,0.93650794,2.5434792,68.92444,0,FP
6bba_fe670320,2920833,1,49.0,69.0,215.0,0.28125182,2.2225738,0.7777778,2.5401762,68.65625,0,FP
6bba_fe670320,2920834,1,55.0,222.0,166.0,0.25064608,2.2927303,0.8730159,2.5401762,68.65625,0,FP
6bba_fe670320,2000019,1,55.0,22.0,9.0,0.5297563,0.91524297,0.8730159,2.5401762,68.65625,1,FN
6bba_fe670320,2000020,1,61.0,15.0,7.0,0.6939346,1.9759083,0.96825397,2.4652207,62.756104,1,FN
6bba_fe670320,2000029,1,61.0,228.0,72.0,0.5200103,9.675651,0.96825397,2.4687274,63.024292,0,FN
6bba_fe670320,2920835,2,60.0,239.0,100.0,0.63866824,9.095961,0.95238096,2.5401762,68.65625,0,TP
6bba_fe670320,2920836,2,52.0,44.0,70.0,0.5648811,2.225757,0.82539684,2.5401762,68.65625,1,FP
6bba_fe670320,2920837,2,50.0,230.0,216.0,0.5602641,2.158479,0.7936508,2.5434792,68.92444,0,FP
6bba_fe670320,2920838,2,53.0,44.0,63.0,0.56101185,1.9904784,0.84126985,2.5434792,68.92444,1,FP
6bba_fe670320,2920839,2,54.0,69.0,73.0,0.5554801,2.2852077,0.85714287,2.5401762,68.65625,2,FP
6bba_fe670320,2920840,2,49.0,145.0,203.0,0.53880525,2.2215662,0.7777778,2.5434792,68.92444,0,FP
6bba_fe670320,2920841,2,55.0,69.0,65.0,0.5187801,1.9560999,0.8730159,2.5434792,68.92444,1,FP
6bba_fe670320,2920842,2,61.0,177.0,100.0,0.4794657,2.1606057,0.96825397,2.4687274,63.024292,0,FP
6bba_fe670320,2920843,2,59.0,58.0,79.0,0.4718806,1.8445286,0.93650794,2.5168092,66.77893,1,FP
6bba_fe670320,2920844,2,47.0,128.0,202.0,0.44423673,1.5354278,0.74603176,2.5434792,68.92444,0,FP
6bba_fe670320,2920845,2,57.0,62.0,126.0,0.41886142,3.5074408,0.9047619,2.5401762,68.65625,0,FP
6bba_fe670320,2920846,2,46.0,245.0,207.0,0.3777767,1.5107561,0.73015875,2.5434792,68.92444,0,FP
6bba_fe670320,2920847,2,55.0,31.0,137.0,0.38019776,4.6369243,0.8730159,2.5434792,68.92444,0,FP
6bba_fe670320,2920848,2,50.0,27.0,187.0,0.37166432,2.5060873,0.7936508,2.5401762,68.65625,0,FP
6bba_fe670320,2920849,2,57.0,88.0,145.0,0.3638314,2.0663588,0.9047619,2.5434792,68.92444,1,FP
6bba_fe670320,2920850,2,56.0,90.0,153.0,0.3635156,1.9708357,0.8888889,2.5401762,68.65625,1,FP
6bba_fe670320,2920851,2,58.0,141.0,140.0,0.33460495,2.175354,0.9206349,2.5434792,68.92444,0,FP
6bba_fe670320,2920852,2,46.0,93.0,246.0,0.29906282,2.7578688,0.73015875,2.5401762,68.65625,0,FP
6bba_fe670320,2920853,2,56.0,170.0,167.0,0.29974157,3.5377936,0.8888889,2.5434792,68.92444,0,TP
6bba_fe670320,2920854,2,59.0,220.0,134.0,0.28787968,3.1492352,0.93650794,2.5434792,68.92444,0,FP
6bba_fe670320,2920855,2,49.0,69.0,215.0,0.28125182,2.2225738,0.7777778,2.5401762,68.65625,0,FP
6bba_fe670320,2920856,2,55.0,222.0,166.0,0.25064608,2.2927303,0.8730159,2.5401762,68.65625,0,FP
6bba_fe670320,3000034,2,55.0,22.0,9.0,0.5297563,0.91524297,0.8730159,2.5401762,68.65625,1,FN
6bba_fe670320,3000035,2,61.0,15.0,7.0,0.6939346,1.9759083,0.96825397,2.4652207,62.756104,1,FN
6bba_fe670320,3000044,2,61.0,228.0,72.0,0.5200103,9.675651,0.96825397,2.4687274,63.024292,0,FN
6bba_fe670320,2920857,3,59.0,197.0,103.0,0.9248904,4.5919466,0.93650794,2.5434792,68.92444,0,FP
6bba_fe670320,2920858,3,44.0,26.0,167.0,0.82937086,1.5496088,0.6984127,2.5434792,68.92444,0,TP
6bba_fe670320,2920859,3,54.0,99.0,90.0,0.7906455,1.9653969,0.85714287,2.5434792,68.92444,0,FP
6bba_fe670320,2920860,3,53.0,111.0,105.0,0.74327415,1.6086152,0.84126985,2.5434792,68.92444,0,TP
6bba_fe670320,2920861,3,42.0,38.0,182.0,0.71723825,1.74621,0.6666667,2.5434792,68.92444,0,FP
6bba_fe670320,2920862,3,49.0,49.0,132.0,0.6780046,1.8908157,0.7777778,2.5434792,68.92444,1,TP
6bba_fe670320,2920863,3,48.0,42.0,130.0,0.66739863,1.7561723,0.7619048,2.5434792,68.92444,1,FP
6bba_fe670320,2920864,3,59.0,157.0,23.0,0.57438725,1.383146,0.93650794,2.5401762,68.65625,0,TP
6bba_fe670320,2920865,3,44.0,189.0,233.0,0.51294357,1.5420531,0.6984127,2.5434792,68.92444,0,FP
6bba_fe670320,2920866,3,57.0,92.0,123.0,0.5116151,1.5492454,0.9047619,2.5168092,66.77893,0,FP
6bba_fe670320,2920867,3,49.0,46.0,193.0,0.49436304,1.4460717,0.7777778,2.5401762,68.65625,0,TP
6bba_fe670320,2920868,3,56.0,64.0,37.0,0.4463964,1.2435737,0.8888889,2.5401762,68.65625,1,TP
6bba_fe670320,2920869,3,56.0,65.0,33.0,0.44591367,1.6078148,0.8888889,2.5401762,68.65625,1,FP
6bba_fe670320,2920870,3,60.0,83.0,88.0,0.3967686,1.1273203,0.95238096,2.499849,65.43799,0,FP
6bba_fe670320,2920871,3,42.0,12.0,251.0,0.38927928,1.9235836,0.6666667,2.5401762,68.65625,1,FP
6bba_fe670320,2920872,3,56.0,120.0,161.0,0.38348264,1.9726642,0.8888889,2.5401762,68.65625,1,FP
6bba_fe670320,2920873,3,44.0,9.0,241.0,0.377225,2.1632118,0.6984127,2.5434792,68.92444,1,FP
6bba_fe670320,2920874,3,57.0,119.0,153.0,0.3697369,1.8145909,0.9047619,2.5401762,68.65625,1,FP
6bba_fe670320,2920875,3,58.0,164.0,140.0,0.3596717,2.0092275,0.9206349,2.5401762,68.65625,0,FP
6bba_fe670320,2920876,3,59.0,13.0,71.0,0.35346493,4.270539,0.93650794,2.5401762,68.65625,0,TP
6bba_fe670320,2920877,3,52.0,171.0,202.0,0.3094474,2.180966,0.82539684,2.5401762,68.65625,1,FP
6bba_fe670320,2920878,3,52.0,176.0,206.0,0.30934575,2.1519475,0.82539684,2.5401762,68.65625,1,FP
6bba_fe670320,2920879,3,56.0,193.0,161.0,0.30751276,3.4440012,0.8888889,2.5401762,68.65625,0,TP
6bba_fe670320,2920880,3,49.0,94.0,223.0,0.30006462,2.0793648,0.7777778,2.5401762,68.65625,1,FP
6bba_fe670320,2920881,3,48.0,90.0,225.0,0.30067438,2.2964995,0.7619048,2.5335438,68.11987,1,FP
6bba_fe670320,2920882,3,40.0,165.0,248.0,0.29456195,1.3791399,0.63492066,2.5434792,68.92444,0,FP
6bba_fe670320,2920883,3,58.0,242.0,128.0,0.28785425,3.1759927,0.9206349,2.5401762,68.65625,0,FP
6bba_fe670320,2920884,3,55.0,238.0,166.0,0.2469946,2.3370771,0.8730159,2.5401762,68.65625,1,FP
6bba_fe670320,2920885,3,54.0,238.0,174.0,0.23380786,2.0144823,0.85714287,2.5401762,68.65625,1,FP
6bba_fe670320,4000057,3,61.0,249.0,69.0,0.42185217,4.1950364,0.96825397,2.4687274,63.024292,0,FN
6bba_fe670320,4000058,3,61.0,29.0,18.0,0.54327965,1.4798907,0.96825397,2.4113774,58.733276,0,FN
6bba_fe670320,2920886,4,59.0,202.0,102.0,0.9194531,4.3183002,0.93650794,2.5434792,68.92444,0,FP
6bba_fe670320,2920887,4,44.0,32.0,171.0,0.7914804,1.633471,0.6984127,2.5434792,68.92444,0,FP
6bba_fe670320,2920888,4,53.0,105.0,93.0,0.76721936,1.7599972,0.84126985,2.5434792,68.92444,1,FP
6bba_fe670320,2920889,4,53.0,113.0,97.0,0.75731754,1.466316,0.84126985,2.5434792,68.92444,2,FP
6bba_fe670320,2920890,4,53.0,116.0,107.0,0.72817814,1.4613792,0.84126985,2.5434792,68.92444,1,TP
6bba_fe670320,2920891,4,49.0,58.0,137.0,0.7109552,1.9088125,0.7777778,2.5434792,68.92444,0,TP
6bba_fe670320,2920892,4,42.0,45.0,187.0,0.6936415,1.5598122,0.6666667,2.5434792,68.92444,0,TP
6bba_fe670320,2920893,4,57.0,99.0,122.0,0.5576217,1.2833407,0.9047619,2.5401762,68.65625,0,FP
6bba_fe670320,2920894,4,43.0,195.0,237.0,0.52783984,1.6131016,0.6825397,2.5434792,68.92444,0,FP
6bba_fe670320,2920895,4,59.0,165.0,26.0,0.5074082,1.2183876,0.93650794,2.5434792,68.92444,1,TP
6bba_fe670320,2920896,4,58.0,161.0,25.0,0.5067912,1.4911476,0.9206349,2.5401762,68.65625,1,FP
6bba_fe670320,2920897,4,59.0,180.0,33.0,0.47518,1.2527924,0.93650794,2.5434792,68.92444,0,FP
6bba_fe670320,2920898,4,55.0,70.0,44.0,0.43586302,1.4382124,0.8730159,2.5434792,68.92444,0,TP
6bba_fe670320,2920899,4,60.0,82.0,93.0,0.39938492,2.6545358,0.95238096,2.5401762,68.65625,0,FP
6bba_fe670320,2920900,4,55.0,124.0,162.0,0.39260048,2.1222699,0.8730159,2.5368643,68.38806,1,FP
6bba_fe670320,2920901,4,56.0,121.0,154.0,0.3788947,1.8303983,0.8888889,2.5401762,68.65625,1,FP
6bba_fe670320,2920902,4,42.0,17.0,251.0,0.36669886,1.9565166,0.6666667,2.5335438,68.11987,1,FP
6bba_fe670320,2920903,4,43.0,14.0,244.0,0.36436495,2.1482723,0.6825397,2.5401762,68.65625,1,FP
6bba_fe670320,2920904,4,57.0,171.0,141.0,0.3611454,2.0805576,0.9047619,2.5401762,68.65625,0,FP
6bba_fe670320,2920905,4,56.0,89.0,42.0,0.35059384,1.221941,0.8888889,2.5434792,68.92444,0,FP
6bba_fe670320,2920906,4,59.0,16.0,74.0,0.324155,4.003146,0.93650794,2.5401762,68.65625,0,TP
6bba_fe670320,2920907,4,56.0,199.0,161.0,0.31924763,3.4695354,0.8888889,2.5401762,68.65625,0,TP
6bba_fe670320,2920908,4,59.0,5.0,42.0,0.305629,2.7239482,0.93650794,2.5401762,68.65625,0,FP
6bba_fe670320,2920909,4,48.0,101.0,223.0,0.30541483,2.2050934,0.7619048,2.5368643,68.38806,0,FP
6bba_fe670320,2920910,4,52.0,179.0,208.0,0.2927653,2.266914,0.82539684,2.5434792,68.92444,0,FP
6bba_fe670320,2920911,4,58.0,246.0,127.0,0.28593415,3.1341498,0.9206349,2.5401762,68.65625,0,FP
6bba_fe670320,2920912,4,55.0,240.0,165.0,0.25245366,2.6164145,0.8730159,2.5434792,68.92444,0,FP
6bba_fe670320,5000060,4,52.0,55.0,198.0,0.43127137,1.1725886,0.82539684,2.5268764,67.583496,0,FN
6bba_fe670320,5000069,4,61.0,31.0,20.0,0.6007025,1.6441858,0.96825397,2.4617038,62.487915,0,FN
6bba_fe670320,5000070,4,61.0,250.0,69.0,0.3903461,4.4433546,0.96825397,2.4652207,62.756104,0,FN
6bba_fe670320,2920913,5,41.0,51.0,193.0,0.83793706,1.544154,0.6507937,2.5401762,68.65625,0,TP
6bba_fe670320,2920914,5,50.0,63.0,142.0,0.7973388,2.0545185,0.7936508,2.5434792,68.92444,0,TP
6bba_fe670320,2920915,5,53.0,117.0,99.0,0.79113185,1.4734814,0.84126985,2.5434792,68.92444,2,FP
6bba_fe670320,2920916,5,53.0,108.0,98.0,0.78819543,1.5524489,0.84126985,2.5434792,68.92444,2,FP
6bba_fe670320,2920917,5,44.0,34.0,175.0,0.78525543,1.6189203,0.6984127,2.5434792,68.92444,1,FP
6bba_fe670320,2920918,5,53.0,116.0,110.0,0.7808744,1.3965659,0.84126985,2.5434792,68.92444,2,TP
6bba_fe670320,2920919,5,43.0,37.0,181.0,0.78163296,1.4139452,0.6825397,2.5434792,68.92444,1,FP
6bba_fe670320,2920920,5,59.0,185.0,24.0,0.58543617,1.7527684,0.93650794,2.5434792,68.92444,1,TP
6bba_fe670320,2920921,5,59.0,196.0,101.0,0.58353055,5.5158515,0.93650794,2.5401762,68.65625,0,FP
6bba_fe670320,2920922,5,55.0,72.0,41.0,0.5435638,2.2417736,0.8730159,2.5434792,68.92444,0,TP
6bba_fe670320,2920923,5,58.0,214.0,108.0,0.55058,5.40699,0.9206349,2.5434792,68.92444,0,FP
6bba_fe670320,2920924,5,58.0,184.0,38.0,0.5359632,1.4260571,0.9206349,2.5401762,68.65625,1,FP
6bba_fe670320,2920925,5,42.0,199.0,241.0,0.51962215,1.4712181,0.6666667,2.5434792,68.92444,0,FP
6bba_fe670320,2920926,5,58.0,166.0,29.0,0.46221107,1.3986425,0.9206349,2.5434792,68.92444,0,FP
6bba_fe670320,2920927,5,43.0,13.0,245.0,0.4081429,2.3441668,0.6825397,2.5401762,68.65625,1,FP
6bba_fe670320,2920928,5,56.0,122.0,155.0,0.4050758,1.9373914,0.8888889,2.5401762,68.65625,1,FP
6bba_fe670320,2920929,5,42.0,18.0,253.0,0.40084156,1.809899,0.6666667,2.4652207,62.756104,1,FP
6bba_fe670320,2920930,5,55.0,126.0,161.0,0.40009946,1.9885594,0.8730159,2.5368643,68.38806,1,FP
6bba_fe670320,2920931,5,59.0,88.0,97.0,0.39237544,1.7449297,0.93650794,2.5401762,68.65625,0,TP
6bba_fe670320,2920932,5,57.0,173.0,143.0,0.3768584,2.0906503,0.9047619,2.5401762,68.65625,0,FP
6bba_fe670320,2920933,5,56.0,201.0,164.0,0.33714935,3.6010323,0.8888889,2.5434792,68.92444,0,TP
6bba_fe670320,2920934,5,59.0,18.0,76.0,0.32617673,3.8655643,0.93650794,2.5434792,68.92444,0,TP
6bba_fe670320,2920935,5,59.0,5.0,42.0,0.30651096,2.4292278,0.93650794,2.5434792,68.92444,0,FP
6bba_fe670320,2920936,5,49.0,100.0,221.0,0.29856917,2.0475714,0.7777778,2.5434792,68.92444,0,FP
6bba_fe670320,2920937,5,57.0,248.0,132.0,0.2932226,3.0926669,0.9047619,2.5401762,68.65625,0,FP
6bba_fe670320,2920938,5,52.0,183.0,207.0,0.28335708,2.0821755,0.82539684,2.5434792,68.92444,1,FP
6bba_fe670320,2920939,5,52.0,179.0,205.0,0.28323,2.0376446,0.82539684,2.5401762,68.65625,1,FP
6bba_fe670320,2920940,5,55.0,242.0,164.0,0.24052282,2.5146253,0.8730159,2.5401762,68.65625,0,FP
6bba_fe670320,6000073,5,51.0,57.0,199.0,0.53309935,0.6611947,0.8095238,2.3316977,53.10132,0,FN
6bba_fe670320,6000084,5,61.0,252.0,68.0,0.38848224,5.8783154,0.96825397,2.4652207,62.756104,0,FN
6bba_fe670320,6000085,5,61.0,30.0,21.0,0.67736584,2.2881873,0.96825397,2.4652207,62.756104,0,FN
6bba_fe670320,2920941,6,42.0,58.0,199.0,0.86047757,1.3371032,0.6666667,2.5434792,68.92444,0,TP
6bba_fe670320,2920942,6,50.0,70.0,144.0,0.78468186,2.02397,0.7936508,2.5434792,68.92444,0,TP
6bba_fe670320,2920943,6,54.0,126.0,101.0,0.7738581,1.5283375,0.85714287,2.5434792,68.92444,1,FP
6bba_fe670320,2920944,6,53.0,122.0,111.0,0.77377826,1.4301199,0.84126985,2.5434792,68.92444,1,TP
6bba_fe670320,2920945,6,59.0,186.0,25.0,0.6872459,1.8636943,0.93650794,2.5434792,68.92444,0,TP
6bba_fe670320,2920946,6,59.0,190.0,95.0,0.67678875,8.122037,0.93650794,2.5401762,68.65625,0,FP
6bba_fe670320,2920947,6,58.0,225.0,109.0,0.67098844,7.7155466,0.9206349,2.5401762,68.65625,0,FP
6bba_fe670320,2920948,6,58.0,186.0,41.0,0.6085756,1.4098303,0.9206349,2.5368643,68.38806,0,FP
6bba_fe670320,2920949,6,57.0,105.0,125.0,0.5778101,1.5264719,0.9047619,2.5368643,68.38806,0,FP
6bba_fe670320,2920950,6,57.0,94.0,42.0,0.54076886,1.3686174,0.9047619,2.5434792,68.92444,0,TP
6bba_fe670320,2920951,6,55.0,77.0,42.0,0.5221993,2.0265934,0.8730159,2.5434792,68.92444,0,FP
6bba_fe670320,2920952,6,58.0,170.0,32.0,0.50816685,1.4852784,0.9206349,2.5434792,68.92444,0,FP
6bba_fe670320,2920953,6,41.0,203.0,252.0,0.5043544,1.4045452,0.6507937,2.5401762,68.65625,1,FP
6bba_fe670320,2920954,6,41.0,209.0,249.0,0.49982217,1.3501246,0.6507937,2.5434792,68.92444,1,FP
6bba_fe670320,2920955,6,43.0,15.0,248.0,0.42087594,2.7364392,0.6825397,2.5401762,68.65625,0,FP
6bba_fe670320,2920956,6,55.0,129.0,163.0,0.40180904,2.0151396,0.8730159,2.5401762,68.65625,1,FP
6bba_fe670320,2920957,6,56.0,126.0,157.0,0.40006676,1.821924,0.8888889,2.5401762,68.65625,1,FP
6bba_fe670320,2920958,6,57.0,178.0,142.0,0.36486584,2.0719683,0.9047619,2.5368643,68.38806,0,FP
6bba_fe670320,2920959,6,60.0,88.0,96.0,0.3381457,3.0591426,0.95238096,2.5368643,68.38806,0,TP
6bba_fe670320,2920960,6,59.0,18.0,77.0,0.320293,4.025986,0.93650794,2.5434792,68.92444,0,TP
6bba_fe670320,2920961,6,56.0,204.0,164.0,0.3046453,3.2358358,0.8888889,2.5434792,68.92444,0,TP
6bba_fe670320,2920962,6,49.0,100.0,223.0,0.29238778,2.1709626,0.7777778,2.5434792,68.92444,0,FP
6bba_fe670320,2920963,6,51.0,187.0,210.0,0.29305926,2.310139,0.8095238,2.5401762,68.65625,0,FP
6bba_fe670320,2920964,6,60.0,7.0,45.0,0.29282665,2.668203,0.95238096,2.5401762,68.65625,0,FP
6bba_fe670320,2920965,6,58.0,252.0,130.0,0.28126457,2.5476527,0.9206349,2.5368643,68.38806,0,FP
6bba_fe670320,2920966,6,55.0,245.0,164.0,0.24534671,2.514018,0.8730159,2.5401762,68.65625,0,FP
6bba_fe670320,7000088,6,51.0,61.0,202.0,0.5816322,0.5535571,0.8095238,2.20743,45.055664,0,FN
6bba_fe670320,7000099,6,61.0,252.0,70.0,0.37488836,5.466084,0.96825397,2.4652207,62.756104,0,FN
6bba_fe670320,7000100,6,61.0,32.0,26.0,0.7253374,2.3989294,0.96825397,2.4652207,62.756104,0,FN
6bba_fe670320,2920967,7,41.0,56.0,188.0,0.9538228,1.7091008,0.6507937,2.5434792,68.92444,1,FP
6bba_fe670320,2920968,7,41.0,56.0,192.0,0.9499027,1.5402145,0.6507937,2.5401762,68.65625,1,TP
6bba_fe670320,2920969,7,53.0,125.0,99.0,0.81255084,1.8285532,0.84126985,2.5434792,68.92444,1,FP
6bba_fe670320,2920970,7,52.0,124.0,110.0,0.74218154,1.3117689,0.82539684,2.5434792,68.92444,1,TP
6bba_fe670320,2920971,7,59.0,189.0,91.0,0.7536152,9.855198,0.93650794,2.5434792,68.92444,0,FP
6bba_fe670320,2920972,7,47.0,76.0,148.0,0.72233796,1.6877161,0.74603176,2.5434792,68.92444,1,TP
6bba_fe670320,2920973,7,49.0,72.0,143.0,0.7082801,1.6989942,0.7777778,2.5434792,68.92444,1,FP
6bba_fe670320,2920974,7,59.0,186.0,19.0,0.70659953,1.9519367,0.93650794,2.5434792,68.92444,0,TP
6bba_fe670320,2920975,7,58.0,227.0,106.0,0.70521665,8.672553,0.9206349,2.5401762,68.65625,0,FP
6bba_fe670320,2920976,7,51.0,39.0,174.0,0.53843135,1.5973691,0.8095238,2.5434792,68.92444,2,FP
6bba_fe670320,2920977,7,50.0,35.0,181.0,0.52709943,1.535767,0.7936508,2.5401762,68.65625,2,FP
6bba_fe670320,2920978,7,51.0,32.0,175.0,0.52793425,1.8723687,0.8095238,2.5401762,68.65625,2,FP
6bba_fe670320,2920979,7,40.0,210.0,250.0,0.5161232,1.472014,0.63492066,2.5434792,68.92444,0,FP
6bba_fe670320,2920980,7,56.0,99.0,44.0,0.5134517,1.490892,0.8888889,2.5434792,68.92444,1,TP
6bba_fe670320,2920981,7,52.0,86.0,46.0,0.4310718,1.4503647,0.82539684,2.5401762,68.65625,2,FP
6bba_fe670320,2920982,7,55.0,79.0,41.0,0.4230501,1.8802447,0.8730159,2.5434792,68.92444,1,FP
6bba_fe670320,2920983,7,43.0,16.0,244.0,0.42443302,2.1588857,0.6825397,2.5401762,68.65625,0,FP
6bba_fe670320,2920984,7,56.0,131.0,150.0,0.4188106,1.8149769,0.8888889,2.5401762,68.65625,0,FP
6bba_fe670320,2920985,7,57.0,179.0,136.0,0.3889998,2.1256244,0.9047619,2.5401762,68.65625,0,FP
6bba_fe670320,2920986,7,59.0,22.0,75.0,0.34806755,4.1362777,0.93650794,2.5434792,68.92444,0,TP
6bba_fe670320,2920987,7,60.0,87.0,94.0,0.34482497,3.444735,0.95238096,2.5401762,68.65625,0,TP
6bba_fe670320,2920988,7,49.0,104.0,218.0,0.3072587,2.2619245,0.7777778,2.5434792,68.92444,0,FP
6bba_fe670320,2920989,7,56.0,209.0,158.0,0.2903007,3.0126421,0.8888889,2.5434792,68.92444,0,TP
6bba_fe670320,2920990,7,51.0,190.0,204.0,0.27647147,2.176624,0.8095238,2.5401762,68.65625,0,FP
6bba_fe670320,2920991,7,59.0,10.0,44.0,0.26806873,2.300467,0.93650794,2.5401762,68.65625,0,FP
6bba_fe670320,2920992,7,55.0,247.0,159.0,0.25129944,2.689155,0.8730159,2.5434792,68.92444,0,FP
6bba_fe670320,8000103,7,51.0,64.0,199.0,0.56694645,0.42904523,0.8095238,2.1350024,40.76465,1,FN
6bba_fe670320,8000114,7,61.0,252.0,68.0,0.33745933,5.1034355,0.96825397,2.4652207,62.756104,0,FN
6bba_fe670320,8000115,7,61.0,32.0,24.0,0.67871547,2.727231,0.96825397,2.4652207,62.756104,0,FN
6bba_fe670320,2920993,8,41.0,62.0,192.0,0.90505767,1.4971259,0.6507937,2.5434792,68.92444,1,TP
6bba_fe670320,2920994,8,41.0,72.0,201.0,0.82218045,1.2250104,0.6507937,2.5434792,68.92444,1,FP
6bba_fe670320,2920995,8,53.0,131.0,103.0,0.81519324,1.7404624,0.84126985,2.5434792,68.92444,0,TP
6bba_fe670320,2920996,8,58.0,232.0,107.0,0.74358994,8.553715,0.9206349,2.5401762,68.65625,0,FP
6bba_fe670320,2920997,8,59.0,193.0,91.0,0.74255186,10.137568,0.93650794,2.5368643,68.38806,0,FP
