feature_name,roc_auc,direction,cohens_d,best_f1,best_precision,best_recall,best_threshold,pos_mean,pos_std,pos_median,pos_iqr,neg_mean,neg_std,neg_median,neg_iqr
v_ratio_next_gap,0.673,POS_HIGH,0.0486,0.9801,0.9609,1.0,0.0,2363.1823,47177.2124,1.0846,1.2685,112.8023,5599.8639,0.6529,0.6967
z_depth_ratio_diff,0.6656,POS_LOW,-0.5301,0.9801,0.9609,1.0,0.5873,0.0218,0.0233,0.0159,0.0317,0.0342,0.0241,0.0317,0.0317
radius_diff,0.6635,POS_LOW,-0.4283,0.9801,0.9609,1.0,2.1434,0.0482,0.1069,0.0134,0.0564,0.0949,0.1529,0.0482,0.1008
vol_diff_rel,0.6624,POS_LOW,-0.4642,0.9801,0.9609,1.0,0.9961,0.0538,0.1006,0.0159,0.0667,0.1012,0.1363,0.0571,0.1157
dist_z,0.6593,POS_LOW,-0.5304,0.9801,0.9609,1.0,60.125,2.2343,2.3813,1.625,3.25,3.4991,2.4674,3.25,3.25
local_density_ratio,0.5948,POS_LOW,-0.6848,0.9801,0.961,1.0,100000.0,1013.178,10038.9312,0.0,0.0,8790.2361,28668.0443,0.0,0.0
dz,0.5911,POS_LOW,-0.4219,0.9801,0.9609,1.0,56.875,-1.0343,3.0973,0.0,3.25,0.2952,4.2714,0.0,6.5
local_density_diff,0.5737,POS_LOW,-0.9442,0.9801,0.961,1.0,1.0,0.0203,0.1414,0.0,0.0,0.169,0.3782,0.0,0.0
dx,0.5676,POS_LOW,-0.3054,0.9801,0.9609,1.0,17.0625,-0.6495,3.1617,-0.4062,3.25,0.3365,4.5784,0.4062,7.3125
dy,0.5356,POS_HIGH,0.1561,0.9801,0.9609,1.0,-26.4062,0.3581,3.0031,0.4062,2.8438,-0.1234,4.6462,-0.4062,8.125
cos_next_prev,0.5192,POS_HIGH,0.0668,0.9801,0.9609,1.0,-1.0,0.3175,0.5212,0.3162,0.8202,0.2827,0.5255,0.2357,0.7817
v_next,0.5123,POS_LOW,-0.0499,0.9801,0.9609,1.0,60.7585,2.037,1.7998,1.8168,1.8203,2.127,1.8618,1.8168,1.9062
snr_ratio,0.5103,POS_HIGH,-0.0253,0.9801,0.9609,1.0,-2076.8121,1.038,15.4653,0.9957,0.3168,1.4273,13.5329,0.9736,0.8377
v_prev,0.5089,POS_LOW,-0.0643,0.9801,0.9609,1.0,60.7585,2.0539,1.7981,1.8168,1.7244,2.1699,1.9801,1.8168,2.0601
mitosis_flag,0.5076,POS_LOW,-0.1647,0.9801,0.9609,1.0,1.0,0.008,0.0889,0.0,0.0,0.0231,0.1503,0.0,0.0
vol_ratio,0.5067,POS_HIGH,-0.0132,0.9801,0.9609,1.0,0.0039,1.0561,2.287,1.0,0.0323,1.0862,2.2759,1.0,0.1177
mitosis_score,0.5067,POS_HIGH,-0.0143,0.9801,0.9609,1.0,0.0,0.5585,2.2865,0.5,0.0323,0.5911,2.2747,0.5,0.1174
radius_ratio,0.5067,POS_HIGH,-0.0153,0.9801,0.9609,1.0,0.1573,1.0026,0.096,1.0,0.0108,1.0041,0.1245,1.0,0.0393
v_ratio_next_prev,0.5042,POS_LOW,-0.0664,0.9801,0.9609,1.0,6075848.7701,14654.0999,82247.6393,1.0,1.2682,20149.3424,93260.1795,1.0,1.2892
mean_intensity_ratio,0.5006,POS_LOW,-0.132,0.9801,0.9609,1.0,3.3197,1.0077,0.1379,0.9994,0.1274,1.0271,0.2868,1.0004,0.2848
