dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
6bba_6479435d,7.0,617,28656,23453.0,487,28169,130,0.017,0.7893,0.0333,2.6045
6bba_67ebd073,7.0,462,19119,16061.0,435,18684,27,0.0228,0.9416,0.0444,3.2086
6bba_6ca87370,7.0,1081,8309,7195.0,1030,7279,51,0.124,0.9528,0.2194,3.1726
6bba_6db0e9b4,7.0,449,32475,28435.0,434,32041,15,0.0134,0.9666,0.0264,3.6707
6bba_6feb10f0,7.0,1368,8948,8862.0,228,8720,1140,0.0255,0.1667,0.0442,4.7608
6bba_6feeb0b1,7.0,1389,8967,7518.0,1319,7648,70,0.1471,0.9496,0.2547,2.7592
6bba_705ec2c9,7.0,596,6463,5600.0,530,5933,66,0.082,0.8893,0.1502,2.9667
6bba_718b21f9,7.0,661,4928,4306.0,645,4283,16,0.1309,0.9758,0.2308,3.7745
6bba_74686d6a,7.0,586,28174,29803.0,513,27661,73,0.0182,0.8754,0.0357,3.7527
6bba_767a1e17,7.0,718,54227,47714.0,648,53579,70,0.0119,0.9025,0.0236,2.5367
6bba_76db78c1,7.0,617,5168,4855.0,616,4552,1,0.1192,0.9984,0.213,2.9406
6bba_784a78c9,7.0,1788,13689,13096.0,1746,11943,42,0.1275,0.9765,0.2256,2.7908
6bba_786893ac,7.0,1465,77375,58979.0,1347,76028,118,0.0174,0.9195,0.0342,2.953
6bba_789f8168,7.0,713,11959,10676.0,701,11258,12,0.0586,0.9832,0.1106,2.4831
6bba_78a7bd97,7.0,886,41877,40613.0,647,41230,239,0.0155,0.7302,0.0303,3.1632
6bba_7af54fde,7.0,1131,10592,9624.0,1059,9533,72,0.1,0.9363,0.1807,2.76
6bba_7b5d3b2c,7.0,565,6016,5780.0,549,5467,16,0.0913,0.9717,0.1668,3.2494
6bba_7d3058ae,7.0,1200,8447,7611.0,1187,7260,13,0.1405,0.9892,0.2461,2.0793
6bba_7f87b3d8,7.0,1000,12399,10581.0,934,11465,66,0.0753,0.934,0.1394,2.4994
6bba_80d12824,7.0,680,10688,9021.0,656,10032,24,0.0614,0.9647,0.1154,2.8768
6bba_825bd1c6,7.0,968,9640,7586.0,943,8697,25,0.0978,0.9742,0.1778,3.1
6bba_87289e13,7.0,724,16170,14966.0,722,15448,2,0.0447,0.9972,0.0855,2.1551
6bba_8b7818bf,7.0,741,6929,5828.0,729,6200,12,0.1052,0.9838,0.1901,2.8002
6bba_907271db,7.0,945,8202,7306.0,905,7297,40,0.1103,0.9577,0.1979,3.6517
6bba_91951b3a,7.0,1188,12881,11907.0,1150,11731,38,0.0893,0.968,0.1635,3.0271
6bba_96833384,7.0,758,5260,4869.0,718,4542,40,0.1365,0.9472,0.2386,3.1296
6bba_969618f6,7.0,679,14630,13888.0,601,14029,78,0.0411,0.8851,0.0785,2.6056
6bba_971fa5e0,7.0,792,6604,5609.0,776,5828,16,0.1175,0.9798,0.2098,2.7684
6bba_9a41d029,7.0,1401,20674,18231.0,1310,19364,91,0.0634,0.935,0.1187,2.7993
6bba_9e23430b,7.0,914,7988,7708.0,872,7116,42,0.1092,0.954,0.1959,2.8938
6bba_a5e926bb,7.0,741,9095,8440.0,723,8372,18,0.0795,0.9757,0.147,2.4279
6bba_a90a0b9c,7.0,1147,41202,36896.0,982,40220,165,0.0238,0.8561,0.0464,3.5889
6bba_ab78413d,7.0,1179,11794,9241.0,387,11407,792,0.0328,0.3282,0.0597,4.0693
6bba_acd782a8,7.0,356,21431,19710.0,341,21090,15,0.0159,0.9579,0.0313,2.2403
6bba_ae82a791,7.0,1495,8368,7403.0,1456,6912,39,0.174,0.9739,0.2952,2.0772
6bba_aeee7805,7.0,795,5401,5034.0,792,4609,3,0.1466,0.9962,0.2556,2.341
6bba_af149c94,7.0,1350,9746,8933.0,1260,8486,90,0.1293,0.9333,0.2271,2.9058
6bba_afb141ff,7.0,654,7185,6054.0,631,6554,23,0.0878,0.9648,0.161,2.6304
6bba_b1ae37b9,7.0,612,27101,24298.0,596,26505,16,0.022,0.9739,0.043,2.6824
6bba_b204cac7,7.0,826,5737,5092.0,787,4950,39,0.1372,0.9528,0.2398,2.8504
6bba_b329af44,7.0,1316,75221,62465.0,1209,74012,107,0.0161,0.9187,0.0316,2.2237
6bba_b693381b,7.0,983,7042,5558.0,967,6075,16,0.1373,0.9837,0.241,2.1598
6bba_bb9f20c3,7.0,1925,28147,23071.0,1810,26337,115,0.0643,0.9403,0.1204,2.3181
6bba_bbb708ca,7.0,892,7461,6785.0,853,6608,39,0.1143,0.9563,0.2042,2.3802
6bba_c27cba08,7.0,517,6721,6445.0,486,6235,31,0.0723,0.94,0.1343,2.9046
6bba_c328f2fd,7.0,511,34132,31228.0,413,33719,98,0.0121,0.8082,0.0238,2.5917
6bba_c73a1d11,7.0,737,20080,16315.0,437,19643,300,0.0218,0.5929,0.042,2.6496
6bba_cdcfe533,7.0,1419,31517,29785.0,1417,30100,2,0.045,0.9986,0.086,1.6835
6bba_cf35214c,7.0,842,39548,34890.0,834,38714,8,0.0211,0.9905,0.0413,2.1734
6bba_cff5865f,7.0,1571,51949,46362.0,1543,50406,28,0.0297,0.9822,0.0577,1.7889
6bba_d0fc38b5,7.0,835,6990,6111.0,819,6171,16,0.1172,0.9808,0.2093,3.4925
6bba_d1acb6ff,7.0,681,15971,14719.0,595,15376,86,0.0373,0.8737,0.0715,2.5865
6bba_d2b9fc0c,7.0,944,24858,20178.0,934,23924,10,0.0376,0.9894,0.0724,2.889
6bba_d3da753b,7.0,887,20870,17246.0,884,19986,3,0.0424,0.9966,0.0813,2.3114
6bba_d5eae175,7.0,528,4983,4519.0,526,4457,2,0.1056,0.9962,0.1909,3.3495
6bba_d6ecebbb,7.0,886,6487,5359.0,741,5746,145,0.1142,0.8363,0.201,3.3459
6bba_d82a4fc6,7.0,545,31734,27716.0,538,31196,7,0.017,0.9872,0.0333,2.2009
6bba_debd7bfa,7.0,766,12834,11807.0,666,12168,100,0.0519,0.8695,0.0979,2.179
6bba_df673a83,7.0,668,20892,19239.0,616,20276,52,0.0295,0.9222,0.0571,2.4171
6bba_e16ffc58,7.0,964,7897,6367.0,921,6976,43,0.1166,0.9554,0.2079,2.5496
6bba_e5e44988,7.0,666,6072,5615.0,606,5466,60,0.0998,0.9099,0.1799,3.3736
6bba_ebdf3b34,7.0,847,64864,56847.0,825,64039,22,0.0127,0.974,0.0251,1.9839
6bba_ebff6e76,7.0,1318,46641,41596.0,980,45661,338,0.021,0.7436,0.0409,3.8348
6bba_ed9377fd,7.0,531,5375,4443.0,511,4864,20,0.0951,0.9623,0.173,3.39
6bba_edf14583,7.0,801,63513,59242.0,791,62722,10,0.0125,0.9875,0.0246,2.5377
6bba_eebc57a5,7.0,1026,9520,9347.0,953,8567,73,0.1001,0.9288,0.1807,2.67
6bba_ef7b4f7e,7.0,1234,6505,6107.0,1221,5284,13,0.1877,0.9895,0.3155,2.14
6bba_f17befbc,7.0,1078,26704,24963.0,982,25722,96,0.0368,0.9109,0.0707,2.7046
6bba_f1fde7e0,7.0,476,10066,9040.0,410,9656,66,0.0407,0.8613,0.0778,3.0133
6bba_f20478e9,7.0,1003,6696,5973.0,992,5704,11,0.1481,0.989,0.2577,2.6154
6bba_f4ae811c,7.0,1001,9415,8903.0,955,8460,46,0.1014,0.954,0.1834,2.4266
6bba_f8ffd5e7,7.0,389,35619,29540.0,383,35236,6,0.0108,0.9846,0.0213,2.0473
6bba_fbc898dc,7.0,655,5450,4889.0,655,4795,0,0.1202,1.0,0.2146,2.1682
6bba_fc516dc6,7.0,788,9166,7866.0,764,8402,24,0.0834,0.9695,0.1535,2.8787
6bba_fc5f39dc,7.0,471,15472,14020.0,368,15104,103,0.0238,0.7813,0.0462,2.0638
6bba_fc83837d,7.0,957,13978,13087.0,818,13160,139,0.0585,0.8548,0.1095,3.6119
6bba_fe670320,7.0,716,12352,10836.0,692,11660,24,0.056,0.9665,0.1059,3.2467
