dataset,pos_pairs,neg_pairs,total_pairs
6bba_1f58c2f6,544,3,547
6bba_207c6aaf,825,50,875
6bba_20852818,1689,91,1780
6bba_2312ac41,2192,0,2192
6bba_23af9eeb,956,8,964
6bba_2540cd90,1028,0,1028
6bba_2646afc7,1391,11,1402
6bba_268e1230,1122,9,1131
6bba_2819ca14,1787,48,1835
6bba_283bf9f1,2416,118,2534
6bba_312f0dc3,941,26,967
6bba_32db13fc,1469,61,1530
6bba_337b1b3a,2249,214,2463
6bba_372c8cb8,1927,13,1940
6bba_3a1849c2,2192,37,2229
6bba_3abfe10a,1686,135,1821
6bba_3c5691b6,1435,1,1436
6bba_3db54e20,865,13,878
6bba_3fda6b25,2273,43,2316
6bba_43fea39d,1670,47,1717
6bba_474be664,554,16,570
6bba_48816121,1785,48,1833
6bba_4aa14c89,1284,21,1305
6bba_4f99ce20,1879,55,1934
6bba_4ffd3da3,1327,25,1352
6bba_55b7eebe,1325,4,1329
6bba_55c70843,865,31,896
6bba_57b7cc1e,2982,37,3019
6bba_5a4d9360,1369,15,1384
6bba_5b28472a,1409,8,1417
6bba_5c039895,2203,17,2220
6bba_5c824876,2140,13,2153
6bba_5dfe9ad1,2810,76,2886
6bba_5f89039d,1713,0,1713
6bba_61dd1e0d,1041,0,1041
6bba_61ecbe65,1149,16,1165
6bba_6321a359,1508,14,1522
6bba_6479435d,1050,46,1096
6bba_67ebd073,805,38,843
6bba_6ca87370,2017,74,2091
6bba_6db0e9b4,853,0,853
6bba_6feb10f0,2611,5,2616
6bba_6feeb0b1,2548,37,2585
6bba_705ec2c9,1022,36,1058
6bba_718b21f9,1277,0,1277
6bba_74686d6a,1122,89,1211
6bba_767a1e17,1140,82,1222
6bba_76db78c1,1169,1,1170
6bba_784a78c9,3331,87,3418
6bba_786893ac,2579,95,2674
6bba_789f8168,1266,91,1357
6bba_78a7bd97,1503,28,1531
6bba_7af54fde,2067,12,2079
6bba_7b5d3b2c,1080,4,1084
6bba_7d3058ae,2265,16,2281
6bba_7f87b3d8,1670,269,1939
6bba_80d12824,1230,9,1239
6bba_825bd1c6,1747,43,1790
6bba_87289e13,1323,52,1375
6bba_8b7818bf,1402,3,1405
6bba_907271db,1769,23,1792
6bba_91951b3a,2176,26,2202
6bba_96833384,1332,12,1344
6bba_969618f6,1253,122,1375
6bba_971fa5e0,1459,60,1519
6bba_9a41d029,2559,107,2666
6bba_9e23430b,1713,4,1717
6bba_a5e926bb,1267,32,1299
6bba_a90a0b9c,2119,89,2208
6bba_ab78413d,2153,32,2185
6bba_acd782a8,582,77,659
6bba_ae82a791,2870,59,2929
6bba_aeee7805,1455,20,1475
6bba_af149c94,2535,51,2586
6bba_afb141ff,1165,59,1224
6bba_b1ae37b9,1060,37,1097
6bba_b204cac7,1577,15,1592
6bba_b329af44,2392,42,2434
6bba_b693381b,1726,71,1797
6bba_bb9f20c3,3620,254,3874
6bba_bbb708ca,1629,8,1637
6bba_c27cba08,914,0,914
6bba_c328f2fd,967,61,1028
6bba_c73a1d11,1339,113,1452
6bba_cdcfe533,2485,392,2877
6bba_cf35214c,1559,22,1581
6bba_cff5865f,2794,215,3009
6bba_d0fc38b5,1560,5,1565
6bba_d1acb6ff,1171,42,1213
6bba_d2b9fc0c,1773,35,1808
6bba_d3da753b,1624,53,1677
6bba_d5eae175,1011,0,1011
6bba_d6ecebbb,1652,10,1662
6bba_d82a4fc6,1015,5,1020
6bba_debd7bfa,1347,69,1416
6bba_df673a83,1266,37,1303
6bba_e16ffc58,1818,83,1901
6bba_e5e44988,1172,20,1192
6bba_ebdf3b34,1474,81,1555
6bba_ebff6e76,2368,226,2594
6bba_ed9377fd,947,47,994
6bba_edf14583,1399,109,1508
6bba_eebc57a5,1867,41,1908
6bba_ef7b4f7e,2303,19,2322
6bba_f17befbc,1841,83,1924
6bba_f1fde7e0,802,20,822
6bba_f20478e9,1806,58,1864
6bba_f4ae811c,1822,48,1870
6bba_f8ffd5e7,684,120,804
6bba_fbc898dc,1230,5,1235
6bba_fc516dc6,1446,25,1471
6bba_fc5f39dc,877,18,895
6bba_fc83837d,1744,99,1843
6bba_fe670320,1248,8,1256
