dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
6bba_6479435d,580,7892,180,7712,400,0.0228,0.3103,0.0425,180,29,400
6bba_67ebd073,438,6679,250,6429,188,0.0374,0.5708,0.0703,250,35,188
6bba_6ca87370,1052,5016,737,4279,315,0.1469,0.7006,0.2429,737,167,315
6bba_6db0e9b4,440,16690,326,16364,114,0.0195,0.7409,0.0381,326,47,114
6bba_6feb10f0,1343,3371,70,3301,1273,0.0208,0.0521,0.0297,70,30,1273
6bba_6feeb0b1,1343,4957,746,4211,597,0.1505,0.5555,0.2368,746,303,597
6bba_705ec2c9,562,3972,399,3573,163,0.1005,0.71,0.176,399,48,163
6bba_718b21f9,652,3503,429,3074,223,0.1225,0.658,0.2065,429,186,223
6bba_74686d6a,576,16435,391,16044,185,0.0238,0.6788,0.046,392,50,184
6bba_767a1e17,658,18231,217,18014,441,0.0119,0.3298,0.023,217,81,441
6bba_76db78c1,604,4146,505,3641,99,0.1218,0.8361,0.2126,505,127,99
6bba_784a78c9,1739,8957,1427,7530,312,0.1593,0.8206,0.2668,1429,94,310
6bba_786893ac,1395,19974,364,19610,1031,0.0182,0.2609,0.0341,363,117,1032
6bba_789f8168,681,6845,491,6354,190,0.0717,0.721,0.1305,493,68,188
6bba_78a7bd97,832,18682,253,18429,579,0.0135,0.3041,0.0259,253,100,579
6bba_7af54fde,1092,6783,893,5890,199,0.1317,0.8178,0.2268,893,43,199
6bba_7b5d3b2c,555,4675,444,4231,111,0.095,0.8,0.1698,444,75,111
6bba_7d3058ae,1173,4917,839,4078,334,0.1706,0.7153,0.2755,839,114,334
6bba_7f87b3d8,934,5684,476,5208,458,0.0837,0.5096,0.1439,476,100,458
6bba_80d12824,654,5992,487,5505,167,0.0813,0.7446,0.1466,489,68,165
6bba_825bd1c6,930,4982,573,4409,357,0.115,0.6161,0.1938,573,179,357
6bba_87289e13,699,7127,407,6720,292,0.0571,0.5823,0.104,407,52,292
6bba_8b7818bf,725,5053,629,4424,96,0.1245,0.8676,0.2177,631,100,94
6bba_907271db,921,5630,586,5044,335,0.1041,0.6363,0.1789,587,280,334
6bba_91951b3a,1148,8306,946,7360,202,0.1139,0.824,0.2001,948,90,200
6bba_96833384,721,3982,570,3412,151,0.1431,0.7906,0.2424,572,123,149
6bba_969618f6,658,8844,447,8397,211,0.0505,0.6793,0.0941,447,33,211
6bba_971fa5e0,767,4492,589,3903,178,0.1311,0.7679,0.224,588,102,179
6bba_9a41d029,1353,11134,877,10257,476,0.0788,0.6482,0.1405,877,127,476
6bba_9e23430b,891,5351,719,4632,172,0.1344,0.807,0.2304,719,100,172
6bba_a5e926bb,698,5886,535,5351,163,0.0909,0.7665,0.1625,533,83,165
6bba_a90a0b9c,1112,13042,309,12733,803,0.0237,0.2779,0.0437,310,124,802
6bba_ab78413d,1138,4875,201,4674,937,0.0412,0.1766,0.0669,201,46,937
6bba_acd782a8,330,12126,212,11914,118,0.0175,0.6424,0.034,212,50,118
6bba_ae82a791,1471,6014,1195,4819,276,0.1987,0.8124,0.3193,1195,109,276
6bba_aeee7805,768,4205,697,3508,71,0.1658,0.9076,0.2803,697,56,71
6bba_af149c94,1317,6678,1027,5651,290,0.1538,0.7798,0.2569,1027,163,290
6bba_afb141ff,626,4366,501,3865,125,0.1148,0.8003,0.2007,503,68,123
6bba_b1ae37b9,579,10191,290,9901,289,0.0285,0.5009,0.0539,290,47,289
6bba_b204cac7,811,3459,491,2968,320,0.1419,0.6054,0.23,489,211,322
6bba_b329af44,1268,23058,409,22649,859,0.0177,0.3226,0.0336,409,77,859
6bba_b693381b,935,4973,787,4186,148,0.1583,0.8417,0.2664,787,39,148
6bba_bb9f20c3,1879,7969,608,7361,1271,0.0763,0.3236,0.1235,609,100,1270
6bba_bbb708ca,861,5020,748,4272,113,0.149,0.8688,0.2544,748,62,113
6bba_c27cba08,493,4692,389,4303,104,0.0829,0.789,0.15,389,62,104
6bba_c328f2fd,500,11397,202,11195,298,0.0177,0.404,0.034,202,38,298
6bba_c73a1d11,710,7376,157,7219,553,0.0213,0.2211,0.0388,157,53,553
6bba_cdcfe533,1348,10594,566,10028,782,0.0534,0.4199,0.0948,566,63,782
6bba_cf35214c,817,14888,405,14483,412,0.0272,0.4957,0.0516,405,23,412
6bba_cff5865f,1501,16086,612,15474,889,0.038,0.4077,0.0696,612,56,889
6bba_d0fc38b5,813,5400,663,4737,150,0.1228,0.8155,0.2134,663,185,150
6bba_d1acb6ff,643,9185,441,8744,202,0.048,0.6858,0.0897,441,59,202
6bba_d2b9fc0c,921,10029,619,9410,302,0.0617,0.6721,0.1131,619,145,302
6bba_d3da753b,857,8572,430,8142,427,0.0502,0.5018,0.0912,429,138,428
6bba_d5eae175,519,3412,321,3091,198,0.0941,0.6185,0.1633,320,162,199
6bba_d6ecebbb,862,4077,561,3516,301,0.1376,0.6508,0.2272,560,144,302
6bba_d82a4fc6,530,8241,230,8011,300,0.0279,0.434,0.0524,230,16,300
6bba_debd7bfa,729,7643,466,7177,263,0.061,0.6392,0.1113,466,59,263
6bba_df673a83,654,14416,485,13931,169,0.0336,0.7416,0.0644,485,40,169
6bba_e16ffc58,942,5284,617,4667,325,0.1168,0.655,0.1982,617,204,325
6bba_e5e44988,634,3508,386,3122,248,0.11,0.6088,0.1864,386,97,248
6bba_ebdf3b34,803,16191,243,15948,560,0.015,0.3026,0.0286,243,23,560
6bba_ebff6e76,1264,20603,432,20171,832,0.021,0.3418,0.0395,430,145,834
6bba_ed9377fd,508,4191,387,3804,121,0.0923,0.7618,0.1647,387,127,121
6bba_edf14583,760,13028,172,12856,588,0.0132,0.2263,0.0249,172,33,588
6bba_eebc57a5,989,4429,466,3963,523,0.1052,0.4712,0.172,466,141,523
6bba_ef7b4f7e,1201,4402,1082,3320,119,0.2458,0.9009,0.3862,1082,31,119
6bba_f17befbc,1015,10736,439,10297,576,0.0409,0.4325,0.0747,438,108,577
6bba_f1fde7e0,446,4601,184,4417,262,0.04,0.4126,0.0729,185,42,261
6bba_f20478e9,963,4343,737,3606,226,0.1697,0.7653,0.2778,738,119,225
6bba_f4ae811c,965,6408,792,5616,173,0.1236,0.8207,0.2148,792,53,173
6bba_f8ffd5e7,370,7979,94,7885,276,0.0118,0.2541,0.0225,94,9,276
6bba_fbc898dc,639,4159,608,3551,31,0.1462,0.9515,0.2534,610,28,29
6bba_fc516dc6,762,4879,518,4361,244,0.1062,0.6798,0.1837,518,127,244
6bba_fc5f39dc,458,9284,234,9050,224,0.0252,0.5109,0.048,234,18,224
6bba_fc83837d,923,5659,515,5144,408,0.091,0.558,0.1565,515,90,408
6bba_fe670320,680,6680,429,6251,251,0.0642,0.6309,0.1166,431,129,249
