dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_668e0cc7,7.0,643,41494,39701.0,613,40881,30,0.0148,0.9533,0.0291,1.9661
44b6_66f9292d,7.0,200,60061,52710.0,156,59905,44,0.0026,0.78,0.0052,3.1587
44b6_706092f0,7.0,118,90119,69898.0,115,90004,3,0.0013,0.9746,0.0025,2.7801
44b6_71a4179f,7.0,121,83663,67688.0,121,83542,0,0.0014,1.0,0.0029,3.2726
44b6_74d0c52e,7.0,140,16787,15090.0,123,16664,17,0.0073,0.8786,0.0145,2.0964
44b6_7a302da0,7.0,516,82392,66858.0,473,81919,43,0.0057,0.9167,0.0114,2.6289
44b6_7e557709,7.0,570,67550,56060.0,568,66982,2,0.0084,0.9965,0.0167,2.0152
44b6_808952d6,7.0,181,18296,15742.0,181,18115,0,0.0099,1.0,0.0196,2.2957
44b6_81c256f0,7.0,199,12215,10052.0,199,12016,0,0.0163,1.0,0.0321,2.3154
44b6_87bba6c4,7.0,153,31999,28102.0,140,31859,13,0.0044,0.915,0.0087,3.4288
44b6_8cc6506c,7.0,400,39519,32172.0,338,39181,62,0.0086,0.845,0.0169,2.9461
44b6_8f5ab931,7.0,616,30501,27571.0,540,29961,76,0.0177,0.8766,0.0347,2.3755
44b6_8f9ecab4,7.0,374,88252,74833.0,358,87894,16,0.0041,0.9572,0.0081,2.212
44b6_90724892,7.0,105,28375,25532.0,103,28272,2,0.0036,0.981,0.0072,2.3518
44b6_949adeb1,7.0,388,42883,37179.0,337,42546,51,0.0079,0.8686,0.0156,3.0272
44b6_95029e92,7.0,200,8717,5161.0,200,8517,0,0.0229,1.0,0.0449,0.616
44b6_97725144,7.0,225,48562,35774.0,197,48365,28,0.0041,0.8756,0.0081,2.0309
44b6_996155de,7.0,380,11774,7573.0,367,11407,13,0.0312,0.9658,0.0604,1.7467
44b6_9be80b04,7.0,222,75491,57877.0,205,75286,17,0.0027,0.9234,0.0054,2.5488
44b6_9bfa6a0a,7.0,264,76475,64308.0,261,76214,3,0.0034,0.9886,0.0068,2.886
44b6_a21120c2,7.0,296,25855,23040.0,292,25563,4,0.0113,0.9865,0.0223,1.5094
44b6_a2bb48bb,7.0,416,77840,60613.0,366,77474,50,0.0047,0.8798,0.0094,3.3606
44b6_aaf8b0ea,7.0,209,24464,22099.0,208,24256,1,0.0085,0.9952,0.0169,1.5892
44b6_abf82518,7.0,96,30094,27604.0,96,29998,0,0.0032,1.0,0.0064,1.2959
44b6_b2c44266,7.0,170,72766,59729.0,163,72603,7,0.0022,0.9588,0.0045,2.7077
44b6_c15fded2,7.0,104,25135,20585.0,100,25035,4,0.004,0.9615,0.0079,2.0196
44b6_c50204e0,7.0,333,56331,47078.0,272,56059,61,0.0048,0.8168,0.0096,2.7686
44b6_c771cb04,7.0,227,61866,53345.0,203,61663,24,0.0033,0.8943,0.0065,3.1323
44b6_c8e2a523,7.0,168,42632,33144.0,168,42464,0,0.0039,1.0,0.0079,0.8682
44b6_c96cfa10,7.0,629,51794,46236.0,590,51204,39,0.0114,0.938,0.0225,2.1319
44b6_cf2536e8,7.0,76,62869,57565.0,48,62821,28,0.0008,0.6316,0.0015,3.7147
44b6_cf8fed6b,7.0,191,47450,43729.0,191,47259,0,0.004,1.0,0.008,1.5746
44b6_d29c9ab2,7.0,1353,49121,38055.0,1319,47802,34,0.0269,0.9749,0.0523,1.6903
44b6_d2f34f90,7.0,283,29291,24074.0,264,29027,19,0.009,0.9329,0.0179,2.5795
44b6_d5e7d891,7.0,906,52365,44848.0,766,51599,140,0.0146,0.8455,0.0288,3.0248
44b6_d754aa59,7.0,72,8898,5171.0,72,8826,0,0.0081,1.0,0.0161,1.0961
44b6_d78e09d9,7.0,463,25270,22259.0,423,24847,40,0.0167,0.9136,0.0329,2.1844
44b6_db3c847b,7.0,165,18054,15023.0,141,17913,24,0.0078,0.8545,0.0155,2.2624
44b6_ddf577ad,7.0,659,61880,53492.0,609,61271,50,0.0098,0.9241,0.0195,2.6131
44b6_deabac95,7.0,126,15813,13989.0,118,15695,8,0.0075,0.9365,0.0148,1.9037
44b6_e28840c6,7.0,311,89002,74686.0,285,88717,26,0.0032,0.9164,0.0064,1.5982
44b6_e29f0176,7.0,51,14317,12969.0,31,14286,20,0.0022,0.6078,0.0043,3.8802
44b6_e31261b4,7.0,116,82511,72856.0,114,82397,2,0.0014,0.9828,0.0028,1.838
44b6_e35b117d,7.0,270,40355,28641.0,198,40157,72,0.0049,0.7333,0.0097,3.0684
44b6_e57ff5c6,7.0,193,23619,20314.0,163,23456,30,0.0069,0.8446,0.0137,2.6108
44b6_eb2880fc,7.0,390,48786,48084.0,372,48414,18,0.0076,0.9538,0.0151,2.3442
44b6_f28707c6,7.0,63,22262,18656.0,52,22210,11,0.0023,0.8254,0.0047,3.2766
6bba_05b6850b,7.0,861,9548,6362.0,794,8754,67,0.0832,0.9222,0.1526,3.5524
6bba_05db0fb1,7.0,1229,79175,69800.0,1131,78044,98,0.0143,0.9203,0.0281,2.176
6bba_062c8d37,7.0,930,9775,6030.0,895,8880,35,0.0916,0.9624,0.1672,2.6112
6bba_07477033,7.0,613,7002,4836.0,599,6403,14,0.0855,0.9772,0.1573,3.332
6bba_07e24132,7.0,359,40624,21485.0,320,40304,39,0.0079,0.8914,0.0156,2.5028
6bba_085bf656,7.0,1198,10749,8463.0,1187,9562,11,0.1104,0.9908,0.1987,3.3169
6bba_09961292,7.0,1950,38457,31117.0,1877,36580,73,0.0488,0.9626,0.0929,2.6482
6bba_0c7fa718,7.0,704,19119,13650.0,667,18452,37,0.0349,0.9474,0.0673,2.5964
6bba_0e7c0d07,7.0,209,27747,22467.0,186,27561,23,0.0067,0.89,0.0133,3.6208
6bba_12665c0e,7.0,1036,10184,8314.0,1017,9167,19,0.0999,0.9817,0.1813,2.5246
6bba_13f19531,7.0,737,7294,5773.0,730,6564,7,0.1001,0.9905,0.1818,3.1031
6bba_15403b9a,7.0,758,8679,6889.0,714,7965,44,0.0823,0.942,0.1513,3.288
6bba_1d0d8384,7.0,1438,25612,17909.0,1266,24346,172,0.0494,0.8804,0.0936,2.5565
6bba_1ebfb80d,7.0,745,14531,11558.0,675,13856,70,0.0465,0.906,0.0884,3.3753
6bba_1f58c2f6,7.0,317,36145,28903.0,279,35866,38,0.0077,0.8801,0.0153,2.7206
6bba_207c6aaf,7.0,475,16381,11999.0,322,16059,153,0.0197,0.6779,0.0382,3.2071
6bba_20852818,7.0,952,13432,9758.0,878,12554,74,0.0654,0.9223,0.1221,2.4154
6bba_2312ac41,7.0,1156,13532,11950.0,1113,12419,43,0.0822,0.9628,0.1516,2.8286
6bba_23af9eeb,7.0,513,6240,4450.0,497,5743,16,0.0796,0.9688,0.1472,3.8836
6bba_2540cd90,7.0,529,6722,3783.0,528,6194,1,0.0785,0.9981,0.1456,3.8888
6bba_2646afc7,7.0,738,8152,5495.0,676,7476,62,0.0829,0.916,0.1521,3.6761
6bba_268e1230,7.0,641,6941,5107.0,559,6382,82,0.0805,0.8721,0.1475,3.2532
6bba_2819ca14,7.0,986,8019,5534.0,962,7057,24,0.12,0.9757,0.2137,3.2423
6bba_283bf9f1,7.0,1342,22603,20861.0,1236,21367,106,0.0547,0.921,0.1032,2.2958
6bba_312f0dc3,7.0,520,11625,9963.0,512,11113,8,0.044,0.9846,0.0843,3.5502
6bba_32db13fc,7.0,862,46985,38705.0,716,46269,146,0.0152,0.8306,0.0299,2.8442
6bba_337b1b3a,7.0,1272,37933,30480.0,1250,36683,22,0.033,0.9827,0.0638,1.8532
6bba_372c8cb8,7.0,1036,10098,7021.0,1008,9090,28,0.0998,0.973,0.1811,2.96
6bba_3a1849c2,7.0,1173,9665,7003.0,913,8752,260,0.0945,0.7783,0.1685,3.4639
6bba_3abfe10a,7.0,997,61515,52065.0,899,60616,98,0.0146,0.9017,0.0288,3.0188
6bba_3c5691b6,7.0,765,8855,6258.0,761,8094,4,0.0859,0.9948,0.1582,3.2158
6bba_3db54e20,7.0,502,24935,23236.0,449,24486,53,0.018,0.8944,0.0353,3.8397
6bba_3fda6b25,7.0,1207,13773,9842.0,1197,12576,10,0.0869,0.9917,0.1598,2.6031
6bba_43fea39d,7.0,910,7823,5748.0,895,6928,15,0.1144,0.9835,0.205,3.0986
6bba_474be664,7.0,292,35436,28293.0,130,35306,162,0.0037,0.4452,0.0073,4.4552
6bba_48816121,7.0,935,26432,23965.0,880,25552,55,0.0333,0.9412,0.0643,3.6593
6bba_4aa14c89,7.0,707,8365,6787.0,669,7696,38,0.08,0.9463,0.1475,2.9042
6bba_4f99ce20,7.0,1057,8837,5965.0,1034,7803,23,0.117,0.9782,0.209,3.071
6bba_4ffd3da3,7.0,706,20085,17637.0,509,19576,197,0.0253,0.721,0.049,3.0558
6bba_55b7eebe,7.0,705,7831,5257.0,696,7135,9,0.0889,0.9872,0.1631,3.4077
6bba_55c70843,7.0,490,42197,35415.0,397,41800,93,0.0094,0.8102,0.0186,3.288
6bba_57b7cc1e,7.0,1659,83865,65511.0,1302,82563,357,0.0155,0.7848,0.0304,3.7915
6bba_5a4d9360,7.0,747,7887,5976.0,669,7218,78,0.0848,0.8956,0.155,3.6581
6bba_5b28472a,7.0,737,9065,5802.0,721,8344,16,0.0795,0.9783,0.1471,3.2259
6bba_5c039895,7.0,1174,11609,8570.0,1146,10463,28,0.0987,0.9761,0.1793,3.3604
6bba_5c824876,7.0,1170,28306,24647.0,1078,27228,92,0.0381,0.9214,0.0731,2.7533
6bba_5dfe9ad1,7.0,1542,30790,26913.0,1315,29475,227,0.0427,0.8528,0.0813,2.418
6bba_5f89039d,7.0,904,6873,4611.0,890,5983,14,0.1295,0.9845,0.2289,3.4866
6bba_61dd1e0d,7.0,558,12342,10128.0,547,11795,11,0.0443,0.9803,0.0848,3.4684
6bba_61ecbe65,7.0,640,7815,5774.0,620,7195,20,0.0793,0.9688,0.1467,3.2071
6bba_6321a359,7.0,827,7181,4821.0,814,6367,13,0.1134,0.9843,0.2033,2.923
6bba_6479435d,7.0,617,29783,23453.0,463,29320,154,0.0155,0.7504,0.0305,2.6966
6bba_67ebd073,7.0,462,21403,16061.0,429,20974,33,0.02,0.9286,0.0392,3.3243
6bba_6ca87370,7.0,1081,10537,7195.0,1000,9537,81,0.0949,0.9251,0.1721,3.6446
6bba_6db0e9b4,7.0,449,33196,28435.0,434,32762,15,0.0131,0.9666,0.0258,3.4079
6bba_6feb10f0,7.0,1368,10535,8862.0,224,10311,1144,0.0213,0.1637,0.0376,4.5446
6bba_6feeb0b1,7.0,1389,13066,7518.0,1321,11745,68,0.1011,0.951,0.1828,3.1422
6bba_705ec2c9,7.0,596,8066,5600.0,533,7533,63,0.0661,0.8943,0.1231,3.2965
6bba_718b21f9,7.0,661,7751,4306.0,644,7107,17,0.0831,0.9743,0.1531,3.9068
6bba_74686d6a,7.0,586,31732,29803.0,508,31224,78,0.016,0.8669,0.0314,3.1567
6bba_767a1e17,7.0,718,53956,47714.0,630,53326,88,0.0117,0.8774,0.023,2.7704
6bba_76db78c1,7.0,617,7162,4855.0,617,6545,0,0.0861,1.0,0.1586,3.3873
6bba_784a78c9,7.0,1788,15356,13096.0,1743,13613,45,0.1135,0.9748,0.2033,2.7477
6bba_786893ac,7.0,1465,73668,58979.0,1307,72361,158,0.0177,0.8922,0.0348,3.189
6bba_789f8168,7.0,713,13839,10676.0,702,13137,11,0.0507,0.9846,0.0965,2.6946
6bba_78a7bd97,7.0,886,41870,40613.0,575,41295,311,0.0137,0.649,0.0269,3.2843
6bba_7af54fde,7.0,1131,12052,9624.0,1058,10994,73,0.0878,0.9355,0.1605,2.7565
6bba_7b5d3b2c,7.0,565,7929,5780.0,545,7384,20,0.0687,0.9646,0.1283,3.6095
6bba_7d3058ae,7.0,1200,12197,7611.0,1189,11008,11,0.0975,0.9908,0.1775,2.4016
6bba_7f87b3d8,7.0,1000,15066,10581.0,971,14095,29,0.0644,0.971,0.1209,2.8137
6bba_80d12824,7.0,680,12975,9021.0,660,12315,20,0.0509,0.9706,0.0967,3.0774
6bba_825bd1c6,7.0,968,14092,7586.0,932,13160,36,0.0661,0.9628,0.1238,3.3955
6bba_87289e13,7.0,724,21418,14966.0,723,20695,1,0.0338,0.9986,0.0653,2.1886
6bba_8b7818bf,7.0,741,8326,5828.0,735,7591,6,0.0883,0.9919,0.1621,3.2897
6bba_907271db,7.0,945,9842,7306.0,919,8923,26,0.0934,0.9725,0.1704,3.7524
6bba_91951b3a,7.0,1188,14207,11907.0,1142,13065,46,0.0804,0.9613,0.1484,3.128
6bba_96833384,7.0,758,6287,4869.0,726,5561,32,0.1155,0.9578,0.2061,3.3763
6bba_969618f6,7.0,679,16130,13888.0,639,15491,40,0.0396,0.9411,0.076,2.4965
6bba_971fa5e0,7.0,792,9285,5609.0,786,8499,6,0.0847,0.9924,0.156,3.0846
6bba_9a41d029,7.0,1401,22421,18231.0,1347,21074,54,0.0601,0.9615,0.1131,3.0231
6bba_9e23430b,7.0,914,9622,7708.0,877,8745,37,0.0911,0.9595,0.1665,3.2919
6bba_a5e926bb,7.0,741,11194,8440.0,730,10464,11,0.0652,0.9852,0.1223,2.7521
6bba_a90a0b9c,7.0,1147,44568,36896.0,968,43600,179,0.0217,0.8439,0.0423,3.8749
6bba_ab78413d,7.0,1179,13796,9241.0,392,13404,787,0.0284,0.3325,0.0524,4.153
6bba_acd782a8,7.0,356,23789,19710.0,340,23449,16,0.0143,0.9551,0.0282,2.4989
6bba_ae82a791,7.0,1495,10770,7403.0,1466,9304,29,0.1361,0.9806,0.2391,2.6441
6bba_aeee7805,7.0,795,6648,5034.0,792,5856,3,0.1191,0.9962,0.2128,2.6779
6bba_af149c94,7.0,1350,12046,8933.0,1301,10745,49,0.108,0.9637,0.1942,3.3209
6bba_afb141ff,7.0,654,9055,6054.0,638,8417,16,0.0705,0.9755,0.1314,2.9434
6bba_b1ae37b9,7.0,612,27293,24298.0,588,26705,24,0.0215,0.9608,0.0421,3.0905
6bba_b204cac7,7.0,826,11716,5092.0,795,10921,31,0.0679,0.9625,0.1268,3.2281
6bba_b329af44,7.0,1316,72284,62465.0,1186,71098,130,0.0164,0.9012,0.0322,2.5404
6bba_b693381b,7.0,983,9134,5558.0,975,8159,8,0.1067,0.9919,0.1927,2.6002
6bba_bb9f20c3,7.0,1925,31774,23071.0,1797,29977,128,0.0566,0.9335,0.1067,2.5098
6bba_bbb708ca,7.0,892,8838,6785.0,848,7990,44,0.0959,0.9507,0.1743,2.7686
6bba_c27cba08,7.0,517,7766,6445.0,488,7278,29,0.0628,0.9439,0.1178,3.1301
6bba_c328f2fd,7.0,511,37361,31228.0,413,36948,98,0.0111,0.8082,0.0218,2.8143
6bba_c73a1d11,7.0,737,21443,16315.0,425,21018,312,0.0198,0.5767,0.0383,2.8307
6bba_cdcfe533,7.0,1419,36503,29785.0,1399,35104,20,0.0383,0.9859,0.0738,1.9762
6bba_cf35214c,7.0,842,42557,34890.0,831,41726,11,0.0195,0.9869,0.0383,2.412
6bba_cff5865f,7.0,1571,56314,46362.0,1524,54790,47,0.0271,0.9701,0.0527,2.0953
6bba_d0fc38b5,7.0,835,8570,6111.0,814,7756,21,0.095,0.9749,0.1731,3.8685
6bba_d1acb6ff,7.0,681,17044,14719.0,620,16424,61,0.0364,0.9104,0.07,2.3483
6bba_d2b9fc0c,7.0,944,29757,20178.0,938,28819,6,0.0315,0.9936,0.0611,3.043
6bba_d3da753b,7.0,887,26740,17246.0,884,25856,3,0.0331,0.9966,0.064,2.58
6bba_d5eae175,7.0,528,8537,4519.0,528,8009,0,0.0618,1.0,0.1165,3.5097
6bba_d6ecebbb,7.0,886,7826,5359.0,796,7030,90,0.1017,0.8984,0.1827,3.2939
6bba_d82a4fc6,7.0,545,31984,27716.0,539,31445,6,0.0169,0.989,0.0331,2.4521
6bba_debd7bfa,7.0,766,14366,11807.0,709,13657,57,0.0494,0.9256,0.0937,2.5332
6bba_df673a83,7.0,668,21742,19239.0,609,21133,59,0.028,0.9117,0.0544,2.5106
6bba_e16ffc58,7.0,964,11452,6367.0,921,10531,43,0.0804,0.9554,0.1484,2.8882
6bba_e5e44988,7.0,666,7808,5615.0,638,7170,28,0.0817,0.958,0.1506,3.5553
6bba_ebdf3b34,7.0,847,65195,56847.0,794,64401,53,0.0122,0.9374,0.024,2.2728
6bba_ebff6e76,7.0,1318,52294,41596.0,986,51308,332,0.0189,0.7481,0.0368,3.8442
6bba_ed9377fd,7.0,531,6784,4443.0,506,6278,25,0.0746,0.9529,0.1383,3.7729
6bba_edf14583,7.0,801,63099,59242.0,766,62333,35,0.0121,0.9563,0.024,2.7809
6bba_eebc57a5,7.0,1026,15759,9347.0,978,14781,48,0.0621,0.9532,0.1165,2.6571
6bba_ef7b4f7e,7.0,1234,8043,6107.0,1208,6835,26,0.1502,0.9789,0.2604,2.6609
6bba_f17befbc,7.0,1078,27635,24963.0,961,26674,117,0.0348,0.8915,0.0669,2.9475
6bba_f1fde7e0,7.0,476,12402,9040.0,428,11974,48,0.0345,0.8992,0.0665,3.466
6bba_f20478e9,7.0,1003,9712,5973.0,993,8719,10,0.1022,0.99,0.1853,2.9612
6bba_f4ae811c,7.0,1001,10547,8903.0,962,9585,39,0.0912,0.961,0.1666,2.562
6bba_f8ffd5e7,7.0,389,37331,29540.0,377,36954,12,0.0101,0.9692,0.02,2.3312
6bba_fbc898dc,7.0,655,6755,4889.0,655,6100,0,0.097,1.0,0.1768,2.5241
6bba_fc516dc6,7.0,788,13824,7866.0,764,13060,24,0.0553,0.9695,0.1046,2.956
6bba_fc5f39dc,7.0,471,16696,14020.0,367,16329,104,0.022,0.7792,0.0428,2.2653
6bba_fc83837d,7.0,957,16186,13087.0,824,15362,133,0.0509,0.861,0.0961,3.8478
6bba_fe670320,7.0,716,14124,10836.0,703,13421,13,0.0498,0.9818,0.0947,3.3475
