dataset,estimated_number_of_nodes,pred_nodes,pe_ratio,tp,fp,fn,precision,recall,f1_score,mean_dist_um
44b6_a21120c2,23040,35866,1.5567,295,35571,1,0.0082,0.9966,0.0163,1.158
44b6_a2bb48bb,60613,102341,1.6884,402,101939,14,0.0039,0.9663,0.0078,3.2962
44b6_aaf8b0ea,22099,51421,2.3268,209,51212,0,0.0041,1.0,0.0081,1.8517
44b6_abf82518,27604,46847,1.6971,96,46751,0,0.002,1.0,0.0041,1.8793
44b6_b2c44266,59729,100402,1.681,164,100238,6,0.0016,0.9647,0.0033,2.7264
44b6_c15fded2,20585,68668,3.3358,101,68567,3,0.0015,0.9712,0.0029,1.9513
44b6_c50204e0,47078,78700,1.6717,303,78397,30,0.0039,0.9099,0.0077,2.7299
44b6_c771cb04,53345,90116,1.6893,222,89894,5,0.0025,0.978,0.0049,2.7631
44b6_c8e2a523,33144,53757,1.6219,168,53589,0,0.0031,1.0,0.0062,0.7295
44b6_c96cfa10,46236,70361,1.5218,618,69743,11,0.0088,0.9825,0.0174,1.8565
44b6_cf2536e8,57565,96276,1.6725,66,96210,10,0.0007,0.8684,0.0014,3.2588
44b6_cf8fed6b,43729,61881,1.4151,191,61690,0,0.0031,1.0,0.0062,1.5457
44b6_d29c9ab2,38055,62801,1.6503,1338,61463,15,0.0213,0.9889,0.0417,1.5518
44b6_d2f34f90,24074,53221,2.2107,277,52944,6,0.0052,0.9788,0.0104,2.3749
44b6_d5e7d891,44848,68178,1.5202,866,67312,40,0.0127,0.9558,0.0251,2.6715
44b6_d754aa59,5171,21051,4.071,72,20979,0,0.0034,1.0,0.0068,2.4822
44b6_d78e09d9,22259,34541,1.5518,453,34088,10,0.0131,0.9784,0.0259,1.7578
44b6_db3c847b,15023,32294,2.1496,160,32134,5,0.005,0.9697,0.0099,1.9788
44b6_ddf577ad,53492,84659,1.5826,646,84013,13,0.0076,0.9803,0.0151,2.2333
44b6_deabac95,13989,21243,1.5186,126,21117,0,0.0059,1.0,0.0118,1.9449
44b6_e28840c6,74686,126881,1.6989,308,126573,3,0.0024,0.9904,0.0048,1.4165
44b6_e29f0176,12969,23988,1.8496,45,23943,6,0.0019,0.8824,0.0037,2.1392
44b6_e31261b4,72856,105888,1.4534,116,105772,0,0.0011,1.0,0.0022,1.7201
44b6_e35b117d,28641,79335,2.77,238,79097,32,0.003,0.8815,0.006,2.7807
44b6_e57ff5c6,20314,43663,2.1494,187,43476,6,0.0043,0.9689,0.0085,2.4213
44b6_eb2880fc,48084,65289,1.3578,380,64909,10,0.0058,0.9744,0.0116,1.8961
44b6_f28707c6,18656,32923,1.7647,51,32872,12,0.0015,0.8095,0.0031,2.1273
6bba_05b6850b,6362,11401,1.792,825,10576,36,0.0724,0.9582,0.1346,3.7761
6bba_05db0fb1,69800,104143,1.492,1179,102964,50,0.0113,0.9593,0.0224,2.0078
6bba_062c8d37,6030,11859,1.9667,892,10967,38,0.0752,0.9591,0.1395,3.0908
6bba_07477033,4836,8999,1.8608,596,8403,17,0.0662,0.9723,0.124,3.7047
6bba_07e24132,21485,84323,3.9247,352,83971,7,0.0042,0.9805,0.0083,2.6143
6bba_085bf656,8463,18584,2.1959,1195,17389,3,0.0643,0.9975,0.1208,3.3862
6bba_09961292,31117,63241,2.0324,1937,61304,13,0.0306,0.9933,0.0594,2.2468
6bba_0c7fa718,13650,48089,3.523,702,47387,2,0.0146,0.9972,0.0288,2.4895
6bba_0e7c0d07,22467,41556,1.8496,203,41353,6,0.0049,0.9713,0.0097,3.6256
6bba_12665c0e,8314,16806,2.0214,1032,15774,4,0.0614,0.9961,0.1157,2.6212
6bba_13f19531,5773,13384,2.3184,734,12650,3,0.0548,0.9959,0.104,3.2076
6bba_15403b9a,6889,15668,2.2744,752,14916,6,0.048,0.9921,0.0916,3.3869
6bba_1d0d8384,17909,37963,2.1198,1335,36628,103,0.0352,0.9284,0.0678,2.4204
6bba_1ebfb80d,11558,30347,2.6256,722,29625,23,0.0238,0.9691,0.0464,3.228
6bba_1f58c2f6,28903,61701,2.1348,314,61387,3,0.0051,0.9905,0.0101,2.5589
6bba_207c6aaf,11999,38972,3.2479,431,38541,44,0.0111,0.9074,0.0219,2.9514
6bba_20852818,9758,18211,1.8663,906,17305,46,0.0498,0.9517,0.0946,2.8414
6bba_2312ac41,11950,20593,1.7233,1138,19455,18,0.0553,0.9844,0.1046,3.0705
6bba_23af9eeb,4450,8306,1.8665,505,7801,8,0.0608,0.9844,0.1145,4.365
6bba_2540cd90,3783,9327,2.4655,526,8801,3,0.0564,0.9943,0.1067,4.2686
6bba_2646afc7,5495,9843,1.7913,693,9150,45,0.0704,0.939,0.131,3.7752
6bba_268e1230,5107,12596,2.4664,566,12030,75,0.0449,0.883,0.0855,3.5707
6bba_2819ca14,5534,41184,7.442,977,40207,9,0.0237,0.9909,0.0463,3.6827
6bba_283bf9f1,20861,30406,1.4576,1282,29124,60,0.0422,0.9553,0.0808,2.2736
6bba_312f0dc3,9963,17279,1.7343,514,16765,6,0.0297,0.9885,0.0578,3.829
6bba_32db13fc,38705,71949,1.8589,799,71150,63,0.0111,0.9269,0.0219,2.4861
6bba_337b1b3a,30480,47923,1.5723,1264,46659,8,0.0264,0.9937,0.0514,1.709
6bba_372c8cb8,7021,17587,2.5049,1014,16573,22,0.0577,0.9788,0.1089,3.0996
6bba_3a1849c2,7003,15799,2.256,963,14836,210,0.061,0.821,0.1135,3.8514
6bba_3abfe10a,52065,86689,1.665,967,85722,30,0.0112,0.9699,0.0221,2.7571
6bba_3c5691b6,6258,15784,2.5222,762,15022,3,0.0483,0.9961,0.0921,3.4918
6bba_3db54e20,23236,33155,1.4269,457,32698,45,0.0138,0.9104,0.0272,3.9589
6bba_3fda6b25,9842,40180,4.0825,1206,38974,1,0.03,0.9992,0.0583,2.5763
6bba_43fea39d,5748,10457,1.8192,903,9554,7,0.0864,0.9923,0.1589,3.3211
6bba_474be664,28293,56826,2.0085,243,56583,49,0.0043,0.8322,0.0085,3.7375
6bba_48816121,23965,34795,1.4519,907,33888,28,0.0261,0.9701,0.0508,3.6461
6bba_4aa14c89,6787,23080,3.4006,699,22381,8,0.0303,0.9887,0.0588,3.2487
6bba_4f99ce20,5965,27650,4.6354,1050,26600,7,0.038,0.9934,0.0732,3.2224
6bba_4ffd3da3,17637,31145,1.7659,619,30526,87,0.0199,0.8768,0.0389,2.6985
6bba_55b7eebe,5257,33750,6.42,705,33045,0,0.0209,1.0,0.0409,3.8061
6bba_55c70843,35415,69665,1.9671,462,69203,28,0.0066,0.9429,0.0132,2.9066
6bba_57b7cc1e,65511,120869,1.845,1486,119383,173,0.0123,0.8957,0.0243,3.5093
6bba_5a4d9360,5976,10874,1.8196,676,10198,71,0.0622,0.905,0.1163,3.8269
6bba_5b28472a,5802,10624,1.8311,728,9896,9,0.0685,0.9878,0.1282,3.7085
6bba_5c039895,8570,32854,3.8336,1172,31682,2,0.0357,0.9983,0.0689,3.7256
6bba_5c824876,24647,35674,1.4474,1144,34530,26,0.0321,0.9778,0.0621,2.7664
6bba_5dfe9ad1,26913,41941,1.5584,1475,40466,67,0.0352,0.9565,0.0678,2.1331
6bba_5f89039d,4611,9804,2.1262,894,8910,10,0.0912,0.9889,0.167,3.8837
6bba_61dd1e0d,10128,24268,2.3961,551,23717,7,0.0227,0.9875,0.0444,3.6575
6bba_61ecbe65,5774,10594,1.8348,634,9960,6,0.0598,0.9906,0.1129,3.6234
6bba_6321a359,4821,9565,1.984,822,8743,5,0.0859,0.994,0.1582,3.3897
6bba_6479435d,23453,54073,2.3056,568,53505,49,0.0105,0.9206,0.0208,2.5792
6bba_67ebd073,16061,35117,2.1865,439,34678,23,0.0125,0.9502,0.0247,3.1319
6bba_6ca87370,7195,35062,4.8731,1079,33983,2,0.0308,0.9981,0.0597,3.2722
6bba_6db0e9b4,28435,66728,2.3467,445,66283,4,0.0067,0.9911,0.0132,3.6209
6bba_6feb10f0,8862,56710,6.3992,1226,55484,142,0.0216,0.8962,0.0422,3.8245
6bba_6feeb0b1,7518,34996,4.655,1380,33616,9,0.0394,0.9935,0.0759,2.7661
6bba_705ec2c9,5600,10766,1.9225,537,10229,59,0.0499,0.901,0.0945,3.3979
6bba_718b21f9,4306,10857,2.5214,643,10214,18,0.0592,0.9728,0.1117,4.2186
6bba_74686d6a,29803,70155,2.354,545,69610,41,0.0078,0.93,0.0154,3.4177
6bba_767a1e17,47714,69034,1.4468,669,68365,49,0.0097,0.9318,0.0192,2.5928
6bba_76db78c1,4855,9929,2.0451,617,9312,0,0.0621,1.0,0.117,4.0404
6bba_784a78c9,13096,23539,1.7974,1778,21761,10,0.0755,0.9944,0.1404,3.141
6bba_786893ac,58979,114462,1.9407,1407,113055,58,0.0123,0.9604,0.0243,2.8896
6bba_789f8168,10676,23099,2.1636,704,22395,9,0.0305,0.9874,0.0591,2.8543
6bba_78a7bd97,40613,68442,1.6852,833,67609,53,0.0122,0.9402,0.024,3.0248
6bba_7af54fde,9624,27692,2.8774,1106,26586,25,0.0399,0.9779,0.0767,3.0755
6bba_7b5d3b2c,5780,21278,3.6813,564,20714,1,0.0265,0.9982,0.0516,3.8847
6bba_7d3058ae,7611,15770,2.072,1189,14581,11,0.0754,0.9908,0.1401,2.6954
6bba_7f87b3d8,10581,42460,4.0129,998,41462,2,0.0235,0.998,0.0459,2.4674
6bba_80d12824,9021,17201,1.9068,657,16544,23,0.0382,0.9662,0.0735,3.3992
6bba_825bd1c6,7586,29912,3.9431,966,28946,2,0.0323,0.9979,0.0626,3.0058
6bba_87289e13,14966,25784,1.7228,722,25062,2,0.028,0.9972,0.0545,2.164
6bba_8b7818bf,5828,10863,1.8639,736,10127,5,0.0678,0.9933,0.1269,3.6911
6bba_907271db,7306,24259,3.3204,941,23318,4,0.0388,0.9958,0.0747,4.1714
6bba_91951b3a,11907,22228,1.8668,1179,21049,9,0.053,0.9924,0.1007,3.4551
6bba_96833384,4869,11156,2.2912,754,10402,4,0.0676,0.9947,0.1266,3.5538
6bba_969618f6,13888,27016,1.9453,665,26351,14,0.0246,0.9794,0.048,2.2872
6bba_971fa5e0,5609,10982,1.9579,782,10200,10,0.0712,0.9874,0.1328,3.3063
6bba_9a41d029,18231,35434,1.9436,1397,34037,4,0.0394,0.9971,0.0759,2.7568
6bba_9e23430b,7708,16153,2.0956,887,15266,27,0.0549,0.9705,0.1039,3.6537
6bba_a5e926bb,8440,18974,2.2481,738,18236,3,0.0389,0.996,0.0749,2.7175
6bba_a90a0b9c,36896,82372,2.2325,1075,81297,72,0.0131,0.9372,0.0257,3.3615
6bba_ab78413d,9241,58724,6.3547,1043,57681,136,0.0178,0.8846,0.0348,3.8294
6bba_acd782a8,19710,35656,1.809,353,35303,3,0.0099,0.9916,0.0196,2.2609
6bba_ae82a791,7403,26964,3.6423,1495,25469,0,0.0554,1.0,0.1051,2.7906
6bba_aeee7805,5034,9715,1.9299,789,8926,6,0.0812,0.9925,0.1501,3.0852
6bba_af149c94,8933,28020,3.1367,1325,26695,25,0.0473,0.9815,0.0902,3.4407
6bba_afb141ff,6054,10843,1.791,643,10200,11,0.0593,0.9832,0.1119,3.4593
6bba_b1ae37b9,24298,65358,2.6899,608,64750,4,0.0093,0.9935,0.0184,2.6049
6bba_b204cac7,5092,13455,2.6424,794,12661,32,0.059,0.9613,0.1112,3.4056
6bba_b329af44,62465,95457,1.5282,1260,94197,56,0.0132,0.9574,0.026,2.2986
6bba_b693381b,5558,13873,2.496,977,12896,6,0.0704,0.9939,0.1315,3.0105
6bba_bb9f20c3,23071,53091,2.3012,1889,51202,36,0.0356,0.9813,0.0687,2.3066
6bba_bbb708ca,6785,11972,1.7645,850,11122,42,0.071,0.9529,0.1322,3.2241
6bba_c27cba08,6445,16932,2.6272,513,16419,4,0.0303,0.9923,0.0588,3.067
6bba_c328f2fd,31228,52008,1.6654,464,51544,47,0.0089,0.908,0.0177,2.6664
6bba_c73a1d11,16315,56773,3.4798,667,56106,70,0.0117,0.905,0.0232,2.6075
6bba_cdcfe533,29785,44900,1.5075,1416,43484,3,0.0315,0.9979,0.0611,1.8508
6bba_cf35214c,34890,53273,1.5269,836,52437,6,0.0157,0.9929,0.0309,2.2848
6bba_cff5865f,46362,72883,1.572,1554,71329,17,0.0213,0.9892,0.0417,1.893
6bba_d0fc38b5,6111,11105,1.8172,816,10289,19,0.0735,0.9772,0.1367,4.3392
6bba_d1acb6ff,14719,25079,1.7039,669,24410,12,0.0267,0.9824,0.0519,2.5287
6bba_d2b9fc0c,20178,44535,2.2071,941,43594,3,0.0211,0.9968,0.0414,3.0267
6bba_d3da753b,17246,32807,1.9023,887,31920,0,0.027,1.0,0.0527,2.6064
6bba_d5eae175,4519,10148,2.2456,528,9620,0,0.052,1.0,0.0989,3.8907
6bba_d6ecebbb,5359,9230,1.7223,746,8484,140,0.0808,0.842,0.1475,3.7086
6bba_d82a4fc6,27716,58318,2.1041,543,57775,2,0.0093,0.9963,0.0184,2.2549
6bba_debd7bfa,11807,22370,1.8946,744,21626,22,0.0333,0.9713,0.0643,2.5716
6bba_df673a83,19239,29447,1.5306,636,28811,32,0.0216,0.9521,0.0422,2.3496
6bba_e16ffc58,6367,14355,2.2546,926,13429,38,0.0645,0.9606,0.1209,3.1271
6bba_e5e44988,5615,32825,5.8459,658,32167,8,0.02,0.988,0.0393,3.6639
6bba_ebdf3b34,56847,89454,1.5736,840,88614,7,0.0094,0.9917,0.0186,2.0377
6bba_ebff6e76,41596,106148,2.5519,1203,104945,115,0.0113,0.9127,0.0224,3.4239
6bba_ed9377fd,4443,9149,2.0592,522,8627,9,0.0571,0.9831,0.1079,4.051
6bba_edf14583,59242,98501,1.6627,796,97705,5,0.0081,0.9938,0.016,2.4789
6bba_eebc57a5,9347,26750,2.8619,994,25756,32,0.0372,0.9688,0.0716,2.4971
6bba_ef7b4f7e,6107,10808,1.7698,1232,9576,2,0.114,0.9984,0.2046,2.9489
6bba_f17befbc,24963,59227,2.3726,1056,58171,22,0.0178,0.9796,0.035,2.5335
6bba_f1fde7e0,9040,69149,7.6492,472,68677,4,0.0068,0.9916,0.0136,2.9424
6bba_f20478e9,5973,22111,3.7018,1003,21108,0,0.0454,1.0,0.0868,2.9689
6bba_f4ae811c,8903,16167,1.8159,991,15176,10,0.0613,0.99,0.1154,2.8314
6bba_f8ffd5e7,29540,54294,1.838,385,53909,4,0.0071,0.9897,0.0141,2.0728
6bba_fbc898dc,4889,9327,1.9078,655,8672,0,0.0702,1.0,0.1312,2.916
6bba_fc516dc6,7866,17038,2.166,779,16259,9,0.0457,0.9886,0.0874,3.5277
6bba_fc5f39dc,14020,31091,2.2176,441,30650,30,0.0142,0.9363,0.0279,2.1311
6bba_fc83837d,13087,39966,3.0539,935,39031,22,0.0234,0.977,0.0457,3.7363
6bba_fe670320,10836,35299,3.2576,710,34589,6,0.0201,0.9916,0.0394,3.9404
