dataset,raw_nodes,final_nodes,edges,estimated_nodes,pe_ratio_raw,pe_ratio_final,culled_nodes,cull_rate_pct
44b6_7a302da0,83837,64419,51979,66858.0,1.254,0.9635,19418,23.16
44b6_7e557709,65254,52271,42470,56060.0,1.164,0.9324,12983,19.9
44b6_808952d6,17224,16044,14702,15742.0,1.0941,1.0192,1180,6.85
44b6_81c256f0,11216,10460,9630,10052.0,1.1158,1.0406,756,6.74
44b6_87bba6c4,32176,29263,24900,28102.0,1.145,1.0413,2913,9.05
44b6_8cc6506c,41673,33979,27655,32172.0,1.2953,1.0562,7694,18.46
44b6_8f5ab931,30551,26503,22736,27571.0,1.1081,0.9613,4048,13.25
44b6_8f9ecab4,92405,74658,60691,74833.0,1.2348,0.9977,17747,19.21
44b6_90724892,28773,24273,20551,25532.0,1.1269,0.9507,4500,15.64
44b6_949adeb1,43879,36668,30612,37179.0,1.1802,0.9863,7211,16.43
44b6_95029e92,5913,4991,4454,5161.0,1.1457,0.9671,922,15.59
44b6_97725144,47282,37160,30062,35774.0,1.3217,1.0387,10122,21.41
44b6_996155de,10337,9432,8440,7573.0,1.365,1.2455,905,8.75
44b6_9be80b04,85928,58328,44777,57877.0,1.4847,1.0078,27600,32.12
44b6_9bfa6a0a,79170,60677,48004,64308.0,1.2311,0.9435,18493,23.36
44b6_a21120c2,24409,22475,20102,23040.0,1.0594,0.9755,1934,7.92
44b6_a2bb48bb,78676,61196,49359,60613.0,1.298,1.0096,17480,22.22
44b6_aaf8b0ea,22211,20972,19081,22099.0,1.0051,0.949,1239,5.58
44b6_abf82518,29893,26556,22877,27604.0,1.0829,0.962,3337,11.16
44b6_b2c44266,75642,57385,45837,59729.0,1.2664,0.9608,18257,24.14
44b6_c15fded2,22867,19483,16604,20585.0,1.1109,0.9465,3384,14.8
44b6_c50204e0,56853,48287,40172,47078.0,1.2076,1.0257,8566,15.07
44b6_c771cb04,64807,52537,42902,53345.0,1.2149,0.9849,12270,18.93
44b6_c8e2a523,37699,29719,23983,33144.0,1.1374,0.8967,7980,21.17
44b6_c96cfa10,53090,42440,34660,46236.0,1.1482,0.9179,10650,20.06
44b6_cf2536e8,69079,56667,46349,57565.0,1.2,0.9844,12412,17.97
44b6_cf8fed6b,47913,43459,37102,43729.0,1.0957,0.9938,4454,9.3
44b6_d29c9ab2,44111,37365,31241,38055.0,1.1591,0.9819,6746,15.29
44b6_d2f34f90,28700,24839,20633,24074.0,1.1922,1.0318,3861,13.45
44b6_d5e7d891,53871,43892,36030,44848.0,1.2012,0.9787,9979,18.52
44b6_d754aa59,7350,5967,4985,5171.0,1.4214,1.1539,1383,18.82
44b6_d78e09d9,24698,22059,19280,22259.0,1.1096,0.991,2639,10.69
44b6_db3c847b,16863,15178,13305,15023.0,1.1225,1.0103,1685,9.99
44b6_ddf577ad,64301,53203,43372,53492.0,1.2021,0.9946,11098,17.26
44b6_deabac95,15124,13869,12424,13989.0,1.0811,0.9914,1255,8.3
44b6_e28840c6,95848,74345,58876,74686.0,1.2833,0.9954,21503,22.43
44b6_e29f0176,13777,12474,10629,12969.0,1.0623,0.9618,1303,9.46
44b6_e31261b4,83674,66627,52566,72856.0,1.1485,0.9145,17047,20.37
44b6_e35b117d,39005,29664,22988,28641.0,1.3619,1.0357,9341,23.95
44b6_e57ff5c6,22140,19735,16188,20314.0,1.0899,0.9715,2405,10.86
44b6_eb2880fc,50593,45572,39215,48084.0,1.0522,0.9478,5021,9.92
44b6_f28707c6,22080,19779,17135,18656.0,1.1835,1.0602,2301,10.42
6bba_05b6850b,7879,6821,5728,6362.0,1.2384,1.0721,1058,13.43
6bba_05db0fb1,81678,63867,49223,69800.0,1.1702,0.915,17811,21.81
6bba_062c8d37,6721,5881,4773,6030.0,1.1146,0.9753,840,12.5
6bba_07477033,5708,5119,4448,4836.0,1.1803,1.0585,589,10.32
6bba_07e24132,38367,30177,23788,21485.0,1.7858,1.4046,8190,21.35
6bba_085bf656,9308,8267,7460,8463.0,1.0998,0.9768,1041,11.18
6bba_09961292,38969,30136,23384,31117.0,1.2523,0.9685,8833,22.67
6bba_0c7fa718,15769,13225,10322,13650.0,1.1552,0.9689,2544,16.13
6bba_0e7c0d07,26439,22230,17816,22467.0,1.1768,0.9895,4209,15.92
6bba_12665c0e,8834,8052,7003,8314.0,1.0625,0.9685,782,8.85
6bba_13f19531,6420,5913,5327,5773.0,1.1121,1.0243,507,7.9
6bba_15403b9a,7344,6606,5602,6889.0,1.066,0.9589,738,10.05
6bba_1d0d8384,21469,19481,16584,17909.0,1.1988,1.0878,1988,9.26
6bba_1ebfb80d,13186,11681,9841,11558.0,1.1409,1.0106,1505,11.41
6bba_1f58c2f6,35684,28102,21773,28903.0,1.2346,0.9723,7582,21.25
6bba_207c6aaf,14719,12248,9721,11999.0,1.2267,1.0208,2471,16.79
6bba_20852818,11104,9532,7817,9758.0,1.1379,0.9768,1572,14.16
6bba_2312ac41,12500,11827,10858,11950.0,1.046,0.9897,673,5.38
6bba_23af9eeb,5285,4904,4427,4450.0,1.1876,1.102,381,7.21
6bba_2540cd90,4392,3654,2930,3783.0,1.161,0.9659,738,16.8
6bba_2646afc7,6426,5722,4890,5495.0,1.1694,1.0413,704,10.96
6bba_268e1230,5841,5026,4037,5107.0,1.1437,0.9841,815,13.95
6bba_2819ca14,6164,5448,4565,5534.0,1.1138,0.9845,716,11.62
6bba_283bf9f1,21678,20358,17999,20861.0,1.0392,0.9759,1320,6.09
6bba_312f0dc3,10546,9537,8292,9963.0,1.0585,0.9572,1009,9.57
6bba_32db13fc,46191,39336,31553,38705.0,1.1934,1.0163,6855,14.84
6bba_337b1b3a,32564,29853,26168,30480.0,1.0684,0.9794,2711,8.33
6bba_372c8cb8,8325,7155,6300,7021.0,1.1857,1.0191,1170,14.05
6bba_3a1849c2,7959,6946,5872,7003.0,1.1365,0.9919,1013,12.73
6bba_3abfe10a,62567,50869,39639,52065.0,1.2017,0.977,11698,18.7
6bba_3c5691b6,7425,6710,6027,6258.0,1.1865,1.0722,715,9.63
6bba_3db54e20,24686,22610,18856,23236.0,1.0624,0.9731,2076,8.41
6bba_3fda6b25,10400,9547,8514,9842.0,1.0567,0.97,853,8.2
6bba_43fea39d,6380,5777,4911,5748.0,1.11,1.005,603,9.45
6bba_474be664,34179,28483,23776,28293.0,1.208,1.0067,5696,16.67
6bba_48816121,25482,23673,21269,23965.0,1.0633,0.9878,1809,7.1
6bba_4aa14c89,7103,6636,5946,6787.0,1.0466,0.9778,467,6.57
6bba_4f99ce20,6672,5789,4697,5965.0,1.1185,0.9705,883,13.23
6bba_4ffd3da3,18722,17311,15320,17637.0,1.0615,0.9815,1411,7.54
6bba_55b7eebe,5682,5086,4474,5257.0,1.0808,0.9675,596,10.49
6bba_55c70843,42213,33754,27043,35415.0,1.192,0.9531,8459,20.04
6bba_57b7cc1e,84501,69702,56042,65511.0,1.2899,1.064,14799,17.51
6bba_5a4d9360,6268,5703,4806,5976.0,1.0489,0.9543,565,9.01
6bba_5b28472a,7002,5876,4802,5802.0,1.2068,1.0128,1126,16.08
6bba_5c039895,9587,8449,7596,8570.0,1.1187,0.9859,1138,11.87
6bba_5c824876,26484,24457,21631,24647.0,1.0745,0.9923,2027,7.65
6bba_5dfe9ad1,29905,27142,23778,26913.0,1.1112,1.0085,2763,9.24
6bba_5f89039d,4890,4608,4239,4611.0,1.0605,0.9993,282,5.77
6bba_61dd1e0d,10913,9767,8582,10128.0,1.0775,0.9644,1146,10.5
6bba_61ecbe65,6158,5565,4715,5774.0,1.0665,0.9638,593,9.63
6bba_6321a359,5589,4849,4157,4821.0,1.1593,1.0058,740,13.24
6bba_6479435d,28656,23633,18518,23453.0,1.2218,1.0077,5023,17.53
6bba_67ebd073,19119,16020,12742,16061.0,1.1904,0.9974,3099,16.21
6bba_6ca87370,8309,7436,6320,7195.0,1.1548,1.0335,873,10.51
6bba_6db0e9b4,32475,27811,23391,28435.0,1.1421,0.9781,4664,14.36
6bba_6feb10f0,8948,8182,6974,8862.0,1.0097,0.9233,766,8.56
6bba_6feeb0b1,8967,7574,6069,7518.0,1.1927,1.0074,1393,15.53
6bba_705ec2c9,6463,5621,4692,5600.0,1.1541,1.0037,842,13.03
6bba_718b21f9,4928,4438,3719,4306.0,1.1444,1.0307,490,9.94
6bba_74686d6a,28174,26101,22829,29803.0,0.9453,0.8758,2073,7.36
6bba_767a1e17,54227,45437,35084,47714.0,1.1365,0.9523,8790,16.21
6bba_76db78c1,5168,4700,4204,4855.0,1.0645,0.9681,468,9.06
6bba_784a78c9,13689,12820,11778,13096.0,1.0453,0.9789,869,6.35
6bba_786893ac,77375,58039,44928,58979.0,1.3119,0.9841,19336,24.99
6bba_789f8168,11959,10653,9038,10676.0,1.1202,0.9978,1306,10.92
6bba_78a7bd97,41877,38868,32822,40613.0,1.0311,0.957,3009,7.19
6bba_7af54fde,10592,9371,8250,9624.0,1.1006,0.9737,1221,11.53
6bba_7b5d3b2c,6016,5635,5134,5780.0,1.0408,0.9749,381,6.33
6bba_7d3058ae,8447,7560,6277,7611.0,1.1098,0.9933,887,10.5
6bba_7f87b3d8,12399,10466,8201,10581.0,1.1718,0.9891,1933,15.59
6bba_80d12824,10688,9275,7568,9021.0,1.1848,1.0282,1413,13.22
6bba_825bd1c6,9640,7727,5974,7586.0,1.2708,1.0186,1913,19.84
6bba_87289e13,16170,14656,12246,14966.0,1.0804,0.9793,1514,9.36
6bba_8b7818bf,6929,6086,5227,5828.0,1.1889,1.0443,843,12.17
6bba_907271db,8202,7133,6209,7306.0,1.1226,0.9763,1069,13.03
6bba_91951b3a,12881,11647,10315,11907.0,1.0818,0.9782,1234,9.58
6bba_96833384,5260,4779,4289,4869.0,1.0803,0.9815,481,9.14
6bba_969618f6,14630,13423,11798,13888.0,1.0534,0.9665,1207,8.25
6bba_971fa5e0,6604,5733,4579,5609.0,1.1774,1.0221,871,13.19
6bba_9a41d029,20674,18091,15716,18231.0,1.134,0.9923,2583,12.49
6bba_9e23430b,7988,7298,6411,7708.0,1.0363,0.9468,690,8.64
6bba_a5e926bb,9095,8200,6873,8440.0,1.0776,0.9716,895,9.84
6bba_a90a0b9c,41202,36470,31124,36896.0,1.1167,0.9885,4732,11.48
6bba_ab78413d,11794,9104,7249,9241.0,1.2763,0.9852,2690,22.81
6bba_acd782a8,21431,19348,16464,19710.0,1.0873,0.9816,2083,9.72
6bba_ae82a791,8368,7380,6143,7403.0,1.1304,0.9969,988,11.81
6bba_aeee7805,5401,4944,4532,5034.0,1.0729,0.9821,457,8.46
6bba_af149c94,9746,8706,7638,8933.0,1.091,0.9746,1040,10.67
6bba_afb141ff,7185,6217,5108,6054.0,1.1868,1.0269,968,13.47
6bba_b1ae37b9,27101,23904,20146,24298.0,1.1154,0.9838,3197,11.8
6bba_b204cac7,5737,5065,4122,5092.0,1.1267,0.9947,672,11.71
6bba_b329af44,75221,58957,45981,62465.0,1.2042,0.9438,16264,21.62
6bba_b693381b,7042,5894,4526,5558.0,1.267,1.0605,1148,16.3
6bba_bb9f20c3,28147,22268,17256,23071.0,1.22,0.9652,5879,20.89
6bba_bbb708ca,7461,6673,5645,6785.0,1.0996,0.9835,788,10.56
6bba_c27cba08,6721,6149,5611,6445.0,1.0428,0.9541,572,8.51
6bba_c328f2fd,34132,30608,25876,31228.0,1.093,0.9801,3524,10.32
6bba_c73a1d11,20080,17348,13884,16315.0,1.2308,1.0633,2732,13.61
6bba_cdcfe533,31517,28841,25115,29785.0,1.0582,0.9683,2676,8.49
6bba_cf35214c,39548,35692,31602,34890.0,1.1335,1.023,3856,9.75
6bba_cff5865f,51949,44778,37140,46362.0,1.1205,0.9658,7171,13.8
6bba_d0fc38b5,6990,6398,5687,6111.0,1.1438,1.047,592,8.47
6bba_d1acb6ff,15971,14456,12320,14719.0,1.0851,0.9821,1515,9.49
6bba_d2b9fc0c,24858,20863,17243,20178.0,1.2319,1.0339,3995,16.07
6bba_d3da753b,20870,17072,13485,17246.0,1.2101,0.9899,3798,18.2
6bba_d5eae175,4983,4497,3782,4519.0,1.1027,0.9951,486,9.75
6bba_d6ecebbb,6487,5777,4973,5359.0,1.2105,1.078,710,10.94
6bba_d82a4fc6,31734,27499,23210,27716.0,1.145,0.9922,4235,13.35
6bba_debd7bfa,12834,11423,9585,11807.0,1.087,0.9675,1411,10.99
6bba_df673a83,20892,19209,17083,19239.0,1.0859,0.9984,1683,8.06
6bba_e16ffc58,7897,6559,5298,6367.0,1.2403,1.0302,1338,16.94
6bba_e5e44988,6072,5523,4553,5615.0,1.0814,0.9836,549,9.04
6bba_ebdf3b34,64864,55197,44401,56847.0,1.141,0.971,9667,14.9
6bba_ebff6e76,46641,40734,34402,41596.0,1.1213,0.9793,5907,12.66
6bba_ed9377fd,5375,4747,4068,4443.0,1.2098,1.0684,628,11.68
6bba_edf14583,63513,53508,43909,59242.0,1.0721,0.9032,10005,15.75
6bba_eebc57a5,9520,9024,8022,9347.0,1.0185,0.9654,496,5.21
6bba_ef7b4f7e,6505,5752,5122,6107.0,1.0652,0.9419,753,11.58
6bba_f17befbc,26704,24547,20955,24963.0,1.0697,0.9833,2157,8.08
6bba_f1fde7e0,10066,8818,6998,9040.0,1.1135,0.9754,1248,12.4
6bba_f20478e9,6696,6037,5013,5973.0,1.121,1.0107,659,9.84
6bba_f4ae811c,9415,8684,7735,8903.0,1.0575,0.9754,731,7.76
6bba_f8ffd5e7,35619,28956,23858,29540.0,1.2058,0.9802,6663,18.71
6bba_fbc898dc,5450,4899,4377,4889.0,1.1147,1.002,551,10.11
6bba_fc516dc6,9166,8036,6249,7866.0,1.1653,1.0216,1130,12.33
6bba_fc5f39dc,15472,14106,12239,14020.0,1.1036,1.0061,1366,8.83
6bba_fc83837d,13978,12675,10815,13087.0,1.0681,0.9685,1303,9.32
6bba_fe670320,12352,10210,8267,10836.0,1.1399,0.9422,2142,17.34
