dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_c771cb04,223,42902,133,42769,90,0.0031,0.5964,0.0062,133,60,90
44b6_c8e2a523,164,23983,134,23849,30,0.0056,0.8171,0.0111,134,16,30
44b6_c96cfa10,616,34660,451,34209,165,0.013,0.7321,0.0256,451,71,165
44b6_cf2536e8,75,46349,38,46311,37,0.0008,0.5067,0.0016,38,7,37
44b6_cf8fed6b,188,37102,161,36941,27,0.0043,0.8564,0.0086,161,17,27
44b6_d29c9ab2,1328,31241,981,30260,347,0.0314,0.7387,0.0602,982,134,346
44b6_d2f34f90,281,20633,171,20462,110,0.0083,0.6085,0.0164,171,55,110
44b6_d5e7d891,893,36030,465,35565,428,0.0129,0.5207,0.0252,465,194,428
44b6_d754aa59,70,4985,60,4925,10,0.012,0.8571,0.0237,60,0,10
44b6_d78e09d9,451,19280,346,18934,105,0.0179,0.7672,0.0351,346,54,105
44b6_db3c847b,162,13305,119,13186,43,0.0089,0.7346,0.0177,119,11,43
44b6_ddf577ad,647,43372,400,42972,247,0.0092,0.6182,0.0182,400,101,247
44b6_deabac95,124,12424,91,12333,33,0.0073,0.7339,0.0145,91,15,33
44b6_e28840c6,309,58876,185,58691,124,0.0031,0.5987,0.0063,185,28,124
44b6_e29f0176,50,10629,20,10609,30,0.0019,0.4,0.0037,20,7,30
44b6_e31261b4,113,52566,81,52485,32,0.0015,0.7168,0.0031,81,6,32
44b6_e35b117d,266,22988,130,22858,136,0.0057,0.4887,0.0112,130,38,136
44b6_e57ff5c6,186,16188,101,16087,85,0.0062,0.543,0.0123,101,33,85
44b6_eb2880fc,379,39215,285,38930,94,0.0073,0.752,0.0144,285,56,94
44b6_f28707c6,61,17135,36,17099,25,0.0021,0.5902,0.0042,36,19,25
6bba_05b6850b,845,5728,678,5050,167,0.1184,0.8024,0.2063,678,114,167
6bba_05db0fb1,1183,49223,752,48471,431,0.0153,0.6357,0.0298,751,136,432
6bba_062c8d37,898,4773,690,4083,208,0.1446,0.7684,0.2433,688,100,210
6bba_07477033,602,4448,495,3953,107,0.1113,0.8223,0.196,495,103,107
6bba_07e24132,345,23788,237,23551,108,0.01,0.687,0.0196,236,38,109
6bba_085bf656,1168,7460,918,6542,250,0.1231,0.786,0.2128,918,264,250
6bba_09961292,1871,23384,1177,22207,694,0.0503,0.6291,0.0932,1179,208,692
6bba_0c7fa718,659,10322,412,9910,247,0.0399,0.6252,0.075,412,105,247
6bba_0e7c0d07,198,17816,135,17681,63,0.0076,0.6818,0.015,135,36,63
6bba_12665c0e,998,7003,859,6144,139,0.1227,0.8607,0.2147,859,66,139
6bba_13f19531,704,5327,617,4710,87,0.1158,0.8764,0.2046,617,105,87
6bba_15403b9a,729,5602,496,5106,233,0.0885,0.6804,0.1567,496,123,233
6bba_1d0d8384,1365,16584,893,15691,472,0.0538,0.6542,0.0995,894,246,471
6bba_1ebfb80d,719,9841,513,9328,206,0.0521,0.7135,0.0972,511,100,208
6bba_1f58c2f6,299,21773,200,21573,99,0.0092,0.6689,0.0181,200,38,99
6bba_207c6aaf,450,9721,211,9510,239,0.0217,0.4689,0.0415,211,66,239
6bba_20852818,909,7817,670,7147,239,0.0857,0.7371,0.1536,670,94,239
6bba_2312ac41,1132,10858,1017,9841,115,0.0937,0.8984,0.1696,1017,61,115
6bba_23af9eeb,499,4427,427,4000,72,0.0965,0.8557,0.1734,431,90,68
6bba_2540cd90,523,2930,289,2641,234,0.0986,0.5526,0.1674,290,166,233
6bba_2646afc7,721,4890,471,4419,250,0.0963,0.6533,0.1679,471,187,250
6bba_268e1230,609,4037,392,3645,217,0.0971,0.6437,0.1687,392,67,217
6bba_2819ca14,949,4565,698,3867,251,0.1529,0.7355,0.2532,699,124,250
6bba_283bf9f1,1288,17999,1001,16998,287,0.0556,0.7772,0.1038,1001,137,287
6bba_312f0dc3,500,8292,345,7947,155,0.0416,0.69,0.0785,347,125,153
6bba_32db13fc,811,31553,475,31078,336,0.0151,0.5857,0.0294,475,158,336
6bba_337b1b3a,1213,26168,1047,25121,166,0.04,0.8631,0.0765,1050,86,163
6bba_372c8cb8,1007,6300,880,5420,127,0.1397,0.8739,0.2409,878,115,129
6bba_3a1849c2,1142,5872,762,5110,380,0.1298,0.6673,0.2173,762,136,380
6bba_3abfe10a,935,39639,566,39073,369,0.0143,0.6053,0.0279,566,148,369
6bba_3c5691b6,746,6027,650,5377,96,0.1078,0.8713,0.1919,650,126,96
6bba_3db54e20,474,18856,298,18558,176,0.0158,0.6287,0.0308,298,122,176
6bba_3fda6b25,1179,8514,1059,7455,120,0.1244,0.8982,0.2185,1059,94,120
6bba_43fea39d,880,4911,746,4165,134,0.1519,0.8477,0.2576,746,97,134
6bba_474be664,286,23776,51,23725,235,0.0021,0.1783,0.0042,51,52,235
6bba_48816121,918,21269,735,20534,183,0.0346,0.8007,0.0663,735,158,183
6bba_4aa14c89,681,5946,593,5353,88,0.0997,0.8708,0.179,595,44,86
6bba_4f99ce20,1010,4697,834,3863,176,0.1776,0.8257,0.2923,834,97,176
6bba_4ffd3da3,689,15320,400,14920,289,0.0261,0.5806,0.05,400,81,289
6bba_55b7eebe,688,4474,588,3886,100,0.1314,0.8547,0.2278,588,84,100
6bba_55c70843,467,27043,223,26820,244,0.0082,0.4775,0.0162,223,84,244
6bba_57b7cc1e,1592,56042,780,55262,812,0.0139,0.4899,0.0271,777,384,815
6bba_5a4d9360,722,4806,463,4343,259,0.0963,0.6413,0.1675,463,125,259
6bba_5b28472a,724,4802,626,4176,98,0.1304,0.8646,0.2266,626,75,98
6bba_5c039895,1145,7596,872,6724,273,0.1148,0.7616,0.1995,870,243,275
6bba_5c824876,1130,21631,956,20675,174,0.0442,0.846,0.084,956,70,174
6bba_5dfe9ad1,1487,23778,1159,22619,328,0.0487,0.7794,0.0917,1160,68,327
6bba_5f89039d,885,4239,742,3497,143,0.175,0.8384,0.2896,742,149,143
6bba_61dd1e0d,543,8582,450,8132,93,0.0524,0.8287,0.0986,448,78,95
6bba_61ecbe65,614,4715,468,4247,146,0.0993,0.7622,0.1756,467,93,147
6bba_6321a359,798,4157,696,3461,102,0.1674,0.8722,0.2809,698,51,100
6bba_6479435d,580,18518,318,18200,262,0.0172,0.5483,0.0333,318,81,262
6bba_67ebd073,438,12742,306,12436,132,0.024,0.6986,0.0464,306,87,132
6bba_6ca87370,1052,6320,794,5526,258,0.1256,0.7548,0.2154,794,206,258
6bba_6db0e9b4,440,23391,362,23029,78,0.0155,0.8227,0.0304,362,58,78
6bba_6feb10f0,1343,6974,146,6828,1197,0.0209,0.1087,0.0351,146,57,1197
6bba_6feeb0b1,1343,6069,846,5223,497,0.1394,0.6299,0.2283,847,301,496
6bba_705ec2c9,562,4692,418,4274,144,0.0891,0.7438,0.1591,418,56,144
6bba_718b21f9,652,3719,420,3299,232,0.1129,0.6442,0.1922,421,168,231
6bba_74686d6a,576,22829,443,22386,133,0.0194,0.7691,0.0379,444,59,132
6bba_767a1e17,658,35084,396,34688,262,0.0113,0.6018,0.0222,396,129,262
6bba_76db78c1,604,4204,493,3711,111,0.1173,0.8162,0.2051,493,128,111
6bba_784a78c9,1739,11778,1579,10199,160,0.1341,0.908,0.2336,1580,107,159
6bba_786893ac,1395,44928,687,44241,708,0.0153,0.4925,0.0297,687,270,708
6bba_789f8168,681,9038,553,8485,128,0.0612,0.812,0.1138,555,84,126
6bba_78a7bd97,832,32822,442,32380,390,0.0135,0.5312,0.0263,442,142,390
6bba_7af54fde,1092,8250,947,7303,145,0.1148,0.8672,0.2027,947,55,145
6bba_7b5d3b2c,555,5134,456,4678,99,0.0888,0.8216,0.1603,456,78,99
6bba_7d3058ae,1173,6277,929,5348,244,0.148,0.792,0.2494,929,123,244
6bba_7f87b3d8,934,8201,610,7591,324,0.0744,0.6531,0.1336,610,170,324
6bba_80d12824,654,7568,506,7062,148,0.0669,0.7737,0.1231,508,89,146
6bba_825bd1c6,930,5974,592,5382,338,0.0991,0.6366,0.1715,591,193,339
6bba_87289e13,699,12246,562,11684,137,0.0459,0.804,0.0868,562,85,137
6bba_8b7818bf,725,5227,592,4635,133,0.1133,0.8166,0.1989,594,122,131
6bba_907271db,921,6209,583,5626,338,0.0939,0.633,0.1635,584,303,337
6bba_91951b3a,1148,10315,991,9324,157,0.0961,0.8632,0.1729,993,98,155
6bba_96833384,721,4289,577,3712,144,0.1345,0.8003,0.2303,581,121,140
6bba_969618f6,658,11798,524,11274,134,0.0444,0.7964,0.0841,524,46,134
6bba_971fa5e0,767,4579,563,4016,204,0.123,0.734,0.2106,563,110,204
6bba_9a41d029,1353,15716,1042,14674,311,0.0663,0.7701,0.1221,1041,189,312
6bba_9e23430b,891,6411,745,5666,146,0.1162,0.8361,0.2041,745,99,146
6bba_a5e926bb,698,6873,559,6314,139,0.0813,0.8009,0.1477,557,89,141
6bba_a90a0b9c,1112,31124,637,30487,475,0.0205,0.5728,0.0395,637,286,475
6bba_ab78413d,1138,7249,264,6985,874,0.0364,0.232,0.063,264,64,874
6bba_acd782a8,330,16464,242,16222,88,0.0147,0.7333,0.0288,242,56,88
6bba_ae82a791,1471,6143,1169,4974,302,0.1903,0.7947,0.3071,1169,98,302
6bba_aeee7805,768,4532,708,3824,60,0.1562,0.9219,0.2672,708,59,60
6bba_af149c94,1317,7638,1055,6583,262,0.1381,0.8011,0.2356,1055,176,262
6bba_afb141ff,626,5108,508,4600,118,0.0995,0.8115,0.1772,510,74,116
6bba_b1ae37b9,579,20146,468,19678,111,0.0232,0.8083,0.0452,468,65,111
6bba_b204cac7,811,4122,513,3609,298,0.1245,0.6326,0.208,515,197,296
6bba_b329af44,1268,45981,744,45237,524,0.0162,0.5868,0.0315,744,188,524
6bba_b693381b,935,4526,691,3835,244,0.1527,0.739,0.2531,691,41,244
6bba_bb9f20c3,1879,17256,1186,16070,693,0.0687,0.6312,0.124,1185,241,694
6bba_bbb708ca,861,5645,746,4899,115,0.1322,0.8664,0.2293,746,63,115
6bba_c27cba08,493,5611,401,5210,92,0.0715,0.8134,0.1314,401,72,92
6bba_c328f2fd,500,25876,322,25554,178,0.0124,0.644,0.0244,322,59,178
6bba_c73a1d11,710,13884,260,13624,450,0.0187,0.3662,0.0356,260,88,450
6bba_cdcfe533,1348,25115,1160,23955,188,0.0462,0.8605,0.0877,1158,112,190
6bba_cf35214c,817,31602,714,30888,103,0.0226,0.8739,0.044,714,40,103
6bba_cff5865f,1501,37140,1153,35987,348,0.031,0.7682,0.0597,1153,113,348
6bba_d0fc38b5,813,5687,656,5031,157,0.1154,0.8069,0.2018,656,192,157
6bba_d1acb6ff,643,12320,470,11850,173,0.0381,0.7309,0.0725,470,75,173
6bba_d2b9fc0c,921,17243,706,16537,215,0.0409,0.7666,0.0777,706,191,215
6bba_d3da753b,857,13485,590,12895,267,0.0438,0.6884,0.0823,590,203,267
6bba_d5eae175,519,3782,321,3461,198,0.0849,0.6185,0.1493,319,156,200
6bba_d6ecebbb,862,4973,582,4391,280,0.117,0.6752,0.1995,579,148,283
6bba_d82a4fc6,530,23210,436,22774,94,0.0188,0.8226,0.0367,436,54,94
6bba_debd7bfa,729,9585,512,9073,217,0.0534,0.7023,0.0993,512,69,217
6bba_df673a83,654,17083,539,16544,115,0.0316,0.8242,0.0608,539,47,115
6bba_e16ffc58,942,5298,594,4704,348,0.1121,0.6306,0.1904,594,181,348
6bba_e5e44988,634,4553,430,4123,204,0.0944,0.6782,0.1658,430,114,204
6bba_ebdf3b34,803,44401,571,43830,232,0.0129,0.7111,0.0253,571,75,232
6bba_ebff6e76,1264,34402,626,33776,638,0.0182,0.4953,0.0351,624,243,640
6bba_ed9377fd,508,4068,362,3706,146,0.089,0.7126,0.1582,362,135,146
6bba_edf14583,760,43909,551,43358,209,0.0125,0.725,0.0247,551,103,209
6bba_eebc57a5,989,8022,719,7303,270,0.0896,0.727,0.1596,719,246,270
6bba_ef7b4f7e,1201,5122,1127,3995,74,0.22,0.9384,0.3565,1127,33,74
6bba_f17befbc,1015,20955,728,20227,287,0.0347,0.7172,0.0663,726,199,289
6bba_f1fde7e0,446,6998,259,6739,187,0.037,0.5807,0.0696,259,74,187
6bba_f20478e9,963,5013,758,4255,205,0.1512,0.7871,0.2537,759,131,204
6bba_f4ae811c,965,7735,845,6890,120,0.1092,0.8756,0.1943,845,53,120
6bba_f8ffd5e7,370,23858,261,23597,109,0.0109,0.7054,0.0215,261,31,109
6bba_fbc898dc,639,4377,604,3773,35,0.138,0.9452,0.2408,605,33,34
6bba_fc516dc6,762,6249,548,5701,214,0.0877,0.7192,0.1563,551,143,211
6bba_fc5f39dc,458,12239,295,11944,163,0.0241,0.6441,0.0465,295,19,163
6bba_fc83837d,923,10815,641,10174,282,0.0593,0.6945,0.1092,641,145,282
6bba_fe670320,680,8267,472,7795,208,0.0571,0.6941,0.1055,474,148,206
