dataset,gt_nodes,est_nodes,pred_nodes,node_tp,node_fp,node_fn,node_recall,node_precision,node_f1,pre_pe_ratio,gt_edges,pred_edges,edge_tp,edge_fp,edge_fn,edge_recall,edge_precision,edge_f1,official_edge_tp,official_edge_fp,official_edge_fn,official_jaccard,official_dice,post_node_recall,final_pe_ratio,pass1_edges,pass2_edges
44b6_66f9292d,200,52710,77420,181,77239,19,0.905,0.0023378971841901317,0.004663746457098686,1.4687915006640107,198,69610,143,69467,55,0.7222222222222222,0.0020543025427381123,0.004096951638780656,143,32,55,0.6217391304347826,0.7667560321715817,0.895,1.417833428191994,66953,2657
44b6_706092f0,118,69898,118239,118,118121,0,1.0,0.0009979786703202835,0.001993967403702358,1.6915934647629403,117,102720,92,102628,25,0.7863247863247863,0.0008956386292834891,0.0017892392815815322,92,26,25,0.6433566433566433,0.7829787234042553,1.0,1.6077856304901428,96903,5817
44b6_71a4179f,121,67688,106063,121,105942,0,1.0,0.0011408313926628514,0.0022790627589844045,1.5669394870582674,119,92191,92,92099,27,0.773109243697479,0.0009979282142508488,0.0019932835012458025,92,39,27,0.5822784810126582,0.736,1.0,1.4892152227869047,87239,4952
44b6_74d0c52e,140,15090,45490,132,45358,8,0.9428571428571428,0.002901736645416575,0.005785667324128862,3.0145791915175613,139,35260,109,35151,30,0.7841726618705036,0.0030913216108905276,0.006158366055538292,109,22,30,0.6770186335403726,0.8074074074074075,0.9428571428571428,2.7416169648774025,32198,3062
44b6_7a302da0,516,66858,102107,502,101605,14,0.9728682170542635,0.004916411215685507,0.009783381892947975,1.5272218732238476,507,88299,406,87893,101,0.8007889546351085,0.004598013567537571,0.009143526338310476,406,98,101,0.6710743801652893,0.8031651829871415,0.9689922480620154,1.4572975560142392,83907,4392
44b6_7e557709,570,56060,73684,567,73117,3,0.9947368421052631,0.007695021985777102,0.015271904543862956,1.3143774527292187,560,65674,482,65192,78,0.8607142857142858,0.007339281907604227,0.014554458435244737,483,87,77,0.7465224111282844,0.8548672566371681,0.9947368421052631,1.2677131644666428,63378,2296
44b6_808952d6,181,15742,21116,181,20935,0,1.0,0.00857169918545179,0.016997699206461003,1.3413797484436538,179,18877,179,18698,0,1.0,0.009482438946866557,0.018786733837111668,179,0,0,1.0,1.0,1.0,1.2889721763435396,18356,521
44b6_81c256f0,199,10052,12906,199,12707,0,1.0,0.015419184875251821,0.03037008775276612,1.2839235972940708,197,11682,195,11487,2,0.9898477157360406,0.016692347200821776,0.032831046384375784,195,2,2,0.9798994974874372,0.9898477157360406,1.0,1.241941902109033,11464,218
44b6_87bba6c4,153,28102,39218,144,39074,9,0.9411764705882353,0.003671783364781478,0.007315028828325418,1.395559034944132,149,30700,88,30612,61,0.5906040268456376,0.0028664495114006515,0.005705209245032254,88,48,61,0.4467005076142132,0.6175438596491228,0.9084967320261438,1.2980570777880578,29291,1409
44b6_8cc6506c,400,32172,58067,387,57680,13,0.9675,0.006664714898307128,0.013238236954179281,1.8048924530647767,396,48420,313,48107,83,0.7904040404040404,0.0064642709624122266,0.01282366437233694,313,67,83,0.6760259179265659,0.8067010309278351,0.9625,1.707509635708069,45389,3031
44b6_8f5ab931,616,27571,37144,574,36570,42,0.9318181818181818,0.015453370665517984,0.030402542372881355,1.3472126509738493,604,32978,476,32502,128,0.7880794701986755,0.014433865000909697,0.028348520040497885,476,80,128,0.695906432748538,0.8206896551724138,0.926948051948052,1.3019476986688912,31907,1071
44b6_8f9ecab4,374,74833,105856,370,105486,4,0.9893048128342246,0.0034953143893591294,0.006966017132636731,1.4145630938222442,370,94236,327,93909,43,0.8837837837837837,0.0034700114605883104,0.006912880789801915,327,38,43,0.8014705882352942,0.889795918367347,0.9893048128342246,1.359627437093261,90414,3822
44b6_90724892,105,25532,35320,105,35215,0,1.0,0.00297281993204983,0.005928016937191249,1.3833620554598152,103,29733,92,29641,11,0.8932038834951457,0.003094205091985336,0.0061670465209813655,92,15,11,0.7796610169491526,0.8761904761904762,1.0,1.3136064546451511,28646,1087
44b6_949adeb1,388,37179,53515,358,53157,30,0.9226804123711341,0.006689713164533309,0.013283119677940004,1.4393878264611744,378,45303,275,45028,103,0.7275132275132276,0.006070238174072358,0.0120400166371139,275,73,103,0.6097560975609756,0.7575757575757576,0.9175257731958762,1.3713386589203582,43574,1729
44b6_95029e92,200,5161,5702,200,5502,0,1.0,0.035075412136092596,0.06777363605557438,1.1048246463863591,198,5183,195,4988,3,0.9848484848484849,0.037622998263553926,0.07247723471473703,195,0,3,0.9848484848484849,0.9923664122137404,1.0,1.0654911838790933,5106,77
44b6_97725144,225,35774,59791,212,59579,13,0.9422222222222222,0.0035456841330635046,0.007064782724606772,1.6713534969530943,221,50316,178,50138,43,0.8054298642533937,0.0035376421019158917,0.007044343748144924,176,22,45,0.7242798353909465,0.8400954653937948,0.9377777777777778,1.580784927601051,47933,2383
44b6_996155de,380,7573,13688,367,13321,13,0.9657894736842105,0.02681180596142607,0.05217514927495025,1.8074739205070647,377,12130,352,11778,25,0.9336870026525199,0.02901896125309151,0.05628847845206684,352,7,25,0.9166666666666666,0.9565217391304348,0.9631578947368421,1.7256041198996435,11786,344
44b6_9be80b04,222,57877,104216,210,104006,12,0.9459459459459459,0.002015045674368619,0.0040215247323771046,1.8006461979715604,220,89067,167,88900,53,0.759090909090909,0.001874992982810693,0.003740746133255681,163,54,57,0.5948905109489051,0.7459954233409611,0.9459459459459459,1.705599806486169,83364,5703
44b6_9bfa6a0a,264,64308,90809,262,90547,2,0.9924242424242424,0.002885176579413935,0.005753626211939873,1.412094918206133,259,80506,179,80327,80,0.6911196911196911,0.002223436762477331,0.004432613136878598,179,93,80,0.5085227272727273,0.6741996233521658,0.9924242424242424,1.356969583877589,77090,3416
44b6_a21120c2,296,23040,25747,295,25452,1,0.9966216216216216,0.011457645550937973,0.022654840072188303,1.1174913194444445,286,22956,254,22702,32,0.8881118881118881,0.01106464540860777,0.02185698304793047,254,28,32,0.8089171974522293,0.8943661971830986,0.9932432432432432,1.0880208333333334,22603,353
44b6_a2bb48bb,416,60613,95546,386,95160,30,0.9278846153846154,0.004039938877608691,0.008044851086888561,1.5763285103855609,410,78579,264,78315,146,0.6439024390243903,0.0033596762493796053,0.006684475053488461,263,126,147,0.4906716417910448,0.6583229036295369,0.9230769230769231,1.4831471796479303,73791,4788
44b6_aaf8b0ea,209,22099,35520,208,35312,1,0.9952153110047847,0.005855855855855856,0.01164320300036385,1.6073125480790986,206,30375,199,30176,7,0.9660194174757282,0.006551440329218107,0.013014616919001994,198,8,8,0.9252336448598131,0.9611650485436893,0.9952153110047847,1.5168559663333183,28817,1558
44b6_abf82518,96,27604,34826,96,34730,0,1.0,0.0027565611899155805,0.005497966897657637,1.2616287494566005,94,31372,89,31283,5,0.9468085106382979,0.0028369246461813083,0.005656899510582852,89,1,5,0.9368421052631579,0.967391304347826,0.9895833333333334,1.2213447326474425,30366,1006
44b6_b2c44266,170,59729,90252,163,90089,7,0.9588235294117647,0.0018060541594646102,0.0036053172900400343,1.5110247953255538,168,78491,126,78365,42,0.75,0.0016052795861945955,0.0032037020557088187,126,47,42,0.586046511627907,0.7390029325513197,0.9588235294117647,1.4409415861641748,74523,3968
44b6_c15fded2,104,20585,30751,104,30647,0,1.0,0.0033820038372735844,0.006741208880246313,1.493854748603352,102,24436,75,24361,27,0.7352941176470589,0.0030692421018169913,0.006112967642024614,75,27,27,0.5813953488372093,0.7352941176470589,1.0,1.3890211318921546,23251,1185
44b6_c50204e0,333,47078,72529,298,72231,35,0.8948948948948949,0.0041087013470473875,0.008179846833740494,1.5406134500191173,325,59636,200,59436,125,0.6153846153846154,0.0033536789858474745,0.00667100281849869,200,91,125,0.4807692307692308,0.6493506493506493,0.8798798798798799,1.4475763626322273,56203,3433
44b6_c771cb04,227,53345,82642,218,82424,9,0.960352422907489,0.0026378838847075335,0.0052613160530475805,1.5491986128034492,223,70613,157,70456,66,0.7040358744394619,0.002223386628524493,0.004432774295555932,157,65,66,0.5451388888888888,0.7056179775280899,0.960352422907489,1.4755272284187835,66920,3693
44b6_c8e2a523,168,33144,42099,168,41931,0,1.0,0.0039905936007981185,0.007949464120945418,1.2701846488052135,164,36753,148,36605,16,0.9024390243902439,0.004026882159279515,0.008017986293577485,148,17,16,0.8176795580110497,0.8996960486322189,0.9940476190476191,1.2216690803765387,35706,1047
44b6_c96cfa10,629,46236,63990,617,63373,12,0.9809220985691574,0.009642131583059854,0.019096550550147792,1.3839865040228394,616,55883,534,55349,82,0.8668831168831169,0.00955567882898198,0.0189029894334413,534,69,82,0.7795620437956204,0.8761279737489746,0.9777424483306836,1.3296781728523228,53845,2038
44b6_cf2536e8,76,57565,83339,61,83278,15,0.8026315789473685,0.0007319502273845378,0.0014625666846490436,1.447737340397811,75,73513,46,73467,29,0.6133333333333333,0.0006257396650932489,0.0012502038375822146,46,13,29,0.5227272727272727,0.6865671641791045,0.8026315789473685,1.3874229132285243,70341,3172
44b6_cf8fed6b,191,43729,52577,191,52386,0,1.0,0.003632767179565209,0.007239235900545785,1.2023371218184729,188,46111,169,45942,19,0.898936170212766,0.003665069072455596,0.007300373658178363,169,16,19,0.8284313725490197,0.9061662198391421,1.0,1.1639415490864187,44841,1270
44b6_d29c9ab2,1353,38055,49172,1343,47829,10,0.9926090169992609,0.027312291548035467,0.05316180108857002,1.2921298121140454,1328,43061,1142,41919,186,0.8599397590361446,0.026520517405540976,0.05145418910090337,1140,189,188,0.7514831905075807,0.8581106511102747,0.9889135254988913,1.240520299566417,41624,1437
44b6_d2f34f90,283,24074,41895,277,41618,6,0.9787985865724381,0.006611767514023153,0.013134809616387692,1.7402592007975408,281,34678,222,34456,59,0.7900355871886121,0.006401753272968453,0.012700592122200293,221,51,60,0.6656626506024096,0.7992766726943942,0.9717314487632509,1.6402758162332807,32503,2175
44b6_d5e7d891,906,44848,63326,837,62489,69,0.9238410596026491,0.01321731990019897,0.026061776061776062,1.4120139136639316,893,54245,612,53633,281,0.6853303471444568,0.011282145819891233,0.02219884653052341,610,207,283,0.5545454545454546,0.7134502923976608,0.9139072847682119,1.3482875490545845,51705,2540
44b6_d754aa59,72,5171,8700,72,8628,0,1.0,0.008275862068965517,0.016415868673050615,1.6824598723651132,70,6806,59,6747,11,0.8428571428571429,0.008668821627975316,0.01716114019778941,59,1,11,0.8309859154929577,0.9076923076923077,0.9722222222222222,1.5424482691935795,6540,266
44b6_d78e09d9,463,22259,27884,447,27437,16,0.9654427645788337,0.016030698608521014,0.031537728860196845,1.2527067702951615,451,24807,373,24434,78,0.8270509977827051,0.015036078526222437,0.029535196769340407,373,58,78,0.7328094302554028,0.8458049886621315,0.9632829373650108,1.2171256570376028,24294,513
44b6_db3c847b,165,15023,21671,160,21511,5,0.9696969696969697,0.007383138756864012,0.014654698662758746,1.442521467083805,162,18816,142,18674,20,0.8765432098765432,0.007546768707482993,0.014964695963747497,142,12,20,0.8160919540229885,0.8987341772151899,0.9636363636363636,1.3790854023830128,18224,592
44b6_ddf577ad,659,53492,73916,652,73264,7,0.9893778452200304,0.008820823637642729,0.017485752598055647,1.3818141030434457,647,65182,539,64643,108,0.8330757341576507,0.008269154060937069,0.01637576144252533,539,109,108,0.7129629629629629,0.8324324324324325,0.9878603945371776,1.3288716069692665,62524,2658
44b6_deabac95,126,13989,16196,114,16082,12,0.9047619047619048,0.007038775006174364,0.013968876363190786,1.1577668167846165,124,14435,96,14339,28,0.7741935483870968,0.0066505022514721165,0.013187718936740162,96,12,28,0.7058823529411765,0.8275862068965517,0.8809523809523809,1.1178783329759097,14113,322
44b6_e28840c6,311,74686,112130,306,111824,5,0.9839228295819936,0.0027289752965308123,0.005442854474791223,1.501352328414964,309,99649,282,99367,27,0.912621359223301,0.0028299330650583547,0.005642369795314031,280,29,29,0.8284023668639053,0.9061488673139159,0.9807073954983923,1.4380071231556115,95297,4352
44b6_e29f0176,51,12969,15741,36,15705,15,0.7058823529411765,0.002287021154945683,0.004559270516717325,1.213740458015267,50,12120,26,12094,24,0.52,0.0021452145214521452,0.0042728019720624484,26,9,24,0.4406779661016949,0.611764705882353,0.7058823529411765,1.1186675919500346,11657,463
44b6_e31261b4,116,72856,94245,116,94129,0,1.0,0.0012308345270306117,0.0024586428715253125,1.2935791149665092,113,79445,99,79346,14,0.8761061946902655,0.0012461451318522248,0.0024887503456597704,99,19,14,0.75,0.8571428571428571,1.0,1.2377292192818712,76376,3069
44b6_e35b117d,270,28641,65661,240,65421,30,0.8888888888888888,0.0036551377530040664,0.007280338535741912,2.2925526343353932,266,52983,186,52797,80,0.6992481203007519,0.00351055999094049,0.006986046686322747,186,42,80,0.6038961038961039,0.7530364372469636,0.8814814814814815,2.1329911665095493,49715,3268
44b6_e57ff5c6,193,20314,34348,185,34163,8,0.9585492227979274,0.005386048678234541,0.010711907588083725,1.6908535985034951,186,25175,111,25064,75,0.5967741935483871,0.004409136047666335,0.008753598044241157,111,51,75,0.46835443037974683,0.6379310344827587,0.9067357512953368,1.5234813429162155,23559,1616
44b6_eb2880fc,390,48084,57438,376,57062,14,0.9641025641025641,0.006546188934155089,0.013004081067994742,1.1945345645121037,379,51386,315,51071,64,0.8311345646437994,0.0061300743393142105,0.012170385395537525,315,53,64,0.7291666666666666,0.8433734939759037,0.9641025641025641,1.159720489143998,49903,1483
44b6_f28707c6,63,18656,25418,55,25363,8,0.873015873015873,0.002163820914312692,0.0043169420352419455,1.3624571183533447,61,20838,37,20801,24,0.6065573770491803,0.0017756022650926193,0.0035408392746064405,37,16,24,0.4805194805194805,0.6491228070175439,0.873015873015873,1.2750857632933104,20087,751
6bba_05b6850b,861,6362,7692,808,6884,53,0.9384436701509872,0.10504420176807072,0.18893955337308546,1.2090537566802892,845,6661,695,5966,150,0.8224852071005917,0.10433868788470199,0.18518518518518517,695,99,150,0.736228813559322,0.848078096400244,0.9314750290360047,1.1457088965734046,6516,145
6bba_05db0fb1,1229,69800,95285,1190,94095,39,0.96826688364524,0.012488849241748439,0.02465963487162484,1.3651146131805159,1183,82128,980,81148,203,0.8284023668639053,0.011932593025521137,0.02352630504975333,980,168,203,0.7253886010362695,0.8408408408408409,0.9617575264442636,1.2997134670487105,79693,2435
6bba_062c8d37,930,6030,6512,892,5620,38,0.9591397849462365,0.136977886977887,0.2397205052405268,1.0799336650082918,898,5377,752,4625,146,0.8374164810690423,0.1398549376976009,0.23968127490039842,752,85,146,0.7650050864699899,0.8668587896253602,0.953763440860215,1.0169154228855721,5285,92
6bba_07477033,613,4836,5553,597,4956,16,0.9738988580750407,0.10750945434900054,0.19364255595199484,1.1482630272952854,602,4803,525,4278,77,0.872093023255814,0.10930668332292318,0.1942645698427382,525,59,77,0.794251134644478,0.8853288364249579,0.9738988580750407,1.087055417700579,4696,107
6bba_07e24132,359,21485,62612,351,62261,8,0.9777158774373259,0.005605954130198684,0.011147988756729288,2.914219222713521,345,53000,275,52725,70,0.7971014492753623,0.005188679245283019,0.010310244633986314,276,69,69,0.6666666666666666,0.8,0.9749303621169917,2.717244589248313,50340,2660
6bba_085bf656,1198,8463,10663,1181,9482,17,0.9858096828046744,0.11075682265778862,0.19914003878256473,1.259955098664776,1168,9087,1027,8060,141,0.8792808219178082,0.11301859799713877,0.20029254022428086,1029,123,139,0.7970565453137103,0.8870689655172413,0.9841402337228714,1.1889400921658986,8944,143
6bba_09961292,1950,31117,44037,1926,42111,24,0.9876923076923076,0.04373594931534846,0.08376280253115012,1.4152071215091429,1871,38067,1575,36492,296,0.8417958311063602,0.041374418787926553,0.07887225199058541,1574,313,297,0.7206959706959707,0.8376796168174561,0.9830769230769231,1.3425137384709322,36665,1402
6bba_0c7fa718,704,13650,20506,689,19817,15,0.9786931818181818,0.033599921974056375,0.06496935407826496,1.5022710622710622,659,13782,426,13356,233,0.6464339908952959,0.03090988245537658,0.05899868430164115,426,162,233,0.5188794153471377,0.6832397754611067,0.9346590909090909,1.3037362637362637,12934,848
6bba_0e7c0d07,209,22467,31840,196,31644,13,0.937799043062201,0.006155778894472361,0.012231270866485693,1.417189655939823,198,22905,133,22772,65,0.6717171717171717,0.00580659244706396,0.01151365623512098,133,58,65,0.51953125,0.6838046272493573,0.9234449760765551,1.2699959941247163,21795,1110
6bba_12665c0e,1036,8314,9660,1013,8647,23,0.9777992277992278,0.10486542443064183,0.18941660433807034,1.1618955977868655,998,7764,837,6927,161,0.8386773547094188,0.10780525502318393,0.19105227117096554,836,74,162,0.7798507462686567,0.8763102725366876,0.9642857142857143,1.084796728409911,7652,112
6bba_13f19531,737,5773,6768,732,6036,5,0.9932157394843962,0.10815602836879433,0.19506995336442373,1.1723540620128183,704,5705,628,5077,76,0.8920454545454546,0.11007887817703768,0.19597441098455298,628,51,76,0.8317880794701987,0.9081706435285611,0.9918588873812755,1.1086090420924997,5633,72
6bba_15403b9a,758,6889,7963,704,7259,54,0.9287598944591029,0.08840889112143664,0.16144937507166607,1.1559007112788504,729,6309,517,5792,212,0.7091906721536351,0.08194642574100491,0.14691673770957658,517,125,212,0.6053864168618267,0.7541940189642596,0.9063324538258575,1.0704020902888662,6198,111
6bba_1d0d8384,1438,17909,26586,1317,25269,121,0.9158553546592489,0.04953735048521778,0.09399086497288038,1.4845049974872968,1365,22452,1002,21450,363,0.734065934065934,0.044628540887226086,0.08414157954402318,1007,277,358,0.6132764920828259,0.7602869007172518,0.913769123783032,1.4089005527946843,21676,776
6bba_1ebfb80d,745,11558,17090,704,16386,41,0.9449664429530201,0.041193680514921005,0.07894589290720493,1.478629520678318,719,13846,545,13301,174,0.7579972183588317,0.039361548461649576,0.07483693786474424,545,138,174,0.6359393232205367,0.7774607703281027,0.9355704697986578,1.3756705312337774,13340,506
6bba_1f58c2f6,317,28903,46356,309,46047,8,0.9747634069400631,0.0066658037794460265,0.013241060141837893,1.603847351486005,299,37606,228,37378,71,0.7625418060200669,0.006062862309205978,0.012030075187969926,228,62,71,0.631578947368421,0.7741935483870968,0.9526813880126183,1.4902605265889355,36440,1166
6bba_207c6aaf,475,11999,22883,395,22488,80,0.8315789473684211,0.017261722676222523,0.03382138881753575,1.9070755896324694,450,16603,245,16358,205,0.5444444444444444,0.014756369330843823,0.02873394710608104,245,92,205,0.45202952029520294,0.6226175349428208,0.8,1.696808067338945,15734,869
6bba_20852818,952,9758,11699,879,10820,73,0.9233193277310925,0.07513462689118729,0.1389613469290965,1.1989137118261939,909,9656,727,8929,182,0.7997799779977998,0.07528997514498757,0.13762423095125415,726,78,183,0.7355623100303952,0.8476357267950964,0.9054621848739496,1.1227710596433695,9501,155
6bba_2312ac41,1156,11950,13957,1122,12835,34,0.9705882352941176,0.08038976857490865,0.14848143982002251,1.1679497907949792,1132,12190,1019,11171,113,0.9001766784452296,0.08359310910582445,0.15298003302807386,1019,63,113,0.8527196652719665,0.9205058717253839,0.9653979238754326,1.1164016736401674,11957,233
6bba_23af9eeb,513,4450,5097,505,4592,8,0.9844054580896686,0.09907788895428683,0.1800356506238859,1.1453932584269664,499,4453,423,4030,76,0.8476953907815631,0.09499214013024927,0.17084006462035542,421,101,78,0.7016666666666667,0.8246816846229187,0.9727095516569201,1.0921348314606742,4381,72
6bba_2540cd90,529,3783,4299,528,3771,1,0.998109640831758,0.12281926029309141,0.2187241093620547,1.1363996827914353,523,3904,387,3517,136,0.739961759082218,0.09912909836065574,0.17483623221142985,387,178,136,0.5520684736091298,0.7113970588235294,0.996219281663516,1.1009780597409464,3839,65
6bba_2646afc7,738,5495,6157,696,5461,42,0.943089430894309,0.11304206594120514,0.20188542422044958,1.1204731574158326,721,5449,525,4924,196,0.7281553398058253,0.0963479537529822,0.17017828200972449,527,211,194,0.5654506437768241,0.7224126113776559,0.9390243902439024,1.0778889899909008,5380,69
6bba_268e1230,641,5107,6433,546,5887,95,0.8517940717628705,0.08487486398258977,0.1543681085665818,1.2596436263951438,609,4721,420,4301,189,0.6896551724137931,0.08896420249947046,0.1575984990619137,420,49,189,0.6382978723404256,0.7792207792207793,0.828393135725429,1.1204229488936754,4629,92
