dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_c50204e0,7.0,333,56899,47078.0,288,56611,45,0.0051,0.8649,0.0101,2.8493
44b6_c771cb04,7.0,227,64995,53345.0,211,64784,16,0.0032,0.9295,0.0065,2.6195
44b6_c8e2a523,7.0,168,37716,33144.0,167,37549,1,0.0044,0.994,0.0088,0.6451
44b6_c96cfa10,7.0,629,53101,46236.0,602,52499,27,0.0113,0.9571,0.0224,1.8183
44b6_cf2536e8,7.0,76,69123,57565.0,53,69070,23,0.0008,0.6974,0.0015,3.2371
44b6_cf8fed6b,7.0,191,47912,43729.0,191,47721,0,0.004,1.0,0.0079,1.1493
44b6_d29c9ab2,7.0,1353,44145,38055.0,1334,42811,19,0.0302,0.986,0.0586,1.3572
44b6_d2f34f90,7.0,283,28723,24074.0,264,28459,19,0.0092,0.9329,0.0182,2.7431
44b6_d5e7d891,7.0,906,53892,44848.0,783,53109,123,0.0145,0.8642,0.0286,2.7652
44b6_d754aa59,7.0,72,7365,5171.0,72,7293,0,0.0098,1.0,0.0194,0.7385
44b6_d78e09d9,7.0,463,24708,22259.0,429,24279,34,0.0174,0.9266,0.0341,1.8556
44b6_db3c847b,7.0,165,16872,15023.0,144,16728,21,0.0085,0.8727,0.0169,1.9766
44b6_ddf577ad,7.0,659,64326,53492.0,635,63691,24,0.0099,0.9636,0.0195,2.3279
44b6_deabac95,7.0,126,15128,13989.0,111,15017,15,0.0073,0.881,0.0146,2.2196
44b6_e28840c6,7.0,311,96125,74686.0,306,95819,5,0.0032,0.9839,0.0063,1.3821
44b6_e29f0176,7.0,51,13778,12969.0,31,13747,20,0.0022,0.6078,0.0045,3.7427
44b6_e31261b4,7.0,116,83724,72856.0,115,83609,1,0.0014,0.9914,0.0027,1.7206
44b6_e35b117d,7.0,270,39054,28641.0,206,38848,64,0.0053,0.763,0.0105,3.027
44b6_e57ff5c6,7.0,193,22176,20314.0,161,22015,32,0.0073,0.8342,0.0144,2.3543
44b6_eb2880fc,7.0,390,50595,48084.0,365,50230,25,0.0072,0.9359,0.0143,2.0586
44b6_f28707c6,7.0,63,22089,18656.0,53,22036,10,0.0024,0.8413,0.0048,3.1026
6bba_05b6850b,7.0,861,7881,6362.0,805,7076,56,0.1021,0.935,0.1842,3.464
6bba_05db0fb1,7.0,1229,81767,69800.0,1172,80595,57,0.0143,0.9536,0.0282,1.8998
6bba_062c8d37,7.0,930,6727,6030.0,893,5834,37,0.1327,0.9602,0.2333,2.0951
6bba_07477033,7.0,613,5713,4836.0,597,5116,16,0.1045,0.9739,0.1887,3.2097
6bba_07e24132,7.0,359,38387,21485.0,322,38065,37,0.0084,0.8969,0.0166,2.4235
6bba_085bf656,7.0,1198,9310,8463.0,1184,8126,14,0.1272,0.9883,0.2254,3.142
6bba_09961292,7.0,1950,38973,31117.0,1919,37054,31,0.0492,0.9841,0.0938,2.2458
6bba_0c7fa718,7.0,704,15776,13650.0,645,15131,59,0.0409,0.9162,0.0783,2.3307
6bba_0e7c0d07,7.0,209,26441,22467.0,183,26258,26,0.0069,0.8756,0.0137,3.3531
6bba_12665c0e,7.0,1036,8842,8314.0,1006,7836,30,0.1138,0.971,0.2037,2.2758
6bba_13f19531,7.0,737,6423,5773.0,734,5689,3,0.1143,0.9959,0.205,3.0144
6bba_15403b9a,7.0,758,7350,6889.0,699,6651,59,0.0951,0.9222,0.1724,3.1361
6bba_1d0d8384,7.0,1438,21497,17909.0,1280,20217,158,0.0595,0.8901,0.1116,2.425
6bba_1ebfb80d,7.0,745,13223,11558.0,667,12556,78,0.0504,0.8953,0.0955,3.2602
6bba_1f58c2f6,7.0,317,35733,28903.0,292,35441,25,0.0082,0.9211,0.0162,2.5289
6bba_207c6aaf,7.0,475,14724,11999.0,339,14385,136,0.023,0.7137,0.0446,3.0908
6bba_20852818,7.0,952,11139,9758.0,875,10264,77,0.0786,0.9191,0.1447,2.197
6bba_2312ac41,7.0,1156,12510,11950.0,1112,11398,44,0.0889,0.9619,0.1627,2.6882
6bba_23af9eeb,7.0,513,5289,4450.0,504,4785,9,0.0953,0.9825,0.1737,3.6014
6bba_2540cd90,7.0,529,4395,3783.0,528,3867,1,0.1201,0.9981,0.2145,3.694
6bba_2646afc7,7.0,738,6430,5495.0,667,5763,71,0.1037,0.9038,0.1861,3.6351
6bba_268e1230,7.0,641,5844,5107.0,531,5313,110,0.0909,0.8284,0.1638,2.938
6bba_2819ca14,7.0,986,6173,5534.0,948,5225,38,0.1536,0.9615,0.2648,3.2507
6bba_283bf9f1,7.0,1342,21689,20861.0,1229,20460,113,0.0567,0.9158,0.1067,2.1885
6bba_312f0dc3,7.0,520,10552,9963.0,488,10064,32,0.0462,0.9385,0.0882,3.2651
6bba_32db13fc,7.0,862,46220,38705.0,737,45483,125,0.0159,0.855,0.0313,2.5912
6bba_337b1b3a,7.0,1272,32571,30480.0,1258,31313,14,0.0386,0.989,0.0743,1.4796
6bba_372c8cb8,7.0,1036,8332,7021.0,1012,7320,24,0.1215,0.9768,0.2161,2.5799
6bba_3a1849c2,7.0,1173,7964,7003.0,903,7061,270,0.1134,0.7698,0.1977,3.0055
6bba_3abfe10a,7.0,997,62599,52065.0,917,61682,80,0.0146,0.9198,0.0288,2.8175
6bba_3c5691b6,7.0,765,7428,6258.0,764,6664,1,0.1029,0.9987,0.1865,2.8582
6bba_3db54e20,7.0,502,24687,23236.0,441,24246,61,0.0179,0.8785,0.035,3.8799
6bba_3fda6b25,7.0,1207,10432,9842.0,1188,9244,19,0.1139,0.9843,0.2041,2.1878
6bba_43fea39d,7.0,910,6387,5748.0,893,5494,17,0.1398,0.9813,0.2448,2.7577
6bba_474be664,7.0,292,34260,28293.0,131,34129,161,0.0038,0.4486,0.0076,4.5784
6bba_48816121,7.0,935,25497,23965.0,888,24609,47,0.0348,0.9497,0.0672,3.6769
6bba_4aa14c89,7.0,707,7107,6787.0,660,6447,47,0.0929,0.9335,0.1689,2.7325
6bba_4f99ce20,7.0,1057,6675,5965.0,1046,5629,11,0.1567,0.9896,0.2706,2.7185
6bba_4ffd3da3,7.0,706,18726,17637.0,510,18216,196,0.0272,0.7224,0.0525,3.2379
6bba_55b7eebe,7.0,705,5708,5257.0,700,5008,5,0.1226,0.9929,0.2183,3.2474
6bba_55c70843,7.0,490,42246,35415.0,403,41843,87,0.0095,0.8224,0.0189,3.3589
6bba_57b7cc1e,7.0,1659,85101,65511.0,1360,83741,299,0.016,0.8198,0.0314,3.7567
6bba_5a4d9360,7.0,747,6272,5976.0,624,5648,123,0.0995,0.8353,0.1778,3.4772
6bba_5b28472a,7.0,737,7007,5802.0,724,6283,13,0.1033,0.9824,0.187,2.9721
6bba_5c039895,7.0,1174,9591,8570.0,1140,8451,34,0.1189,0.971,0.2118,3.4467
6bba_5c824876,7.0,1170,26520,24647.0,1093,25427,77,0.0412,0.9342,0.0789,2.5699
6bba_5dfe9ad1,7.0,1542,29955,26913.0,1403,28552,139,0.0468,0.9099,0.0891,2.1001
6bba_5f89039d,7.0,904,4891,4611.0,889,4002,15,0.1818,0.9834,0.3068,3.1425
6bba_61dd1e0d,7.0,558,10920,10128.0,540,10380,18,0.0495,0.9677,0.0941,3.323
6bba_61ecbe65,7.0,640,6168,5774.0,609,5559,31,0.0987,0.9516,0.1789,2.935
6bba_6321a359,7.0,827,5601,4821.0,810,4791,17,0.1446,0.9794,0.252,2.56
6bba_6479435d,7.0,617,28673,23453.0,487,28186,130,0.017,0.7893,0.0333,2.6045
6bba_67ebd073,7.0,462,19127,16061.0,435,18692,27,0.0227,0.9416,0.0444,3.2086
6bba_6ca87370,7.0,1081,8318,7195.0,1030,7288,51,0.1238,0.9528,0.2192,3.1726
6bba_6db0e9b4,7.0,449,32511,28435.0,435,32076,14,0.0134,0.9688,0.0264,3.6762
6bba_6feb10f0,7.0,1368,8993,8862.0,231,8762,1137,0.0257,0.1689,0.0446,4.7501
6bba_6feeb0b1,7.0,1389,8971,7518.0,1319,7652,70,0.147,0.9496,0.2546,2.7592
6bba_705ec2c9,7.0,596,6479,5600.0,530,5949,66,0.0818,0.8893,0.1498,2.9667
6bba_718b21f9,7.0,661,4931,4306.0,645,4286,16,0.1308,0.9758,0.2307,3.7736
6bba_74686d6a,7.0,586,28292,29803.0,513,27779,73,0.0181,0.8754,0.0355,3.7488
6bba_767a1e17,7.0,718,54324,47714.0,648,53676,70,0.0119,0.9025,0.0235,2.5367
6bba_76db78c1,7.0,617,5188,4855.0,616,4572,1,0.1187,0.9984,0.2122,2.9411
6bba_784a78c9,7.0,1788,13698,13096.0,1746,11952,42,0.1275,0.9765,0.2255,2.7908
6bba_786893ac,7.0,1465,78477,58979.0,1352,77125,113,0.0172,0.9229,0.0338,2.9586
6bba_789f8168,7.0,713,11975,10676.0,701,11274,12,0.0585,0.9832,0.1105,2.4831
6bba_78a7bd97,7.0,886,41900,40613.0,645,41255,241,0.0154,0.728,0.0302,3.1524
6bba_7af54fde,7.0,1131,10618,9624.0,1059,9559,72,0.0997,0.9363,0.1803,2.76
6bba_7b5d3b2c,7.0,565,6018,5780.0,549,5469,16,0.0912,0.9717,0.1668,3.2494
6bba_7d3058ae,7.0,1200,8455,7611.0,1187,7268,13,0.1404,0.9892,0.2459,2.0807
6bba_7f87b3d8,7.0,1000,12425,10581.0,934,11491,66,0.0752,0.934,0.1391,2.4973
6bba_80d12824,7.0,680,10704,9021.0,656,10048,24,0.0613,0.9647,0.1152,2.8778
6bba_825bd1c6,7.0,968,9648,7586.0,944,8704,24,0.0978,0.9752,0.1778,3.1025
6bba_87289e13,7.0,724,16177,14966.0,722,15455,2,0.0446,0.9972,0.0854,2.1551
6bba_8b7818bf,7.0,741,6933,5828.0,729,6204,12,0.1051,0.9838,0.19,2.8002
6bba_907271db,7.0,945,8209,7306.0,905,7304,40,0.1102,0.9577,0.1977,3.6517
6bba_91951b3a,7.0,1188,12892,11907.0,1150,11742,38,0.0892,0.968,0.1634,3.0271
6bba_96833384,7.0,758,5265,4869.0,718,4547,40,0.1364,0.9472,0.2384,3.1296
6bba_969618f6,7.0,679,14637,13888.0,601,14036,78,0.0411,0.8851,0.0785,2.6056
6bba_971fa5e0,7.0,792,6607,5609.0,776,5831,16,0.1175,0.9798,0.2098,2.7686
6bba_9a41d029,7.0,1401,20680,18231.0,1310,19370,91,0.0633,0.935,0.1187,2.7993
6bba_9e23430b,7.0,914,7992,7708.0,872,7120,42,0.1091,0.954,0.1958,2.8938
6bba_a5e926bb,7.0,741,9108,8440.0,723,8385,18,0.0794,0.9757,0.1468,2.4279
6bba_a90a0b9c,7.0,1147,41402,36896.0,983,40419,164,0.0237,0.857,0.0462,3.5918
6bba_ab78413d,7.0,1179,11844,9241.0,389,11455,790,0.0328,0.3299,0.0597,4.0632
6bba_acd782a8,7.0,356,21438,19710.0,341,21097,15,0.0159,0.9579,0.0313,2.2403
6bba_ae82a791,7.0,1495,8369,7403.0,1456,6913,39,0.174,0.9739,0.2952,2.0772
6bba_aeee7805,7.0,795,5407,5034.0,792,4615,3,0.1465,0.9962,0.2554,2.341
6bba_af149c94,7.0,1350,9751,8933.0,1259,8492,91,0.1291,0.9326,0.2268,2.9027
6bba_afb141ff,7.0,654,7192,6054.0,632,6560,22,0.0879,0.9664,0.1611,2.6281
6bba_b1ae37b9,7.0,612,27115,24298.0,597,26518,15,0.022,0.9755,0.0431,2.6881
6bba_b204cac7,7.0,826,5741,5092.0,787,4954,39,0.1371,0.9528,0.2397,2.8504
6bba_b329af44,7.0,1316,75302,62465.0,1209,74093,107,0.0161,0.9187,0.0316,2.2237
6bba_b693381b,7.0,983,7060,5558.0,967,6093,16,0.137,0.9837,0.2405,2.1598
6bba_bb9f20c3,7.0,1925,28153,23071.0,1810,26343,115,0.0643,0.9403,0.1204,2.3179
6bba_bbb708ca,7.0,892,7474,6785.0,853,6621,39,0.1141,0.9563,0.2039,2.3802
6bba_c27cba08,7.0,517,6725,6445.0,486,6239,31,0.0723,0.94,0.1342,2.9043
6bba_c328f2fd,7.0,511,34173,31228.0,413,33760,98,0.0121,0.8082,0.0238,2.5917
6bba_c73a1d11,7.0,737,20100,16315.0,437,19663,300,0.0217,0.5929,0.0419,2.6496
6bba_cdcfe533,7.0,1419,31530,29785.0,1417,30113,2,0.0449,0.9986,0.086,1.6835
6bba_cf35214c,7.0,842,39629,34890.0,834,38795,8,0.021,0.9905,0.0412,2.1734
6bba_cff5865f,7.0,1571,51967,46362.0,1543,50424,28,0.0297,0.9822,0.0576,1.7889
6bba_d0fc38b5,7.0,835,6995,6111.0,819,6176,16,0.1171,0.9808,0.2092,3.4925
6bba_d1acb6ff,7.0,681,15976,14719.0,595,15381,86,0.0372,0.8737,0.0714,2.5865
6bba_d2b9fc0c,7.0,944,24865,20178.0,934,23931,10,0.0376,0.9894,0.0724,2.8881
6bba_d3da753b,7.0,887,20874,17246.0,884,19990,3,0.0423,0.9966,0.0812,2.3114
6bba_d5eae175,7.0,528,4988,4519.0,526,4462,2,0.1055,0.9962,0.1907,3.3495
6bba_d6ecebbb,7.0,886,6499,5359.0,741,5758,145,0.114,0.8363,0.2007,3.3459
6bba_d82a4fc6,7.0,545,31790,27716.0,538,31252,7,0.0169,0.9872,0.0333,2.2009
6bba_debd7bfa,7.0,766,12843,11807.0,666,12177,100,0.0519,0.8695,0.0979,2.179
6bba_df673a83,7.0,668,20899,19239.0,616,20283,52,0.0295,0.9222,0.0571,2.4171
6bba_e16ffc58,7.0,964,7899,6367.0,921,6978,43,0.1166,0.9554,0.2078,2.5496
6bba_e5e44988,7.0,666,6082,5615.0,607,5475,59,0.0998,0.9114,0.1799,3.3785
6bba_ebdf3b34,7.0,847,65009,56847.0,825,64184,22,0.0127,0.974,0.0251,1.9835
6bba_ebff6e76,7.0,1318,47415,41596.0,990,46425,328,0.0209,0.7511,0.0406,3.8478
6bba_ed9377fd,7.0,531,5386,4443.0,511,4875,20,0.0949,0.9623,0.1727,3.39
6bba_edf14583,7.0,801,63891,59242.0,791,63100,10,0.0124,0.9875,0.0245,2.5377
6bba_eebc57a5,7.0,1026,9525,9347.0,953,8572,73,0.1001,0.9288,0.1806,2.67
6bba_ef7b4f7e,7.0,1234,6511,6107.0,1221,5290,13,0.1875,0.9895,0.3153,2.14
6bba_f17befbc,7.0,1078,26720,24963.0,983,25737,95,0.0368,0.9119,0.0707,2.7055
6bba_f1fde7e0,7.0,476,10094,9040.0,410,9684,66,0.0406,0.8613,0.0776,3.0121
6bba_f20478e9,7.0,1003,6722,5973.0,992,5730,11,0.1476,0.989,0.2568,2.6151
6bba_f4ae811c,7.0,1001,9424,8903.0,955,8469,46,0.1013,0.954,0.1832,2.4266
6bba_f8ffd5e7,7.0,389,35655,29540.0,383,35272,6,0.0107,0.9846,0.0213,2.0473
6bba_fbc898dc,7.0,655,5452,4889.0,655,4797,0,0.1201,1.0,0.2145,2.1673
6bba_fc516dc6,7.0,788,9171,7866.0,764,8407,24,0.0833,0.9695,0.1534,2.8787
6bba_fc5f39dc,7.0,471,15474,14020.0,368,15106,103,0.0238,0.7813,0.0462,2.0638
6bba_fc83837d,7.0,957,14027,13087.0,818,13209,139,0.0583,0.8548,0.1092,3.6125
6bba_fe670320,7.0,716,12353,10836.0,692,11661,24,0.056,0.9665,0.1059,3.2468
