rank,feature_name,hierarchy,roc_auc,direction,cohens_d,best_f1,best_precision,best_recall,best_threshold,pos_mean,pos_std,pos_median,pos_iqr,neg_mean,neg_std,neg_median,neg_iqr
22,duration_frames,トラック (Track),0.5403,POS_HIGH,0.4358,0.0696,0.0476,0.1296,23.0,9.4239,16.7684,2.0,8.0,5.3373,9.1806,2.0,4.0
23,track_length,トラック (Track),0.5403,POS_HIGH,0.4356,0.0696,0.0476,0.1296,23.0,9.4306,16.8024,2.0,8.0,5.3396,9.1944,2.0,4.0
24,total_disp_um,トラック (Track),0.5392,POS_HIGH,0.4055,0.0679,0.0466,0.1254,31.3,11.7019,24.0278,1.62,9.48,5.9927,13.8206,0.0,5.14
25,path_length_um,トラック (Track),0.539,POS_HIGH,0.402,0.0713,0.0489,0.1314,50.73,18.9292,41.1456,1.62,17.6,9.6925,22.4882,0.0,9.02
26,max_step_um,トラック (Track),0.5357,POS_HIGH,0.2268,0.055,0.0371,0.106,6.89,2.6212,3.9365,1.62,3.98,1.9897,2.7572,0.0,3.63
27,local_snr,ノード (Node),0.5357,POS_LOW,-0.1217,0.0678,0.0371,0.3999,2.0885,2.2895,0.7858,2.2893,1.0586,2.3844,0.7793,2.3925,1.0465
28,dist_to_border_z_slices,ノード (Node),0.5346,POS_HIGH,0.1178,0.0659,0.0347,0.6538,13.0,16.8634,9.2492,18.0,16.0,15.7495,9.4651,16.0,17.0
29,step_velocity_cv,トラック (Track),0.5308,POS_HIGH,0.1344,0.0448,0.0245,0.2628,0.5872,0.2941,0.3972,0.0,0.6104,0.244,0.3726,0.0,0.4776
30,directed_motion_index,トラック (Track),0.5275,POS_HIGH,0.1821,0.0468,0.0321,0.0863,7.4104,2.2051,3.5781,0.2839,3.167,1.685,2.8403,0.0,2.2981
31,trajectory_aspect_ratio,トラック (Track),0.5262,POS_HIGH,-0.0145,0.0434,0.0244,0.1966,26.3034,10558.164,99401.9312,1.0,14.8458,14845.0498,297293.9096,1.0,7.9998
32,dy_um,エッジ (Edge),0.5206,POS_HIGH,0.0668,0.0658,0.0343,0.8006,0.0,0.1327,1.5328,0.0,1.62,0.0261,1.5993,0.0,0.0
33,cos_next_gap,エッジ (Edge),0.5184,POS_HIGH,0.0689,0.0649,0.0359,0.3351,0.3162,0.1728,0.4832,0.0,0.6325,0.1397,0.4805,0.0,0.5774
34,cos_gap_prev,エッジ (Edge),0.5181,POS_HIGH,0.0677,0.0647,0.0359,0.3305,0.4082,0.1747,0.4907,0.0,0.6325,0.1416,0.4895,0.0,0.5774
35,max_track_snr,トラック (Track),0.5172,POS_LOW,-0.0665,0.0433,0.0243,0.1959,1.8194,2.7281,0.9826,2.7674,1.4913,2.7878,0.895,2.8421,1.2721
36,dist_3d_um,エッジ (Edge),0.5166,POS_LOW,-0.0535,0.0647,0.0338,0.7651,2.81,2.1946,1.8255,2.3,1.19,2.2954,1.8871,2.3,1.63
37,velocity_um_per_frame,エッジ (Edge),0.5166,POS_LOW,-0.0535,0.0647,0.0338,0.7651,2.81,2.1946,1.8255,2.3,1.19,2.2954,1.8871,2.3,1.63
38,mean_step_um,トラック (Track),0.5159,POS_HIGH,0.0351,0.0387,0.0203,0.4355,1.49,1.2129,1.3942,0.92,2.21,1.1606,1.4908,0.0,2.09
39,net_velocity_um,トラック (Track),0.5146,POS_HIGH,0.0207,0.0379,0.0197,0.4787,0.46,0.892,1.19,0.33,1.62,0.8652,1.3014,0.0,1.53
40,dist_z_um,エッジ (Edge),0.5137,POS_LOW,-0.0454,0.0646,0.0345,0.4969,0.0,1.0952,1.4183,1.62,1.62,1.1643,1.5246,1.62,1.62
41,dead_reckoning_mean_um,エッジ (Edge),0.5127,POS_LOW,-0.0379,0.0651,0.0342,0.6755,3.14,2.3853,2.2486,2.3,3.63,2.4712,2.2682,2.3,3.63
42,dz_um,エッジ (Edge),0.5106,POS_LOW,-0.0415,0.0653,0.034,0.8246,0.0,-0.385,1.75,0.0,1.62,-0.3066,1.8936,0.0,1.62
43,snr_diff,エッジ (Edge),0.5103,POS_LOW,-0.0152,0.0634,0.0328,0.9468,1.9891,0.7401,0.65,0.5858,0.8488,0.7498,0.6315,0.6034,0.8288
44,straightness_ratio,トラック (Track),0.509,POS_HIGH,0.0325,0.0378,0.0197,0.4755,0.2975,0.3658,0.3983,0.2061,0.7644,0.3526,0.4048,0.0,0.755
45,dist_xy_um,エッジ (Edge),0.509,POS_LOW,-0.0322,0.064,0.0331,0.9493,3.63,1.5906,1.5499,1.62,2.3,1.6409,1.5659,1.62,2.3
46,std_track_intensity,トラック (Track),0.508,POS_HIGH,-0.0031,0.0374,0.0194,0.521,11.3,61.739,88.576,19.09,98.99,62.0276,94.2129,10.97,96.77
47,margin_fwd_um,エッジ (Edge),0.5079,POS_HIGH,0.068,0.0647,0.0335,0.9572,999.0,956.3186,201.8709,999.0,0.0,940.4565,234.4337,999.0,0.0
48,comp_count_15um,エッジ (Edge),0.5079,POS_LOW,-0.0672,0.0647,0.0335,0.9572,1.0,1.0437,0.2106,1.0,0.0,1.0602,0.2454,1.0,0.0
49,comp_count_10um,エッジ (Edge),0.5079,POS_LOW,-0.0674,0.0647,0.0335,0.9573,1.0,1.0434,0.2106,1.0,0.0,1.0598,0.2449,1.0,0.0
50,confinement_ratio,トラック (Track),0.5077,POS_HIGH,0.0279,0.0372,0.0194,0.4684,0.3582,0.3733,0.3985,0.2648,0.7676,0.362,0.4051,0.0,0.757
51,x,ノード (Node),0.5074,POS_HIGH,0.026,0.0649,0.0341,0.6867,92.0,128.8694,68.5423,128.0,112.0,126.9629,73.5987,128.0,124.0
52,x_norm,ノード (Node),0.5074,POS_HIGH,0.026,0.0649,0.0341,0.6867,0.3608,0.5054,0.2688,0.502,0.4392,0.4979,0.2886,0.502,0.4863
53,is_mnn,エッジ (Edge),0.5046,POS_HIGH,0.0543,0.0643,0.0332,0.9795,1.0,0.9795,0.1417,1.0,0.0,0.9703,0.1697,1.0,0.0
54,fwd_rank,エッジ (Edge),0.5046,POS_LOW,-0.0542,0.0643,0.0332,0.9795,1.0,1.0208,0.1456,1.0,0.0,1.0302,0.1746,1.0,0.0
55,ilp_selected,エッジ (Edge),0.5045,POS_HIGH,0.0538,0.0643,0.0332,0.9795,1.0,0.9795,0.1418,1.0,0.0,0.9704,0.1695,1.0,0.0
56,dead_reckoning_fwd_um,エッジ (Edge),0.5043,POS_LOW,-0.0181,0.0644,0.0337,0.7258,2.81,1.938,2.3286,1.62,3.25,1.98,2.3247,1.62,3.63
57,y,ノード (Node),0.5042,POS_LOW,-0.0153,0.064,0.0336,0.6901,160.0,124.706,67.6169,124.0,104.0,125.7787,70.2417,124.0,116.0
58,y_norm,ノード (Node),0.5042,POS_LOW,-0.0153,0.064,0.0336,0.6901,0.6275,0.489,0.2652,0.4863,0.4078,0.4932,0.2755,0.4863,0.4549
59,intensity_ratio,エッジ (Edge),0.5023,POS_HIGH,0.0041,0.0638,0.0339,0.538,1.0,1.009,0.129,1.0,0.1237,1.0084,0.1343,1.0,0.1245
60,dead_reckoning_bwd_um,エッジ (Edge),0.5017,POS_LOW,-0.0123,0.0641,0.0335,0.7397,2.81,1.8408,2.1775,1.62,3.25,1.8683,2.2505,1.62,3.25
61,neighbor_count_5um,ノード (Node),0.5011,POS_HIGH,0.0125,0.0628,0.0324,1.0,0.0,0.0752,0.279,0.0,0.0,0.0719,0.2694,0.0,0.0
62,z,ノード (Node),0.501,POS_LOW,-0.0056,0.0641,0.0334,0.7823,46.0,30.7196,17.2965,30.0,27.0,30.8222,18.3632,31.0,31.0
63,z_norm,ノード (Node),0.501,POS_LOW,-0.0056,0.0641,0.0334,0.7823,0.7302,0.4876,0.2745,0.4762,0.4286,0.4892,0.2915,0.4921,0.4921
64,snr_ratio,エッジ (Edge),0.5001,POS_HIGH,0.0158,0.0633,0.0337,0.5313,1.0,764.1958,13867.3173,1.0,0.5242,572.7644,12086.2105,1.0,0.5183
65,det_prob,ノード (Node),0.5,POS_HIGH,0.0,0.0628,0.0324,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
66,dt,エッジ (Edge),0.5,POS_HIGH,0.0,0.0637,0.0329,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
67,bwd_rank,エッジ (Edge),0.5,POS_HIGH,0.0,0.0637,0.0329,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
68,margin_bwd_um,エッジ (Edge),0.5,POS_HIGH,0.0,0.0637,0.0329,1.0,999.0,999.0,0.0,999.0,0.0,999.0,0.0,999.0,0.0
