dataset,gt_nodes,est_nodes,pred_nodes,node_tp,node_fp,node_fn,node_recall,node_precision,node_f1,pre_pe_ratio,gt_edges,pred_edges,edge_tp,edge_fp,edge_fn,edge_recall,edge_precision,edge_f1,official_edge_tp,official_edge_fp,official_edge_fn,official_jaccard,official_dice,post_node_recall,final_pe_ratio,pass1_edges,pass2_edges
44b6_267148e4,280,19130,29151,259,28892,21,0.925,0.008884772392027718,0.017600489280010873,1.5238369053842133,277,16508,158,16350,119,0.5703971119133574,0.009571117034165253,0.01882633303544832,158,16350,119,,,0.7214285714285714,0.924986931521171,15946,562
44b6_2a2eff9f,214,56367,74612,211,74401,3,0.985981308411215,0.002827963330295395,0.005639750888728517,1.323682296379087,210,49800,185,49615,25,0.8809523809523809,0.003714859437751004,0.007398520295940812,185,49615,25,,,0.9579439252336449,0.9249915730835417,48428,1372
44b6_2f31fc2f,89,24368,39819,79,39740,10,0.8876404494382022,0.0019839774981792613,0.003959105943670442,1.634069271175312,85,20587,38,20549,47,0.4470588235294118,0.0018458250352163987,0.003676470588235294,38,20549,47,,,0.7078651685393258,0.9249835850295469,19752,835
44b6_33b596bf,50,23330,30195,45,30150,5,0.9,0.0014903129657228018,0.002975698462555794,1.2942563223317616,49,20150,41,20109,8,0.8367346938775511,0.002034739454094293,0.004059606911233229,41,20109,8,,,0.9,0.9249892841834548,19632,518
44b6_341df25f,216,7436,7986,207,7779,9,0.9583333333333334,0.025920360631104433,0.05047549378200439,1.0739644970414202,209,6639,196,6443,13,0.937799043062201,0.029522518451574033,0.05724299065420561,196,6443,13,,,0.9490740740740741,0.9249596557288865,6562,77
44b6_3a861e03,935,40546,53186,926,52260,9,0.9903743315508021,0.017410596773587035,0.034219619001866194,1.3117446850490802,919,35775,716,35059,203,0.779107725788901,0.020013976240391335,0.03902545375265711,716,35059,203,,,0.8609625668449198,0.9249987668327332,34958,817
44b6_3bb3690f,400,31937,61193,394,60799,6,0.985,0.006438644943049042,0.012793661617391587,1.9160534802893197,396,28206,219,27987,177,0.553030303030303,0.007764305466921932,0.015313614432557162,219,27987,177,,,0.6675,0.9249772990575195,26955,1251
44b6_40c45f5a,200,32681,50225,191,50034,9,0.955,0.0038028870084619213,0.007575607337630144,1.5368256785288088,198,28798,124,28674,74,0.6262626262626263,0.004305854573234252,0.00855290384880673,124,28674,74,,,0.81,0.9249716960925308,27809,989
44b6_415c0a3a,331,57292,73273,305,72968,26,0.9214501510574018,0.004162515524135766,0.008287593065594262,1.27893946798855,322,51272,206,51066,116,0.639751552795031,0.0040177874863473245,0.007985424661782379,206,51066,116,,,0.7129909365558912,0.9249982545556099,50226,1046
44b6_53f95252,70,38715,57880,68,57812,2,0.9714285714285714,0.0011748445058742225,0.0023468507333908543,1.4950277670153687,68,34040,47,33993,21,0.6911764705882353,0.0013807285546415982,0.002755951682889645,47,33993,21,,,0.7428571428571429,0.9249903138318482,32997,1043
44b6_551a5dba,228,57627,94915,220,94695,8,0.9649122807017544,0.0023178633514196914,0.0046246176807542335,1.6470578027660645,224,51000,140,50860,84,0.625,0.0027450980392156863,0.005466187724504139,140,50860,84,,,0.7675438596491229,0.9249830808475193,49093,1907
44b6_5740d24b,173,19730,40272,171,40101,2,0.9884393063583815,0.0042461263408820026,0.008455927803189517,2.041155600608211,170,17429,165,17264,5,0.9705882352941176,0.009466980320156061,0.018751065401443265,165,17264,5,,,0.9884393063583815,0.9249873289406995,16801,628
44b6_587a1e22,381,18137,21511,377,21134,4,0.989501312335958,0.017525916972711636,0.03444180522565321,1.1860285604013894,371,16004,307,15697,64,0.8274932614555256,0.019182704323919022,0.03749618320610687,307,15697,64,,,0.89501312335958,0.9249600264652368,15819,185
44b6_5f15d135,278,29519,56669,258,56411,20,0.9280575539568345,0.004552753710141347,0.009061056772086327,1.9197466038822453,273,26120,177,25943,96,0.6483516483516484,0.006776416539050536,0.0134126472928428,177,25943,96,,,0.7266187050359713,0.9249974592635252,25364,756
44b6_668e0cc7,643,39701,45897,637,45260,6,0.9906687402799378,0.01387890276052901,0.027374301675977656,1.1560665978186948,631,35181,531,34650,100,0.8415213946117274,0.015093374264517779,0.029654864291299005,531,34650,100,,,0.9144634525660964,0.9249892949799753,34520,661
44b6_66f9292d,200,52710,77420,181,77239,19,0.905,0.0023378971841901317,0.004663746457098686,1.4687915006640107,198,47476,97,47379,101,0.4898989898989899,0.00204313758530626,0.004069304023157277,97,47379,101,,,0.55,0.9249857712009106,46425,1051
44b6_706092f0,118,69898,118239,118,118121,0,1.0,0.0009979786703202835,0.001993967403702358,1.6915934647629403,117,62586,77,62509,40,0.6581196581196581,0.0012303070974339309,0.0024560228378227517,77,62509,40,,,0.6864406779661016,0.9249907007353573,60626,1960
44b6_71a4179f,121,67688,106063,121,105942,0,1.0,0.0011408313926628514,0.0022790627589844045,1.5669394870582674,119,60455,87,60368,32,0.7310924369747899,0.001439086924158465,0.002872519562848747,87,60368,32,,,0.8760330578512396,0.9249940905330339,58556,1899
44b6_74d0c52e,140,15090,45488,132,45356,8,0.9428571428571428,0.002901864227928245,0.0057859209257473485,3.0144466534128562,139,13461,81,13380,58,0.5827338129496403,0.0060173835524849565,0.011911764705882353,81,13380,58,,,0.6714285714285714,0.9249834327369119,12994,467
44b6_7a302da0,516,66858,102107,502,101605,14,0.9728682170542635,0.004916411215685507,0.009783381892947975,1.5272218732238476,507,59438,375,59063,132,0.7396449704142012,0.006309095191628251,0.012511468846442572,375,59063,132,,,0.8410852713178295,0.92499027790242,57648,1790
44b6_7e557709,570,56060,73684,567,73117,3,0.9947368421052631,0.007695021985777102,0.015271904543862956,1.3143774527292187,560,50063,439,49624,121,0.7839285714285714,0.0087689511215868,0.017343895067459453,439,49624,121,,,0.8491228070175438,0.9249910809846593,49002,1061
44b6_808952d6,181,15742,21116,181,20935,0,1.0,0.00857169918545179,0.016997699206461003,1.3413797484436538,179,14148,179,13969,0,1.0,0.012651964942041278,0.024987785300481607,179,13969,0,,,1.0,0.9249777664845635,13964,184
44b6_81c256f0,199,10052,12906,199,12707,0,1.0,0.015419184875251821,0.03037008775276612,1.2839235972940708,197,9062,193,8869,4,0.9796954314720813,0.0212977267711322,0.0416891672966843,193,8869,4,,,0.9849246231155779,0.9249900517309988,8998,64
44b6_87bba6c4,153,28102,39218,144,39074,9,0.9411764705882353,0.003671783364781478,0.007315028828325418,1.395559034944132,149,23580,84,23496,65,0.5637583892617449,0.0035623409669211198,0.00707994437186565,84,23496,65,,,0.7908496732026143,0.9249875453704363,22759,821
44b6_8cc6506c,400,32172,58067,387,57680,13,0.9675,0.006664714898307128,0.013238236954179281,1.8048924530647767,396,28306,255,28051,141,0.6439393939393939,0.009008690736946231,0.017768796599540105,255,28051,141,,,0.755,0.9249968917070744,27139,1167
44b6_8f5ab931,616,27571,37144,574,36570,42,0.9318181818181818,0.015453370665517984,0.030402542372881355,1.3472126509738493,604,24543,408,24135,196,0.6754966887417219,0.01662388461068329,0.03244919871157593,408,24135,196,,,0.762987012987013,0.924993652751079,24027,516
44b6_8f9ecab4,374,74833,105856,370,105486,4,0.9893048128342246,0.0034953143893591294,0.006966017132636731,1.4145630938222442,370,67103,326,66777,44,0.8810810810810811,0.004858203060965978,0.009663124509062886,326,66777,44,,,0.93048128342246,0.9249929843785496,65536,1567
44b6_90724892,105,25532,35320,105,35215,0,1.0,0.00297281993204983,0.005928016937191249,1.3833620554598152,103,22287,89,22198,14,0.8640776699029126,0.003993359357472966,0.007949977668602054,89,22198,14,,,0.9428571428571428,0.9249960833463888,21738,549
44b6_949adeb1,388,37179,53515,358,53157,30,0.9226804123711341,0.006689713164533309,0.013283119677940004,1.4393878264611744,378,32535,231,32304,147,0.6111111111111112,0.007100046104195482,0.014037006653905752,231,32304,147,,,0.7190721649484536,0.9249845342801044,31681,854
44b6_95029e92,200,5161,5702,200,5502,0,1.0,0.035075412136092596,0.06777363605557438,1.1048246463863591,198,4630,194,4436,4,0.9797979797979798,0.041900647948164144,0.08036454018227009,194,4436,4,,,0.99,0.9248207711683782,4595,35
44b6_97725144,225,35774,59791,212,59579,13,0.9422222222222222,0.0035456841330635046,0.007064782724606772,1.6713534969530943,221,31601,134,31467,87,0.6063348416289592,0.004240372140122148,0.00842184652127459,134,31467,87,,,0.6666666666666666,0.9249734444009616,30667,934
44b6_996155de,380,7573,13688,367,13321,13,0.9657894736842105,0.02681180596142607,0.05217514927495025,1.8074739205070647,377,6865,299,6566,78,0.7931034482758621,0.04355426074289876,0.08257387462027063,299,6566,78,,,0.8157894736842105,0.9249966987983625,6813,52
44b6_9be80b04,222,57877,104216,210,104006,12,0.9459459459459459,0.002015045674368619,0.0040215247323771046,1.8006461979715604,220,51649,159,51490,61,0.7227272727272728,0.0030784719936494415,0.006130829589928474,159,51490,61,,,0.7072072072072072,0.9249961124453583,49702,1947
44b6_9bfa6a0a,264,64308,90809,262,90547,2,0.9924242424242424,0.002885176579413935,0.005753626211939873,1.412094918206133,259,57506,144,57362,115,0.555984555984556,0.002504086530101207,0.004985717995325889,144,57362,115,,,0.7121212121212122,0.9249860048516514,56027,1479
44b6_a21120c2,296,23040,25747,295,25452,1,0.9966216216216216,0.011457645550937973,0.022654840072188303,1.1174913194444445,286,20187,245,19942,41,0.8566433566433567,0.012136523505226135,0.023933961803350754,245,19942,41,,,0.9324324324324325,0.925,19955,232
44b6_a2bb48bb,416,60613,95546,386,95160,30,0.9278846153846154,0.004039938877608691,0.008044851086888561,1.5763285103855609,410,52764,195,52569,215,0.47560975609756095,0.003695701614737321,0.007334411554519127,195,52569,215,,,0.5961538461538461,0.9249995875472259,50453,2311
44b6_aaf8b0ea,209,22099,35520,208,35312,1,0.9952153110047847,0.005855855855855856,0.01164320300036385,1.6073125480790986,206,19818,182,19636,24,0.883495145631068,0.0091835704914724,0.018178186176588094,182,19636,24,,,0.8851674641148325,0.9249739807231097,19375,443
44b6_abf82518,96,27604,34826,96,34730,0,1.0,0.0027565611899155805,0.005497966897657637,1.2616287494566005,94,24655,81,24574,13,0.8617021276595744,0.003285337659703914,0.006545719018950261,81,24574,13,,,0.8958333333333334,0.9249746413563251,24094,561
44b6_b2c44266,170,59729,90252,163,90089,7,0.9588235294117647,0.0018060541594646102,0.0036053172900400343,1.5110247953255538,168,53232,130,53102,38,0.7738095238095238,0.0024421400661256386,0.0048689138576779025,130,53102,38,,,0.9176470588235294,0.9249945587570527,51601,1631
44b6_c15fded2,104,20585,30751,104,30647,0,1.0,0.0033820038372735844,0.006741208880246313,1.493854748603352,102,17691,72,17619,30,0.7058823529411765,0.004069866033576394,0.008093070308548304,72,17619,30,,,0.8942307692307693,0.924993927617197,17158,533
44b6_c50204e0,333,47078,72529,298,72231,35,0.8948948948948949,0.0041087013470473875,0.008179846833740494,1.5406134500191173,325,41012,172,40840,153,0.5292307692307693,0.004193894469911245,0.008321842417204925,172,40840,153,,,0.7237237237237237,0.9249968137983772,39360,1652
44b6_c771cb04,227,53345,82642,218,82424,9,0.960352422907489,0.0026378838847075335,0.0052613160530475805,1.5491986128034492,223,47209,148,47061,75,0.6636771300448431,0.003134995445783643,0.006240512734019227,148,47061,75,,,0.7841409691629956,0.9249976567625832,45573,1636
44b6_c8e2a523,168,33144,42099,168,41931,0,1.0,0.0039905936007981185,0.007949464120945418,1.2701846488052135,164,29283,135,29148,29,0.823170731707317,0.004610183382850117,0.009169015519407749,135,29148,29,,,0.8392857142857143,0.9249939657253198,28820,463
44b6_c96cfa10,629,46236,63990,617,63373,12,0.9809220985691574,0.009642131583059854,0.019096550550147792,1.3839865040228394,616,40926,493,40433,123,0.8003246753246753,0.012046132043199922,0.023735015165374802,493,40433,123,,,0.8775834658187599,0.924993511549442,39995,931
44b6_cf2536e8,76,57565,83339,61,83278,15,0.8026315789473685,0.0007319502273845378,0.0014625666846490436,1.447737340397811,75,51457,35,51422,40,0.4666666666666667,0.0006801795674057951,0.0013583792594892494,35,51422,40,,,0.5526315789473685,0.9249891427082428,50116,1341
44b6_cf8fed6b,191,43729,52577,191,52386,0,1.0,0.003632767179565209,0.007239235900545785,1.2023371218184729,188,38185,163,38022,25,0.8670212765957447,0.0042686918947230585,0.008495556771688426,163,38022,25,,,0.9476439790575916,0.9249925678611448,37279,906
44b6_d29c9ab2,1353,38055,49172,1343,47829,10,0.9926090169992609,0.027312291548035467,0.05316180108857002,1.2921298121140454,1328,33631,1103,32528,225,0.8305722891566265,0.03279712170319051,0.06310249149003119,1103,32528,225,,,0.9024390243902439,0.9249770069636053,32931,700
44b6_d2f34f90,283,24074,41895,277,41618,6,0.9787985865724381,0.006611767514023153,0.013134809616387692,1.7402592007975408,281,21127,180,20947,101,0.6405693950177936,0.008519903441094333,0.016816143497757848,180,20947,101,,,0.7667844522968198,0.9249813076347927,20241,886
44b6_d5e7d891,906,44848,63326,837,62489,69,0.9238410596026491,0.01321731990019897,0.026061776061776062,1.4120139136639316,893,39429,526,38903,367,0.5890257558790594,0.013340434705419868,0.026089975695650015,526,38903,367,,,0.7240618101545254,0.9249910809846593,38098,1331
44b6_d754aa59,72,5171,8700,72,8628,0,1.0,0.008275862068965517,0.016415868673050615,1.6824598723651132,70,4480,49,4431,21,0.7,0.0109375,0.021538461538461534,49,4431,21,,,0.7638888888888888,0.9249661574163605,4364,116
44b6_d78e09d9,463,22259,27884,447,27437,16,0.9654427645788337,0.016030698608521014,0.031537728860196845,1.2527067702951615,451,19664,335,19329,116,0.7427937915742794,0.017036208299430432,0.0333084762614964,335,19329,116,,,0.8250539956803455,0.9249741677523698,19382,282
44b6_db3c847b,165,15023,21671,160,21511,5,0.9696969696969697,0.007383138756864012,0.014654698662758746,1.442521467083805,162,13374,131,13243,31,0.808641975308642,0.009795124869149095,0.01935579196217494,131,13243,31,,,0.8606060606060606,0.92498169473474,13128,246
44b6_ddf577ad,659,53492,73916,652,73264,7,0.9893778452200304,0.008820823637642729,0.017485752598055647,1.3818141030434457,647,47613,495,47118,152,0.7650695517774343,0.01039632033268225,0.020513883133029424,495,47118,152,,,0.8801213960546282,0.9249981305615793,46371,1242
44b6_deabac95,126,13989,16196,114,16082,12,0.9047619047619048,0.007038775006174364,0.013968876363190786,1.1577668167846165,124,12380,90,12290,34,0.7258064516129032,0.007269789983844911,0.014395393474088292,90,12290,34,,,0.8095238095238095,0.9249410250911431,12174,206
44b6_e28840c6,311,74686,112130,306,111824,5,0.9839228295819936,0.0027289752965308123,0.005442854474791223,1.501352328414964,309,67147,284,66863,25,0.919093851132686,0.004229526263273117,0.008420303605313092,284,66863,25,,,0.9356913183279743,0.9249926358353641,65537,1610
44b6_e29f0176,51,12969,15741,36,15705,15,0.7058823529411765,0.002287021154945683,0.004559270516717325,1.213740458015267,50,10618,26,10592,24,0.52,0.002448672066302505,0.004874390701162354,26,10592,24,,,0.7058823529411765,0.9249749402421158,10259,359
44b6_e31261b4,116,72856,94245,116,94129,0,1.0,0.0012308345270306117,0.0024586428715253125,1.2935791149665092,113,62893,109,62784,4,0.9646017699115044,0.0017331022530329288,0.0034599879376567308,109,62784,4,,,1.0,0.924989019435599,61022,1871
44b6_e35b117d,270,28641,65661,240,65421,30,0.8888888888888888,0.0036551377530040664,0.007280338535741912,2.2925526343353932,266,25343,168,25175,98,0.631578947368421,0.006629049441660419,0.013120387363817407,168,25175,98,,,0.7222222222222222,0.9249677036416326,24503,840
44b6_e57ff5c6,193,20314,34348,185,34163,8,0.9585492227979274,0.005386048678234541,0.010711907588083725,1.6908535985034951,186,17008,102,16906,84,0.5483870967741935,0.005997177798682972,0.011864603931604049,102,16906,84,,,0.7202072538860104,0.9249778477897017,16194,814
44b6_eb2880fc,390,48084,57438,376,57062,14,0.9641025641025641,0.006546188934155089,0.013004081067994742,1.1945345645121037,379,42624,284,42340,95,0.7493403693931399,0.006662912912912913,0.013208380810641119,284,42340,95,,,0.8384615384615385,0.9249854421429166,41743,881
44b6_f28707c6,63,18656,25418,55,25363,8,0.873015873015873,0.002163820914312692,0.0043169420352419455,1.3624571183533447,61,16156,35,16121,26,0.5737704918032787,0.002166377816291161,0.0043164580378615034,35,16121,26,,,0.7142857142857143,0.9249571183533448,15778,378
6bba_05b6850b,861,6362,7692,808,6884,53,0.9384436701509872,0.10504420176807072,0.18893955337308546,1.2090537566802892,845,5578,678,4900,167,0.8023668639053254,0.1215489422732162,0.21111630079402147,678,4900,167,,,0.8734030197444832,0.9248663942156554,5489,89
6bba_05db0fb1,1229,69800,95285,1190,94095,39,0.96826688364524,0.012488849241748439,0.02465963487162484,1.3651146131805159,1183,61404,921,60483,262,0.7785291631445478,0.014999022864959938,0.029431032003451197,921,60483,262,,,0.870626525630594,0.925,60055,1349
6bba_062c8d37,930,6030,6512,892,5620,38,0.9591397849462365,0.136977886977887,0.2397205052405268,1.0799336650082918,898,5046,753,4293,145,0.8385300668151447,0.1492271105826397,0.25336473755047106,753,4293,145,,,0.9204301075268817,0.9248756218905473,4964,82
6bba_07477033,613,4836,5553,597,4956,16,0.9738988580750407,0.10750945434900054,0.19364255595199484,1.1482630272952854,602,4227,528,3699,74,0.8770764119601329,0.12491128459900638,0.21867881548974943,528,3699,74,,,0.9494290375203915,0.924937965260546,4159,68
6bba_07e24132,359,21485,62612,351,62261,8,0.9777158774373259,0.005605954130198684,0.011147988756729288,2.914219222713521,345,19372,177,19195,168,0.5130434782608696,0.009136898616559983,0.017954049804737027,177,19195,168,,,0.5654596100278552,0.9249709099371655,18897,475
6bba_085bf656,1198,8463,10663,1181,9482,17,0.9858096828046744,0.11075682265778862,0.19914003878256473,1.259955098664776,1168,7482,955,6527,213,0.8176369863013698,0.1276396685378241,0.22080924855491327,955,6527,213,,,0.8689482470784641,0.9249675056126669,7432,50
6bba_09961292,1950,31117,44037,1926,42111,24,0.9876923076923076,0.04373594931534846,0.08376280253115012,1.4152071215091429,1871,27539,1483,26056,388,0.7926242650988776,0.05385090235665783,0.10085005100306019,1483,26056,388,,,0.8764102564102564,0.9249927692258251,26879,660
6bba_0c7fa718,704,13650,20506,689,19817,15,0.9786931818181818,0.033599921974056375,0.06496935407826496,1.5022710622710622,659,10696,408,10288,251,0.6191198786039454,0.0381451009723261,0.07186261558784675,408,10288,251,,,0.7982954545454546,0.924981684981685,10081,615
6bba_0e7c0d07,209,22467,31839,196,31643,13,0.937799043062201,0.006155972235308898,0.012231652521218172,1.4171451462144478,198,18076,123,17953,75,0.6212121212121212,0.006804602788227484,0.013461748932910146,123,17953,75,,,0.7894736842105263,0.9249566030177594,17247,829
6bba_12665c0e,1036,8314,9660,1013,8647,23,0.9777992277992278,0.10486542443064183,0.18941660433807034,1.1618955977868655,998,6960,803,6157,195,0.8046092184368737,0.1153735632183908,0.2018094998743403,803,6157,195,,,0.9015444015444015,0.9249458744286745,6889,71
6bba_13f19531,737,5773,6768,732,6036,5,0.9932157394843962,0.10815602836879433,0.19506995336442373,1.1723540620128183,704,4978,590,4388,114,0.8380681818181818,0.11852149457613499,0.20767335445265753,590,4388,114,,,0.89280868385346,0.9249956694959294,4933,45
6bba_15403b9a,758,6889,7963,704,7259,54,0.9287598944591029,0.08840889112143664,0.16144937507166607,1.1559007112788504,729,5719,522,5197,207,0.7160493827160493,0.09127469837384158,0.1619106699751861,522,5197,207,,,0.8614775725593667,0.924952823341559,5639,80
6bba_1d0d8384,1438,17909,26586,1317,25269,121,0.9158553546592489,0.04953735048521778,0.09399086497288038,1.4845049974872968,1365,15588,899,14689,466,0.6586080586080586,0.057672568642545545,0.1060579248510588,899,14689,466,,,0.7656467315716272,0.9249539337763136,15218,370
6bba_1ebfb80d,745,11558,17090,704,16386,41,0.9449664429530201,0.041193680514921005,0.07894589290720493,1.478629520678318,719,9943,498,9445,221,0.6926286509040334,0.05008548727748165,0.09341586944288127,498,9445,221,,,0.7932885906040269,0.9249870219761205,9689,254
6bba_1f58c2f6,317,28903,46356,309,46047,8,0.9747634069400631,0.0066658037794460265,0.013241060141837893,1.603847351486005,299,24986,185,24801,114,0.6187290969899666,0.007404146321940286,0.014633181728297409,185,24801,114,,,0.7255520504731862,0.9249904854167388,24420,566
6bba_207c6aaf,475,11999,22883,395,22488,80,0.8315789473684211,0.017261722676222523,0.03382138881753575,1.9070755896324694,450,10089,172,9917,278,0.38222222222222224,0.01704827039349787,0.03264066799506595,172,9917,278,,,0.5094736842105263,0.9249937494791233,9726,363
6bba_20852818,952,9758,11699,879,10820,73,0.9233193277310925,0.07513462689118729,0.1389613469290965,1.1989137118261939,909,8314,679,7635,230,0.746974697469747,0.08166947317777243,0.14724059416675703,679,7635,230,,,0.8140756302521008,0.9249846279975404,8205,109
6bba_2312ac41,1156,11950,13957,1122,12835,34,0.9705882352941176,0.08038976857490865,0.14848143982002251,1.1679497907949792,1132,10541,972,9569,160,0.8586572438162544,0.09221136514562185,0.16653816499614493,972,9569,160,,,0.9039792387543253,0.9249372384937239,10415,126
6bba_23af9eeb,513,4450,5097,505,4592,8,0.9844054580896686,0.09907788895428683,0.1800356506238859,1.1453932584269664,499,3895,427,3468,72,0.8557114228456913,0.10962772785622593,0.1943559399180701,427,3468,72,,,0.9785575048732943,0.9249438202247191,3852,43
6bba_2540cd90,529,3783,4299,528,3771,1,0.998109640831758,0.12281926029309141,0.2187241093620547,1.1363996827914353,523,3371,417,2954,106,0.7973231357552581,0.12370216552951646,0.21417565485362094,417,2954,106,,,0.9376181474480151,0.9249273063706054,3338,33
6bba_2646afc7,738,5495,6157,696,5461,42,0.943089430894309,0.11304206594120514,0.20188542422044958,1.1204731574158326,721,4813,532,4281,189,0.7378640776699029,0.11053397049657178,0.1922659920491507,532,4281,189,,,0.8848238482384824,0.9248407643312102,4771,42
6bba_268e1230,641,5107,6433,546,5887,95,0.8517940717628705,0.08487486398258977,0.1543681085665818,1.2596436263951438,609,4107,398,3709,211,0.6535303776683087,0.09690771852934014,0.16878710771840544,398,3709,211,,,0.7644305772230889,0.9248090855688271,4037,70
6bba_2819ca14,986,5534,8516,956,7560,30,0.9695740365111561,0.11225927665570691,0.2012207956219743,1.5388507408745935,949,4670,696,3974,253,0.7334035827186512,0.14903640256959313,0.24773091297383873,696,3974,253,,,0.8225152129817445,0.9248283339356704,4605,65
6bba_283bf9f1,1342,20861,24556,1251,23305,91,0.9321907600596125,0.05094477928001303,0.0966097768167426,1.177124778294425,1288,17394,927,16467,361,0.71972049689441,0.0532942393928941,0.09923991007386788,927,16467,361,,,0.8256333830104322,0.9249796270552706,17122,272
6bba_312f0dc3,520,9963,11344,495,10849,25,0.9519230769230769,0.04363540197461213,0.08344571813890762,1.1386128676101577,500,8161,352,7809,148,0.704,0.0431319691214312,0.08128391640688142,352,7809,148,,,0.8711538461538462,0.9249222121850849,8044,117
6bba_32db13fc,862,38705,60606,805,59801,57,0.9338747099767981,0.013282513282513283,0.02619249040150973,1.5658442061749127,811,33075,453,32622,358,0.5585696670776819,0.013696145124716553,0.02673670542406894,453,32622,358,,,0.6925754060324826,0.9249967704430953,32046,1029
6bba_337b1b3a,1272,30480,35745,1266,34479,6,0.9952830188679245,0.03541754091481326,0.06840100494367453,1.172736220472441,1213,26155,1087,25068,126,0.8961253091508656,0.041559931179506786,0.07943583747442269,1087,25068,126,,,0.9614779874213837,0.925,25802,353
6bba_372c8cb8,1036,7021,9909,1015,8894,21,0.9797297297297297,0.10243213240488445,0.1854728186386478,1.4113374163224612,1007,6238,868,5370,139,0.8619662363455809,0.13914716255210002,0.23961352657004834,868,5370,139,,,0.8967181467181468,0.9249394673123487,6159,79
6bba_3a1849c2,1173,7003,9009,940,8069,233,0.8013640238704177,0.10434010434010434,0.184639560007857,1.286448664857918,1142,6186,812,5374,330,0.7110332749562172,0.13126414484319432,0.22161572052401746,812,5374,330,,,0.7638533674339301,0.9248893331429388,6079,107
6bba_3abfe10a,997,52065,79329,966,78363,31,0.9689067201604814,0.012177135725900994,0.024051988148295695,1.523653125900317,935,44838,697,44141,238,0.7454545454545455,0.015544850350149427,0.030454634828392287,697,44141,238,,,0.8706118355065195,0.9249975991549025,43678,1160
6bba_3c5691b6,765,6258,7894,764,7130,1,0.9986928104575163,0.09678236635419306,0.17646379489548447,1.2614253755193352,746,5572,629,4943,117,0.8431635388739946,0.11288585786073223,0.199113643558088,629,4943,117,,,0.9150326797385621,0.9248961329498242,5492,80
6bba_3db54e20,502,23236,28003,442,27561,60,0.8804780876494024,0.015784023140377818,0.031012103139800035,1.2051557927354106,474,18655,273,18382,201,0.5759493670886076,0.014634146341463415,0.028543049819645568,273,18382,201,,,0.7430278884462151,0.9249870889998278,18211,444
6bba_3fda6b25,1207,9842,13799,1189,12610,18,0.9850869925434963,0.08616566417856367,0.15846994535519127,1.4020524283682179,1179,8685,979,7706,200,0.8303647158608991,0.1127230857800806,0.19849959448499593,979,7706,200,,,0.884009942004971,0.9249136354399512,8507,178
