dataset,noise_ratio,n_gt_nodes,n_noise_nodes,n_gt_edges,n_pred_edges,tp_edges,fp_edges,culled_gt,kept_gt,culled_noise,kept_noise,gt_erase_rate,noise_purge_rate,pre_pe_ratio,post_pe_ratio,edge_precision,edge_recall
44b6_c15fded2,0.2,104,0,102,98,95,3,1,103,0,0,0.009615,0.0,1.0196,1.051,0.9694,0.9314
44b6_c50204e0,0.2,333,71,325,329,323,6,0,333,62,9,0.0,0.873239,1.2431,1.0395,0.9818,0.9938
44b6_c771cb04,0.2,227,21,223,225,223,2,0,227,17,4,0.0,0.809524,1.1121,1.0267,0.9911,1.0
44b6_c8e2a523,0.2,168,30,164,161,159,2,0,168,27,3,0.0,0.9,1.2073,1.0621,0.9876,0.9695
44b6_c96cfa10,0.2,629,100,616,617,616,1,0,629,98,2,0.0,0.98,1.1834,1.0227,0.9984,1.0
44b6_cf2536e8,0.2,76,0,75,75,75,0,0,76,0,0,0.0,0.0,1.0133,1.0133,1.0,1.0
44b6_cf8fed6b,0.2,191,11,188,186,186,0,0,191,11,0,0.0,1.0,1.0745,1.0269,1.0,0.9894
44b6_d29c9ab2,0.2,1353,268,1328,1309,1293,16,4,1349,259,9,0.002956,0.966418,1.2206,1.0374,0.9878,0.9736
44b6_d2f34f90,0.2,283,48,281,283,279,4,0,283,41,7,0.0,0.854167,1.1779,1.0247,0.9859,0.9929
44b6_d5e7d891,0.2,906,188,893,893,891,2,1,905,184,4,0.001104,0.978723,1.2251,1.0179,0.9978,0.9978
44b6_d754aa59,0.2,72,0,70,66,64,2,1,71,0,0,0.013889,0.0,1.0286,1.0758,0.9697,0.9143
44b6_d78e09d9,0.2,463,90,451,451,451,0,0,463,90,0,0.0,1.0,1.2262,1.0266,1.0,1.0
44b6_db3c847b,0.2,165,0,162,162,162,0,0,165,0,0,0.0,0.0,1.0185,1.0185,1.0,1.0
44b6_ddf577ad,0.2,659,137,647,652,647,5,0,659,127,10,0.0,0.927007,1.2303,1.0261,0.9923,1.0
44b6_deabac95,0.2,126,0,124,124,123,1,0,126,0,0,0.0,0.0,1.0161,1.0161,0.9919,0.9919
44b6_e28840c6,0.2,311,76,309,321,307,14,0,311,50,26,0.0,0.657895,1.2524,1.0498,0.9564,0.9935
44b6_e29f0176,0.2,51,0,50,47,46,1,2,49,0,0,0.039216,0.0,1.02,1.0426,0.9787,0.92
44b6_e31261b4,0.2,116,0,113,113,113,0,0,116,0,0,0.0,0.0,1.0265,1.0265,1.0,1.0
44b6_e35b117d,0.2,270,68,266,267,266,1,0,270,66,2,0.0,0.970588,1.2707,1.0187,0.9963,1.0
44b6_e57ff5c6,0.2,193,20,186,173,169,4,5,188,20,0,0.025907,1.0,1.1452,1.0867,0.9769,0.9086
44b6_eb2880fc,0.2,390,98,379,381,378,3,0,390,96,2,0.0,0.979592,1.2876,1.0289,0.9921,0.9974
44b6_f28707c6,0.2,63,0,61,58,55,3,0,63,0,0,0.0,0.0,1.0328,1.0862,0.9483,0.9016
6bba_05b6850b,0.2,861,180,845,845,840,5,1,860,164,16,0.001161,0.911111,1.232,1.0367,0.9941,0.9941
6bba_05db0fb1,0.2,1229,242,1183,1180,1167,13,1,1228,224,18,0.000814,0.92562,1.2434,1.0559,0.989,0.9865
6bba_062c8d37,0.2,930,191,898,888,886,2,0,930,177,14,0.0,0.926702,1.2483,1.0631,0.9977,0.9866
6bba_07477033,0.2,613,105,602,604,602,2,0,613,95,10,0.0,0.904762,1.1927,1.0315,0.9967,1.0
6bba_07e24132,0.2,359,88,345,341,339,2,2,357,86,2,0.005571,0.977273,1.2957,1.0528,0.9941,0.9826
6bba_085bf656,0.2,1198,237,1168,1169,1167,2,0,1198,224,13,0.0,0.945148,1.2286,1.0359,0.9983,0.9991
6bba_09961292,0.2,1950,391,1871,1897,1856,41,1,1949,314,77,0.000513,0.803069,1.2512,1.068,0.9784,0.992
6bba_0c7fa718,0.2,704,147,659,623,614,9,3,701,136,11,0.004261,0.92517,1.2914,1.1429,0.9856,0.9317
6bba_0e7c0d07,0.2,209,24,198,193,193,0,0,209,24,0,0.0,1.0,1.1768,1.0829,1.0,0.9747
6bba_12665c0e,0.2,1036,212,998,977,966,11,2,1034,198,14,0.001931,0.933962,1.2505,1.0727,0.9887,0.9679
6bba_13f19531,0.2,737,144,704,697,696,1,1,736,129,15,0.001357,0.895833,1.2514,1.0775,0.9986,0.9886
6bba_15403b9a,0.2,758,141,729,716,713,3,0,758,129,12,0.0,0.914894,1.2332,1.0754,0.9958,0.9781
6bba_1d0d8384,0.2,1438,283,1365,1355,1333,22,6,1432,270,13,0.004172,0.954064,1.2608,1.0664,0.9838,0.9766
6bba_1ebfb80d,0.2,745,151,719,712,710,2,0,745,147,4,0.0,0.97351,1.2462,1.052,0.9972,0.9875
6bba_1f58c2f6,0.2,317,70,299,291,289,2,2,315,67,3,0.006309,0.957143,1.2943,1.0928,0.9931,0.9666
6bba_207c6aaf,0.2,475,85,450,443,435,8,3,472,80,5,0.006316,0.941176,1.2444,1.0767,0.9819,0.9667
6bba_20852818,0.2,952,193,909,894,883,11,3,949,173,20,0.003151,0.896373,1.2596,1.0839,0.9877,0.9714
6bba_2312ac41,0.2,1156,225,1132,1130,1126,4,0,1156,203,22,0.0,0.902222,1.22,1.0425,0.9965,0.9947
6bba_23af9eeb,0.2,513,93,499,499,497,2,0,513,85,8,0.0,0.913978,1.2144,1.0441,0.996,0.996
6bba_2540cd90,0.2,529,100,523,524,523,1,0,529,92,8,0.0,0.92,1.2027,1.0248,0.9981,1.0
6bba_2646afc7,0.2,738,134,721,719,713,6,0,738,119,15,0.0,0.88806,1.2094,1.0473,0.9917,0.9889
6bba_268e1230,0.2,641,138,609,585,579,6,2,639,130,8,0.00312,0.942029,1.2791,1.106,0.9897,0.9507
6bba_2819ca14,0.2,986,206,949,921,914,7,1,985,187,19,0.001014,0.907767,1.2561,1.0901,0.9924,0.9631
6bba_283bf9f1,0.2,1342,268,1288,1287,1280,7,0,1342,260,8,0.0,0.970149,1.25,1.049,0.9946,0.9938
6bba_312f0dc3,0.2,520,108,500,497,494,3,1,519,106,2,0.001923,0.981481,1.256,1.0483,0.994,0.988
6bba_32db13fc,0.2,862,168,811,793,786,7,2,860,159,9,0.00232,0.946429,1.27,1.0958,0.9912,0.9692
6bba_337b1b3a,0.2,1272,260,1213,1220,1197,23,0,1272,233,27,0.0,0.896154,1.263,1.0648,0.9811,0.9868
6bba_372c8cb8,0.2,1036,204,1007,1010,1007,3,0,1036,187,17,0.0,0.916667,1.2314,1.0426,0.997,1.0
6bba_3a1849c2,0.2,1173,238,1142,1147,1141,6,0,1173,222,16,0.0,0.932773,1.2356,1.0366,0.9948,0.9991
6bba_3abfe10a,0.2,997,196,935,934,924,10,0,997,187,9,0.0,0.954082,1.2759,1.0771,0.9893,0.9882
6bba_3c5691b6,0.2,765,157,746,744,739,5,1,764,146,11,0.001307,0.929936,1.2359,1.0417,0.9933,0.9906
6bba_3db54e20,0.2,502,100,474,458,456,2,0,502,95,5,0.0,0.95,1.27,1.107,0.9956,0.962
6bba_3fda6b25,0.2,1207,240,1179,1175,1168,7,2,1205,223,17,0.001657,0.929167,1.2273,1.04,0.994,0.9907
6bba_43fea39d,0.2,910,178,880,869,858,11,2,908,157,21,0.002198,0.882022,1.2364,1.069,0.9873,0.975
6bba_474be664,0.2,292,75,286,286,284,2,0,292,70,5,0.0,0.933333,1.2832,1.0385,0.993,0.993
6bba_48816121,0.2,935,187,918,912,910,2,0,935,178,9,0.0,0.951872,1.2222,1.0351,0.9978,0.9913
6bba_4aa14c89,0.2,707,133,681,682,679,3,0,707,124,9,0.0,0.932331,1.2335,1.0499,0.9956,0.9971
6bba_4f99ce20,0.2,1057,215,1010,978,969,9,1,1056,188,27,0.000946,0.874419,1.2594,1.1074,0.9908,0.9594
6bba_4ffd3da3,0.2,706,145,689,689,685,4,0,706,133,12,0.0,0.917241,1.2351,1.0421,0.9942,0.9942
6bba_55b7eebe,0.2,705,131,688,690,686,4,0,705,118,13,0.0,0.900763,1.2151,1.0406,0.9942,0.9971
6bba_55c70843,0.2,490,92,467,470,464,6,0,490,87,5,0.0,0.945652,1.2463,1.0532,0.9872,0.9936
6bba_57b7cc1e,0.2,1659,336,1592,1596,1577,19,0,1659,303,33,0.0,0.901786,1.2531,1.0602,0.9881,0.9906
6bba_5a4d9360,0.2,747,150,722,695,689,6,2,745,137,13,0.002677,0.913333,1.2424,1.0906,0.9914,0.9543
6bba_5b28472a,0.2,737,148,724,721,716,5,2,735,138,10,0.002714,0.932432,1.2224,1.0333,0.9931,0.989
6bba_5c039895,0.2,1174,232,1145,1144,1138,6,1,1173,208,24,0.000852,0.896552,1.2279,1.0463,0.9948,0.9939
6bba_5c824876,0.2,1170,232,1130,1129,1123,6,2,1168,210,22,0.001709,0.905172,1.2407,1.054,0.9947,0.9938
6bba_5dfe9ad1,0.2,1542,309,1487,1493,1480,13,0,1542,281,28,0.0,0.909385,1.2448,1.0516,0.9913,0.9953
6bba_5f89039d,0.2,904,169,885,889,885,4,0,904,149,20,0.0,0.881657,1.2124,1.0394,0.9955,1.0
6bba_61dd1e0d,0.2,558,101,543,542,541,1,0,558,94,7,0.0,0.930693,1.2136,1.0424,0.9982,0.9963
6bba_61ecbe65,0.2,640,118,614,589,586,3,5,635,108,10,0.007812,0.915254,1.2345,1.0951,0.9949,0.9544
6bba_6321a359,0.2,827,183,798,791,785,6,1,826,162,21,0.001209,0.885246,1.2657,1.0708,0.9924,0.9837
6bba_6479435d,0.2,617,127,580,573,562,11,1,616,114,13,0.001621,0.897638,1.2828,1.0977,0.9808,0.969
6bba_67ebd073,0.2,462,91,438,411,407,4,1,461,85,6,0.002165,0.934066,1.2626,1.1363,0.9903,0.9292
6bba_6ca87370,0.2,1081,216,1052,1035,1030,5,1,1080,205,11,0.000925,0.949074,1.2329,1.0541,0.9952,0.9791
6bba_6db0e9b4,0.2,449,107,440,441,439,2,1,448,103,4,0.002227,0.962617,1.2636,1.0249,0.9955,0.9977
6bba_6feb10f0,0.2,1368,277,1343,1346,1342,4,0,1368,252,25,0.0,0.909747,1.2249,1.0349,0.997,0.9993
6bba_6feeb0b1,0.2,1389,278,1343,1348,1334,14,0,1389,247,31,0.0,0.888489,1.2413,1.0534,0.9896,0.9933
6bba_705ec2c9,0.2,596,124,562,565,554,11,1,595,108,16,0.001678,0.870968,1.2811,1.0814,0.9805,0.9858
6bba_718b21f9,0.2,661,127,652,651,651,0,0,661,120,7,0.0,0.944882,1.2086,1.0261,1.0,0.9985
6bba_74686d6a,0.2,586,111,576,569,565,4,0,586,102,9,0.0,0.918919,1.2101,1.0457,0.993,0.9809
6bba_767a1e17,0.2,718,142,658,645,626,19,3,715,127,15,0.004178,0.894366,1.307,1.1318,0.9705,0.9514
6bba_76db78c1,0.2,617,115,604,604,603,1,0,617,106,9,0.0,0.921739,1.2119,1.0364,0.9983,0.9983
6bba_784a78c9,0.2,1788,363,1739,1752,1737,15,0,1788,321,42,0.0,0.884298,1.2369,1.0445,0.9914,0.9988
6bba_786893ac,0.2,1465,299,1395,1397,1378,19,4,1461,276,23,0.00273,0.923077,1.2645,1.0623,0.9864,0.9878
6bba_789f8168,0.2,713,155,681,665,654,11,4,709,145,10,0.00561,0.935484,1.2746,1.0812,0.9835,0.9604
6bba_78a7bd97,0.2,886,174,832,813,805,8,5,881,165,9,0.005643,0.948276,1.274,1.0947,0.9902,0.9675
6bba_7af54fde,0.2,1131,216,1092,1097,1088,9,0,1131,194,22,0.0,0.898148,1.2335,1.051,0.9918,0.9963
6bba_7b5d3b2c,0.2,565,100,555,557,555,2,0,565,92,8,0.0,0.92,1.1982,1.0287,0.9964,1.0
6bba_7d3058ae,0.2,1200,227,1173,1167,1159,8,1,1199,207,20,0.000833,0.911894,1.2165,1.0446,0.9931,0.9881
6bba_7f87b3d8,0.2,1000,203,934,874,855,19,6,994,197,6,0.006,0.970443,1.288,1.1442,0.9783,0.9154
6bba_80d12824,0.2,680,145,654,636,633,3,1,679,134,11,0.001471,0.924138,1.2615,1.0849,0.9953,0.9679
6bba_825bd1c6,0.2,968,183,930,925,923,2,1,967,182,1,0.001033,0.994536,1.2376,1.0465,0.9978,0.9925
6bba_87289e13,0.2,724,145,699,671,662,9,1,723,138,7,0.001381,0.951724,1.2432,1.0879,0.9866,0.9471
6bba_8b7818bf,0.2,741,146,725,721,718,3,0,741,136,10,0.0,0.931507,1.2234,1.0416,0.9958,0.9903
6bba_907271db,0.2,945,191,921,922,920,2,0,945,180,11,0.0,0.942408,1.2334,1.0369,0.9978,0.9989
6bba_91951b3a,0.2,1188,236,1148,1146,1134,12,0,1188,209,27,0.0,0.885593,1.2404,1.0602,0.9895,0.9878
6bba_96833384,0.2,758,143,721,721,717,4,0,758,135,8,0.0,0.944056,1.2497,1.0624,0.9945,0.9945
6bba_969618f6,0.2,679,137,658,655,652,3,0,679,126,11,0.0,0.919708,1.2401,1.0534,0.9954,0.9909
6bba_971fa5e0,0.2,792,175,767,752,745,7,1,791,157,18,0.001263,0.897143,1.2608,1.0758,0.9907,0.9713
6bba_9a41d029,0.2,1401,282,1353,1353,1342,11,0,1401,260,22,0.0,0.921986,1.2439,1.0517,0.9919,0.9919
6bba_9e23430b,0.2,914,184,891,884,880,4,0,914,169,15,0.0,0.918478,1.2323,1.0509,0.9955,0.9877
6bba_a5e926bb,0.2,741,143,698,670,663,7,3,738,138,5,0.004049,0.965035,1.2665,1.109,0.9896,0.9499
6bba_a90a0b9c,0.2,1147,236,1112,1111,1108,3,0,1147,213,23,0.0,0.902542,1.2437,1.0531,0.9973,0.9964
6bba_ab78413d,0.2,1179,229,1138,1136,1131,5,0,1179,210,19,0.0,0.917031,1.2373,1.0546,0.9956,0.9938
6bba_acd782a8,0.2,356,64,330,324,317,7,2,354,61,3,0.005618,0.953125,1.2727,1.1019,0.9784,0.9606
6bba_ae82a791,0.2,1495,299,1471,1463,1454,9,0,1495,277,22,0.0,0.926421,1.2196,1.0369,0.9938,0.9884
6bba_aeee7805,0.2,795,152,768,778,767,11,0,795,128,24,0.0,0.842105,1.2331,1.0527,0.9859,0.9987
6bba_af149c94,0.2,1350,281,1317,1323,1317,6,0,1350,256,25,0.0,0.911032,1.2384,1.0393,0.9955,1.0
6bba_afb141ff,0.2,654,131,626,613,603,10,2,652,121,10,0.003058,0.923664,1.254,1.0799,0.9837,0.9633
6bba_b1ae37b9,0.2,612,126,579,584,575,9,0,612,114,12,0.0,0.904762,1.2746,1.0685,0.9846,0.9931
6bba_b204cac7,0.2,826,193,811,812,807,5,0,826,177,16,0.0,0.917098,1.2565,1.0369,0.9938,0.9951
6bba_b329af44,0.2,1316,267,1268,1269,1256,13,0,1316,232,35,0.0,0.868914,1.2484,1.0646,0.9898,0.9905
6bba_b693381b,0.2,983,198,935,906,898,8,2,981,175,23,0.002035,0.883838,1.2631,1.1082,0.9912,0.9604
6bba_bb9f20c3,0.2,1925,386,1879,1875,1862,13,0,1925,350,36,0.0,0.906736,1.2299,1.0459,0.9931,0.991
6bba_bbb708ca,0.2,892,189,861,849,842,7,1,891,176,13,0.001121,0.931217,1.2555,1.0648,0.9918,0.9779
6bba_c27cba08,0.2,517,118,493,494,493,1,0,517,112,6,0.0,0.949153,1.288,1.0587,0.998,1.0
6bba_c328f2fd,0.2,511,99,500,496,492,4,0,511,93,6,0.0,0.939394,1.22,1.0423,0.9919,0.984
6bba_c73a1d11,0.2,737,149,710,686,666,20,0,737,134,15,0.0,0.899329,1.2479,1.0962,0.9708,0.938
6bba_cdcfe533,0.2,1419,291,1348,1352,1329,23,1,1418,268,23,0.000705,0.920962,1.2685,1.0658,0.983,0.9859
6bba_cf35214c,0.2,842,162,817,820,816,4,0,842,149,13,0.0,0.919753,1.2289,1.0427,0.9951,0.9988
6bba_cff5865f,0.2,1571,316,1501,1511,1485,26,1,1570,281,35,0.000637,0.889241,1.2572,1.0622,0.9828,0.9893
6bba_d0fc38b5,0.2,835,182,813,812,808,4,0,835,168,14,0.0,0.923077,1.2509,1.0456,0.9951,0.9938
6bba_d1acb6ff,0.2,681,137,643,633,627,6,2,679,127,10,0.002937,0.927007,1.2722,1.0885,0.9905,0.9751
6bba_d2b9fc0c,0.2,944,193,921,928,919,9,0,944,169,24,0.0,0.875648,1.2345,1.0431,0.9903,0.9978
6bba_d3da753b,0.2,887,187,857,829,827,2,1,886,180,7,0.001127,0.962567,1.2532,1.0772,0.9976,0.965
6bba_d5eae175,0.2,528,108,519,519,518,1,0,528,102,6,0.0,0.944444,1.2254,1.0289,0.9981,0.9981
6bba_d6ecebbb,0.2,886,185,862,867,859,8,0,886,168,17,0.0,0.908108,1.2425,1.0415,0.9908,0.9965
6bba_d82a4fc6,0.2,545,103,530,527,525,2,1,544,96,7,0.001835,0.932039,1.2226,1.0455,0.9962,0.9906
6bba_debd7bfa,0.2,766,149,729,698,694,4,2,764,146,3,0.002611,0.979866,1.2551,1.0989,0.9943,0.952
6bba_df673a83,0.2,668,119,654,653,650,3,0,668,110,9,0.0,0.92437,1.2034,1.0368,0.9954,0.9939
6bba_e16ffc58,0.2,964,196,942,932,929,3,0,964,182,14,0.0,0.928571,1.2314,1.0494,0.9968,0.9862
6bba_e5e44988,0.2,666,142,634,607,601,6,4,662,134,8,0.006006,0.943662,1.2744,1.1038,0.9901,0.9479
6bba_ebdf3b34,0.2,847,170,803,797,787,10,0,847,162,8,0.0,0.952941,1.2665,1.0728,0.9875,0.9801
6bba_ebff6e76,0.2,1318,263,1264,1270,1259,11,0,1318,249,14,0.0,0.946768,1.2508,1.0488,0.9913,0.996
6bba_ed9377fd,0.2,531,94,508,508,506,2,0,531,87,7,0.0,0.925532,1.2303,1.0591,0.9961,0.9961
6bba_edf14583,0.2,801,165,760,766,759,7,1,800,160,5,0.001248,0.969697,1.2711,1.0509,0.9909,0.9987
6bba_eebc57a5,0.2,1026,196,989,980,977,3,1,1025,182,14,0.000975,0.928571,1.2356,1.0602,0.9969,0.9879
6bba_ef7b4f7e,0.2,1234,254,1201,1207,1197,10,0,1234,232,22,0.0,0.913386,1.239,1.0406,0.9917,0.9967
6bba_f17befbc,0.2,1078,212,1015,1001,994,7,2,1076,189,23,0.001855,0.891509,1.2709,1.0979,0.993,0.9793
6bba_f1fde7e0,0.2,476,93,446,410,406,4,2,474,89,4,0.004202,0.956989,1.2758,1.1659,0.9902,0.9103
6bba_f20478e9,0.2,1003,208,963,928,918,10,6,997,188,20,0.005982,0.903846,1.2575,1.0959,0.9892,0.9533
6bba_f4ae811c,0.2,1001,197,965,966,954,12,0,1001,172,25,0.0,0.873096,1.2415,1.0621,0.9876,0.9886
6bba_f8ffd5e7,0.2,389,77,370,357,347,10,4,385,75,2,0.010283,0.974026,1.2595,1.084,0.972,0.9378
6bba_fbc898dc,0.2,655,126,639,639,637,2,0,655,119,7,0.0,0.944444,1.2222,1.036,0.9969,0.9969
6bba_fc516dc6,0.2,788,160,762,726,721,5,1,787,141,19,0.001269,0.88125,1.2441,1.1102,0.9931,0.9462
6bba_fc5f39dc,0.2,471,100,458,461,456,5,0,471,93,7,0.0,0.93,1.2467,1.0369,0.9892,0.9956
6bba_fc83837d,0.2,957,174,923,916,908,8,2,955,160,14,0.00209,0.91954,1.2254,1.0579,0.9913,0.9837
6bba_fe670320,0.2,716,136,680,667,667,0,1,715,133,3,0.001397,0.977941,1.2529,1.0765,1.0,0.9809
44b6_0113de3b,0.5,52,0,50,50,50,0,0,52,0,0,0.0,0.0,1.04,1.04,1.0,1.0
44b6_0b24845f,0.5,51,11,49,49,49,0,0,51,11,0,0.0,1.0,1.2653,1.0408,1.0,1.0
44b6_0c582fdc,0.5,71,0,70,70,70,0,0,71,0,0,0.0,0.0,1.0143,1.0143,1.0,1.0
44b6_0db75fae,0.5,157,68,151,151,151,0,0,157,68,0,0.0,1.0,1.4901,1.0397,1.0,1.0
44b6_12dfb391,0.5,788,377,773,797,772,25,0,788,332,45,0.0,0.880637,1.5071,1.0452,0.9686,0.9987
44b6_144b256d,0.5,121,21,119,127,119,8,0,121,8,13,0.0,0.380952,1.1933,1.0551,0.937,1.0
44b6_1574802b,0.5,155,60,153,152,152,0,0,155,60,0,0.0,1.0,1.4052,1.0197,1.0,0.9935
44b6_18ced818,0.5,100,0,99,99,99,0,0,100,0,0,0.0,0.0,1.0101,1.0101,1.0,1.0
44b6_1d530831,0.5,276,137,271,278,270,8,0,276,122,15,0.0,0.890511,1.524,1.0468,0.9712,0.9963
44b6_24264f12,0.5,230,137,221,223,221,2,0,230,133,4,0.0,0.970803,1.6606,1.0493,0.991,1.0
44b6_267148e4,0.5,280,180,277,277,272,5,0,280,170,10,0.0,0.944444,1.6606,1.0469,0.9819,0.9819
44b6_2a2eff9f,0.5,214,91,210,217,208,9,0,214,75,16,0.0,0.824176,1.4524,1.0599,0.9585,0.9905
44b6_2f31fc2f,0.5,89,20,85,82,81,1,1,88,20,0,0.011236,1.0,1.2824,1.0732,0.9878,0.9529
44b6_33b596bf,0.5,50,0,49,49,49,0,0,50,0,0,0.0,0.0,1.0204,1.0204,1.0,1.0
44b6_341df25f,0.5,216,111,209,215,208,7,0,216,102,9,0.0,0.918919,1.5646,1.0465,0.9674,0.9952
44b6_3a861e03,0.5,935,463,919,928,900,28,0,935,418,45,0.0,0.902808,1.5212,1.056,0.9698,0.9793
44b6_3bb3690f,0.5,400,200,396,408,396,12,0,400,177,23,0.0,0.885,1.5152,1.0368,0.9706,1.0
