edge_id,dataset,track_id,edge_type,t,s_node_id,s_z,s_y,s_x,s_mean_intensity,s_snr,s_z_depth_ratio,s_estimated_radius,s_volume,s_local_density_r15,e_node_id,e_z,e_y,e_x,e_mean_intensity,e_snr,e_estimated_radius,e_volume,e_local_density_r15,track_distance_3d_um
25,44b6_0113de3b,61000000003,move,50,61000000003,32,128,128,100.0,3.5,1.0666666666666667,4.0,268.0,3,62000000003,35,127,113,102.0,3.6,4.0,268.0,3,7.814374775053984
26,44b6_0113de3b,62000000003,move,51,62000000003,35,127,113,100.0,3.5,1.1666666666666667,4.0,268.0,3,63000000003,37,125,118,102.0,3.6,4.0,268.0,3,3.917733121653388
27,44b6_0113de3b,63000000003,move,52,63000000003,37,125,118,100.0,3.5,1.2333333333333334,4.0,268.0,3,64000000003,38,124,122,102.0,3.6,4.0,268.0,3,2.333728575156074
28,44b6_0113de3b,64000000003,move,53,64000000003,38,124,122,100.0,3.5,1.2666666666666666,4.0,268.0,3,65000000003,39,122,132,102.0,3.6,4.0,268.0,3,4.4502457797294745
29,44b6_0113de3b,65000000003,move,54,65000000003,39,122,132,100.0,3.5,1.3,4.0,268.0,3,66000000003,41,120,132,102.0,3.6,4.0,268.0,3,3.350023320814349
30,44b6_0113de3b,66000000003,move,55,66000000003,41,120,132,100.0,3.5,1.3666666666666667,4.0,268.0,3,67000000003,42,118,137,102.0,3.6,4.0,268.0,3,2.7252078475778685
31,44b6_0113de3b,67000000003,move,56,67000000003,42,118,137,100.0,3.5,1.4,4.0,268.0,3,68000000003,43,120,137,102.0,3.6,4.0,268.0,3,1.8168052317185792
32,44b6_0113de3b,68000000003,move,57,68000000003,43,120,137,100.0,3.5,1.4333333333333333,4.0,268.0,3,69000000003,44,121,139,102.0,3.6,4.0,268.0,3,1.86167137607581
33,44b6_0113de3b,69000000003,move,58,69000000003,44,121,139,100.0,3.5,1.4666666666666666,4.0,268.0,3,70000000003,47,121,143,102.0,3.6,4.0,268.0,3,5.138701197773616
34,44b6_0113de3b,70000000003,move,59,70000000003,47,121,143,100.0,3.5,1.5666666666666667,4.0,268.0,3,71000000003,48,122,147,102.0,3.6,4.0,268.0,3,2.333728575156074
35,44b6_0113de3b,71000000003,move,60,71000000003,48,122,147,100.0,3.5,1.6,4.0,268.0,3,72000000003,49,120,150,102.0,3.6,4.0,268.0,3,2.1877232028983924
36,44b6_0113de3b,72000000003,move,61,72000000003,49,120,150,100.0,3.5,1.6333333333333333,4.0,268.0,3,73000000003,50,122,153,102.0,3.6,4.0,268.0,3,2.1877232028983924
37,44b6_0113de3b,73000000003,move,62,73000000003,50,122,153,100.0,3.5,1.6666666666666667,4.0,268.0,3,74000000003,50,123,156,102.0,3.6,4.0,268.0,3,1.284675299443404
38,44b6_0113de3b,74000000003,move,63,74000000003,50,123,156,100.0,3.5,1.6666666666666667,4.0,268.0,3,75000000003,51,123,159,102.0,3.6,4.0,268.0,3,2.03125
39,44b6_0113de3b,75000000003,move,64,75000000003,51,123,159,100.0,3.5,1.7,4.0,268.0,3,76000000003,53,126,164,102.0,3.6,4.0,268.0,3,4.021669817998489
40,44b6_0113de3b,76000000003,move,65,76000000003,53,126,164,100.0,3.5,1.7666666666666666,4.0,268.0,3,77000000003,54,127,171,102.0,3.6,4.0,268.0,3,3.300390601883359
41,44b6_0113de3b,77000000003,move,66,77000000003,54,127,171,100.0,3.5,1.8,4.0,268.0,3,78000000003,56,128,173,102.0,3.6,4.0,268.0,3,3.374565944310468
42,44b6_0113de3b,78000000003,move,67,78000000003,56,128,173,100.0,3.5,1.8666666666666667,4.0,268.0,3,79000000003,57,128,180,102.0,3.6,4.0,268.0,3,3.2752922102462856
43,44b6_0113de3b,79000000003,move,68,79000000003,57,128,180,100.0,3.5,1.9,4.0,268.0,3,80000000004,58,129,182,102.0,3.6,4.0,268.0,3,1.86167137607581
44,44b6_0113de3b,80000000004,move,69,80000000004,58,129,182,100.0,3.5,1.9333333333333333,4.0,268.0,3,81000000004,59,127,188,102.0,3.6,4.0,268.0,3,3.040096626753827
45,44b6_0113de3b,81000000004,move,70,81000000004,59,127,188,100.0,3.5,1.9666666666666666,4.0,268.0,3,82000000004,60,127,192,102.0,3.6,4.0,268.0,3,2.2980970388562794
46,44b6_0113de3b,82000000004,move,71,82000000004,60,127,192,100.0,3.5,2.0,4.0,268.0,3,83000000004,61,128,194,102.0,3.6,4.0,268.0,3,1.86167137607581
47,44b6_0113de3b,83000000004,move,72,83000000004,61,128,194,100.0,3.5,2.033333333333333,4.0,268.0,3,84000000004,62,128,196,102.0,3.6,4.0,268.0,3,1.8168052317185792
48,44b6_0113de3b,84000000004,move,73,84000000004,62,128,196,100.0,3.5,2.066666666666667,4.0,268.0,3,85000000004,63,130,200,102.0,3.6,4.0,268.0,3,2.4375
49,44b6_0113de3b,85000000004,move,74,85000000004,63,130,200,100.0,3.5,2.1,4.0,268.0,3,86000000004,63,128,202,102.0,3.6,4.0,268.0,3,1.1490485194281397
0,44b6_0b24845f,90000000036,move,11,90000000036,63,172,244,100.0,3.5,2.1,4.0,268.0,3,91000000036,62,170,240,102.0,3.6,4.0,268.0,3,2.4375
1,44b6_0b24845f,91000000036,move,12,91000000036,62,170,240,100.0,3.5,2.066666666666667,4.0,268.0,3,92000000036,61,173,236,102.0,3.6,4.0,268.0,3,2.6012692214570947
2,44b6_0b24845f,92000000036,move,13,92000000036,61,173,236,100.0,3.5,2.033333333333333,4.0,268.0,3,93000000036,61,174,236,102.0,3.6,4.0,268.0,3,0.40625
3,44b6_0b24845f,93000000036,move,14,93000000036,61,174,236,100.0,3.5,2.033333333333333,4.0,268.0,3,94000000036,60,173,233,102.0,3.6,4.0,268.0,3,2.0714766773970688
4,44b6_0b24845f,94000000036,move,15,94000000036,60,173,233,100.0,3.5,2.0,4.0,268.0,3,95000000036,59,175,229,102.0,3.6,4.0,268.0,3,2.4375
5,44b6_0b24845f,95000000036,move,16,95000000036,59,175,229,100.0,3.5,1.9666666666666666,4.0,268.0,3,96000000036,58,173,224,102.0,3.6,4.0,268.0,3,2.7252078475778685
6,44b6_0b24845f,96000000036,move,17,96000000036,58,173,224,100.0,3.5,1.9333333333333333,4.0,268.0,3,97000000036,57,169,218,102.0,3.6,4.0,268.0,3,3.350023320814349
7,44b6_0b24845f,97000000036,move,18,97000000036,57,169,218,100.0,3.5,1.9,4.0,268.0,3,98000000036,56,168,214,102.0,3.6,4.0,268.0,3,2.333728575156074
8,44b6_0b24845f,98000000036,move,19,98000000036,56,168,214,100.0,3.5,1.8666666666666667,4.0,268.0,3,99000000036,56,167,214,102.0,3.6,4.0,268.0,3,0.40625
9,44b6_0b24845f,99000000036,move,20,99000000036,56,167,214,100.0,3.5,1.8666666666666667,4.0,268.0,3,100000000036,55,167,208,102.0,3.6,4.0,268.0,3,2.9295104113144914
10,44b6_0b24845f,100000000036,move,21,100000000036,55,167,208,100.0,3.5,1.8333333333333333,4.0,268.0,3,101000000036,54,166,202,102.0,3.6,4.0,268.0,3,2.9575446425202108
11,44b6_0b24845f,101000000036,move,22,101000000036,54,166,202,100.0,3.5,1.8,4.0,268.0,3,102000000036,53,163,199,102.0,3.6,4.0,268.0,3,2.368824207280903
12,44b6_0b24845f,102000000036,move,23,102000000036,53,163,199,100.0,3.5,1.7666666666666666,4.0,268.0,3,103000000036,52,162,192,102.0,3.6,4.0,268.0,3,3.300390601883359
13,44b6_0b24845f,103000000036,move,24,103000000036,52,162,192,100.0,3.5,1.7333333333333334,4.0,268.0,3,104000000036,51,161,185,102.0,3.6,4.0,268.0,3,3.300390601883359
14,44b6_0b24845f,104000000036,move,25,104000000036,51,161,185,100.0,3.5,1.7,4.0,268.0,3,105000000036,51,160,181,102.0,3.6,4.0,268.0,3,1.6750116604071745
15,44b6_0b24845f,105000000036,move,26,105000000036,51,160,181,100.0,3.5,1.7,4.0,268.0,3,106000000036,51,156,179,102.0,3.6,4.0,268.0,3,1.8168052317185792
16,44b6_0b24845f,106000000036,move,27,106000000036,51,156,179,100.0,3.5,1.7,4.0,268.0,3,107000000036,51,154,170,102.0,3.6,4.0,268.0,3,3.7454399357752353
17,44b6_0b24845f,107000000036,move,28,107000000036,51,154,170,100.0,3.5,1.7,4.0,268.0,3,108000000036,51,153,168,102.0,3.6,4.0,268.0,3,0.9084026158592896
18,44b6_0b24845f,108000000036,move,29,108000000036,51,153,168,100.0,3.5,1.7,4.0,268.0,3,109000000036,50,152,162,102.0,3.6,4.0,268.0,3,2.9575446425202108
19,44b6_0b24845f,109000000036,move,30,109000000036,50,152,162,100.0,3.5,1.6666666666666667,4.0,268.0,3,110000000036,49,151,157,102.0,3.6,4.0,268.0,3,2.632800908728193
20,44b6_0b24845f,110000000036,move,31,110000000036,49,151,157,100.0,3.5,1.6333333333333333,4.0,268.0,3,111000000036,48,152,155,102.0,3.6,4.0,268.0,3,1.86167137607581
21,44b6_0b24845f,111000000036,move,32,111000000036,48,152,155,100.0,3.5,1.6,4.0,268.0,3,112000000036,45,151,153,102.0,3.6,4.0,268.0,3,4.958913218891817
22,44b6_0b24845f,112000000036,move,33,112000000036,45,151,153,100.0,3.5,1.5,4.0,268.0,3,113000000036,44,149,152,102.0,3.6,4.0,268.0,3,1.86167137607581
23,44b6_0b24845f,113000000036,move,34,113000000036,44,149,152,100.0,3.5,1.4666666666666666,4.0,268.0,3,114000000036,42,148,146,102.0,3.6,4.0,268.0,3,4.0827619710803615
24,44b6_0b24845f,114000000036,move,35,114000000036,42,148,146,100.0,3.5,1.4,4.0,268.0,3,115000000036,42,149,144,102.0,3.6,4.0,268.0,3,0.9084026158592896
25,44b6_0b24845f,115000000036,move,36,115000000036,42,149,144,100.0,3.5,1.4,4.0,268.0,3,116000000036,41,148,145,102.0,3.6,4.0,268.0,3,1.7235727791422095
26,44b6_0b24845f,116000000036,move,37,116000000036,41,148,145,100.0,3.5,1.3666666666666667,4.0,268.0,3,117000000036,41,146,144,102.0,3.6,4.0,268.0,3,0.9084026158592896
27,44b6_0b24845f,117000000036,move,38,117000000036,41,146,144,100.0,3.5,1.3666666666666667,4.0,268.0,3,118000000036,42,147,141,102.0,3.6,4.0,268.0,3,2.0714766773970688
28,44b6_0b24845f,118000000027,move,39,118000000027,5,240,254,100.0,3.5,0.16666666666666666,4.0,268.0,3,119000000027,3,240,253,102.0,3.6,4.0,268.0,3,3.2752922102462856
29,44b6_0b24845f,118000000036,move,39,118000000036,42,147,141,100.0,3.5,1.4,4.0,268.0,3,119000000036,42,148,140,102.0,3.6,4.0,268.0,3,0.5745242597140698
30,44b6_0b24845f,119000000027,move,40,119000000027,3,240,253,100.0,3.5,0.1,4.0,268.0,3,120000000027,2,239,253,102.0,3.6,4.0,268.0,3,1.6750116604071745
31,44b6_0b24845f,119000000036,move,40,119000000036,42,148,140,100.0,3.5,1.4,4.0,268.0,3,120000000036,40,143,135,102.0,3.6,4.0,268.0,3,4.33756303988772
32,44b6_0b24845f,120000000027,move,41,120000000027,2,239,253,100.0,3.5,0.06666666666666667,4.0,268.0,3,121000000028,3,240,252,102.0,3.6,4.0,268.0,3,1.7235727791422095
33,44b6_0b24845f,120000000036,move,41,120000000036,40,143,135,100.0,3.5,1.3333333333333333,4.0,268.0,3,121000000037,37,142,131,102.0,3.6,4.0,268.0,3,5.154734625807618
34,44b6_0b24845f,121000000028,move,42,121000000028,3,240,252,100.0,3.5,0.1,4.0,268.0,3,122000000028,3,240,252,102.0,3.6,4.0,268.0,3,0.0
35,44b6_0b24845f,121000000037,move,42,121000000037,37,142,131,100.0,3.5,1.2333333333333334,4.0,268.0,3,122000000037,37,141,129,102.0,3.6,4.0,268.0,3,0.9084026158592896
36,44b6_0b24845f,122000000028,move,43,122000000028,3,240,252,100.0,3.5,0.1,4.0,268.0,3,123000000028,3,241,253,102.0,3.6,4.0,268.0,3,0.5745242597140698
37,44b6_0b24845f,122000000037,move,43,122000000037,37,141,129,100.0,3.5,1.2333333333333334,4.0,268.0,3,123000000037,36,140,126,102.0,3.6,4.0,268.0,3,2.0714766773970688
38,44b6_0b24845f,123000000028,move,44,123000000028,3,241,253,100.0,3.5,0.1,4.0,268.0,3,124000000028,2,242,250,102.0,3.6,4.0,268.0,3,2.0714766773970688
39,44b6_0b24845f,123000000037,move,44,123000000037,36,140,126,100.0,3.5,1.2,4.0,268.0,3,124000000037,35,139,124,102.0,3.6,4.0,268.0,3,1.86167137607581
40,44b6_0b24845f,124000000028,move,45,124000000028,2,242,250,100.0,3.5,0.06666666666666667,4.0,268.0,3,125000000028,2,243,252,102.0,3.6,4.0,268.0,3,0.9084026158592896
41,44b6_0b24845f,124000000037,move,45,124000000037,35,139,124,100.0,3.5,1.1666666666666667,4.0,268.0,3,125000000037,35,137,122,102.0,3.6,4.0,268.0,3,1.1490485194281397
42,44b6_0b24845f,125000000028,move,46,125000000028,2,243,252,100.0,3.5,0.06666666666666667,4.0,268.0,3,126000000029,1,243,252,102.0,3.6,4.0,268.0,3,1.625
43,44b6_0b24845f,125000000037,move,46,125000000037,35,137,122,100.0,3.5,1.1666666666666667,4.0,268.0,3,126000000038,34,135,123,102.0,3.6,4.0,268.0,3,1.86167137607581
44,44b6_0b24845f,126000000029,move,47,126000000029,1,243,252,100.0,3.5,0.03333333333333333,4.0,268.0,3,127000000029,1,242,254,102.0,3.6,4.0,268.0,3,0.9084026158592896
45,44b6_0b24845f,126000000038,move,47,126000000038,34,135,123,100.0,3.5,1.1333333333333333,4.0,268.0,3,127000000038,34,133,124,102.0,3.6,4.0,268.0,3,0.9084026158592896
46,44b6_0b24845f,127000000029,move,48,127000000029,1,242,254,100.0,3.5,0.03333333333333333,4.0,268.0,3,128000000029,1,245,255,102.0,3.6,4.0,268.0,3,1.284675299443404
47,44b6_0b24845f,127000000038,move,48,127000000038,34,133,124,100.0,3.5,1.1333333333333333,4.0,268.0,3,128000000038,33,132,127,102.0,3.6,4.0,268.0,3,2.0714766773970688
48,44b6_0b24845f,128000000038,move,49,128000000038,33,132,127,100.0,3.5,1.1,4.0,268.0,3,129000000039,32,128,128,102.0,3.6,4.0,268.0,3,2.333728575156074
0,44b6_0c582fdc,108000000086,move,20,108000000086,45,254,199,100.0,3.5,1.5,4.0,268.0,3,109000000086,44,251,198,102.0,3.6,4.0,268.0,3,2.0714766773970688
1,44b6_0c582fdc,109000000086,move,21,109000000086,44,251,198,100.0,3.5,1.4666666666666666,4.0,268.0,3,110000000085,43,248,196,102.0,3.6,4.0,268.0,3,2.1877232028983924
2,44b6_0c582fdc,110000000085,move,22,110000000085,43,248,196,100.0,3.5,1.4333333333333333,4.0,268.0,3,111000000085,42,241,196,102.0,3.6,4.0,268.0,3,3.2752922102462856
3,44b6_0c582fdc,111000000085,move,23,111000000085,42,241,196,100.0,3.5,1.4,4.0,268.0,3,112000000085,41,234,193,102.0,3.6,4.0,268.0,3,3.494694639736067
4,44b6_0c582fdc,112000000085,move,24,112000000085,41,234,193,100.0,3.5,1.3666666666666667,4.0,268.0,3,113000000085,40,223,189,102.0,3.6,4.0,268.0,3,5.025034981221523
5,44b6_0c582fdc,113000000085,move,25,113000000085,40,223,189,100.0,3.5,1.3333333333333333,4.0,268.0,3,114000000085,40,221,187,102.0,3.6,4.0,268.0,3,1.1490485194281397
6,44b6_0c582fdc,114000000085,move,26,114000000085,40,221,187,100.0,3.5,1.3333333333333333,4.0,268.0,3,115000000085,40,216,185,102.0,3.6,4.0,268.0,3,2.1877232028983924
7,44b6_0c582fdc,115000000085,move,27,115000000085,40,216,185,100.0,3.5,1.3333333333333333,4.0,268.0,3,116000000085,39,212,182,102.0,3.6,4.0,268.0,3,2.6012692214570947
8,44b6_0c582fdc,116000000085,move,28,116000000085,39,212,182,100.0,3.5,1.3,4.0,268.0,3,117000000085,39,207,181,102.0,3.6,4.0,268.0,3,2.0714766773970688
9,44b6_0c582fdc,117000000085,move,29,117000000085,39,207,181,100.0,3.5,1.3,4.0,268.0,3,118000000085,39,200,179,102.0,3.6,4.0,268.0,3,2.9575446425202108
10,44b6_0c582fdc,118000000085,move,30,118000000085,39,200,179,100.0,3.5,1.3,4.0,268.0,3,119000000085,39,196,174,102.0,3.6,4.0,268.0,3,2.6012692214570947
11,44b6_0c582fdc,119000000085,move,31,119000000085,39,196,174,100.0,3.5,1.3,4.0,268.0,3,120000000085,38,192,172,102.0,3.6,4.0,268.0,3,2.4375
12,44b6_0c582fdc,120000000085,move,32,120000000085,38,192,172,100.0,3.5,1.2666666666666666,4.0,268.0,3,121000000085,39,190,167,102.0,3.6,4.0,268.0,3,2.7252078475778685
13,44b6_0c582fdc,121000000085,move,33,121000000085,39,190,167,100.0,3.5,1.3,4.0,268.0,3,122000000085,38,180,162,102.0,3.6,4.0,268.0,3,4.823951472859154
14,44b6_0c582fdc,122000000085,move,34,122000000085,38,180,162,100.0,3.5,1.2666666666666666,4.0,268.0,3,123000000085,38,174,160,102.0,3.6,4.0,268.0,3,2.569350598886808
15,44b6_0c582fdc,123000000085,move,35,123000000085,38,174,160,100.0,3.5,1.2666666666666666,4.0,268.0,3,124000000085,37,171,156,102.0,3.6,4.0,268.0,3,2.6012692214570947
16,44b6_0c582fdc,124000000085,move,36,124000000085,37,171,156,100.0,3.5,1.2333333333333334,4.0,268.0,3,125000000084,38,166,154,102.0,3.6,4.0,268.0,3,2.7252078475778685
17,44b6_0c582fdc,125000000084,move,37,125000000084,38,166,154,100.0,3.5,1.2666666666666666,4.0,268.0,3,126000000085,37,157,151,102.0,3.6,4.0,268.0,3,4.182599744775969
18,44b6_0c582fdc,126000000085,move,38,126000000085,37,157,151,100.0,3.5,1.2333333333333334,4.0,268.0,3,127000000085,37,156,150,102.0,3.6,4.0,268.0,3,0.5745242597140698
19,44b6_0c582fdc,127000000085,move,39,127000000085,37,156,150,100.0,3.5,1.2333333333333334,4.0,268.0,3,128000000085,36,154,149,102.0,3.6,4.0,268.0,3,1.86167137607581
20,44b6_0c582fdc,128000000085,move,40,128000000085,36,154,149,100.0,3.5,1.2,4.0,268.0,3,129000000085,36,153,147,102.0,3.6,4.0,268.0,3,0.9084026158592896
21,44b6_0c582fdc,129000000085,move,41,129000000085,36,153,147,100.0,3.5,1.2,4.0,268.0,3,130000000084,35,149,141,102.0,3.6,4.0,268.0,3,3.350023320814349
22,44b6_0c582fdc,130000000084,move,42,130000000084,35,149,141,100.0,3.5,1.1666666666666667,4.0,268.0,3,131000000083,35,145,140,102.0,3.6,4.0,268.0,3,1.6750116604071745
23,44b6_0c582fdc,131000000083,move,43,131000000083,35,145,140,100.0,3.5,1.1666666666666667,4.0,268.0,3,132000000083,35,145,137,102.0,3.6,4.0,268.0,3,1.21875
24,44b6_0c582fdc,132000000083,move,44,132000000083,35,145,137,100.0,3.5,1.1666666666666667,4.0,268.0,3,133000000083,34,138,135,102.0,3.6,4.0,268.0,3,3.374565944310468
25,44b6_0c582fdc,133000000083,move,45,133000000083,34,138,135,100.0,3.5,1.1333333333333333,4.0,268.0,3,134000000083,34,139,134,102.0,3.6,4.0,268.0,3,0.5745242597140698
26,44b6_0c582fdc,134000000083,move,46,134000000083,34,139,134,100.0,3.5,1.1333333333333333,4.0,268.0,3,135000000083,34,133,134,102.0,3.6,4.0,268.0,3,2.4375
27,44b6_0c582fdc,135000000083,move,47,135000000083,34,133,134,100.0,3.5,1.1333333333333333,4.0,268.0,3,136000000083,33,132,132,102.0,3.6,4.0,268.0,3,1.86167137607581
28,44b6_0c582fdc,136000000083,move,48,136000000083,33,132,132,100.0,3.5,1.1,4.0,268.0,3,137000000083,33,133,131,102.0,3.6,4.0,268.0,3,0.5745242597140698
29,44b6_0c582fdc,137000000083,move,49,137000000083,33,133,131,100.0,3.5,1.1,4.0,268.0,3,138000000083,32,128,128,102.0,3.6,4.0,268.0,3,2.8726212985703494
30,44b6_0c582fdc,138000000083,move,50,138000000083,32,128,128,100.0,3.5,1.0666666666666667,4.0,268.0,3,139000000082,32,118,122,102.0,3.6,4.0,268.0,3,4.737648414561806
31,44b6_0c582fdc,139000000082,move,51,139000000082,32,118,122,100.0,3.5,1.0666666666666667,4.0,268.0,3,140000000081,32,112,117,102.0,3.6,4.0,268.0,3,3.1729139308370784
32,44b6_0c582fdc,140000000081,move,52,140000000081,32,112,117,100.0,3.5,1.0666666666666667,4.0,268.0,3,141000000081,31,106,115,102.0,3.6,4.0,268.0,3,3.040096626753827
33,44b6_0c582fdc,141000000081,move,53,141000000081,31,106,115,100.0,3.5,1.0333333333333334,4.0,268.0,3,142000000080,31,103,114,102.0,3.6,4.0,268.0,3,1.284675299443404
34,44b6_0c582fdc,142000000080,move,54,142000000080,31,103,114,100.0,3.5,1.0333333333333334,4.0,268.0,3,143000000080,30,101,113,102.0,3.6,4.0,268.0,3,1.86167137607581
35,44b6_0c582fdc,143000000080,move,55,143000000080,30,101,113,100.0,3.5,1.0,4.0,268.0,3,144000000080,30,95,111,102.0,3.6,4.0,268.0,3,2.569350598886808
36,44b6_0c582fdc,144000000080,move,56,144000000080,30,95,111,100.0,3.5,1.0,4.0,268.0,3,145000000079,29,92,110,102.0,3.6,4.0,268.0,3,2.0714766773970688
37,44b6_0c582fdc,145000000079,move,57,145000000079,29,92,110,100.0,3.5,0.9666666666666667,4.0,268.0,3,146000000079,29,87,108,102.0,3.6,4.0,268.0,3,2.1877232028983924
38,44b6_0c582fdc,146000000079,move,58,146000000079,29,87,108,100.0,3.5,0.9666666666666667,4.0,268.0,3,147000000079,30,83,106,102.0,3.6,4.0,268.0,3,2.4375
39,44b6_0c582fdc,147000000079,move,59,147000000079,30,83,106,100.0,3.5,1.0,4.0,268.0,3,148000000079,30,80,102,102.0,3.6,4.0,268.0,3,2.03125
40,44b6_0c582fdc,148000000079,move,60,148000000079,30,80,102,100.0,3.5,1.0,4.0,268.0,3,149000000079,30,77,102,102.0,3.6,4.0,268.0,3,1.21875
41,44b6_0c582fdc,149000000079,move,61,149000000079,30,77,102,100.0,3.5,1.0,4.0,268.0,3,150000000077,31,74,100,102.0,3.6,4.0,268.0,3,2.1877232028983924
42,44b6_0c582fdc,150000000077,move,62,150000000077,31,74,100,100.0,3.5,1.0333333333333334,4.0,268.0,3,151000000077,30,75,97,102.0,3.6,4.0,268.0,3,2.0714766773970688
43,44b6_0c582fdc,151000000077,move,63,151000000077,30,75,97,100.0,3.5,1.0,4.0,268.0,3,152000000077,30,68,93,102.0,3.6,4.0,268.0,3,3.2752922102462856
44,44b6_0c582fdc,152000000077,move,64,152000000077,30,68,93,100.0,3.5,1.0,4.0,268.0,3,153000000077,30,66,92,102.0,3.6,4.0,268.0,3,0.9084026158592896
45,44b6_0c582fdc,153000000077,move,65,153000000077,30,66,92,100.0,3.5,1.0,4.0,268.0,3,154000000077,29,62,89,102.0,3.6,4.0,268.0,3,2.6012692214570947
