dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
44b6_668e0cc7,631,8286,140,8146,491,0.0169,0.2219,0.0314,148,25,483
44b6_66f9292d,198,7673,27,7646,171,0.0035,0.1364,0.0069,27,8,171
44b6_706092f0,117,4383,0,4383,117,0.0,0.0,0.0,0,0,117
44b6_71a4179f,119,5376,0,5376,119,0.0,0.0,0.0,0,0,119
44b6_74d0c52e,139,2599,8,2591,131,0.0031,0.0576,0.0058,8,5,131
44b6_7a302da0,507,11180,98,11082,409,0.0088,0.1933,0.0168,102,40,405
44b6_7e557709,560,6325,94,6231,466,0.0149,0.1679,0.0273,121,14,439
44b6_808952d6,179,3820,79,3741,100,0.0207,0.4413,0.0395,101,2,78
44b6_81c256f0,197,2312,131,2181,66,0.0567,0.665,0.1044,134,1,63
44b6_87bba6c4,149,7089,33,7056,116,0.0047,0.2215,0.0091,35,15,114
44b6_8cc6506c,396,9545,51,9494,345,0.0053,0.1288,0.0103,57,24,339
44b6_8f5ab931,604,5566,65,5501,539,0.0117,0.1076,0.0211,115,49,489
44b6_8f9ecab4,370,8966,0,8966,370,0.0,0.0,0.0,0,0,370
44b6_90724892,103,3354,35,3319,68,0.0104,0.3398,0.0202,35,6,68
44b6_949adeb1,378,6868,104,6764,274,0.0151,0.2751,0.0287,117,32,261
44b6_95029e92,198,1389,64,1325,134,0.0461,0.3232,0.0807,64,0,134
44b6_97725144,221,5590,12,5578,209,0.0021,0.0543,0.0041,12,1,209
44b6_996155de,377,331,3,328,374,0.0091,0.008,0.0085,3,1,374
44b6_9be80b04,220,18685,104,18581,116,0.0056,0.4727,0.011,110,27,110
44b6_9bfa6a0a,259,4002,7,3995,252,0.0017,0.027,0.0033,7,5,252
44b6_a21120c2,286,3524,62,3462,224,0.0176,0.2168,0.0325,62,12,224
44b6_a2bb48bb,410,20974,97,20877,313,0.0046,0.2366,0.0091,113,50,297
44b6_aaf8b0ea,206,2228,0,2228,206,0.0,0.0,0.0,0,0,206
44b6_abf82518,94,5499,57,5442,37,0.0104,0.6064,0.0204,57,0,37
44b6_b2c44266,168,5380,0,5380,168,0.0,0.0,0.0,0,0,168
44b6_c15fded2,102,1913,7,1906,95,0.0037,0.0686,0.0069,7,5,95
44b6_c50204e0,325,11782,35,11747,290,0.003,0.1077,0.0058,82,39,243
44b6_c771cb04,223,14600,70,14530,153,0.0048,0.3139,0.0094,70,31,153
44b6_c8e2a523,164,5056,54,5002,110,0.0107,0.3293,0.0207,54,9,110
44b6_c96cfa10,616,6345,84,6261,532,0.0132,0.1364,0.0241,84,34,532
44b6_cf2536e8,75,17359,17,17342,58,0.001,0.2267,0.002,17,4,58
44b6_cf8fed6b,188,6368,64,6304,124,0.0101,0.3404,0.0195,73,3,115
44b6_d29c9ab2,1328,2144,99,2045,1229,0.0462,0.0745,0.057,99,24,1229
44b6_d2f34f90,281,7132,20,7112,261,0.0028,0.0712,0.0054,19,21,262
44b6_d5e7d891,893,12006,161,11845,732,0.0134,0.1803,0.025,162,82,731
44b6_d754aa59,70,776,18,758,52,0.0232,0.2571,0.0426,18,0,52
44b6_d78e09d9,451,3136,174,2962,277,0.0555,0.3858,0.097,174,18,277
44b6_db3c847b,162,2777,24,2753,138,0.0086,0.1481,0.0163,24,0,138
44b6_ddf577ad,647,5757,36,5721,611,0.0063,0.0556,0.0112,36,8,611
44b6_deabac95,124,1568,25,1543,99,0.0159,0.2016,0.0296,25,4,99
44b6_e28840c6,309,8381,0,8381,309,0.0,0.0,0.0,0,0,309
44b6_e29f0176,50,1803,7,1796,43,0.0039,0.14,0.0076,7,4,43
44b6_e31261b4,113,3741,3,3738,110,0.0008,0.0265,0.0016,3,0,110
44b6_e35b117d,266,7496,53,7443,213,0.0071,0.1992,0.0137,53,18,213
44b6_e57ff5c6,186,4371,33,4338,153,0.0075,0.1774,0.0145,33,28,153
44b6_eb2880fc,379,7405,84,7321,295,0.0113,0.2216,0.0216,84,18,295
44b6_f28707c6,61,3319,16,3303,45,0.0048,0.2623,0.0095,16,5,45
6bba_05b6850b,845,662,17,645,828,0.0257,0.0201,0.0226,54,2,791
6bba_05db0fb1,1183,6490,45,6445,1138,0.0069,0.038,0.0117,76,27,1107
6bba_062c8d37,898,457,39,418,859,0.0853,0.0434,0.0576,66,3,832
6bba_07477033,602,513,26,487,576,0.0507,0.0432,0.0466,33,4,569
6bba_07e24132,345,5552,74,5478,271,0.0133,0.2145,0.0251,174,9,171
6bba_085bf656,1168,1674,183,1491,985,0.1093,0.1567,0.1288,309,73,859
6bba_09961292,1871,1892,339,1553,1532,0.1792,0.1812,0.1802,353,36,1518
6bba_0c7fa718,659,562,25,537,634,0.0445,0.0379,0.041,30,1,629
6bba_0e7c0d07,198,1729,2,1727,196,0.0012,0.0101,0.0021,13,4,185
6bba_12665c0e,998,1386,153,1233,845,0.1104,0.1533,0.1284,207,8,791
6bba_13f19531,704,1401,24,1377,680,0.0171,0.0341,0.0228,120,11,584
6bba_15403b9a,729,627,9,618,720,0.0144,0.0123,0.0133,40,13,689
6bba_1d0d8384,1365,822,15,807,1350,0.0182,0.011,0.0137,32,6,1333
6bba_1ebfb80d,719,1079,8,1071,711,0.0074,0.0111,0.0089,21,13,698
6bba_1f58c2f6,299,7811,119,7692,180,0.0152,0.398,0.0293,148,14,151
6bba_207c6aaf,450,1719,22,1697,428,0.0128,0.0489,0.0203,43,19,407
6bba_20852818,909,1320,67,1253,842,0.0508,0.0737,0.0601,168,7,741
6bba_2312ac41,1132,3525,125,3400,1007,0.0355,0.1104,0.0537,275,35,857
6bba_23af9eeb,499,979,127,852,372,0.1297,0.2545,0.1719,281,30,218
6bba_2540cd90,523,586,76,510,447,0.1297,0.1453,0.1371,129,44,394
6bba_2646afc7,721,1039,102,937,619,0.0982,0.1415,0.1159,246,37,475
6bba_268e1230,609,866,30,836,579,0.0346,0.0493,0.0407,71,12,538
6bba_2819ca14,949,512,53,459,896,0.1035,0.0558,0.0726,107,27,842
6bba_283bf9f1,1288,2123,92,2031,1196,0.0433,0.0714,0.0539,109,20,1179
6bba_312f0dc3,500,697,24,673,476,0.0344,0.048,0.0401,97,42,403
6bba_32db13fc,811,4049,94,3955,717,0.0232,0.1159,0.0387,104,27,707
6bba_337b1b3a,1213,1550,28,1522,1185,0.0181,0.0231,0.0203,35,7,1178
6bba_372c8cb8,1007,1437,137,1300,870,0.0953,0.136,0.1121,341,31,666
6bba_3a1849c2,1142,844,117,727,1025,0.1386,0.1025,0.1178,215,22,927
6bba_3abfe10a,935,6857,110,6747,825,0.016,0.1176,0.0282,196,25,739
6bba_3c5691b6,746,1571,145,1426,601,0.0923,0.1944,0.1252,282,27,464
6bba_3db54e20,474,4381,33,4348,441,0.0075,0.0696,0.0136,61,32,413
6bba_3fda6b25,1179,1529,141,1388,1038,0.0922,0.1196,0.1041,189,4,990
6bba_43fea39d,880,1055,23,1032,857,0.0218,0.0261,0.0238,63,11,817
6bba_474be664,286,6643,23,6620,263,0.0035,0.0804,0.0066,39,27,247
6bba_48816121,918,2616,61,2555,857,0.0233,0.0664,0.0345,121,40,797
6bba_4aa14c89,681,1318,70,1248,611,0.0531,0.1028,0.07,122,19,559
6bba_4f99ce20,1010,440,44,396,966,0.1,0.0436,0.0607,69,9,941
6bba_4ffd3da3,689,3661,121,3540,568,0.0331,0.1756,0.0556,164,37,525
6bba_55b7eebe,688,358,4,354,684,0.0112,0.0058,0.0076,5,0,683
6bba_55c70843,467,5961,48,5913,419,0.0081,0.1028,0.0149,71,19,396
6bba_57b7cc1e,1592,6109,82,6027,1510,0.0134,0.0515,0.0213,89,50,1503
6bba_5a4d9360,722,425,37,388,685,0.0871,0.0512,0.0645,62,8,660
6bba_5b28472a,724,717,13,704,711,0.0181,0.018,0.018,32,1,692
6bba_5c039895,1145,1826,113,1713,1032,0.0619,0.0987,0.0761,237,123,908
6bba_5c824876,1130,3617,60,3557,1070,0.0166,0.0531,0.0253,114,5,1016
6bba_5dfe9ad1,1487,4074,111,3963,1376,0.0272,0.0746,0.0399,135,16,1352
6bba_5f89039d,885,689,65,624,820,0.0943,0.0734,0.0826,127,4,758
6bba_61dd1e0d,543,1300,15,1285,528,0.0115,0.0276,0.0163,23,1,520
6bba_61ecbe65,614,1127,88,1039,526,0.0781,0.1433,0.1011,135,11,479
6bba_6321a359,798,1402,119,1283,679,0.0849,0.1491,0.1082,213,4,585
6bba_6479435d,580,4806,75,4731,505,0.0156,0.1293,0.0278,119,18,461
6bba_67ebd073,438,2689,95,2594,343,0.0353,0.2169,0.0608,135,20,303
6bba_6ca87370,1052,798,164,634,888,0.2055,0.1559,0.1773,195,48,857
6bba_6db0e9b4,440,4357,17,4340,423,0.0039,0.0386,0.0071,35,11,405
6bba_6feb10f0,1343,1143,7,1136,1336,0.0061,0.0052,0.0056,12,16,1331
6bba_6feeb0b1,1343,872,143,729,1200,0.164,0.1065,0.1291,191,61,1152
6bba_705ec2c9,562,632,27,605,535,0.0427,0.048,0.0452,46,3,516
6bba_718b21f9,652,911,70,841,582,0.0768,0.1074,0.0896,92,33,560
6bba_74686d6a,576,2628,0,2628,576,0.0,0.0,0.0,0,0,576
6bba_767a1e17,658,5712,116,5596,542,0.0203,0.1763,0.0364,128,33,530
6bba_76db78c1,604,758,104,654,500,0.1372,0.1722,0.1527,114,11,490
6bba_784a78c9,1739,3782,497,3285,1242,0.1314,0.2858,0.18,568,61,1171
6bba_786893ac,1395,7086,311,6775,1084,0.0439,0.2229,0.0733,312,99,1083
6bba_789f8168,681,770,60,710,621,0.0779,0.0881,0.0827,60,11,621
6bba_78a7bd97,832,7609,102,7507,730,0.0134,0.1226,0.0242,125,35,707
6bba_7af54fde,1092,2382,233,2149,859,0.0978,0.2134,0.1341,356,9,736
6bba_7b5d3b2c,555,903,0,903,555,0.0,0.0,0.0,0,0,555
6bba_7d3058ae,1173,671,32,639,1141,0.0477,0.0273,0.0347,42,2,1131
6bba_7f87b3d8,934,904,101,803,833,0.1117,0.1081,0.1099,108,7,826
6bba_80d12824,654,1355,73,1282,581,0.0539,0.1116,0.0727,100,7,554
6bba_825bd1c6,930,644,98,546,832,0.1522,0.1054,0.1245,141,39,789
6bba_87289e13,699,1000,50,950,649,0.05,0.0715,0.0589,82,5,617
6bba_8b7818bf,725,1000,115,885,610,0.115,0.1586,0.1333,135,10,590
6bba_907271db,921,698,139,559,782,0.1991,0.1509,0.1717,199,112,722
6bba_91951b3a,1148,1922,100,1822,1048,0.052,0.0871,0.0651,176,34,972
6bba_96833384,721,1519,144,1375,577,0.0948,0.1997,0.1286,232,16,489
6bba_969618f6,658,3416,212,3204,446,0.0621,0.3222,0.1041,251,28,407
6bba_971fa5e0,767,698,28,670,739,0.0401,0.0365,0.0382,49,4,718
6bba_9a41d029,1353,1723,96,1627,1257,0.0557,0.071,0.0624,123,19,1230
6bba_9e23430b,891,1174,27,1147,864,0.023,0.0303,0.0262,90,14,801
6bba_a5e926bb,698,1080,57,1023,641,0.0528,0.0817,0.0641,86,8,612
6bba_a90a0b9c,1112,3366,107,3259,1005,0.0318,0.0962,0.0478,132,82,980
6bba_ab78413d,1138,1749,22,1727,1116,0.0126,0.0193,0.0152,23,17,1115
6bba_acd782a8,330,1962,30,1932,300,0.0153,0.0909,0.0262,30,11,300
6bba_ae82a791,1471,428,56,372,1415,0.1308,0.0381,0.059,75,5,1396
6bba_aeee7805,768,1574,159,1415,609,0.101,0.207,0.1358,265,4,503
6bba_af149c94,1317,1755,271,1484,1046,0.1544,0.2058,0.1764,344,84,973
6bba_afb141ff,626,648,43,605,583,0.0664,0.0687,0.0675,63,0,563
6bba_b1ae37b9,579,2663,92,2571,487,0.0345,0.1589,0.0568,114,28,465
6bba_b204cac7,811,881,165,716,646,0.1873,0.2035,0.195,218,19,593
6bba_b329af44,1268,8551,150,8401,1118,0.0175,0.1183,0.0306,166,41,1102
6bba_b693381b,935,583,55,528,880,0.0943,0.0588,0.0725,88,4,847
6bba_bb9f20c3,1879,1038,107,931,1772,0.1031,0.0569,0.0734,112,30,1767
6bba_bbb708ca,861,1302,93,1209,768,0.0714,0.108,0.086,120,8,741
6bba_c27cba08,493,2375,123,2252,370,0.0518,0.2495,0.0858,146,15,347
6bba_c328f2fd,500,3093,106,2987,394,0.0343,0.212,0.059,115,21,385
6bba_c73a1d11,710,3621,51,3570,659,0.0141,0.0718,0.0236,66,25,644
6bba_cdcfe533,1348,1847,107,1740,1241,0.0579,0.0794,0.067,107,11,1241
6bba_cf35214c,817,3821,80,3741,737,0.0209,0.0979,0.0345,105,6,712
6bba_cff5865f,1501,3472,133,3339,1368,0.0383,0.0886,0.0535,140,25,1361
6bba_d0fc38b5,813,969,230,739,583,0.2374,0.2829,0.2581,360,72,453
6bba_d1acb6ff,643,2179,121,2058,522,0.0555,0.1882,0.0858,165,31,478
6bba_d2b9fc0c,921,900,24,876,897,0.0267,0.0261,0.0264,35,15,886
6bba_d3da753b,857,616,59,557,798,0.0958,0.0688,0.0801,63,28,794
6bba_d5eae175,519,441,42,399,477,0.0952,0.0809,0.0875,44,21,475
6bba_d6ecebbb,862,705,218,487,644,0.3092,0.2529,0.2782,225,13,637
6bba_d82a4fc6,530,7851,270,7581,260,0.0344,0.5094,0.0644,301,24,229
6bba_debd7bfa,729,1335,78,1257,651,0.0584,0.107,0.0756,80,9,649
6bba_df673a83,654,2932,153,2779,501,0.0522,0.2339,0.0853,163,21,491
6bba_e16ffc58,942,725,97,628,845,0.1338,0.103,0.1164,136,24,806
6bba_e5e44988,634,746,64,682,570,0.0858,0.1009,0.0928,85,38,549
6bba_ebdf3b34,803,4007,65,3942,738,0.0162,0.0809,0.027,68,19,735
6bba_ebff6e76,1264,2730,101,2629,1163,0.037,0.0799,0.0506,102,30,1162
6bba_ed9377fd,508,488,13,475,495,0.0266,0.0256,0.0261,14,3,494
6bba_edf14583,760,6807,126,6681,634,0.0185,0.1658,0.0333,134,39,626
6bba_eebc57a5,989,541,50,491,939,0.0924,0.0506,0.0654,57,2,932
6bba_ef7b4f7e,1201,1022,244,778,957,0.2387,0.2032,0.2195,258,12,943
6bba_f17befbc,1015,1652,94,1558,921,0.0569,0.0926,0.0705,97,21,918
6bba_f1fde7e0,446,346,16,330,430,0.0462,0.0359,0.0404,16,0,430
6bba_f20478e9,963,839,101,738,862,0.1204,0.1049,0.1121,124,20,839
6bba_f4ae811c,965,2065,213,1852,752,0.1031,0.2207,0.1406,213,7,752
6bba_f8ffd5e7,370,7714,132,7582,238,0.0171,0.3568,0.0327,135,9,235
6bba_fbc898dc,639,735,65,670,574,0.0884,0.1017,0.0946,65,0,574
6bba_fc516dc6,762,1113,109,1004,653,0.0979,0.143,0.1163,113,18,649
6bba_fc5f39dc,458,2424,56,2368,402,0.0231,0.1223,0.0389,56,6,402
6bba_fc83837d,923,1517,148,1369,775,0.0976,0.1603,0.1213,148,39,775
6bba_fe670320,680,668,35,633,645,0.0524,0.0515,0.0519,35,24,645
