dataset,t,bg_median,bg_noise,snr_proxy,fg_ratio,p01,p995,detected_nodes
44b6_0113de3b,43,202.0,154.93,9.4559,0.0556,37.0,1667.0,269
44b6_0113de3b,44,205.0,157.15,9.443,0.0558,36.0,1689.0,269
44b6_0113de3b,45,202.0,156.41,9.5197,0.057,35.0,1691.0,269
44b6_0113de3b,46,200.0,156.41,9.5069,0.0572,35.0,1687.0,272
44b6_0113de3b,47,199.0,158.64,9.3232,0.0574,35.0,1678.0,274
44b6_0113de3b,48,204.0,161.6,9.2202,0.0562,35.0,1694.0,273
44b6_0113de3b,49,203.0,157.89,9.2657,0.0568,35.0,1666.0,270
44b6_0113de3b,50,201.0,158.64,9.2224,0.0553,37.0,1664.0,270
44b6_0113de3b,51,204.0,164.57,8.9022,0.0545,32.0,1669.0,292
44b6_0113de3b,52,202.0,163.83,8.9913,0.0552,33.0,1675.0,298
44b6_0113de3b,53,203.0,166.05,9.1057,0.0557,32.0,1715.0,301
44b6_0113de3b,54,203.0,163.08,9.0322,0.0554,33.0,1676.0,294
44b6_0113de3b,55,204.0,167.53,8.8043,0.0547,32.0,1679.0,288
44b6_0113de3b,56,205.0,165.31,8.8562,0.0552,33.0,1669.0,286
44b6_0113de3b,57,201.0,163.83,8.8143,0.0547,32.0,1645.0,285
44b6_0113de3b,58,201.0,163.83,8.8631,0.0541,31.0,1653.0,287
44b6_0113de3b,59,197.0,162.34,8.7839,0.0536,31.0,1623.0,293
44b6_0113de3b,60,199.0,165.31,8.7689,0.0541,31.0,1648.57,296
44b6_0113de3b,61,200.0,166.79,8.4751,0.0533,31.0,1613.57,295
44b6_0113de3b,62,200.0,166.05,8.365,0.0528,31.0,1589.0,301
44b6_0113de3b,63,200.0,167.53,8.3626,0.053,30.0,1601.0,293
44b6_0113de3b,64,200.0,168.27,8.195,0.0513,30.0,1579.0,298
44b6_0113de3b,65,203.0,171.24,8.1524,0.0518,30.0,1599.0,293
44b6_0113de3b,66,201.0,171.24,8.2166,0.0524,30.0,1608.0,292
44b6_0113de3b,67,202.0,173.46,8.0536,0.0524,30.0,1599.0,287
44b6_0113de3b,68,200.0,172.72,8.0766,0.0532,30.0,1595.0,290
44b6_0113de3b,69,199.0,174.2,7.9792,0.0529,30.0,1589.0,284
44b6_0113de3b,70,200.0,174.2,7.9046,0.0525,30.0,1577.0,293
44b6_0113de3b,71,202.0,173.46,7.9589,0.0524,30.0,1582.57,289
44b6_0113de3b,72,200.0,173.46,7.9787,0.0522,30.0,1584.0,288
44b6_0113de3b,73,197.0,173.46,7.9441,0.0516,29.0,1575.0,287
44b6_0113de3b,74,194.0,173.46,7.9787,0.0507,29.0,1578.0,284
44b6_0113de3b,75,194.0,172.72,7.9493,0.0507,28.0,1567.0,282
44b6_0113de3b,76,191.0,172.72,7.8277,0.0495,28.0,1543.0,288
44b6_0113de3b,77,192.0,170.5,7.8477,0.0498,28.0,1530.0,295
44b6_0113de3b,78,194.0,169.01,7.952,0.0501,28.0,1538.0,281
44b6_0113de3b,79,194.0,171.24,7.7119,0.0484,28.0,1514.57,289
44b6_0113de3b,80,187.0,167.53,7.909,0.0498,27.0,1512.0,292
44b6_0113de3b,81,186.0,167.53,7.7717,0.0498,27.0,1488.0,293
44b6_0113de3b,82,186.0,167.53,7.8135,0.0502,27.0,1495.0,288
44b6_0113de3b,83,185.0,166.05,7.6002,0.0487,27.0,1447.0,280
44b6_0113de3b,84,186.0,166.05,7.7086,0.0494,28.0,1466.0,285
44b6_0113de3b,85,183.0,163.08,7.8916,0.0499,27.0,1470.0,283
44b6_0113de3b,86,183.0,162.34,7.823,0.0502,27.0,1453.0,289
44b6_0113de3b,87,184.0,165.31,7.6524,0.049,28.0,1449.0,287
44b6_0113de3b,88,176.0,159.38,7.7803,0.0486,27.0,1416.0,286
44b6_0113de3b,89,173.0,159.38,7.705,0.0487,26.0,1401.0,285
44b6_0113de3b,90,172.0,160.86,7.6961,0.0482,26.0,1410.0,287
44b6_0113de3b,91,167.0,157.89,7.8343,0.0494,27.0,1404.0,280
44b6_0113de3b,92,166.0,154.93,7.9326,0.0504,27.0,1395.0,276
44b6_0113de3b,93,168.0,158.64,7.7698,0.0491,27.0,1400.57,277
44b6_0113de3b,94,163.0,157.89,7.6823,0.0486,26.0,1376.0,273
44b6_0113de3b,95,160.0,154.93,7.7842,0.0491,26.0,1366.0,274
44b6_0113de3b,96,157.0,154.19,7.8086,0.0497,26.0,1361.0,270
44b6_0113de3b,97,149.0,150.48,7.8681,0.0504,25.0,1333.0,271
44b6_0113de3b,98,148.0,151.96,7.9032,0.0503,25.0,1349.0,264
44b6_0113de3b,99,147.0,151.22,7.8295,0.0495,25.0,1331.0,260
44b6_0b24845f,0,1007.0,525.57,1.8684,0.0,86.0,1989.0,510
44b6_0b24845f,1,1017.0,527.06,2.0396,0.0,76.0,2092.0,504
44b6_0b24845f,2,1020.0,532.99,2.0263,0.0,75.0,2100.0,442
44b6_0b24845f,3,1037.0,550.04,1.9562,0.0,67.0,2113.0,498
44b6_0b24845f,4,1045.0,580.43,1.921,0.0,63.0,2160.0,465
44b6_0b24845f,5,1081.0,617.49,1.9045,0.0,61.0,2257.0,462
44b6_0b24845f,6,1104.0,656.04,1.7508,0.0,60.0,2252.57,470
44b6_0b24845f,7,1101.0,685.69,1.6655,0.0,58.0,2243.0,449
44b6_0b24845f,8,1105.0,705.89,1.5611,0.0,57.0,2207.0,502
44b6_0b24845f,9,1122.0,794.66,1.3414,0.0,54.0,2188.0,490
44b6_0b24845f,10,1138.0,831.73,1.2492,0.0,54.0,2177.0,466
44b6_0b24845f,11,1114.0,930.32,1.1845,0.0,46.0,2216.0,465
44b6_0b24845f,12,1105.0,949.59,1.1837,0.0,45.0,2229.0,450
44b6_0b24845f,13,1081.0,997.03,1.2006,0.0,42.0,2278.0,449
44b6_0b24845f,14,1070.0,1008.15,1.2081,0.0,41.0,2288.0,427
44b6_0b24845f,15,1097.0,1046.7,1.1885,0.0,41.0,2341.0,437
44b6_0b24845f,16,1081.0,1057.82,1.1959,0.0,40.0,2346.0,443
44b6_0b24845f,17,1063.0,1064.49,1.1865,0.0,40.0,2326.0,425
44b6_0b24845f,18,1084.0,1077.84,1.1922,0.0,40.0,2369.0,426
44b6_0b24845f,19,1098.0,1101.56,1.2101,0.0,41.0,2431.0,422
44b6_0b24845f,20,1075.0,1091.18,1.2271,0.0,40.0,2414.0,386
44b6_0b24845f,21,1087.0,1100.82,1.1955,0.0,40.0,2403.0,386
44b6_0b24845f,22,1107.0,1126.02,1.1696,0.0,40.0,2424.0,362
44b6_0b24845f,23,1111.0,1130.47,1.1579,0.0,40.0,2420.0,383
44b6_0b24845f,24,1081.0,1117.12,1.1718,0.0,39.0,2390.0,352
44b6_0b24845f,25,1052.0,1131.95,1.2218,0.0,39.0,2435.0,348
44b6_0b24845f,26,1027.0,1115.64,1.2405,0.0,38.0,2411.0,333
44b6_0b24845f,27,1081.0,1126.76,1.1759,0.0,39.0,2406.0,318
44b6_0b24845f,28,1097.0,1150.48,1.1812,0.0,39.0,2456.0,343
44b6_0b24845f,29,1088.0,1145.29,1.1735,0.0,39.0,2432.0,370
44b6_0b24845f,30,1103.0,1154.19,1.1714,0.0,39.0,2455.0,332
44b6_0b24845f,31,1093.0,1159.38,1.1894,0.0,38.0,2472.0,328
44b6_0b24845f,32,1089.0,1163.08,1.1985,0.0,37.0,2483.0,331
44b6_0b24845f,33,1097.0,1173.46,1.1999,0.0,38.0,2505.0,310
44b6_0b24845f,34,1104.0,1186.81,1.1813,0.0,37.0,2506.0,364
44b6_0b24845f,35,1123.0,1191.99,1.151,0.0,37.0,2495.0,394
44b6_0b24845f,36,1119.0,1211.27,1.1253,0.0,36.0,2482.0,388
44b6_0b24845f,37,1176.0,1227.58,1.0761,0.0,37.0,2497.0,343
44b6_0b24845f,38,1213.0,1236.47,1.0716,0.0,38.0,2538.0,367
44b6_0b24845f,39,1210.0,1247.59,1.0725,0.0,38.0,2548.0,350
44b6_0b24845f,40,1225.0,1255.0,1.0653,0.0,37.0,2562.0,351
44b6_0b24845f,41,1270.0,1257.23,1.0452,0.0,38.0,2584.0,348
44b6_0b24845f,42,1285.0,1263.16,1.045,0.0,39.0,2605.0,317
44b6_0b24845f,43,1289.0,1266.86,1.0546,0.0,39.0,2625.0,305
44b6_0b24845f,44,1341.0,1266.12,1.0307,0.0,40.0,2646.0,343
44b6_0b24845f,45,1365.0,1279.47,1.0395,0.0,40.0,2695.0,359
44b6_0b24845f,46,1404.0,1277.98,0.9836,0.0,42.0,2661.0,342
44b6_0b24845f,47,1432.0,1278.72,0.9775,0.0,43.0,2682.0,338
44b6_0b24845f,48,1469.0,1271.31,0.9494,0.0,44.0,2676.0,367
44b6_0b24845f,49,1501.0,1288.36,0.9808,0.0,45.0,2764.57,336
44b6_0b24845f,50,1515.0,1274.28,0.9849,0.0,46.0,2770.0,332
44b6_0b24845f,51,1536.0,1264.64,0.958,0.0,47.0,2747.57,381
44b6_0b24845f,52,1569.0,1265.38,0.957,0.0,48.0,2780.0,393
44b6_0b24845f,53,1586.0,1271.31,0.9596,0.0,49.0,2806.0,373
44b6_0b24845f,54,1608.0,1244.63,0.9296,0.0,51.0,2765.0,373
44b6_0b24845f,55,1631.0,1237.95,0.9185,0.0,51.0,2768.0,395
44b6_0b24845f,56,1658.0,1220.9,0.9362,0.0,53.0,2801.0,441
44b6_0b24845f,57,1678.0,1189.21,0.9132,0.0,55.0,2764.0,340
44b6_0b24845f,58,1705.0,1137.14,0.9278,0.0,56.0,2760.0,346
44b6_0b24845f,59,1695.0,1127.5,0.9401,0.0,57.0,2755.0,377
44b6_0b24845f,60,1717.0,1079.32,0.946,0.0,58.0,2738.0,429
44b6_0b24845f,61,1727.0,1044.48,0.99,0.0,59.0,2761.0,390
44b6_0b24845f,62,1748.0,988.88,1.0385,0.0,61.0,2775.0,374
44b6_0b24845f,63,1782.0,948.11,1.0516,0.0,64.0,2779.0,390
44b6_0b24845f,64,1800.0,912.53,1.0707,0.0,66.0,2777.0,413
44b6_0b24845f,65,1790.0,882.13,1.1313,0.0,68.0,2788.0,430
44b6_0b24845f,66,1787.0,846.55,1.1576,0.0,71.0,2767.0,414
44b6_0b24845f,67,1790.0,845.81,1.157,0.0,72.0,2768.57,364
44b6_0b24845f,68,1803.0,822.83,1.1874,0.0,74.0,2780.0,393
44b6_0b24845f,69,1821.0,794.66,1.1791,0.0,76.0,2758.0,404
44b6_0b24845f,70,1842.0,763.53,1.2089,0.0,78.0,2765.0,329
44b6_0b24845f,71,1855.0,762.05,1.269,0.0,79.0,2822.0,333
44b6_0b24845f,72,1862.0,754.63,1.2589,0.0,81.0,2812.0,305
44b6_0b24845f,73,1867.0,729.43,1.2942,0.0,85.0,2811.0,300
44b6_0b24845f,74,1871.0,727.21,1.2857,0.0,87.0,2806.0,316
44b6_0b24845f,75,1870.0,721.28,1.3351,0.0,89.0,2833.0,391
44b6_0b24845f,76,1873.0,710.9,1.385,0.0,92.0,2857.57,389
44b6_0b24845f,77,1893.0,699.78,1.369,0.0,95.0,2851.0,360
44b6_0b24845f,78,1895.0,703.48,1.4115,0.0,96.0,2888.0,418
44b6_0b24845f,79,1895.0,669.38,1.4327,0.0,100.0,2854.0,456
44b6_0b24845f,80,1891.0,667.9,1.4313,0.0,103.0,2847.0,413
44b6_0b24845f,81,1903.0,676.06,1.4496,0.0,105.0,2883.0,415
44b6_0b24845f,82,1914.0,666.42,1.4856,0.0,109.0,2904.0,420
44b6_0b24845f,83,1905.0,647.15,1.587,0.0,115.0,2932.0,415
44b6_0b24845f,84,1934.0,663.45,1.5208,0.0,119.0,2943.0,385
44b6_0b24845f,85,1922.0,675.32,1.5045,0.0,121.0,2938.0,328
44b6_0b24845f,86,1937.0,687.18,1.5193,0.0,121.0,2981.0,291
44b6_0b24845f,87,1918.0,652.34,1.5422,0.0,125.0,2924.0,360
44b6_0b24845f,88,1929.0,650.11,1.5397,0.0,129.0,2930.0,390
44b6_0b24845f,89,1908.0,640.47,1.5723,0.0,132.0,2915.0,374
44b6_0b24845f,90,1921.0,636.77,1.5971,0.0,136.0,2938.0,307
44b6_0b24845f,91,1904.0,637.51,1.6423,0.0,138.0,2951.0,271
44b6_0b24845f,92,1909.0,626.39,1.6261,0.0,143.0,2927.57,320
44b6_0b24845f,93,1903.0,601.19,1.6717,0.0,149.0,2908.0,290
44b6_0b24845f,94,1912.0,622.68,1.72,0.0,153.0,2983.0,324
44b6_0b24845f,95,1935.0,630.84,1.6977,0.0,160.0,3006.0,340
44b6_0b24845f,96,1930.0,627.13,1.7588,0.0,163.0,3033.0,312
44b6_0b24845f,97,1936.0,613.79,1.8003,0.0,176.0,3041.0,367
44b6_0b24845f,98,1939.0,613.05,1.7959,0.0,178.0,3040.0,338
44b6_0b24845f,99,1937.0,608.6,1.8156,0.0,184.0,3042.0,271
44b6_0c582fdc,0,476.0,366.94,3.2103,0.0081,72.0,1654.0,398
44b6_0c582fdc,1,482.0,367.68,3.2311,0.0084,74.0,1670.0,383
44b6_0c582fdc,2,477.0,362.49,3.3242,0.0102,81.0,1682.0,377
44b6_0c582fdc,3,465.0,352.11,3.2717,0.0094,82.0,1617.0,382
44b6_0c582fdc,4,466.0,354.34,3.254,0.009,84.0,1619.0,364
44b6_0c582fdc,5,472.0,358.04,3.2287,0.0084,85.0,1628.0,366
44b6_0c582fdc,6,479.0,368.42,3.2843,0.0094,88.0,1689.0,361
44b6_0c582fdc,7,482.0,375.09,3.2312,0.0085,89.0,1694.0,363
44b6_0c582fdc,8,480.0,368.42,3.2327,0.0086,89.0,1671.0,371
44b6_0c582fdc,9,483.0,366.2,3.232,0.0085,90.0,1666.57,387
44b6_0c582fdc,10,487.0,378.8,3.2524,0.0088,91.0,1719.0,377
44b6_0c582fdc,11,485.0,374.35,3.2082,0.0082,90.0,1686.0,364
44b6_0c582fdc,12,493.0,383.99,3.1616,0.0076,93.0,1707.0,370
44b6_0c582fdc,13,498.0,386.21,3.2159,0.0084,95.0,1740.0,377
44b6_0c582fdc,14,496.0,392.88,3.2783,0.0096,96.0,1784.0,380
44b6_0c582fdc,15,496.0,395.11,3.2953,0.0096,97.0,1798.0,377
44b6_0c582fdc,16,500.0,398.07,3.321,0.01,98.0,1822.0,384
44b6_0c582fdc,17,495.0,398.07,3.2758,0.0095,98.0,1799.0,366
44b6_0c582fdc,18,495.0,398.07,3.2808,0.0097,99.0,1801.0,374
44b6_0c582fdc,19,500.0,406.97,3.3,0.0103,100.0,1843.0,366
44b6_0c582fdc,20,501.0,412.16,3.2512,0.0096,101.0,1841.0,373
44b6_0c582fdc,21,510.0,421.79,3.248,0.0095,103.0,1880.0,367
44b6_0c582fdc,22,507.0,424.02,3.2947,0.0102,103.0,1904.0,374
44b6_0c582fdc,23,507.0,435.88,3.3174,0.0108,102.0,1953.0,381
44b6_0c582fdc,24,508.0,444.03,3.3173,0.0106,104.0,1981.0,377
44b6_0c582fdc,25,513.0,446.26,3.2493,0.0097,105.0,1963.0,374
44b6_0c582fdc,26,519.0,455.89,3.2793,0.0102,106.0,2014.0,365
44b6_0c582fdc,27,519.0,460.34,3.2867,0.0105,107.0,2032.0,367
44b6_0c582fdc,28,524.0,479.06,3.1938,0.0088,108.0,2054.0,365
44b6_0c582fdc,29,522.0,488.51,3.2364,0.01,107.0,2103.0,347
44b6_0c582fdc,30,524.0,489.99,3.2552,0.0098,110.0,2119.0,342
44b6_0c582fdc,31,521.0,489.99,3.3143,0.0113,109.0,2145.0,340
44b6_0c582fdc,32,518.0,496.66,3.3012,0.0105,108.0,2157.57,361
44b6_0c582fdc,33,516.0,500.37,3.3016,0.0106,108.0,2168.0,343
44b6_0c582fdc,34,511.0,498.89,3.3494,0.0119,107.0,2182.0,328
44b6_0c582fdc,35,517.0,507.04,3.3331,0.0117,109.0,2207.0,346
44b6_0c582fdc,36,516.0,507.78,3.3656,0.0124,108.0,2225.0,336
44b6_0c582fdc,37,517.0,515.94,3.3299,0.0118,109.0,2235.0,356
44b6_0c582fdc,38,517.0,517.42,3.3454,0.0119,110.0,2248.0,369
44b6_0c582fdc,39,524.0,527.8,3.3744,0.0128,111.0,2305.0,368
44b6_0c582fdc,40,522.0,527.8,3.3933,0.0127,111.0,2313.0,359
44b6_0c582fdc,41,521.0,529.28,3.4405,0.0144,111.0,2342.0,342
44b6_0c582fdc,42,510.0,516.68,3.478,0.0157,110.0,2307.0,341
44b6_0c582fdc,43,508.0,515.94,3.5121,0.016,111.0,2320.0,339
44b6_0c582fdc,44,503.0,511.49,3.48,0.0151,112.0,2283.0,321
44b6_0c582fdc,45,503.0,512.97,3.5187,0.0158,111.0,2308.0,328
44b6_0c582fdc,46,501.0,511.49,3.5387,0.0173,111.0,2311.0,338
44b6_0c582fdc,47,496.0,511.49,3.6423,0.019,113.0,2359.0,361
44b6_0c582fdc,48,488.0,503.34,3.7013,0.0212,111.0,2351.0,352
44b6_0c582fdc,49,484.0,501.11,3.7317,0.0227,111.0,2354.0,334
44b6_0c582fdc,50,465.0,479.61,3.9344,0.0301,110.0,2352.0,296
44b6_0c582fdc,51,446.0,459.6,4.0557,0.0337,108.0,2310.0,293
44b6_0c582fdc,52,433.0,444.03,4.1191,0.0361,107.0,2262.0,296
44b6_0c582fdc,53,419.0,429.95,4.2168,0.0388,104.0,2232.0,309
44b6_0c582fdc,54,407.0,422.54,4.3239,0.043,102.0,2234.0,318
44b6_0c582fdc,55,393.0,407.71,4.4345,0.0474,101.0,2201.0,312
44b6_0c582fdc,56,385.0,397.33,4.4989,0.0474,100.0,2172.57,302
44b6_0c582fdc,57,379.0,389.92,4.6548,0.0497,99.0,2194.0,301
44b6_0c582fdc,58,370.0,379.54,4.7742,0.0525,98.0,2182.0,274
44b6_0c582fdc,59,364.0,373.61,4.9115,0.0561,98.0,2199.0,276
44b6_0c582fdc,60,355.0,366.94,5.0335,0.0572,95.0,2202.0,277
44b6_0c582fdc,61,352.0,364.71,5.1563,0.0579,95.0,2232.57,266
44b6_0c582fdc,62,350.0,363.97,5.2641,0.0594,95.0,2266.0,272
44b6_0c582fdc,63,342.0,357.3,5.2952,0.0602,94.0,2234.0,267
44b6_0c582fdc,64,335.0,353.6,5.3338,0.0604,92.0,2221.0,279
44b6_0c582fdc,65,331.0,349.15,5.4492,0.0609,92.0,2233.57,276
44b6_0c582fdc,66,324.0,347.66,5.3557,0.0585,91.0,2186.0,282
44b6_0c582fdc,67,320.0,340.99,5.4634,0.0594,89.0,2183.0,269
44b6_0c582fdc,68,318.0,338.77,5.4816,0.0595,89.0,2175.0,270
44b6_0c582fdc,69,311.0,329.13,5.5449,0.0576,88.0,2136.0,269
44b6_0c582fdc,70,305.0,325.43,5.7494,0.0577,86.0,2176.0,266
44b6_0c582fdc,71,310.0,326.17,5.767,0.0572,87.0,2191.0,262
44b6_0c582fdc,72,310.0,329.13,5.8244,0.0578,88.0,2227.0,262
44b6_0c582fdc,73,312.0,329.13,5.7788,0.0578,88.0,2214.0,274
44b6_0c582fdc,74,311.0,329.87,5.7446,0.0578,88.0,2206.0,274
44b6_0c582fdc,75,309.0,325.43,5.8464,0.0576,88.0,2211.57,264
44b6_0c582fdc,76,305.0,316.53,6.0152,0.0573,88.0,2209.0,274
44b6_0c582fdc,77,306.0,314.31,5.8542,0.0554,88.0,2146.0,261
44b6_0c582fdc,78,302.0,307.64,5.9844,0.0565,87.0,2143.0,253
44b6_0c582fdc,79,303.0,306.15,5.9415,0.0564,87.0,2122.0,252
44b6_0c582fdc,80,301.0,300.96,5.9361,0.0549,86.0,2087.57,256
44b6_0c582fdc,81,296.0,295.77,6.1026,0.0544,86.0,2101.0,264
44b6_0c582fdc,82,290.0,286.14,6.088,0.0548,84.0,2032.0,260
44b6_0c582fdc,83,285.0,276.5,6.1266,0.0553,84.0,1979.0,263
44b6_0c582fdc,84,284.0,274.28,6.0851,0.0533,84.0,1953.0,258
44b6_0c582fdc,85,280.0,267.61,6.0574,0.0533,83.0,1901.0,262
44b6_0c582fdc,86,283.0,273.54,6.0504,0.0543,84.0,1938.0,263
44b6_0c582fdc,87,283.0,272.05,6.0613,0.0548,84.0,1932.0,250
44b6_0c582fdc,88,281.0,269.09,5.9609,0.0537,84.0,1885.0,251
44b6_0c582fdc,89,277.0,261.68,6.0342,0.0535,84.0,1856.0,244
44b6_0c582fdc,90,277.0,260.93,6.1088,0.0537,84.0,1871.0,245
44b6_0c582fdc,91,280.0,262.42,6.322,0.0529,84.0,1939.0,248
44b6_0c582fdc,92,281.0,266.12,6.1325,0.0512,84.0,1913.0,248
44b6_0c582fdc,93,280.0,264.64,6.1026,0.0506,84.0,1895.0,248
44b6_0c582fdc,94,277.5,261.68,6.1431,0.0506,83.0,1885.0,249
44b6_0c582fdc,95,275.0,257.23,6.158,0.0504,82.0,1859.0,243
44b6_0c582fdc,96,274.0,259.45,6.1977,0.0501,83.0,1882.0,248
44b6_0c582fdc,97,271.0,255.0,6.1842,0.0514,83.0,1848.0,240
44b6_0c582fdc,98,269.0,252.78,6.1912,0.0527,82.0,1834.0,238
44b6_0c582fdc,99,269.0,252.04,6.2292,0.0517,82.0,1839.0,245
44b6_0db75fae,0,128.0,315.79,5.1142,0.0811,24.0,1743.0,259
44b6_0db75fae,1,131.0,324.68,5.0511,0.0813,25.0,1771.0,257
44b6_0db75fae,2,141.0,328.39,4.988,0.0776,26.0,1779.0,249
44b6_0db75fae,3,145.0,352.85,4.5089,0.0643,26.0,1736.0,282
44b6_0db75fae,4,145.0,359.53,4.4447,0.0629,26.0,1743.0,268
44b6_0db75fae,5,153.0,364.71,4.3376,0.0589,27.0,1735.0,282
44b6_0db75fae,6,155.0,367.68,4.3776,0.0587,27.0,1764.57,268
44b6_0db75fae,7,157.0,370.64,4.3573,0.0593,28.0,1772.0,272
44b6_0db75fae,8,155.0,375.83,4.3184,0.06,27.0,1778.0,278
44b6_0db75fae,9,159.0,372.87,4.401,0.0626,28.0,1800.0,277
44b6_0db75fae,10,158.0,366.2,4.503,0.068,28.0,1807.0,277
44b6_0db75fae,11,161.0,357.3,4.6683,0.0731,28.0,1829.0,266
44b6_0db75fae,12,165.0,370.83,4.4333,0.0624,27.0,1809.0,272
44b6_0db75fae,13,168.0,380.28,4.4362,0.059,23.0,1855.0,270
44b6_0db75fae,14,168.0,396.59,4.3067,0.0545,23.0,1876.0,274
44b6_0db75fae,15,162.0,392.14,4.3097,0.0535,23.0,1852.0,266
44b6_0db75fae,16,148.0,388.44,4.3662,0.0583,22.0,1844.0,288
44b6_0db75fae,17,118.0,341.73,5.0039,0.0836,20.0,1828.0,271
44b6_0db75fae,18,150.0,398.81,4.2501,0.0541,22.0,1845.0,290
44b6_0db75fae,19,84.0,266.86,6.2878,0.114,0.0,1762.0,234
44b6_0db75fae,20,152.0,386.21,4.2282,0.0536,0.0,1785.0,289
44b6_0db75fae,21,169.0,404.74,4.0915,0.0473,0.0,1825.0,290
44b6_0db75fae,22,168.0,397.33,4.2483,0.0548,0.0,1856.0,289
44b6_0db75fae,23,165.0,378.8,4.3875,0.0619,0.0,1827.0,271
44b6_0db75fae,24,160.0,360.27,4.6188,0.0731,0.0,1824.0,267
44b6_0db75fae,25,162.0,363.97,4.6569,0.0743,22.0,1857.0,263
44b6_0db75fae,26,158.0,352.11,4.9217,0.0809,21.0,1891.0,268
44b6_0db75fae,27,155.0,349.89,4.8358,0.0792,14.0,1847.0,257
44b6_0db75fae,28,154.0,355.08,4.7736,0.0747,0.0,1849.0,259
44b6_0db75fae,29,154.0,352.85,4.7725,0.0771,0.0,1838.0,259
44b6_0db75fae,30,153.0,352.11,4.7371,0.0768,0.0,1821.0,276
44b6_0db75fae,31,150.0,344.7,4.89,0.0818,0.0,1835.57,268
44b6_0db75fae,32,148.0,336.55,4.9206,0.0857,0.0,1804.0,258
44b6_0db75fae,33,150.0,343.22,4.8657,0.0842,0.0,1820.0,253
44b6_0db75fae,34,149.0,339.51,4.9689,0.0876,0.0,1836.0,244
44b6_0db75fae,35,148.0,340.25,5.0521,0.0914,0.0,1867.0,243
44b6_0db75fae,36,145.0,334.32,5.1208,0.0922,0.0,1857.0,253
