dataset,radius_threshold_um,total_gt_nodes,total_pred_nodes,estimated_number_of_nodes,tp,fp,fn,precision,recall,f1_score,mean_distance_um
44b6_9be80b04,7.0,222,32769,57877,175,32594,47,0.0053,0.7883,0.0106,3.0387
44b6_9bfa6a0a,7.0,264,38483,64308,227,38256,37,0.0059,0.8598,0.0117,3.0239
44b6_a21120c2,7.0,296,15700,23040,240,15460,56,0.0153,0.8108,0.03,1.2729
44b6_a2bb48bb,7.0,416,37198,60613,248,36950,168,0.0067,0.5962,0.0132,4.0372
44b6_aaf8b0ea,7.0,209,12701,22099,162,12539,47,0.0128,0.7751,0.0251,1.5741
44b6_abf82518,7.0,96,15055,27604,92,14963,4,0.0061,0.9583,0.0121,0.8454
44b6_b2c44266,7.0,170,34042,59729,156,33886,14,0.0046,0.9176,0.0091,2.4855
44b6_c15fded2,7.0,104,14008,20585,90,13918,14,0.0064,0.8654,0.0128,2.7762
44b6_c50204e0,7.0,333,27927,47078,194,27733,139,0.0069,0.5826,0.0137,3.4492
44b6_c771cb04,7.0,227,28470,53345,173,28297,54,0.0061,0.7621,0.0121,3.6121
44b6_c8e2a523,7.0,168,25163,33144,158,25005,10,0.0063,0.9405,0.0125,0.5803
44b6_c96cfa10,7.0,629,32259,46236,499,31760,130,0.0155,0.7933,0.0303,2.3089
44b6_cf2536e8,7.0,76,26657,57565,28,26629,48,0.0011,0.3684,0.0021,3.7628
44b6_cf8fed6b,7.0,191,28470,43729,185,28285,6,0.0065,0.9686,0.0129,0.9968
44b6_d29c9ab2,7.0,1353,28742,38055,1125,27617,228,0.0391,0.8315,0.0748,1.4445
44b6_d2f34f90,7.0,283,12140,24074,73,12067,210,0.006,0.258,0.0118,4.1218
44b6_d5e7d891,7.0,906,28231,44848,556,27675,350,0.0197,0.6137,0.0382,3.3067
44b6_d754aa59,7.0,72,3543,5171,67,3476,5,0.0189,0.9306,0.0371,0.7822
44b6_d78e09d9,7.0,463,14264,22259,355,13909,108,0.0249,0.7667,0.0482,2.197
44b6_db3c847b,7.0,165,8673,15023,130,8543,35,0.015,0.7879,0.0294,2.4587
44b6_ddf577ad,7.0,659,32273,53492,502,31771,157,0.0156,0.7618,0.0305,2.961
44b6_deabac95,7.0,126,9110,13989,111,8999,15,0.0122,0.881,0.024,1.738
44b6_e28840c6,7.0,311,44238,74686,189,44049,122,0.0043,0.6077,0.0085,1.9871
44b6_e29f0176,7.0,51,7692,12969,20,7672,31,0.0026,0.3922,0.0052,4.0448
44b6_e31261b4,7.0,116,45890,72856,98,45792,18,0.0021,0.8448,0.0043,1.6286
44b6_e35b117d,7.0,270,18960,28641,159,18801,111,0.0084,0.5889,0.0165,3.0415
44b6_e57ff5c6,7.0,193,10930,20314,122,10808,71,0.0112,0.6321,0.0219,2.4652
44b6_eb2880fc,7.0,390,26200,48084,296,25904,94,0.0113,0.759,0.0223,2.2329
44b6_f28707c6,7.0,63,12977,18656,49,12928,14,0.0038,0.7778,0.0075,3.2257
6bba_05b6850b,7.0,861,3811,6362,595,3216,266,0.1561,0.6911,0.2547,2.8238
6bba_05db0fb1,7.0,1229,46573,69800,918,45655,311,0.0197,0.7469,0.0384,2.618
6bba_062c8d37,7.0,930,3833,6030,743,3090,187,0.1938,0.7989,0.312,2.0161
6bba_07477033,7.0,613,2876,4836,411,2465,202,0.1429,0.6705,0.2356,2.5171
6bba_07e24132,7.0,359,19995,21485,275,19720,84,0.0138,0.766,0.027,2.7298
6bba_085bf656,7.0,1198,5865,8463,894,4971,304,0.1524,0.7462,0.2532,2.2803
6bba_09961292,7.0,1950,15009,31117,1420,13589,530,0.0946,0.7282,0.1675,2.7342
6bba_0c7fa718,7.0,704,9529,13650,506,9023,198,0.0531,0.7188,0.0989,2.2904
6bba_0e7c0d07,7.0,209,13870,22467,134,13736,75,0.0097,0.6411,0.019,3.3264
6bba_12665c0e,7.0,1036,5325,8314,814,4511,222,0.1529,0.7857,0.2559,2.2854
6bba_13f19531,7.0,737,3436,5773,469,2967,268,0.1365,0.6364,0.2248,2.1953
6bba_15403b9a,7.0,758,5332,6889,589,4743,169,0.1105,0.777,0.1934,3.1615
6bba_1d0d8384,7.0,1438,11971,17909,1059,10912,379,0.0885,0.7364,0.158,2.7004
6bba_1ebfb80d,7.0,745,5825,11558,430,5395,315,0.0738,0.5772,0.1309,2.9236
6bba_1f58c2f6,7.0,317,18232,28903,230,18002,87,0.0126,0.7256,0.0248,2.6969
6bba_207c6aaf,7.0,475,6752,11999,214,6538,261,0.0317,0.4505,0.0592,3.4021
6bba_20852818,7.0,952,6490,9758,760,5730,192,0.1171,0.7983,0.2042,2.1826
6bba_2312ac41,7.0,1156,7623,11950,879,6744,277,0.1153,0.7604,0.2003,2.376
6bba_23af9eeb,7.0,513,2168,4450,348,1820,165,0.1605,0.6784,0.2596,2.7969
6bba_2540cd90,7.0,529,2726,3783,417,2309,112,0.153,0.7883,0.2562,3.0405
6bba_2646afc7,7.0,738,3415,5495,577,2838,161,0.169,0.7818,0.2779,2.2167
6bba_268e1230,7.0,641,2615,5107,393,2222,248,0.1503,0.6131,0.2414,2.1625
6bba_2819ca14,7.0,986,4235,5534,842,3393,144,0.1988,0.854,0.3225,2.971
6bba_283bf9f1,7.0,1342,12894,20861,921,11973,421,0.0714,0.6863,0.1294,2.5746
6bba_312f0dc3,7.0,520,6468,9963,407,6061,113,0.0629,0.7827,0.1165,2.5265
6bba_32db13fc,7.0,862,23983,38705,542,23441,320,0.0226,0.6288,0.0436,2.7431
6bba_337b1b3a,7.0,1272,22783,30480,1137,21646,135,0.0499,0.8939,0.0945,1.7303
6bba_372c8cb8,7.0,1036,4611,7021,835,3776,201,0.1811,0.806,0.2957,2.3535
6bba_3a1849c2,7.0,1173,2852,7003,623,2229,550,0.2184,0.5311,0.3096,2.7246
6bba_3abfe10a,7.0,997,32308,52065,657,31651,340,0.0203,0.659,0.0395,3.0562
6bba_3c5691b6,7.0,765,4037,6258,609,3428,156,0.1509,0.7961,0.2536,2.1456
6bba_3db54e20,7.0,502,14092,23236,320,13772,182,0.0227,0.6375,0.0439,3.1759
6bba_3fda6b25,7.0,1207,5534,9842,829,4705,378,0.1498,0.6868,0.246,1.8822
6bba_43fea39d,7.0,910,3563,5748,677,2886,233,0.19,0.744,0.3027,2.4945
6bba_474be664,7.0,292,19495,28293,84,19411,208,0.0043,0.2877,0.0085,4.5859
6bba_48816121,7.0,935,17306,23965,811,16495,124,0.0469,0.8674,0.0889,3.7484
6bba_4aa14c89,7.0,707,3242,6787,498,2744,209,0.1536,0.7044,0.2522,2.3946
6bba_4f99ce20,7.0,1057,4257,5965,880,3377,177,0.2067,0.8325,0.3312,2.6919
6bba_4ffd3da3,7.0,706,10733,17637,385,10348,321,0.0359,0.5453,0.0673,3.0917
6bba_55b7eebe,7.0,705,3328,5257,563,2765,142,0.1692,0.7986,0.2792,2.969
6bba_55c70843,7.0,490,19329,35415,282,19047,208,0.0146,0.5755,0.0285,3.4375
6bba_57b7cc1e,7.0,1659,38651,65511,881,37770,778,0.0228,0.531,0.0437,4.0706
6bba_5a4d9360,7.0,747,3930,5976,457,3473,290,0.1163,0.6118,0.1954,2.9038
6bba_5b28472a,7.0,737,3533,5802,543,2990,194,0.1537,0.7368,0.2543,2.5453
6bba_5c039895,7.0,1174,6582,8570,927,5655,247,0.1408,0.7896,0.239,2.9739
6bba_5c824876,7.0,1170,17182,24647,840,16342,330,0.0489,0.7179,0.0915,2.3953
6bba_5dfe9ad1,7.0,1542,17766,26913,952,16814,590,0.0536,0.6174,0.0986,2.29
6bba_5f89039d,7.0,904,2902,4611,752,2150,152,0.2591,0.8319,0.3952,2.6641
6bba_61dd1e0d,7.0,558,5665,10128,329,5336,229,0.0581,0.5896,0.1057,2.5836
6bba_61ecbe65,7.0,640,3643,5774,438,3205,202,0.1202,0.6844,0.2045,2.0566
6bba_6321a359,7.0,827,3023,4821,662,2361,165,0.219,0.8005,0.3439,2.2821
6bba_6479435d,7.0,617,14039,23453,349,13690,268,0.0249,0.5656,0.0476,2.7308
6bba_67ebd073,7.0,462,10083,16061,355,9728,107,0.0352,0.7684,0.0673,3.0821
6bba_6ca87370,7.0,1081,4077,7195,706,3371,375,0.1732,0.6531,0.2737,3.5195
6bba_6db0e9b4,7.0,449,18675,28435,387,18288,62,0.0207,0.8619,0.0405,3.5333
6bba_6feb10f0,7.0,1368,3244,8862,205,3039,1163,0.0632,0.1499,0.0889,3.5579
6bba_6feeb0b1,7.0,1389,5732,7518,1128,4604,261,0.1968,0.8121,0.3168,2.4465
6bba_705ec2c9,7.0,596,3174,5600,341,2833,255,0.1074,0.5721,0.1809,2.7465
6bba_718b21f9,7.0,661,3041,4306,553,2488,108,0.1818,0.8366,0.2988,3.1236
6bba_74686d6a,7.0,586,16335,29803,428,15907,158,0.0262,0.7304,0.0506,3.7698
6bba_767a1e17,7.0,718,31187,47714,542,30645,176,0.0174,0.7549,0.034,2.8704
6bba_76db78c1,7.0,617,3363,4855,530,2833,87,0.1576,0.859,0.2663,2.6031
6bba_784a78c9,7.0,1788,9022,13096,1496,7526,292,0.1658,0.8367,0.2768,2.4475
6bba_786893ac,7.0,1465,35045,58979,1001,34044,464,0.0286,0.6833,0.0548,3.1214
6bba_789f8168,7.0,713,7225,10676,606,6619,107,0.0839,0.8499,0.1527,2.3954
6bba_78a7bd97,7.0,886,22556,40613,453,22103,433,0.0201,0.5113,0.0386,3.1419
6bba_7af54fde,7.0,1131,4781,9624,801,3980,330,0.1675,0.7082,0.271,2.3608
6bba_7b5d3b2c,7.0,565,3579,5780,425,3154,140,0.1187,0.7522,0.2051,2.7728
6bba_7d3058ae,7.0,1200,4995,7611,1033,3962,167,0.2068,0.8608,0.3335,1.8275
6bba_7f87b3d8,7.0,1000,6664,10581,675,5989,325,0.1013,0.675,0.1761,2.4648
6bba_80d12824,7.0,680,5572,9021,528,5044,152,0.0948,0.7765,0.1689,2.5105
6bba_825bd1c6,7.0,968,4844,7586,748,4096,220,0.1544,0.7727,0.2574,2.8736
6bba_87289e13,7.0,724,10509,14966,640,9869,84,0.0609,0.884,0.1139,1.8034
6bba_8b7818bf,7.0,741,3687,5828,571,3116,170,0.1549,0.7706,0.2579,2.3212
6bba_907271db,7.0,945,5659,7306,781,4878,164,0.138,0.8265,0.2365,3.0049
6bba_91951b3a,7.0,1188,8157,11907,933,7224,255,0.1144,0.7854,0.1997,2.97
6bba_96833384,7.0,758,2915,4869,509,2406,249,0.1746,0.6715,0.2772,2.5141
6bba_969618f6,7.0,679,8787,13888,479,8308,200,0.0545,0.7054,0.1012,2.6648
6bba_971fa5e0,7.0,792,3804,5609,624,3180,168,0.164,0.7879,0.2715,2.393
6bba_9a41d029,7.0,1401,11163,18231,970,10193,431,0.0869,0.6924,0.1544,2.8837
6bba_9e23430b,7.0,914,3971,7708,726,3245,188,0.1828,0.7943,0.2972,2.3424
6bba_a5e926bb,7.0,741,5932,8440,559,5373,182,0.0942,0.7544,0.1675,2.3031
6bba_a90a0b9c,7.0,1147,24931,36896,588,24343,559,0.0236,0.5126,0.0451,4.1653
6bba_ab78413d,7.0,1179,5175,9241,204,4971,975,0.0394,0.173,0.0642,4.0144
6bba_acd782a8,7.0,356,13493,19710,281,13212,75,0.0208,0.7893,0.0406,2.4444
6bba_ae82a791,7.0,1495,5455,7403,1215,4240,280,0.2227,0.8127,0.3496,2.2296
6bba_aeee7805,7.0,795,2973,5034,566,2407,229,0.1904,0.7119,0.3004,2.0861
6bba_af149c94,7.0,1350,6482,8933,1007,5475,343,0.1554,0.7459,0.2572,3.0486
6bba_afb141ff,7.0,654,3709,6054,508,3201,146,0.137,0.7768,0.2329,2.1462
6bba_b1ae37b9,7.0,612,6820,24298,263,6557,349,0.0386,0.4297,0.0708,2.9167
6bba_b204cac7,7.0,826,3123,5092,614,2509,212,0.1966,0.7433,0.311,2.0846
6bba_b329af44,7.0,1316,39239,62465,868,38371,448,0.0221,0.6596,0.0428,2.6182
6bba_b693381b,7.0,983,4587,5558,792,3795,191,0.1727,0.8057,0.2844,2.1632
6bba_bb9f20c3,7.0,1925,14820,23071,1462,13358,463,0.0987,0.7595,0.1746,2.5493
6bba_bbb708ca,7.0,892,3930,6785,565,3365,327,0.1438,0.6334,0.2343,2.3038
6bba_c27cba08,7.0,517,3759,6445,337,3422,180,0.0897,0.6518,0.1576,2.7227
6bba_c328f2fd,7.0,511,20764,31228,279,20485,232,0.0134,0.546,0.0262,2.8168
6bba_c73a1d11,7.0,737,10036,16315,256,9780,481,0.0255,0.3474,0.0475,2.8863
6bba_cdcfe533,7.0,1419,22870,29785,1185,21685,234,0.0518,0.8351,0.0976,1.8998
6bba_cf35214c,7.0,842,25629,34890,651,24978,191,0.0254,0.7732,0.0492,2.177
6bba_cff5865f,7.0,1571,33359,46362,1266,32093,305,0.038,0.8059,0.0725,1.9782
6bba_d0fc38b5,7.0,835,3570,6111,575,2995,260,0.1611,0.6886,0.2611,2.5885
6bba_d1acb6ff,7.0,681,9009,14719,538,8471,143,0.0597,0.79,0.111,2.5347
6bba_d2b9fc0c,7.0,944,15573,20178,824,14749,120,0.0529,0.8729,0.0998,2.5869
6bba_d3da753b,7.0,887,13127,17246,830,12297,57,0.0632,0.9357,0.1185,2.1071
6bba_d5eae175,7.0,528,2970,4519,432,2538,96,0.1455,0.8182,0.247,2.8578
6bba_d6ecebbb,7.0,886,3246,5359,517,2729,369,0.1593,0.5835,0.2502,2.5041
6bba_d82a4fc6,7.0,545,14573,27716,444,14129,101,0.0305,0.8147,0.0587,2.4099
6bba_debd7bfa,7.0,766,7905,11807,490,7415,276,0.062,0.6397,0.113,2.0863
6bba_df673a83,7.0,668,13016,19239,490,12526,178,0.0376,0.7335,0.0716,2.5823
6bba_e16ffc58,7.0,964,5056,6367,830,4226,134,0.1642,0.861,0.2757,2.3534
6bba_e5e44988,7.0,666,3798,5615,501,3297,165,0.1319,0.7523,0.2245,2.5378
6bba_ebdf3b34,7.0,847,37929,56847,655,37274,192,0.0173,0.7733,0.0338,2.7327
6bba_ebff6e76,7.0,1318,27891,41596,685,27206,633,0.0246,0.5197,0.0469,4.2416
6bba_ed9377fd,7.0,531,2915,4443,351,2564,180,0.1204,0.661,0.2037,2.7431
6bba_edf14583,7.0,801,32464,59242,538,31926,263,0.0166,0.6717,0.0323,2.8591
6bba_eebc57a5,7.0,1026,7241,9347,796,6445,230,0.1099,0.7758,0.1926,2.4759
6bba_ef7b4f7e,7.0,1234,3632,6107,983,2649,251,0.2706,0.7966,0.404,1.8224
6bba_f17befbc,7.0,1078,8524,24963,525,7999,553,0.0616,0.487,0.1094,2.5411
6bba_f1fde7e0,7.0,476,5215,9040,248,4967,228,0.0476,0.521,0.0872,3.0962
6bba_f20478e9,7.0,1003,4076,5973,739,3337,264,0.1813,0.7368,0.291,2.3813
6bba_f4ae811c,7.0,1001,5518,8903,725,4793,276,0.1314,0.7243,0.2224,2.2969
6bba_f8ffd5e7,7.0,389,19264,29540,285,18979,104,0.0148,0.7326,0.029,2.2945
6bba_fbc898dc,7.0,655,2954,4889,522,2432,133,0.1767,0.7969,0.2893,1.8641
6bba_fc516dc6,7.0,788,5354,7866,647,4707,141,0.1208,0.8211,0.2107,2.2375
6bba_fc5f39dc,7.0,471,9003,14020,237,8766,234,0.0263,0.5032,0.05,2.0376
6bba_fc83837d,7.0,957,6966,13087,540,6426,417,0.0775,0.5643,0.1363,3.681
6bba_fe670320,7.0,716,7182,10836,585,6597,131,0.0815,0.817,0.1481,2.6248
