dataset,num_nodes,estimated_number_of_nodes,num_edges,n_frames
6bba_3a1849c2,1173,7003,1142,100
6bba_3abfe10a,997,52065,935,100
6bba_3c5691b6,765,6258,746,100
6bba_3db54e20,502,23236,474,100
6bba_3fda6b25,1207,9842,1179,100
6bba_43fea39d,910,5748,880,100
6bba_474be664,292,28293,286,100
6bba_48816121,935,23965,918,100
6bba_4aa14c89,707,6787,681,100
6bba_4f99ce20,1057,5965,1010,100
6bba_4ffd3da3,706,17637,689,100
6bba_55b7eebe,705,5257,688,100
6bba_55c70843,490,35415,467,100
6bba_57b7cc1e,1659,65511,1592,100
6bba_5a4d9360,747,5976,722,100
6bba_5b28472a,737,5802,724,100
6bba_5c039895,1174,8570,1145,100
6bba_5c824876,1170,24647,1130,100
6bba_5dfe9ad1,1542,26913,1487,100
6bba_5f89039d,904,4611,885,100
6bba_61dd1e0d,558,10128,543,100
6bba_61ecbe65,640,5774,614,100
6bba_6321a359,827,4821,798,100
6bba_6479435d,617,23453,580,100
6bba_67ebd073,462,16061,438,100
6bba_6ca87370,1081,7195,1052,100
6bba_6db0e9b4,449,28435,440,100
6bba_6feb10f0,1368,8862,1343,100
6bba_6feeb0b1,1389,7518,1343,100
6bba_705ec2c9,596,5600,562,100
6bba_718b21f9,661,4306,652,100
6bba_74686d6a,586,29803,576,100
6bba_767a1e17,718,47714,658,100
6bba_76db78c1,617,4855,604,100
6bba_784a78c9,1788,13096,1739,100
6bba_786893ac,1465,58979,1395,100
6bba_789f8168,713,10676,681,100
6bba_78a7bd97,886,40613,832,100
6bba_7af54fde,1131,9624,1092,100
6bba_7b5d3b2c,565,5780,555,100
6bba_7d3058ae,1200,7611,1173,100
6bba_7f87b3d8,1000,10581,934,100
6bba_80d12824,680,9021,654,100
6bba_825bd1c6,968,7586,930,100
6bba_87289e13,724,14966,699,100
6bba_8b7818bf,741,5828,725,100
6bba_907271db,945,7306,921,100
6bba_91951b3a,1188,11907,1148,100
6bba_96833384,758,4869,721,100
6bba_969618f6,679,13888,658,100
6bba_971fa5e0,792,5609,767,100
6bba_9a41d029,1401,18231,1353,100
6bba_9e23430b,914,7708,891,100
6bba_a5e926bb,741,8440,698,100
6bba_a90a0b9c,1147,36896,1112,100
6bba_ab78413d,1179,9241,1138,100
6bba_acd782a8,356,19710,330,100
6bba_ae82a791,1495,7403,1471,100
6bba_aeee7805,795,5034,768,100
6bba_af149c94,1350,8933,1317,100
6bba_afb141ff,654,6054,626,100
6bba_b1ae37b9,612,24298,579,88
6bba_b204cac7,826,5092,811,100
6bba_b329af44,1316,62465,1268,100
6bba_b693381b,983,5558,935,100
6bba_bb9f20c3,1925,23071,1879,100
6bba_bbb708ca,892,6785,861,100
6bba_c27cba08,517,6445,493,100
6bba_c328f2fd,511,31228,500,100
6bba_c73a1d11,737,16315,710,100
6bba_cdcfe533,1419,29785,1348,100
6bba_cf35214c,842,34890,817,100
6bba_cff5865f,1571,46362,1501,100
6bba_d0fc38b5,835,6111,813,100
6bba_d1acb6ff,681,14719,643,100
6bba_d2b9fc0c,944,20178,921,100
6bba_d3da753b,887,17246,857,100
6bba_d5eae175,528,4519,519,100
6bba_d6ecebbb,886,5359,862,100
6bba_d82a4fc6,545,27716,530,100
6bba_debd7bfa,766,11807,729,100
6bba_df673a83,668,19239,654,99
6bba_e16ffc58,964,6367,942,100
6bba_e5e44988,666,5615,634,100
6bba_ebdf3b34,847,56847,803,100
6bba_ebff6e76,1318,41596,1264,100
6bba_ed9377fd,531,4443,508,100
6bba_edf14583,801,59242,760,100
6bba_eebc57a5,1026,9347,989,100
6bba_ef7b4f7e,1234,6107,1201,100
6bba_f17befbc,1078,24963,1015,100
6bba_f1fde7e0,476,9040,446,100
6bba_f20478e9,1003,5973,963,100
6bba_f4ae811c,1001,8903,965,100
6bba_f8ffd5e7,389,29540,370,100
6bba_fbc898dc,655,4889,639,100
6bba_fc516dc6,788,7866,762,100
6bba_fc5f39dc,471,14020,458,100
6bba_fc83837d,957,13087,923,100
6bba_fe670320,716,10836,680,100
