dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn
6bba_12665c0e,998,4595,354,4241,644,0.077,0.3547,0.1266,688,55,310
6bba_13f19531,704,3130,34,3096,670,0.0109,0.0483,0.0177,413,16,291
6bba_15403b9a,729,4431,70,4361,659,0.0158,0.096,0.0271,451,92,278
6bba_1d0d8384,1365,10103,366,9737,999,0.0362,0.2681,0.0638,780,247,585
6bba_1ebfb80d,719,4900,52,4848,667,0.0106,0.0723,0.0185,355,49,364
6bba_1f58c2f6,299,14958,90,14868,209,0.006,0.301,0.0118,175,37,124
6bba_207c6aaf,450,5118,53,5065,397,0.0104,0.1178,0.019,125,62,325
6bba_20852818,909,5575,126,5449,783,0.0226,0.1386,0.0389,640,78,269
6bba_2312ac41,1132,6755,199,6556,933,0.0295,0.1758,0.0505,758,72,374
6bba_23af9eeb,499,1933,57,1876,442,0.0295,0.1142,0.0469,315,11,184
6bba_2540cd90,523,2410,109,2301,414,0.0452,0.2084,0.0743,333,85,190
6bba_2646afc7,721,3103,100,3003,621,0.0322,0.1387,0.0523,503,39,218
6bba_268e1230,609,2078,59,2019,550,0.0284,0.0969,0.0439,315,26,294
6bba_2819ca14,949,3598,131,3467,818,0.0364,0.138,0.0576,681,87,268
6bba_283bf9f1,1288,10645,586,10059,702,0.055,0.455,0.0982,692,111,596
6bba_312f0dc3,500,5463,44,5419,456,0.0081,0.088,0.0148,316,64,184
6bba_32db13fc,811,18260,231,18029,580,0.0127,0.2848,0.0242,374,123,437
6bba_337b1b3a,1213,19716,329,19387,884,0.0167,0.2712,0.0314,966,92,247
6bba_372c8cb8,1007,4251,188,4063,819,0.0442,0.1867,0.0715,761,35,246
6bba_3a1849c2,1142,2553,118,2435,1024,0.0462,0.1033,0.0639,564,37,578
6bba_3abfe10a,935,26044,175,25869,760,0.0067,0.1872,0.013,479,95,456
6bba_3c5691b6,746,3724,59,3665,687,0.0158,0.0791,0.0264,547,37,199
6bba_3db54e20,474,11217,50,11167,424,0.0045,0.1055,0.0086,230,64,244
6bba_3fda6b25,1179,4858,349,4509,830,0.0718,0.296,0.1156,731,48,448
6bba_43fea39d,880,3026,213,2813,667,0.0704,0.242,0.1091,597,35,283
6bba_474be664,286,16215,23,16192,263,0.0014,0.0804,0.0028,48,29,238
6bba_48816121,918,14996,171,14825,747,0.0114,0.1863,0.0215,680,115,238
6bba_4aa14c89,681,2857,178,2679,503,0.0623,0.2614,0.1006,445,25,236
6bba_4f99ce20,1010,3480,294,3186,716,0.0845,0.2911,0.131,717,76,293
6bba_4ffd3da3,689,8973,165,8808,524,0.0184,0.2395,0.0342,295,56,394
6bba_55b7eebe,688,2946,188,2758,500,0.0638,0.2733,0.1035,468,71,220
6bba_55c70843,467,15970,107,15863,360,0.0067,0.2291,0.013,200,61,267
6bba_57b7cc1e,1592,30284,471,29813,1121,0.0156,0.2959,0.0296,554,285,1038
6bba_5a4d9360,722,3230,93,3137,629,0.0288,0.1288,0.0471,337,66,385
6bba_5b28472a,724,3192,162,3030,562,0.0508,0.2238,0.0827,491,40,233
6bba_5c039895,1145,5748,239,5509,906,0.0416,0.2087,0.0693,727,164,418
6bba_5c824876,1130,14668,266,14402,864,0.0181,0.2354,0.0337,704,76,426
6bba_5dfe9ad1,1487,15431,556,14875,931,0.036,0.3739,0.0657,779,58,708
6bba_5f89039d,885,2652,87,2565,798,0.0328,0.0983,0.0492,652,85,233
6bba_61dd1e0d,543,4850,172,4678,371,0.0355,0.3168,0.0638,267,51,276
6bba_61ecbe65,614,3045,121,2924,493,0.0397,0.1971,0.0661,360,23,254
6bba_6321a359,798,2668,259,2409,539,0.0971,0.3246,0.1495,580,25,218
6bba_6479435d,580,10707,66,10641,514,0.0062,0.1138,0.0117,241,57,339
6bba_67ebd073,438,8153,141,8012,297,0.0173,0.3219,0.0328,273,67,165
6bba_6ca87370,1052,3447,293,3154,759,0.085,0.2785,0.1303,552,131,500
6bba_6db0e9b4,440,15643,136,15507,304,0.0087,0.3091,0.0169,320,65,120
6bba_6feb10f0,1343,2390,60,2330,1283,0.0251,0.0447,0.0321,137,41,1206
6bba_6feeb0b1,1343,4864,358,4506,985,0.0736,0.2666,0.1154,859,236,484
6bba_705ec2c9,562,2651,116,2535,446,0.0438,0.2064,0.0722,283,23,279
6bba_718b21f9,652,2731,255,2476,397,0.0934,0.3911,0.1508,435,123,217
6bba_74686d6a,576,13690,243,13447,333,0.0178,0.4219,0.0341,354,57,222
6bba_767a1e17,658,24086,253,23833,405,0.0105,0.3845,0.0204,374,125,284
6bba_76db78c1,604,2999,338,2661,266,0.1127,0.5596,0.1876,447,76,157
6bba_784a78c9,1739,8048,998,7050,741,0.124,0.5739,0.2039,1305,134,434
6bba_786893ac,1395,28285,687,27598,708,0.0243,0.4925,0.0463,689,243,706
6bba_789f8168,681,6108,423,5685,258,0.0693,0.6211,0.1246,493,57,188
6bba_78a7bd97,832,18190,145,18045,687,0.008,0.1743,0.0152,303,104,529
6bba_7af54fde,1092,4193,364,3829,728,0.0868,0.3333,0.1377,708,32,384
6bba_7b5d3b2c,555,3217,216,3001,339,0.0671,0.3892,0.1145,335,91,220
6bba_7d3058ae,1173,4584,470,4114,703,0.1025,0.4007,0.1633,932,53,241
6bba_7f87b3d8,934,5039,356,4683,578,0.0706,0.3812,0.1192,461,105,473
6bba_80d12824,654,4693,152,4541,502,0.0324,0.2324,0.0569,437,46,217
6bba_825bd1c6,930,4096,302,3794,628,0.0737,0.3247,0.1202,563,177,367
6bba_87289e13,699,8924,171,8753,528,0.0192,0.2446,0.0355,529,66,170
6bba_8b7818bf,725,3252,303,2949,422,0.0932,0.4179,0.1524,506,41,219
6bba_907271db,921,4910,306,4604,615,0.0623,0.3322,0.105,544,242,377
6bba_91951b3a,1148,7043,424,6619,724,0.0602,0.3693,0.1035,761,112,387
6bba_96833384,721,2625,150,2475,571,0.0571,0.208,0.0897,438,22,283
6bba_969618f6,658,7417,194,7223,464,0.0262,0.2948,0.048,410,40,248
6bba_971fa5e0,767,3198,157,3041,610,0.0491,0.2047,0.0792,505,70,262
6bba_9a41d029,1353,9784,356,9428,997,0.0364,0.2631,0.0639,767,145,586
6bba_9e23430b,891,3425,276,3149,615,0.0806,0.3098,0.1279,642,54,249
6bba_a5e926bb,698,4853,203,4650,495,0.0418,0.2908,0.0731,430,52,268
6bba_a90a0b9c,1112,21365,295,21070,817,0.0138,0.2653,0.0262,414,143,698
6bba_ab78413d,1138,4013,123,3890,1015,0.0307,0.1081,0.0478,146,37,992
6bba_acd782a8,330,11289,182,11107,148,0.0161,0.5515,0.0313,189,78,141
6bba_ae82a791,1471,4710,675,4035,796,0.1433,0.4589,0.2184,1046,100,425
6bba_aeee7805,768,2726,239,2487,529,0.0877,0.3112,0.1368,519,15,249
6bba_af149c94,1317,5600,430,5170,887,0.0768,0.3265,0.1243,835,144,482
6bba_afb141ff,626,3096,233,2863,393,0.0753,0.3722,0.1252,434,21,192
6bba_b1ae37b9,579,5523,111,5412,468,0.0201,0.1917,0.0364,194,40,385
6bba_b204cac7,811,2874,287,2587,524,0.0999,0.3539,0.1558,548,47,263
6bba_b329af44,1268,33345,521,32824,747,0.0156,0.4109,0.0301,647,165,621
6bba_b693381b,935,3750,285,3465,650,0.076,0.3048,0.1217,634,55,301
6bba_bb9f20c3,1879,12583,1080,11503,799,0.0858,0.5748,0.1494,1174,219,705
6bba_bbb708ca,861,3292,320,2972,541,0.0972,0.3717,0.1541,495,18,366
6bba_c27cba08,493,3409,181,3228,312,0.0531,0.3671,0.0928,292,25,201
6bba_c328f2fd,500,18226,197,18029,303,0.0108,0.394,0.021,230,39,270
6bba_c73a1d11,710,7805,100,7705,610,0.0128,0.1408,0.0235,156,73,554
6bba_cdcfe533,1348,19372,835,18537,513,0.0431,0.6194,0.0806,991,107,357
6bba_cf35214c,817,22846,384,22462,433,0.0168,0.47,0.0325,570,43,247
6bba_cff5865f,1501,28774,843,27931,658,0.0293,0.5616,0.0557,1034,123,467
6bba_d0fc38b5,813,3224,282,2942,531,0.0875,0.3469,0.1397,512,31,301
6bba_d1acb6ff,643,7227,234,6993,409,0.0324,0.3639,0.0595,426,61,217
6bba_d2b9fc0c,921,13451,460,12991,461,0.0342,0.4995,0.064,626,183,295
6bba_d3da753b,857,10958,523,10435,334,0.0477,0.6103,0.0885,627,205,230
6bba_d5eae175,519,2581,296,2285,223,0.1147,0.5703,0.191,311,124,208
6bba_d6ecebbb,862,2865,427,2438,435,0.149,0.4954,0.2291,452,33,410
6bba_d82a4fc6,530,12334,307,12027,223,0.0249,0.5792,0.0477,380,42,150
6bba_debd7bfa,729,6353,352,6001,377,0.0554,0.4829,0.0994,370,49,359
6bba_df673a83,654,11148,395,10753,259,0.0354,0.604,0.0669,419,57,235
6bba_e16ffc58,942,4410,267,4143,675,0.0605,0.2834,0.0998,675,135,267
6bba_e5e44988,634,3068,269,2799,365,0.0877,0.4243,0.1453,371,67,263
6bba_ebdf3b34,803,32093,405,31688,398,0.0126,0.5044,0.0246,488,112,315
6bba_ebff6e76,1264,22902,474,22428,790,0.0207,0.375,0.0392,488,183,776
6bba_ed9377fd,508,2661,194,2467,314,0.0729,0.3819,0.1224,279,45,229
6bba_edf14583,760,27574,338,27236,422,0.0123,0.4447,0.0239,410,85,350
6bba_eebc57a5,989,6067,484,5583,505,0.0798,0.4894,0.1372,637,137,352
6bba_ef7b4f7e,1201,3266,782,2484,419,0.2394,0.6511,0.3501,920,18,281
6bba_f17befbc,1015,6168,310,5858,705,0.0503,0.3054,0.0863,365,81,650
6bba_f1fde7e0,446,3934,161,3773,285,0.0409,0.361,0.0735,163,33,283
6bba_f20478e9,963,3226,415,2811,548,0.1286,0.4309,0.1981,578,82,385
6bba_f4ae811c,965,4783,622,4161,343,0.13,0.6446,0.2164,639,36,326
6bba_f8ffd5e7,370,16019,199,15820,171,0.0124,0.5378,0.0243,218,35,152
6bba_fbc898dc,639,2674,463,2211,176,0.1731,0.7246,0.2795,480,15,159
6bba_fc516dc6,762,4507,453,4054,309,0.1005,0.5945,0.1719,520,75,242
6bba_fc5f39dc,458,7389,176,7213,282,0.0238,0.3843,0.0449,176,20,282
6bba_fc83837d,923,5770,418,5352,505,0.0724,0.4529,0.1249,420,113,503
6bba_fe670320,680,5896,431,5465,249,0.0731,0.6338,0.1311,432,111,248
