dataset,track_id,track_length,duration_frames,total_disp_um,path_length_um,straightness_ratio,net_velocity_um,mean_step_um,max_step_um,step_velocity_cv,confinement_ratio,trajectory_aspect_ratio,directed_motion_index,mean_track_intensity,min_track_intensity,max_track_intensity,std_track_intensity,mean_track_snr,min_track_snr,max_track_snr,is_gt_track
44b6_0113de3b,16,78,78,115.48,205.33,0.5624,1.5,2.67,8.44,0.6612,0.5624,197.9333,7.4491,1285.21,529.0,1690.0,222.66,2.6793,1.4733,3.9323,0
44b6_0113de3b,17,64,64,117.15,183.63,0.638,1.86,2.91,8.75,0.645,0.638,84.3287,9.4902,1922.2,804.0,2228.0,218.53,2.8431,1.3401,3.7776,0
44b6_0113de3b,18,34,34,71.87,92.64,0.7758,2.18,2.81,4.88,0.4452,0.7758,62.2502,9.8519,2060.12,1812.0,2363.0,151.86,2.8958,2.1155,3.6216,0
44b6_0113de3b,19,3,3,3.98,4.6,0.866,1.99,2.3,2.3,0.0,0.866,8.9998,2.9853,1017.0,920.0,1125.0,102.94,2.3035,2.0642,2.5862,0
44b6_0113de3b,20,19,19,60.82,78.0,0.7798,3.38,4.33,7.08,0.3189,0.7798,34.2943,11.4862,908.79,552.0,1122.0,116.14,2.6021,1.2667,3.6109,0
44b6_0113de3b,21,17,17,28.8,54.53,0.5281,1.8,3.41,5.86,0.3292,0.5438,24.4625,3.9185,894.94,718.0,1181.0,113.13,2.5851,1.8397,3.2485,0
44b6_0113de3b,22,14,14,16.57,26.05,0.6361,1.27,2.0,3.63,0.5612,0.6361,14.6212,3.0339,1794.64,527.0,2105.0,387.89,2.7325,0.8331,3.7683,0
44b6_0113de3b,23,9,9,20.94,27.83,0.7524,2.62,3.48,6.08,0.4477,0.8028,53.0715,5.9073,1075.56,865.0,1422.0,197.62,2.8012,2.2357,4.2315,0
44b6_0113de3b,24,91,91,124.7,225.83,0.5522,1.39,2.51,8.9,0.5563,0.5522,135.5284,7.2986,1313.58,286.0,1761.0,257.37,2.6451,0.6837,4.2882,0
44b6_0113de3b,25,63,63,95.13,206.45,0.4608,1.53,3.33,8.9,0.5135,0.4668,48.6166,5.6114,809.62,238.0,1225.0,212.81,2.6207,1.6093,3.9309,0
44b6_0113de3b,26,2,2,3.98,3.98,1.0,3.98,3.98,3.98,0.0,1.0,1.0,5.6292,373.0,316.0,430.0,80.61,1.7957,1.2448,2.3466,0
44b6_0113de3b,27,6,6,11.49,12.52,0.9175,2.3,2.5,2.81,0.101,0.9175,67.4288,5.1649,462.33,417.0,511.0,31.54,2.7316,1.1209,3.5832,0
44b6_0113de3b,28,32,32,56.2,91.61,0.6134,1.81,2.96,5.86,0.4358,0.6134,27.5647,6.2906,1088.31,748.0,1345.0,158.96,2.6602,1.6276,3.8636,0
44b6_0113de3b,29,24,24,44.2,63.63,0.6947,1.92,2.77,5.86,0.3742,0.6947,35.5746,6.5411,1641.75,1414.0,1888.0,123.57,3.1267,2.2121,3.963,0
44b6_0113de3b,30,95,95,124.56,227.19,0.5483,1.33,2.42,8.9,0.6433,0.5483,126.1058,7.0815,1152.72,409.0,1536.0,211.88,2.4561,1.2667,3.9235,0
44b6_0113de3b,31,59,59,114.74,179.13,0.6406,1.98,3.09,8.29,0.5461,0.6406,105.2191,9.734,1715.8,567.0,1990.0,240.93,2.8342,0.8779,4.1228,0
44b6_0113de3b,32,62,62,108.16,185.01,0.5846,1.77,3.03,7.96,0.5203,0.5846,63.118,8.1619,2290.44,1273.0,2811.0,331.04,3.0223,1.1444,4.1077,0
44b6_0113de3b,33,86,86,116.75,215.09,0.5428,1.37,2.53,7.45,0.6226,0.5428,172.4431,6.9142,1215.23,684.0,1729.0,270.6,2.5955,1.0319,3.9027,0
44b6_0113de3b,34,66,66,111.42,184.68,0.6033,1.71,2.84,7.27,0.5948,0.6033,66.1094,8.4011,2057.48,897.0,2582.0,266.05,2.7738,1.1433,4.1958,0
44b6_0113de3b,35,61,61,113.8,180.85,0.6292,1.9,3.01,7.62,0.5721,0.6292,82.3523,9.3207,1784.51,635.0,2103.0,251.2,2.7606,1.4095,4.1876,0
44b6_0113de3b,36,69,69,107.91,185.63,0.5813,1.59,2.73,9.48,0.5869,0.5813,85.3821,7.6632,1637.06,448.0,1933.0,235.9,2.765,0.9795,4.0187,0
44b6_0113de3b,37,4,4,4.6,5.55,0.8284,1.53,1.85,2.3,0.1716,0.8284,12.9641,2.5384,1141.75,576.0,1573.0,433.26,2.2521,0.9577,2.8144,0
44b6_0113de3b,38,65,65,113.91,191.94,0.5935,1.78,3.0,8.12,0.5068,0.5935,81.8137,8.5162,2057.0,895.0,3124.0,341.36,2.7406,0.9651,4.267,0
44b6_0113de3b,39,20,20,35.0,55.84,0.6268,1.84,2.94,4.88,0.3979,0.6268,21.5319,5.1642,1134.95,623.0,1319.0,161.07,2.8243,1.4546,3.8016,0
44b6_0113de3b,40,13,13,17.95,24.94,0.7195,1.5,2.08,3.63,0.4714,0.768,83.5341,3.8805,2237.15,1432.0,2522.0,286.6,2.9495,2.1779,3.5372,0
44b6_0113de3b,41,25,25,44.71,70.04,0.6383,1.86,2.92,7.08,0.503,0.6383,19.4663,5.9456,1034.12,804.0,1312.0,127.24,2.6611,1.7811,4.1521,0
44b6_0113de3b,42,20,20,29.34,46.11,0.6363,1.54,2.43,5.86,0.6804,0.6363,28.5899,4.3941,1010.75,928.0,1139.0,52.51,2.8456,1.4485,4.5536,0
44b6_0113de3b,43,63,63,107.86,174.93,0.6166,1.74,2.82,9.48,0.6422,0.6166,145.8365,8.5147,1628.46,751.0,1903.0,197.73,2.6932,1.5014,4.0594,0
44b6_0113de3b,44,81,81,99.18,225.37,0.4401,1.24,2.82,9.61,0.586,0.446,99.2242,4.91,1101.59,844.0,1440.0,133.45,2.7028,0.8063,4.2097,0
44b6_0113de3b,45,9,9,14.35,18.27,0.7853,1.79,2.28,3.98,0.5149,0.7853,61.0844,4.2265,1026.89,876.0,1172.0,83.85,2.6233,1.9132,3.7945,0
44b6_0113de3b,46,81,81,107.31,211.53,0.5073,1.34,2.64,8.75,0.5958,0.5073,68.6633,6.1244,1244.31,793.0,1753.0,192.72,2.4728,0.5106,4.1419,0
44b6_0113de3b,47,50,50,78.42,134.28,0.584,1.6,2.74,8.12,0.5723,0.584,81.8137,6.6093,1112.36,812.0,1327.0,128.23,2.7384,1.6144,4.2581,0
44b6_0113de3b,48,37,37,68.29,112.75,0.6056,1.9,3.13,9.19,0.4757,0.6056,49.3737,6.9882,1545.0,1350.0,1782.0,105.57,2.6839,1.7742,3.6999,0
44b6_0113de3b,49,28,28,56.88,80.25,0.7088,2.11,2.97,6.08,0.4548,0.7088,33.8039,7.9001,1841.89,1514.0,2110.0,122.86,2.7547,1.5845,3.8359,0
44b6_0113de3b,50,68,68,100.97,176.35,0.5726,1.51,2.63,7.45,0.5901,0.5726,165.8004,7.1156,1023.75,421.0,1550.0,202.79,2.7178,1.0914,4.0184,0
44b6_0113de3b,51,56,56,102.59,162.71,0.6305,1.87,2.96,7.45,0.4784,0.6305,115.0652,8.8016,1591.5,363.0,1844.0,267.8,2.6874,0.7315,3.6888,0
44b6_0113de3b,52,55,55,103.02,160.42,0.6422,1.91,2.97,8.29,0.5394,0.649,155.7987,9.0855,2331.69,357.0,2716.0,431.34,2.9175,0.513,4.4846,0
44b6_0113de3b,53,13,13,25.02,35.16,0.7115,2.08,2.93,3.98,0.3198,0.7664,97.6134,5.3482,1736.92,1509.0,1984.0,131.9,3.0504,1.994,3.7007,0
44b6_0113de3b,54,80,80,102.94,193.15,0.5329,1.3,2.44,8.12,0.6352,0.5329,101.3338,6.2114,1079.47,812.0,1505.0,135.11,2.66,1.057,3.9781,0
44b6_0113de3b,55,57,57,102.59,169.16,0.6065,1.83,3.02,7.27,0.5498,0.6065,99.1975,8.3888,1667.21,1133.0,1956.0,179.52,2.8236,1.5207,4.7043,0
44b6_0113de3b,56,42,42,72.62,106.15,0.6841,1.77,2.59,5.86,0.4692,0.6841,115.7198,7.8521,1891.81,1439.0,2277.0,187.68,3.101,1.8165,4.5235,0
44b6_0113de3b,57,8,8,15.07,18.56,0.8118,2.15,2.65,3.98,0.2696,0.8118,31.0947,4.9428,669.88,593.0,732.0,60.27,2.5905,1.8515,3.4663,0
44b6_0113de3b,58,8,8,14.8,21.69,0.6825,2.11,3.1,5.39,0.373,0.6825,10.479,4.0825,682.25,617.0,760.0,47.42,2.9628,2.0255,4.2633,0
44b6_0113de3b,59,50,50,82.28,133.18,0.6178,1.68,2.72,6.7,0.49,0.6178,100.9271,7.336,1301.76,754.0,1627.0,191.97,2.5566,1.7483,3.8514,0
44b6_0113de3b,60,31,31,53.16,85.64,0.6207,1.77,2.85,5.14,0.3806,0.6207,29.1475,6.1229,1042.52,853.0,1278.0,105.27,2.8922,1.7095,4.0955,0
44b6_0113de3b,61,6,6,9.33,11.48,0.8132,1.87,2.3,3.63,0.3194,0.8132,17.5717,3.7187,995.5,528.0,1212.0,254.15,2.3669,1.7598,2.8824,0
44b6_0113de3b,62,3,3,2.3,2.3,1.0,1.15,1.15,2.3,1.0,1.0,176041.6667,1.9902,1529.0,1229.0,1723.0,263.51,2.5908,2.1497,3.3003,0
44b6_0113de3b,63,61,61,93.81,157.32,0.5963,1.56,2.62,7.27,0.6238,0.5993,130.3906,7.2822,2361.77,476.0,3019.0,463.54,3.0434,1.7679,4.4326,0
44b6_0113de3b,64,59,59,87.66,162.68,0.5388,1.51,2.8,7.62,0.5336,0.5388,37.7192,6.2553,1850.17,1446.0,2719.0,214.45,2.7651,1.5854,3.4889,0
44b6_0113de3b,65,80,80,101.04,194.03,0.5207,1.28,2.46,8.75,0.6207,0.5214,91.442,5.9568,923.01,250.0,1296.0,210.29,2.4364,0.599,4.024,0
44b6_0113de3b,66,52,52,95.24,154.94,0.6147,1.87,3.04,7.08,0.5439,0.6449,108.2033,8.2773,2254.25,727.0,2587.0,265.47,2.7548,1.1786,4.2781,0
44b6_0113de3b,67,83,83,98.27,209.25,0.4696,1.2,2.55,8.12,0.6321,0.4703,53.0779,5.1273,1250.39,573.0,1700.0,224.35,2.5966,0.9943,3.9261,0
44b6_0113de3b,68,88,88,104.23,219.94,0.4739,1.2,2.53,8.9,0.5986,0.4739,80.048,5.3259,693.86,434.0,951.0,105.18,2.5684,1.0755,4.3279,0
44b6_0113de3b,69,55,55,90.84,155.42,0.5845,1.68,2.88,8.12,0.5729,0.5972,106.6491,7.2919,1319.38,299.0,1669.0,302.11,2.6678,0.493,3.9995,0
44b6_0113de3b,70,52,52,86.29,148.1,0.5827,1.69,2.9,7.96,0.6025,0.5827,85.9305,7.1092,1990.06,1535.0,2349.0,158.38,2.9038,1.84,4.5032,0
44b6_0113de3b,71,68,68,87.96,194.68,0.4518,1.31,2.91,8.75,0.5541,0.4518,18.1967,4.8914,794.32,294.0,1633.0,254.71,2.2012,0.7899,3.7923,0
44b6_0113de3b,72,56,56,74.5,160.32,0.4647,1.35,2.91,9.19,0.5576,0.4647,59.6309,4.7107,1608.45,963.0,1995.0,258.17,2.7212,1.742,3.7765,0
44b6_0113de3b,73,43,43,70.78,100.48,0.7044,1.69,2.39,6.08,0.4683,0.7044,99.0561,7.7835,2426.49,1123.0,2796.0,275.94,2.8922,1.7642,3.9187,0
44b6_0113de3b,74,54,54,90.27,148.78,0.6067,1.7,2.81,8.12,0.5499,0.6207,93.507,7.594,1387.11,369.0,1644.0,224.97,3.04,1.0269,5.1929,0
44b6_0113de3b,75,43,43,70.4,117.39,0.5997,1.68,2.8,6.89,0.5288,0.6056,25.0027,6.592,995.56,356.0,1658.0,298.97,2.5152,1.013,3.6705,0
44b6_0113de3b,76,8,8,10.53,15.74,0.6691,1.5,2.25,3.98,0.4403,0.6691,6.2382,2.8472,893.5,839.0,944.0,36.06,3.1757,2.8325,3.6809,0
44b6_0113de3b,77,12,12,20.23,26.27,0.7702,1.84,2.39,3.98,0.3697,0.7702,49.6121,4.9071,1467.83,1160.0,1767.0,159.9,2.8945,2.1018,3.5441,0
44b6_0113de3b,78,50,50,82.43,157.38,0.5238,1.68,3.21,8.44,0.488,0.5238,53.0254,6.23,1082.0,600.0,1887.0,199.31,2.5452,1.0842,3.5959,0
44b6_0113de3b,79,47,47,53.62,117.44,0.4566,1.17,2.55,6.5,0.4918,0.4651,18.5781,3.6494,634.87,398.0,1113.0,146.94,2.6223,0.8591,4.0149,0
44b6_0113de3b,80,2,2,3.63,3.63,1.0,3.63,3.63,3.63,0.0,1.0,1.0,5.1387,1573.0,1328.0,1818.0,346.48,2.7161,2.3973,3.0348,0
44b6_0113de3b,81,4,4,7.08,7.41,0.9558,2.36,2.47,2.81,0.0986,0.9558,36.492,4.5134,1524.5,1204.0,1704.0,227.07,2.7731,2.1083,3.2675,0
44b6_0113de3b,82,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,459.0,459.0,459.0,0.0,0.243,0.243,0.243,0
44b6_0113de3b,83,23,23,48.59,68.97,0.7044,2.21,3.14,7.08,0.4955,0.7044,23.0575,7.461,1919.04,1635.0,2131.0,148.54,2.6399,1.4256,3.9558,0
44b6_0113de3b,84,53,53,85.96,148.91,0.5772,1.65,2.86,8.29,0.4884,0.5837,79.7713,6.9466,2153.4,764.0,3891.0,514.67,2.8566,0.9571,4.2885,0
44b6_0113de3b,85,9,9,14.62,18.42,0.7939,1.83,2.3,3.98,0.5544,0.7939,47.7908,4.3543,180.44,137.0,208.0,21.1,2.2476,0.0,4.2127,0
44b6_0113de3b,86,55,55,80.1,155.95,0.5136,1.48,2.89,8.44,0.5492,0.5166,58.765,5.6508,1513.47,405.0,2613.0,309.77,2.6556,0.6041,3.9918,0
44b6_0113de3b,87,34,34,49.95,80.1,0.6236,1.51,2.43,7.08,0.587,0.6236,24.3072,5.5045,1428.94,383.0,1736.0,225.74,2.6807,1.0882,3.8683,0
44b6_0113de3b,88,12,12,19.36,23.49,0.8245,1.76,2.14,4.6,0.6075,0.8245,39.8092,5.0277,1107.92,878.0,1315.0,121.47,2.5677,2.0405,3.3663,0
44b6_0113de3b,89,40,40,67.18,101.27,0.6633,1.72,2.6,6.08,0.5247,0.6633,50.1318,7.2265,1114.2,699.0,1524.0,178.41,2.6958,1.6516,4.4173,0
44b6_0113de3b,90,48,48,82.04,135.2,0.6068,1.75,2.88,7.62,0.5447,0.6068,80.2895,7.3385,1077.44,527.0,1848.0,250.11,2.6075,0.2421,3.7515,0
44b6_0113de3b,91,50,50,66.98,143.84,0.4657,1.37,2.94,7.45,0.4945,0.4657,39.2782,4.5011,768.28,434.0,1122.0,155.02,2.6392,1.5516,3.6453,0
44b6_0113de3b,92,47,47,84.16,117.66,0.7153,1.83,2.56,7.45,0.5134,0.7153,116.7571,8.971,2148.62,508.0,2648.0,442.76,2.5481,0.9391,3.8358,0
44b6_0113de3b,93,50,50,60.45,124.55,0.4854,1.23,2.54,8.12,0.6593,0.4854,46.7117,4.2345,1258.38,873.0,1658.0,159.65,2.6611,1.3149,3.8063,0
44b6_0113de3b,94,24,24,51.28,72.7,0.7054,2.23,3.16,6.5,0.386,0.7054,16.618,7.7051,819.67,664.0,1004.0,97.75,2.7251,1.7658,3.7425,0
44b6_0113de3b,95,8,8,16.65,20.36,0.8179,2.38,2.91,4.88,0.339,0.8179,47.9764,5.5028,1918.38,1017.0,2268.0,408.17,2.4703,1.5795,3.4087,0
44b6_0113de3b,96,49,49,83.46,137.99,0.6048,1.74,2.87,6.89,0.43,0.606,119.5934,7.3619,2027.73,475.0,2429.0,395.14,2.5939,0.6387,4.1879,0
44b6_0113de3b,97,69,69,84.01,176.0,0.4774,1.24,2.59,8.9,0.7162,0.4774,60.2518,4.8991,1235.74,559.0,1589.0,216.14,2.5231,1.2556,4.5765,0
44b6_0113de3b,98,22,22,34.01,52.05,0.6534,1.62,2.48,4.88,0.4325,0.6534,17.3348,4.9629,1774.45,1090.0,1992.0,184.85,2.8672,1.688,3.9544,0
44b6_0113de3b,99,48,48,72.49,137.48,0.5273,1.54,2.93,10.28,0.5233,0.5273,79.7095,5.6342,1820.4,1052.0,2061.0,176.97,2.684,0.667,3.9788,0
44b6_0113de3b,100,71,71,82.95,200.78,0.4132,1.19,2.87,9.48,0.67,0.4132,32.3302,4.1255,966.8,350.0,1520.0,187.44,2.568,0.7147,3.978,0
44b6_0113de3b,101,60,60,78.2,154.51,0.5061,1.33,2.62,7.45,0.6501,0.5061,58.9681,5.1965,1143.07,811.0,1481.0,140.19,2.7369,1.5037,3.9768,0
44b6_0113de3b,102,47,47,77.15,108.29,0.7124,1.68,2.35,6.7,0.5886,0.7124,154.3453,8.1912,1633.53,409.0,1934.0,284.94,2.7216,0.7806,3.8944,0
44b6_0113de3b,103,25,25,30.23,52.09,0.5803,1.26,2.17,5.14,0.555,0.5803,15.2722,3.6543,1707.04,909.0,1960.0,226.72,2.648,1.6856,3.4571,0
44b6_0113de3b,104,40,40,63.04,101.35,0.622,1.62,2.6,6.08,0.4616,0.622,30.273,6.3589,773.65,637.0,933.0,73.47,2.7509,2.0245,4.374,0
44b6_0113de3b,105,34,34,44.41,90.74,0.4895,1.35,2.75,5.86,0.3336,0.4895,21.1071,3.8412,1448.0,850.0,1794.0,205.15,2.6402,1.2137,3.8698,0
44b6_0113de3b,106,6,6,5.86,6.88,0.8512,1.17,1.38,3.63,0.9749,0.8512,23.4262,2.4431,1213.5,920.0,1442.0,178.36,2.3832,1.7468,3.3386,0
44b6_0113de3b,107,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1390.0,1390.0,1390.0,0.0,2.2868,2.2868,2.2868,0
44b6_0113de3b,108,47,47,72.74,116.94,0.6221,1.58,2.54,7.08,0.4752,0.6236,117.0745,6.7442,1575.53,975.0,2083.0,232.73,2.7256,1.2567,4.0304,0
44b6_0113de3b,109,39,39,66.31,98.01,0.6766,1.74,2.58,5.86,0.5338,0.6766,26.9158,7.3725,363.18,285.0,491.0,49.83,2.5445,1.0075,4.3376,0
44b6_0113de3b,110,22,22,42.41,67.21,0.6309,2.02,3.2,7.62,0.4897,0.6309,27.7207,5.9759,744.68,447.0,1024.0,146.0,2.5246,1.1533,3.2847,0
44b6_0113de3b,111,42,42,56.62,91.8,0.6167,1.38,2.24,4.88,0.5796,0.6167,52.8581,5.5196,1286.74,936.0,1576.0,120.95,2.6168,1.5974,4.2465,0
44b6_0113de3b,112,27,27,44.5,68.58,0.6489,1.71,2.64,6.08,0.4754,0.6489,35.0613,5.771,1507.63,1037.0,1958.0,255.44,2.778,1.2971,3.9709,0
44b6_0113de3b,113,44,44,78.99,117.96,0.6697,1.84,2.74,8.75,0.5454,0.6697,76.6851,8.1601,2004.0,865.0,3652.0,497.82,2.6823,1.6953,3.7686,0
44b6_0113de3b,114,12,12,21.19,30.56,0.6933,1.93,2.78,4.88,0.3459,0.6933,16.8335,4.6259,327.08,254.0,375.0,33.84,2.4614,1.2979,3.6718,0
44b6_0113de3b,115,14,14,18.81,26.5,0.7099,1.45,2.04,3.63,0.4163,0.7099,28.4364,3.8433,1295.5,776.0,1512.0,187.58,2.4023,1.7238,3.4573,0
44b6_0113de3b,116,47,47,71.52,114.9,0.6224,1.55,2.5,7.45,0.5936,0.6224,87.9863,6.6342,1871.15,1166.0,2139.0,171.47,2.8378,1.9846,3.7087,0
44b6_0113de3b,117,11,11,22.69,32.34,0.7018,2.27,3.23,8.29,0.5818,0.7213,28.6569,5.2815,748.55,461.0,940.0,126.43,2.4875,1.2423,3.8713,0
44b6_0113de3b,118,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,204.0,204.0,204.0,0.0,2.1705,2.1705,2.1705,0
44b6_0113de3b,119,32,32,43.54,77.46,0.5621,1.4,2.5,6.08,0.6035,0.5621,20.4175,4.4663,1190.94,1013.0,1365.0,104.86,2.7567,1.8183,4.0509,0
44b6_0113de3b,120,40,40,67.28,102.76,0.6547,1.73,2.63,7.08,0.4984,0.6547,74.3498,7.1427,2055.32,889.0,2600.0,406.28,2.5968,1.0555,3.6934,0
44b6_0113de3b,121,41,41,54.41,110.61,0.4919,1.36,2.77,8.29,0.551,0.4919,24.6731,4.2839,927.46,303.0,1390.0,265.75,2.6554,0.9167,3.9502,0
44b6_0113de3b,122,41,41,67.92,98.63,0.6886,1.7,2.47,7.45,0.4763,0.6959,93.7111,7.487,1721.29,467.0,2151.0,465.99,2.5282,0.2983,3.7671,0
44b6_0113de3b,123,32,32,49.34,75.19,0.6563,1.59,2.43,6.08,0.6246,0.6563,49.2942,5.909,1864.22,1680.0,2092.0,111.62,2.9583,2.1155,4.0544,0
44b6_0113de3b,124,36,36,62.87,95.38,0.6592,1.8,2.73,6.08,0.4572,0.6592,70.3184,7.1052,1915.03,1023.0,2262.0,229.0,2.6641,1.625,3.4475,0
44b6_0113de3b,125,41,41,65.02,98.2,0.6621,1.63,2.46,6.08,0.6253,0.6744,158.6431,6.8914,1857.34,840.0,2365.0,385.14,2.6179,1.4116,3.7082,0
44b6_0113de3b,126,53,53,71.91,135.58,0.5304,1.38,2.61,8.12,0.624,0.5304,90.4358,5.339,1633.6,1333.0,1926.0,146.12,2.6617,1.6817,3.9586,0
44b6_0113de3b,127,24,24,33.58,54.41,0.6171,1.46,2.37,6.08,0.5774,0.6171,10.6497,4.4138,686.67,572.0,964.0,84.68,2.7436,0.8005,4.1163,0
44b6_0113de3b,128,52,52,63.21,128.61,0.4915,1.24,2.52,6.89,0.5859,0.4961,42.7913,4.3922,716.12,562.0,844.0,62.95,2.6788,1.3419,3.9464,0
44b6_0113de3b,129,25,25,21.74,59.91,0.3629,0.91,2.5,8.12,0.6823,0.4714,10.1614,1.6437,1928.56,1300.0,2231.0,223.84,2.8363,2.1887,3.7986,0
44b6_0113de3b,130,2,2,1.62,1.62,1.0,1.62,1.62,1.62,0.0,1.0,1.0,2.2981,1367.5,1187.0,1548.0,255.27,2.3129,1.9355,2.6902,0
44b6_0113de3b,131,25,25,35.82,61.56,0.582,1.49,2.56,6.08,0.5206,0.582,12.2487,4.3433,711.72,431.0,852.0,96.62,2.5189,1.2774,3.651,0
44b6_0113de3b,132,36,36,53.01,100.7,0.5263,1.51,2.88,6.89,0.4505,0.5263,24.2717,4.7828,1103.44,878.0,1610.0,168.41,2.7111,1.7806,3.3421,0
44b6_0113de3b,133,2,2,2.81,2.81,1.0,2.81,2.81,2.81,0.0,1.0,1.0,3.9804,525.0,520.0,530.0,7.07,3.6147,3.6019,3.6275,0
44b6_0113de3b,134,6,6,6.7,12.11,0.5535,1.34,2.42,3.98,0.4139,0.6296,11.745,1.8167,1395.5,1228.0,1811.0,226.13,2.4311,0.6646,3.3584,0
44b6_0113de3b,135,6,6,3.98,11.33,0.3512,0.8,2.27,2.81,0.1668,0.4055,2.6259,0.6848,988.67,791.0,1243.0,165.37,2.7854,1.7573,3.7499,0
44b6_0113de3b,136,47,47,63.21,117.83,0.5364,1.37,2.56,8.29,0.5666,0.5539,52.5209,5.0532,1185.28,651.0,1816.0,263.92,2.5211,1.4851,3.7271,0
44b6_0113de3b,137,38,38,48.86,89.34,0.5469,1.32,2.41,6.08,0.4985,0.5469,21.387,4.4515,635.13,502.0,829.0,86.25,2.8239,1.2854,4.1263,0
44b6_0113de3b,138,23,23,31.22,45.92,0.6798,1.42,2.09,5.14,0.5915,0.6798,16.4102,4.6255,1343.7,1052.0,1647.0,159.62,2.647,1.7219,3.6933,0
44b6_0113de3b,139,34,34,56.41,87.1,0.6476,1.71,2.64,6.7,0.5458,0.6476,33.9725,6.4548,1854.74,938.0,2616.0,285.08,2.7053,1.7527,3.6655,0
44b6_0113de3b,140,16,16,31.55,49.63,0.6358,2.1,3.31,5.63,0.3766,0.6358,16.7525,5.3491,653.06,442.0,873.0,127.8,2.3115,1.3601,3.2366,0
44b6_0113de3b,141,41,41,58.73,101.09,0.5809,1.47,2.53,7.27,0.4901,0.5827,33.5104,5.4609,1283.15,1048.0,1610.0,159.45,2.7243,1.6222,4.112,0
44b6_0113de3b,142,26,26,45.18,68.44,0.6601,1.81,2.74,7.08,0.4755,0.6601,25.2048,6.0829,2673.65,1606.0,2908.0,252.96,2.8438,1.9321,3.5906,0
44b6_0113de3b,143,36,36,61.86,88.49,0.699,1.77,2.53,7.62,0.5353,0.699,29.8316,7.4125,2124.83,1663.0,2458.0,194.61,2.9691,2.0112,4.3966,0
