dataset,series,n_frames,estimated_nodes,pred_nodes,pe_ratio,recall,tp_count,gt_total,mean_dist_um,avg_threshold,elapsed_sec
6bba_207c6aaf,6bba,100,11999,14719,1.2267,0.7137,339,475,3.091,0.0397,306.96
6bba_20852818,6bba,100,9758,11103,1.1378,0.9181,874,952,2.198,0.0593,307.37
6bba_2312ac41,6bba,100,11950,12500,1.046,0.9619,1112,1156,2.688,0.0445,303.83
6bba_23af9eeb,6bba,100,4450,5285,1.1876,0.9825,504,513,3.601,0.068,308.62
6bba_2540cd90,6bba,100,3783,4392,1.161,0.9981,528,529,3.694,0.0674,301.69
6bba_2646afc7,6bba,100,5495,6427,1.1696,0.9038,667,738,3.635,0.068,307.21
6bba_268e1230,6bba,100,5107,5841,1.1437,0.8284,531,641,2.94,0.0616,303.13
6bba_2819ca14,6bba,100,5534,6164,1.1138,0.9615,948,986,3.251,0.0511,305.44
6bba_283bf9f1,6bba,100,20861,21678,1.0392,0.9158,1229,1342,2.189,0.038,305.36
6bba_312f0dc3,6bba,100,9963,10546,1.0585,0.9385,488,520,3.265,0.0562,305.65
6bba_32db13fc,6bba,100,38705,46191,1.1934,0.855,737,862,2.591,0.0381,338.61
6bba_337b1b3a,6bba,100,30480,32564,1.0684,0.989,1258,1272,1.48,0.0425,359.47
6bba_372c8cb8,6bba,100,7021,8324,1.1856,0.9768,1012,1036,2.58,0.052,348.55
6bba_3a1849c2,6bba,100,7003,7959,1.1365,0.7698,903,1173,3.006,0.0576,340.11
6bba_3abfe10a,6bba,100,52065,62567,1.2017,0.9198,917,997,2.817,0.0367,345.92
6bba_3c5691b6,6bba,100,6258,7424,1.1863,0.9987,764,765,2.858,0.0586,347.87
6bba_3db54e20,6bba,100,23236,24686,1.0624,0.8785,441,502,3.88,0.047,356.69
6bba_3fda6b25,6bba,100,9842,10400,1.0567,0.9843,1188,1207,2.188,0.0466,337.66
6bba_43fea39d,6bba,100,5748,6380,1.11,0.9813,893,910,2.758,0.068,353.54
6bba_474be664,6bba,100,28293,34181,1.2081,0.4486,131,292,4.578,0.0374,353.51
6bba_48816121,6bba,100,23965,25482,1.0633,0.9497,888,935,3.677,0.0403,355.02
6bba_4aa14c89,6bba,100,6787,7102,1.0464,0.9335,660,707,2.732,0.0565,350.58
6bba_4f99ce20,6bba,100,5965,6672,1.1185,0.9896,1046,1057,2.719,0.0523,337.34
6bba_4ffd3da3,6bba,100,17637,18722,1.0615,0.7224,510,706,3.238,0.0378,342.14
6bba_55b7eebe,6bba,100,5257,5682,1.0808,0.9929,700,705,3.247,0.0607,340.46
6bba_55c70843,6bba,100,35415,42214,1.192,0.8224,403,490,3.359,0.0379,348.5
6bba_57b7cc1e,6bba,100,65511,84501,1.2899,0.818,1357,1659,3.755,0.0371,304.77
6bba_5a4d9360,6bba,100,5976,6268,1.0489,0.8353,624,747,3.477,0.0674,292.37
6bba_5b28472a,6bba,100,5802,7002,1.2068,0.9824,724,737,2.972,0.0657,295.32
6bba_5c039895,6bba,100,8570,9587,1.1187,0.971,1140,1174,3.447,0.0446,290.11
6bba_5c824876,6bba,100,24647,26485,1.0746,0.9308,1089,1170,2.571,0.0399,287.59
6bba_5dfe9ad1,6bba,100,26913,29906,1.1112,0.9092,1402,1542,2.1,0.0373,295.16
6bba_5f89039d,6bba,100,4611,4890,1.0605,0.9834,889,904,3.143,0.068,287.7
6bba_61dd1e0d,6bba,100,10128,10913,1.0775,0.9677,540,558,3.323,0.054,284.92
6bba_61ecbe65,6bba,100,5774,6158,1.0665,0.9516,609,640,2.935,0.0609,287.51
6bba_6321a359,6bba,100,4821,5591,1.1597,0.9794,810,827,2.56,0.0669,288.89
6bba_6479435d,6bba,100,23453,28655,1.2218,0.7893,487,617,2.604,0.0438,286.55
6bba_67ebd073,6bba,100,16061,19119,1.1904,0.9416,435,462,3.209,0.05,287.71
6bba_6ca87370,6bba,100,7195,8308,1.1547,0.9528,1030,1081,3.173,0.053,284.92
6bba_6db0e9b4,6bba,100,28435,32476,1.1421,0.9666,434,449,3.671,0.0397,286.36
6bba_6feb10f0,6bba,100,8862,8946,1.0095,0.1667,228,1368,4.761,0.0395,284.27
6bba_6feeb0b1,6bba,100,7518,8967,1.1927,0.9496,1319,1389,2.759,0.053,287.55
6bba_705ec2c9,6bba,100,5600,6463,1.1541,0.8893,530,596,2.967,0.0663,283.3
6bba_718b21f9,6bba,100,4306,4930,1.1449,0.9758,645,661,3.774,0.068,279.57
6bba_74686d6a,6bba,100,29803,28173,0.9453,0.8754,513,586,3.753,0.0421,281.13
6bba_767a1e17,6bba,100,47714,54227,1.1365,0.9025,648,718,2.537,0.0355,282.36
6bba_76db78c1,6bba,100,4855,5168,1.0645,0.9984,616,617,2.941,0.061,278.19
6bba_784a78c9,6bba,100,13096,13689,1.0453,0.9765,1746,1788,2.791,0.0419,281.31
6bba_786893ac,6bba,100,58979,77375,1.3119,0.9195,1347,1465,2.953,0.0365,284.73
6bba_789f8168,6bba,100,10676,11959,1.1202,0.9832,701,713,2.483,0.0549,277.0
6bba_78a7bd97,6bba,100,40613,41878,1.0311,0.7302,647,886,3.161,0.0358,277.33
6bba_7af54fde,6bba,100,9624,10592,1.1006,0.9363,1059,1131,2.76,0.0478,276.25
6bba_7b5d3b2c,6bba,100,5780,6016,1.0408,0.9717,549,565,3.249,0.0579,280.45
6bba_7d3058ae,6bba,100,7611,8446,1.1097,0.9892,1187,1200,2.081,0.0576,275.74
6bba_7f87b3d8,6bba,100,10581,12399,1.1718,0.934,934,1000,2.499,0.0439,279.88
6bba_80d12824,6bba,100,9021,10688,1.1848,0.9647,656,680,2.878,0.0621,281.45
6bba_825bd1c6,6bba,100,7586,9640,1.2708,0.9742,943,968,3.1,0.0542,278.66
6bba_87289e13,6bba,100,14966,16170,1.0804,0.9972,722,724,2.155,0.0493,281.61
6bba_8b7818bf,6bba,100,5828,6929,1.1889,0.9838,729,741,2.8,0.068,276.47
6bba_907271db,6bba,100,7306,8204,1.1229,0.9577,905,945,3.652,0.0522,278.58
6bba_91951b3a,6bba,100,11907,12880,1.0817,0.968,1150,1188,3.027,0.0471,279.86
6bba_96833384,6bba,100,4869,5260,1.0803,0.9472,718,758,3.13,0.0582,282.26
6bba_969618f6,6bba,100,13888,14629,1.0534,0.8851,601,679,2.606,0.0413,278.85
6bba_971fa5e0,6bba,100,5609,6604,1.1774,0.9798,776,792,2.769,0.068,281.18
6bba_9a41d029,6bba,100,18231,20674,1.134,0.935,1310,1401,2.799,0.0417,277.26
6bba_9e23430b,6bba,100,7708,7988,1.0363,0.954,872,914,2.894,0.0643,278.81
6bba_a5e926bb,6bba,100,8440,9095,1.0776,0.9757,723,741,2.428,0.0486,276.7
6bba_a90a0b9c,6bba,100,36896,41200,1.1167,0.8561,982,1147,3.589,0.0416,282.98
6bba_ab78413d,6bba,100,9241,11792,1.2761,0.3282,387,1179,4.07,0.0432,278.16
6bba_acd782a8,6bba,100,19710,21431,1.0873,0.9579,341,356,2.24,0.0431,280.5
6bba_ae82a791,6bba,100,7403,8368,1.1304,0.9739,1456,1495,2.077,0.0538,278.95
6bba_aeee7805,6bba,100,5034,5400,1.0727,0.9962,792,795,2.341,0.0659,281.09
6bba_af149c94,6bba,100,8933,9746,1.091,0.9326,1259,1350,2.901,0.0425,281.8
6bba_afb141ff,6bba,100,6054,7185,1.1868,0.9648,631,654,2.63,0.068,279.32
6bba_b1ae37b9,6bba,100,24298,27100,1.1153,0.9739,596,612,2.682,0.045,288.56
6bba_b204cac7,6bba,100,5092,5736,1.1265,0.9528,787,826,2.85,0.0627,285.97
6bba_b329af44,6bba,100,62465,75224,1.2043,0.9187,1209,1316,2.223,0.0355,297.34
6bba_b693381b,6bba,100,5558,7045,1.2675,0.9837,967,983,2.16,0.0638,288.84
6bba_bb9f20c3,6bba,100,23071,28146,1.22,0.9397,1809,1925,2.318,0.0426,289.17
6bba_bbb708ca,6bba,100,6785,7461,1.0996,0.9563,853,892,2.38,0.062,289.1
6bba_c27cba08,6bba,100,6445,6720,1.0427,0.94,486,517,2.904,0.0531,286.62
6bba_c328f2fd,6bba,100,31228,34132,1.093,0.8082,413,511,2.592,0.0388,283.47
6bba_c73a1d11,6bba,100,16315,20081,1.2308,0.5929,437,737,2.65,0.0382,288.7
6bba_cdcfe533,6bba,100,29785,31517,1.0582,0.9986,1417,1419,1.684,0.04,286.3
6bba_cf35214c,6bba,100,34890,39548,1.1335,0.9905,834,842,2.173,0.0372,285.76
6bba_cff5865f,6bba,100,46362,51950,1.1205,0.9822,1543,1571,1.789,0.0406,289.27
6bba_d0fc38b5,6bba,100,6111,6989,1.1437,0.9808,819,835,3.492,0.0601,287.62
6bba_d1acb6ff,6bba,100,14719,15970,1.085,0.8737,595,681,2.586,0.0441,285.16
6bba_d2b9fc0c,6bba,100,20178,24858,1.2319,0.9894,934,944,2.888,0.0468,285.37
6bba_d3da753b,6bba,100,17246,20868,1.21,0.9966,884,887,2.311,0.0561,286.26
6bba_d5eae175,6bba,100,4519,4983,1.1027,0.9962,526,528,3.35,0.068,283.56
6bba_d6ecebbb,6bba,100,5359,6487,1.2105,0.8363,741,886,3.346,0.068,284.4
6bba_d82a4fc6,6bba,100,27716,31736,1.145,0.9872,538,545,2.201,0.0385,288.87
6bba_debd7bfa,6bba,100,11807,12834,1.087,0.8695,666,766,2.179,0.0468,286.96
6bba_df673a83,6bba,100,19239,20892,1.0859,0.9222,616,668,2.417,0.0389,285.01
6bba_e16ffc58,6bba,100,6367,7897,1.2403,0.9554,921,964,2.55,0.0586,279.55
6bba_e5e44988,6bba,100,5615,6072,1.0814,0.9099,606,666,3.374,0.05,281.26
6bba_ebdf3b34,6bba,100,56847,64861,1.141,0.974,825,847,1.984,0.0369,288.57
6bba_ebff6e76,6bba,100,41596,46641,1.1213,0.7436,980,1318,3.835,0.0378,283.81
6bba_ed9377fd,6bba,100,4443,5376,1.21,0.9623,511,531,3.39,0.068,282.23
6bba_edf14583,6bba,100,59242,63510,1.072,0.9875,791,801,2.538,0.036,284.58
6bba_eebc57a5,6bba,100,9347,9520,1.0185,0.9288,953,1026,2.67,0.0463,283.02
6bba_ef7b4f7e,6bba,100,6107,6505,1.0652,0.9895,1221,1234,2.14,0.068,282.42
6bba_f17befbc,6bba,100,24963,26704,1.0697,0.9109,982,1078,2.705,0.0396,282.94
6bba_f1fde7e0,6bba,100,9040,10066,1.1135,0.8613,410,476,3.012,0.0477,282.3
6bba_f20478e9,6bba,100,5973,6695,1.1209,0.989,992,1003,2.615,0.0498,279.26
6bba_f4ae811c,6bba,100,8903,9414,1.0574,0.954,955,1001,2.427,0.052,178.25
6bba_f8ffd5e7,6bba,100,29540,35619,1.2058,0.9846,383,389,2.047,0.0358,177.89
6bba_fbc898dc,6bba,100,4889,5450,1.1147,1.0,655,655,2.167,0.068,173.82
6bba_fc516dc6,6bba,100,7866,9165,1.1651,0.9695,764,788,2.879,0.0598,174.43
6bba_fc5f39dc,6bba,100,14020,15472,1.1036,0.7813,368,471,2.064,0.0415,171.87
6bba_fc83837d,6bba,100,13087,13977,1.068,0.8548,818,957,3.613,0.0478,170.84
6bba_fe670320,6bba,100,10836,12352,1.1399,0.9665,692,716,3.247,0.0523,167.34
