dataset,gt_estimated_nodes,nodes_before_filtering,nodes_after_filtering,isolated_nodes_removed,isolated_removal_pct,pe_ratio_before,pe_ratio_after,edge_count
44b6_d78e09d9,22259,25270,24160,1110,4.3925603482390185,1.1352711262859967,1.0854036569477514,20708
44b6_db3c847b,15023,18054,17201,853,4.724714744654924,1.2017573054649537,1.1449777008586834,14913
44b6_ddf577ad,53492,61880,59161,2719,4.393988364576599,1.1568084947281836,1.1059784640693935,52185
44b6_deabac95,13989,15813,15118,695,4.395117940934674,1.130388162127386,1.0807062692115232,13223
44b6_e28840c6,74686,89002,85314,3688,4.143727107256017,1.1916825107784592,1.142302439546903,76712
44b6_e29f0176,12969,14317,13130,1187,8.29084305371237,1.1039401650088674,1.0124142185210887,10576
44b6_e31261b4,72856,82511,77685,4826,5.848917114081758,1.132521686614692,1.066281431865598,65229
44b6_e35b117d,28641,40355,37422,2933,7.2679965307892465,1.4089940993680388,1.3065884571069446,31610
44b6_e57ff5c6,20314,23619,21065,2554,10.813328252677929,1.1626956778576352,1.0369695776311902,16645
44b6_eb2880fc,48084,48786,46372,2414,4.948140860082811,1.0145994509608185,0.9643956409616504,39920
44b6_f28707c6,18656,22262,20687,1575,7.0748360434821675,1.1932890222984562,1.1088657804459692,17349
6bba_05b6850b,6362,9548,9100,448,4.69208211143695,1.5007859163784973,1.4303678088651368,7926
6bba_05db0fb1,69800,79175,76359,2816,3.556678244395327,1.1343123209169055,1.093968481375358,67089
6bba_062c8d37,6030,9775,9024,751,7.682864450127877,1.62106135986733,1.4965174129353234,7383
6bba_07477033,4836,7002,6663,339,4.841473864610111,1.4478908188585609,1.3777915632754343,5795
6bba_07e24132,21485,40624,38615,2009,4.94535250098464,1.8908075401442868,1.7973004421689551,34004
6bba_085bf656,8463,10749,10265,484,4.50274444134338,1.2701169797943992,1.2129268580881485,8783
6bba_09961292,31117,38457,37103,1354,3.5208154562238345,1.2358839219719124,1.1923707298261401,32724
6bba_0c7fa718,13650,19119,17266,1853,9.69192949422041,1.4006593406593406,1.2649084249084248,13131
6bba_0e7c0d07,22467,27747,25885,1862,6.710635384005478,1.2350113499799706,1.152134241331731,20544
6bba_12665c0e,8314,10184,9523,661,6.49057344854674,1.2249218186191966,1.145417368294443,7842
6bba_13f19531,5773,7294,6905,389,5.333150534686043,1.2634678676597957,1.1960852243201108,5948
6bba_15403b9a,6889,8679,8120,559,6.440834197488191,1.259834518798084,1.1786906662795762,6597
6bba_1d0d8384,17909,25612,24437,1175,4.587693268780259,1.4301189346138814,1.3645094645150484,20899
6bba_1ebfb80d,11558,14531,13827,704,4.8448145344436035,1.2572244332929572,1.1963142412182037,11767
6bba_1f58c2f6,28903,36145,33821,2324,6.429658320652925,1.2505622253745285,1.1701553471957928,27707
6bba_207c6aaf,11999,16381,14729,1652,10.08485440449301,1.3651970997583132,1.227518959913326,11671
6bba_20852818,9758,13432,12811,621,4.623287671232877,1.3765115802418528,1.3128714900594385,10777
6bba_2312ac41,11950,13532,12951,581,4.293526455808454,1.1323849372384938,1.0837656903765691,11430
6bba_23af9eeb,4450,6240,5973,267,4.278846153846154,1.402247191011236,1.342247191011236,5224
6bba_2540cd90,3783,6722,6466,256,3.8083903600119013,1.7768966428760242,1.7092254824213586,5751
6bba_2646afc7,5495,8152,7798,354,4.342492639842983,1.483530482256597,1.419108280254777,6766
6bba_268e1230,5107,6941,6393,548,7.895115977524853,1.3591149402780498,1.25181123947523,5088
6bba_2819ca14,5534,8019,7402,617,7.694226212744732,1.4490422840621613,1.3375496928080954,5990
6bba_283bf9f1,20861,22603,21181,1422,6.291200283148254,1.0835051052202676,1.0153396289727241,17366
6bba_312f0dc3,9963,11625,10798,827,7.113978494623656,1.1668172237277927,1.083810097360233,8819
6bba_32db13fc,38705,46985,43377,3608,7.67904650420347,1.213925849373466,1.1207079188735305,35271
6bba_337b1b3a,30480,37933,36150,1783,4.700392797827749,1.2445209973753282,1.186023622047244,29916
6bba_372c8cb8,7021,10098,9643,455,4.505842741136859,1.4382566585956416,1.3734510753453923,8554
6bba_3a1849c2,7003,9665,9242,423,4.37661665804449,1.380122804512352,1.3197201199485935,8152
6bba_3abfe10a,52065,61515,58591,2924,4.753312200276355,1.181503889369058,1.1253433208489387,49443
6bba_3c5691b6,6258,8855,8479,376,4.246188594014681,1.4149888143176734,1.3549057206775328,7614
6bba_3db54e20,23236,24935,23374,1561,6.260276719470624,1.0731192976415906,1.0059390600791875,18698
6bba_3fda6b25,9842,13773,12678,1095,7.95033761707689,1.3994106888843731,1.2881528144686039,10802
6bba_43fea39d,5748,7823,7351,472,6.033490988111978,1.3609951287404314,1.2788796102992346,6170
6bba_474be664,28293,35436,33694,1742,4.91590472965346,1.2524652740960662,1.1908952744495105,29430
6bba_48816121,23965,26432,24894,1538,5.818704600484261,1.102941790110578,1.0387648654287502,21244
6bba_4aa14c89,6787,8365,7928,437,5.224148236700538,1.2325033151613378,1.168115514955061,6908
6bba_4f99ce20,5965,8837,8056,781,8.837840896231752,1.4814752724224645,1.3505448449287512,6404
6bba_4ffd3da3,17637,20085,18818,1267,6.308190191685337,1.1387991154958326,1.0669615013891252,16160
6bba_55b7eebe,5257,7831,7437,394,5.03128591495339,1.4896328704584363,1.4146851816625452,6503
6bba_55c70843,35415,42197,40194,2003,4.746782946654975,1.1915007765071297,1.1349428208386276,35142
6bba_57b7cc1e,65511,83865,79072,4793,5.715137423239731,1.2801666895635848,1.2070034040084872,66564
6bba_5a4d9360,5976,7887,7325,562,7.125649803474071,1.3197791164658634,1.2257362784471217,5794
6bba_5b28472a,5802,9065,8610,455,5.019305019305019,1.5623922785246467,1.483971044467425,7500
6bba_5c039895,8570,11609,10834,775,6.6758549401326555,1.3546091015169195,1.2641773628938155,9221
6bba_5c824876,24647,28306,26548,1758,6.2106973786476365,1.1484562015661135,1.0771290623605307,21907
6bba_5dfe9ad1,26913,30790,29061,1729,5.615459564793764,1.1440567755359863,1.0798127299074796,24301
6bba_5f89039d,4611,6873,6666,207,3.0117852466171975,1.490566037735849,1.4456733897202343,6089
6bba_61dd1e0d,10128,12342,11845,497,4.026900016204829,1.2186018957345972,1.1695300157977884,10378
6bba_61ecbe65,5774,7815,7243,572,7.319257837492002,1.353481122272255,1.2544163491513682,5794
6bba_6321a359,4821,7181,6792,389,5.417072831082022,1.4895249948143539,1.4088363410080895,5789
6bba_6479435d,23453,29783,27373,2410,8.091864486452002,1.2699015051379354,1.1671427962307594,21884
6bba_67ebd073,16061,21403,19886,1517,7.087791431107789,1.3326069360562853,1.23815453583214,16145
6bba_6ca87370,7195,10537,9941,596,5.656258897219322,1.4644892286309938,1.3816539263377345,8338
6bba_6db0e9b4,28435,33196,31646,1550,4.669237257500904,1.1674344997362405,1.1129242131176367,27252
6bba_6feb10f0,8862,10535,9687,848,8.049359278595158,1.188783570300158,1.0930941096817874,8188
6bba_6feeb0b1,7518,13066,12352,714,5.4645645185978875,1.7379622239957435,1.6429901569566374,10302
6bba_705ec2c9,5600,8066,7381,685,8.49243739151996,1.440357142857143,1.3180357142857142,6042
6bba_718b21f9,4306,7751,7431,320,4.128499548445362,1.800046446818393,1.7257315373896889,6539
6bba_74686d6a,29803,31732,30344,1388,4.3741333669481905,1.064725027681777,1.0181525349797,26360
6bba_767a1e17,47714,53956,49960,3996,7.406034546667656,1.1308211426415726,1.047072138156516,39123
6bba_76db78c1,4855,7162,6836,326,4.551801172856744,1.4751802265705458,1.408032955715757,6066
6bba_784a78c9,13096,15356,14610,746,4.858035946861162,1.1725717776420281,1.1156078191814294,12881
6bba_786893ac,58979,73668,70154,3514,4.770049410870392,1.2490547483002425,1.189474219637498,60495
6bba_789f8168,10676,13839,12825,1014,7.32711901148927,1.2962720119895093,1.2012926189584114,10234
6bba_78a7bd97,40613,41870,39960,1910,4.561738715070456,1.0309506808164874,0.9839214044763992,33415
6bba_7af54fde,9624,12052,11410,642,5.326916694324593,1.2522859517871987,1.1855777223607649,10071
6bba_7b5d3b2c,5780,7929,7591,338,4.262832639677135,1.3717993079584776,1.3133217993079584,6740
6bba_7d3058ae,7611,12197,11564,633,5.189800770681315,1.6025489423203259,1.5193798449612403,9862
6bba_7f87b3d8,10581,15066,13259,1807,11.993893535112173,1.4238729798695775,1.2530951705887912,9896
6bba_80d12824,9021,12975,12135,840,6.473988439306358,1.43831060857998,1.3451945460591952,9888
6bba_825bd1c6,7586,14092,13318,774,5.492478001703094,1.8576324808858424,1.7556024255206961,11109
6bba_87289e13,14966,21418,20218,1200,5.602764030254926,1.4311105171722571,1.3509287718829346,16160
6bba_8b7818bf,5828,8326,7908,418,5.0204179678116745,1.4286204529855868,1.356897735072066,6855
6bba_907271db,7306,9842,9114,728,7.396870554765292,1.3471119627703259,1.2474678346564467,7532
6bba_91951b3a,11907,14207,13189,1018,7.16548180474414,1.1931636852271772,1.1076677584614092,11001
6bba_96833384,4869,6287,5964,323,5.137585493876252,1.2912302320805094,1.2248921749845965,5112
6bba_969618f6,13888,16130,15155,975,6.044637321760694,1.161434331797235,1.0912298387096775,12893
6bba_971fa5e0,5609,9285,8722,563,6.063543349488422,1.6553752897129612,1.5550008914244964,7074
6bba_9a41d029,18231,22421,21408,1013,4.518085723205923,1.2298283144095223,1.1742636169162415,18597
6bba_9e23430b,7708,9622,9152,470,4.884639368114737,1.2483134405812144,1.1873378308251168,7904
6bba_a5e926bb,8440,11194,10241,953,8.513489369304985,1.326303317535545,1.2133886255924171,8037
6bba_a90a0b9c,36896,44568,42708,1860,4.173397953688745,1.2079358196010408,1.1575238508239376,37485
6bba_ab78413d,9241,13796,12792,1004,7.277471730936504,1.4929120225083865,1.3842657721025864,10837
6bba_acd782a8,19710,23789,22297,1492,6.2718062970280375,1.2069507864028413,1.1312531709791984,18062
6bba_ae82a791,7403,10770,10167,603,5.598885793871866,1.4548156152910983,1.3733621504795352,8677
6bba_aeee7805,5034,6648,6331,317,4.76835138387485,1.3206197854588797,1.257647993643226,5678
6bba_af149c94,8933,12046,11305,741,6.151419558359621,1.3484831523564311,1.2655322959811934,9706
6bba_afb141ff,6054,9055,8407,648,7.1562672556598566,1.4957053187974894,1.3886686488272217,6902
6bba_b1ae37b9,24298,27293,26324,969,3.550360898398857,1.1232611737591571,1.083381348259116,23239
6bba_b204cac7,5092,11716,11136,580,4.9504950495049505,2.300864100549882,2.1869599371563235,9621
6bba_b329af44,62465,72284,69760,2524,3.4917824138121856,1.15719202753542,1.1167853998239015,60941
6bba_b693381b,5558,9134,8457,677,7.41186774687979,1.6433969053616408,1.5215905001799208,6756
6bba_bb9f20c3,23071,31774,30177,1597,5.0261219865298665,1.3772268215508647,1.3080057214685104,25763
6bba_bbb708ca,6785,8838,8225,613,6.935958361620276,1.3025792188651437,1.2122328666175386,6800
6bba_c27cba08,6445,7766,7266,500,6.438320885912955,1.204965089216447,1.1273855702094646,6337
6bba_c328f2fd,31228,37361,36031,1330,3.5598618880650945,1.1963942615601384,1.1538042782118612,31534
6bba_c73a1d11,16315,21443,19554,1889,8.809401669542508,1.3143119828378793,1.198528961078762,15531
6bba_cdcfe533,29785,36503,34458,2045,5.602279264717969,1.2255497733758602,1.1568910525432266,28051
6bba_cf35214c,34890,42557,40440,2117,4.974504781822027,1.2197477787331614,1.1590713671539123,34274
6bba_cff5865f,46362,56314,53400,2914,5.174556948538552,1.2146585565765067,1.151805357836159,45269
6bba_d0fc38b5,6111,8570,8178,392,4.574095682613769,1.4023891343478971,1.3382425135002454,7264
6bba_d1acb6ff,14719,17044,15709,1335,7.832668387702417,1.1579591004823697,1.0672600040763638,12625
6bba_d2b9fc0c,20178,29757,28327,1430,4.8055919615552645,1.4747249479631281,1.403855684408762,23456
6bba_d3da753b,17246,26740,25150,1590,5.946148092744952,1.5505044648034327,1.458309173141598,20035
6bba_d5eae175,4519,8537,8154,383,4.486353519971887,1.8891347643283913,1.804381500331932,7065
6bba_d6ecebbb,5359,7826,7417,409,5.226169179657552,1.4603470796790445,1.3840268706848293,6457
6bba_d82a4fc6,27716,31984,30476,1508,4.714857428714357,1.1539904748159908,1.099581469187473,26791
6bba_debd7bfa,11807,14366,13082,1284,8.937769734094388,1.2167358346743458,1.1079867874989413,10252
6bba_df673a83,19239,21742,20719,1023,4.705178916383038,1.1301003170642965,1.0769270752118094,18107
6bba_e16ffc58,6367,11452,10829,623,5.440097799511003,1.798649285377729,1.7008010051829747,9187
6bba_e5e44988,5615,7808,7256,552,7.069672131147541,1.3905609973285842,1.292252894033838,5727
6bba_ebdf3b34,56847,65195,62142,3053,4.682874453562389,1.1468503175189544,1.09314475697926,53601
6bba_ebff6e76,41596,52294,49400,2894,5.534095689754083,1.257188191172228,1.1876141936724685,42781
6bba_ed9377fd,4443,6784,6497,287,4.230542452830189,1.5268962412784155,1.4623002475804636,5776
6bba_edf14583,59242,63099,60420,2679,4.245709123757904,1.0651058370750481,1.0198845413726747,53267
6bba_eebc57a5,9347,15759,14843,916,5.8125515578399645,1.6859955065796512,1.587996148496844,12383
6bba_ef7b4f7e,6107,8043,7497,546,6.7885117493472595,1.3170132634681513,1.227607663337154,6641
6bba_f17befbc,24963,27635,25444,2191,7.928351727881309,1.1070384168569483,1.0192685174057605,20780
6bba_f1fde7e0,9040,12402,10784,1618,13.046282857603611,1.3719026548672566,1.1929203539823008,8126
6bba_f20478e9,5973,9712,8897,815,8.39168039538715,1.6259835928344215,1.4895362464423239,7097
6bba_f4ae811c,8903,10547,9884,663,6.28614771973073,1.184656857239133,1.1101875772211613,8248
6bba_f8ffd5e7,29540,37331,35032,2299,6.158420615574188,1.2637440758293839,1.1859174001354096,28799
6bba_fbc898dc,4889,6755,6460,295,4.3671354552183566,1.3816731437921865,1.3213336060544079,5805
6bba_fc516dc6,7866,13824,12997,827,5.982349537037037,1.757437070938215,1.6523010424612254,10333
6bba_fc5f39dc,14020,16696,15778,918,5.498322951605175,1.190870185449358,1.125392296718973,13517
6bba_fc83837d,13087,16186,15239,947,5.8507352032620785,1.2367998777412699,1.1644379919003591,12768
6bba_fe670320,10836,14124,12983,1141,8.07844803171906,1.3034330011074198,1.1981358434846807,10526
