dataset,weight,gt_edges,pred_edges,tp,precision,recall,f1
44b6_d78e09d9,0.0,451,20600,289,0.014029126213592234,0.6407982261640798,0.027457127927414376
44b6_db3c847b,0.0,162,14776,112,0.007579859231185706,0.691358024691358,0.014995313964386128
44b6_ddf577ad,0.0,647,51941,416,0.00800908723359196,0.642967542503864,0.015821099870692933
44b6_deabac95,0.0,124,13128,89,0.006779402803168799,0.717741935483871,0.013431934802293993
44b6_e28840c6,0.0,309,76432,229,0.002996127276533389,0.7411003236245954,0.005968126555557003
44b6_e29f0176,0.0,50,10491,11,0.0010485177771423124,0.22,0.0020870885115264206
44b6_e31261b4,0.0,113,65031,90,0.0013839553443742215,0.7964601769911505,0.0027631094191329975
44b6_e35b117d,0.0,266,31406,147,0.004680634273705661,0.5526315789473685,0.00928264713311442
44b6_e57ff5c6,0.0,186,16527,89,0.005385127367338295,0.478494623655914,0.010650391910488841
44b6_eb2880fc,0.0,379,39700,264,0.0066498740554156175,0.6965699208443272,0.013173981386761147
44b6_f28707c6,0.0,61,17189,33,0.0019198324509860957,0.5409836065573771,0.003826086956521739
6bba_05b6850b,0.0,845,7849,591,0.07529621607848133,0.6994082840236686,0.1359558316080055
6bba_05db0fb1,0.0,1183,66883,859,0.012843323415516649,0.7261200338123415,0.02524020803337937
6bba_062c8d37,0.0,898,7298,569,0.07796656618251575,0.6336302895322939,0.1388482186432406
6bba_07477033,0.0,602,5736,453,0.07897489539748954,0.7524916943521595,0.14294730198800884
6bba_07e24132,0.0,345,33834,233,0.006886563811550512,0.6753623188405797,0.013634102811667985
6bba_085bf656,0.0,1168,8661,765,0.08832698302736404,0.6549657534246576,0.15566181707193
6bba_09961292,0.0,1871,32600,1346,0.04128834355828221,0.7194013896312133,0.0780946302689217
6bba_0c7fa718,0.0,659,13059,374,0.028639252622712306,0.56752655538695,0.054526898964863686
6bba_0e7c0d07,0.0,198,20483,107,0.0052238441634526196,0.5404040404040404,0.010347662105314057
6bba_12665c0e,0.0,998,7727,727,0.09408567361200984,0.7284569138276553,0.16664756446991405
6bba_13f19531,0.0,704,5879,524,0.0891308045585984,0.7443181818181818,0.15919793407261126
6bba_15403b9a,0.0,729,6528,431,0.06602328431372549,0.5912208504801097,0.11878186578475955
6bba_1d0d8384,0.0,1365,20752,793,0.03821318427139553,0.580952380952381,0.07170954469412669
6bba_1ebfb80d,0.0,719,11682,462,0.03954802259887006,0.6425591098748261,0.07451012015160069
6bba_1f58c2f6,0.0,299,27569,154,0.005585984257680729,0.5150501672240803,0.011052102770202384
6bba_207c6aaf,0.0,450,11595,191,0.016472617507546358,0.42444444444444446,0.03171440431714404
6bba_20852818,0.0,909,10687,610,0.057078693740058015,0.671067106710671,0.10520869265263884
6bba_2312ac41,0.0,1132,11281,876,0.07765269036432941,0.773851590106007,0.14114235076129863
6bba_23af9eeb,0.0,499,5183,370,0.07138722747443565,0.7414829659318637,0.13023583245336148
6bba_2540cd90,0.0,523,5733,285,0.04971219256933543,0.5449330783938815,0.09111253196930946
6bba_2646afc7,0.0,721,6693,440,0.06574032571343194,0.6102635228848821,0.11869436201780414
6bba_268e1230,0.0,609,5054,381,0.07538583300356154,0.625615763546798,0.13455765495320504
6bba_2819ca14,0.0,949,5912,631,0.10673207036535859,0.6649104320337197,0.1839382014283632
6bba_283bf9f1,0.0,1288,17182,862,0.050168781282737746,0.6692546583850931,0.09334055224688684
6bba_312f0dc3,0.0,500,8737,297,0.03399336156575484,0.594,0.06430659304969147
6bba_32db13fc,0.0,811,35181,412,0.01171086666098178,0.5080147965474723,0.022893976439208714
6bba_337b1b3a,0.0,1213,29719,856,0.02880312258151351,0.7056883759274526,0.055347213241950084
6bba_372c8cb8,0.0,1007,8459,744,0.0879536588249202,0.7388282025819265,0.15719416860342278
6bba_3a1849c2,0.0,1142,8081,679,0.08402425442395743,0.5945709281961471,0.147240594166757
6bba_3abfe10a,0.0,935,49295,619,0.012557054467998784,0.6620320855614973,0.024646625522596055
6bba_3c5691b6,0.0,746,7566,582,0.07692307692307693,0.7801608579088471,0.14003849855630413
6bba_3db54e20,0.0,474,18622,266,0.014284180002147998,0.5611814345991561,0.02785923753665689
6bba_3fda6b25,0.0,1179,10736,859,0.08001117734724292,0.7285835453774385,0.14418799832144355
6bba_43fea39d,0.0,880,6130,687,0.11207177814029363,0.7806818181818181,0.19600570613409413
6bba_474be664,0.0,286,29293,74,0.002526200798825658,0.25874125874125875,0.005003549815747659
6bba_48816121,0.0,918,21092,643,0.030485492129717427,0.7004357298474946,0.058427987278509765
6bba_4aa14c89,0.0,681,6836,567,0.08294324166179053,0.8325991189427313,0.15085805507516298
6bba_4f99ce20,0.0,1010,6315,719,0.11385589865399842,0.7118811881188118,0.19631399317406148
6bba_4ffd3da3,0.0,689,15987,354,0.022142991180334023,0.5137880986937591,0.04245622451427201
6bba_55b7eebe,0.0,688,6448,513,0.07955955334987592,0.7456395348837209,0.14377802690582958
6bba_55c70843,0.0,467,34978,274,0.007833495339927955,0.5867237687366167,0.015460572718295953
6bba_57b7cc1e,0.0,1592,66216,801,0.012096774193548387,0.503140703517588,0.023625530910806984
6bba_5a4d9360,0.0,722,5731,415,0.0724131914151108,0.574792243767313,0.12862234619556792
6bba_5b28472a,0.0,724,7434,563,0.07573311810599946,0.7776243093922652,0.13802402549644519
6bba_5c039895,0.0,1145,9063,732,0.08076795762992386,0.6393013100436681,0.14341692789968652
6bba_5c824876,0.0,1130,21745,835,0.03839963209933318,0.7389380530973452,0.0730054644808743
6bba_5dfe9ad1,0.0,1487,24147,1003,0.041537251004265544,0.6745124411566913,0.07825544199110557
6bba_5f89039d,0.0,885,6063,586,0.09665182253010061,0.6621468926553672,0.16868163500287853
6bba_61dd1e0d,0.0,543,10315,399,0.03868153174987882,0.7348066298342542,0.07349419782648739
6bba_61ecbe65,0.0,614,5734,391,0.06818974537844437,0.6368078175895765,0.12318840579710147
6bba_6321a359,0.0,798,5740,600,0.10452961672473868,0.7518796992481203,0.18354236769654328
6bba_6479435d,0.0,580,21772,288,0.013227999265111152,0.496551724137931,0.025769506084466712
6bba_67ebd073,0.0,438,16037,262,0.016337220178337594,0.5981735159817352,0.03180576631259484
6bba_6ca87370,0.0,1052,8250,656,0.07951515151515151,0.623574144486692,0.14104493657278003
6bba_6db0e9b4,0.0,440,27116,341,0.012575601121109309,0.775,0.024749600812890113
6bba_6feb10f0,0.0,1343,8142,141,0.017317612380250553,0.10498883097542815,0.029731154454401686
6bba_6feeb0b1,0.0,1343,10240,774,0.0755859375,0.5763216679076694,0.13364413364413366
6bba_705ec2c9,0.0,562,5976,389,0.06509370816599733,0.6921708185053381,0.11899663505659223
6bba_718b21f9,0.0,652,6502,351,0.05398338972623808,0.5383435582822086,0.09812692200167739
6bba_74686d6a,0.0,576,26227,419,0.015975902695695276,0.7274305555555556,0.03126515688542327
6bba_767a1e17,0.0,658,38995,352,0.009026798307475317,0.5349544072948328,0.01775401608957708
6bba_76db78c1,0.0,604,6039,420,0.06954793840039741,0.695364238410596,0.12644889357218123
6bba_784a78c9,0.0,1739,12718,1340,0.10536247837710332,0.7705577918343876,0.18537732586290379
6bba_786893ac,0.0,1395,60293,834,0.013832451528369795,0.5978494623655914,0.02703929451433018
6bba_789f8168,0.0,681,10139,474,0.04675017260084821,0.6960352422907489,0.08761552680221811
6bba_78a7bd97,0.0,832,33375,380,0.011385767790262171,0.4567307692307692,0.022217674744935245
6bba_7af54fde,0.0,1092,9961,899,0.09025198273265736,0.8232600732600732,0.16267076811725326
6bba_7b5d3b2c,0.0,555,6682,401,0.06001197246333433,0.7225225225225225,0.11081940030399337
6bba_7d3058ae,0.0,1173,9766,814,0.08335039934466516,0.6939471440750213,0.1488253039583143
6bba_7f87b3d8,0.0,934,9758,571,0.0585160893625743,0.6113490364025695,0.10680882903105125
6bba_80d12824,0.0,654,9809,455,0.04638597206646957,0.6957186544342507,0.08697314345789926
6bba_825bd1c6,0.0,930,11069,545,0.04923660673954287,0.5860215053763441,0.09084090340861738
6bba_87289e13,0.0,699,16071,401,0.02495177649181756,0.5736766809728183,0.047823494335122244
6bba_8b7818bf,0.0,725,6796,529,0.07783990582695703,0.7296551724137931,0.14067278287461774
6bba_907271db,0.0,921,7418,530,0.07144782960366676,0.5754614549402823,0.12711356277731142
6bba_91951b3a,0.0,1148,10805,791,0.07320684868116613,0.6890243902439024,0.13235171086756461
6bba_96833384,0.0,721,5054,511,0.10110803324099724,0.7087378640776699,0.17696969696969697
6bba_969618f6,0.0,658,12780,528,0.04131455399061033,0.8024316109422492,0.07858312248846554
6bba_971fa5e0,0.0,767,7007,492,0.07021549878692736,0.6414602346805737,0.126575765371752
6bba_9a41d029,0.0,1353,18437,952,0.05163529858436839,0.7036215816703622,0.09621020717534107
6bba_9e23430b,0.0,891,7849,674,0.08587081156835266,0.7564534231200898,0.154233409610984
6bba_a5e926bb,0.0,698,7949,471,0.059252736193231854,0.6747851002865329,0.10893951659535098
6bba_a90a0b9c,0.0,1112,37356,641,0.0171592247563979,0.5764388489208633,0.03332640116460435
6bba_ab78413d,0.0,1138,10766,277,0.025729147315623258,0.24340949033391915,0.04653897849462366
6bba_acd782a8,0.0,330,17949,181,0.010084127249428938,0.5484848484848485,0.019804146835166035
6bba_ae82a791,0.0,1471,8587,1053,0.12262722720391289,0.7158395649218219,0.20938556373036388
6bba_aeee7805,0.0,768,5608,660,0.11768901569186876,0.859375,0.20702634880803014
6bba_af149c94,0.0,1317,9605,887,0.09234773555439875,0.6735003796507213,0.16242446438381247
6bba_afb141ff,0.0,626,6840,436,0.06374269005847953,0.6964856230031949,0.11679614251272435
6bba_b1ae37b9,0.0,579,23156,457,0.01973570564864398,0.7892918825561313,0.03850853170423425
6bba_b204cac7,0.0,811,9567,445,0.046514058743597785,0.5487053020961775,0.08575833493929465
6bba_b329af44,0.0,1268,60702,857,0.014118150967019209,0.6758675078864353,0.027658544456995324
6bba_b693381b,0.0,935,6670,675,0.10119940029985007,0.7219251336898396,0.17751479289940827
6bba_bb9f20c3,0.0,1879,25637,1197,0.046690330381869954,0.6370409792442788,0.08700392498909726
6bba_bbb708ca,0.0,861,6744,660,0.09786476868327403,0.7665505226480837,0.1735700197238659
6bba_c27cba08,0.0,493,6246,360,0.05763688760806916,0.7302231237322515,0.10684077756343671
6bba_c328f2fd,0.0,500,31383,291,0.009272536086416212,0.582,0.01825424207257786
6bba_c73a1d11,0.0,710,15454,236,0.015271127216254692,0.3323943661971831,0.029200692897797576
6bba_cdcfe533,0.0,1348,27841,917,0.03293703530763981,0.68026706231454,0.0628318887252047
6bba_cf35214c,0.0,817,34099,660,0.01935540631690079,0.8078335373317014,0.03780501775690228
6bba_cff5865f,0.0,1501,45070,1050,0.02329709341025072,0.6995336442371752,0.045092439500977
6bba_d0fc38b5,0.0,813,7189,568,0.07900959799693977,0.6986469864698647,0.1419645088727818
6bba_d1acb6ff,0.0,643,12505,446,0.03566573370651739,0.6936236391912908,0.06784301794949801
6bba_d2b9fc0c,0.0,921,23353,588,0.02517877788720935,0.6384364820846905,0.04844689791546511
6bba_d3da753b,0.0,857,19917,443,0.022242305568107648,0.5169194865810969,0.04264946567825166
6bba_d5eae175,0.0,519,7016,279,0.039766248574686434,0.5375722543352601,0.07405441274054413
6bba_d6ecebbb,0.0,862,6405,601,0.09383294301327089,0.697215777262181,0.16540525663960368
6bba_d82a4fc6,0.0,530,26648,433,0.016248874211948365,0.8169811320754717,0.031864007653248955
6bba_debd7bfa,0.0,729,10136,473,0.046665351223362274,0.6488340192043895,0.08706856879889553
6bba_df673a83,0.0,654,17968,504,0.02804986642920748,0.7706422018348624,0.0541295242186661
6bba_e16ffc58,0.0,942,9124,565,0.06192459447610697,0.5997876857749469,0.11225909000596065
6bba_e5e44988,0.0,634,5659,335,0.05919773811627496,0.5283911671924291,0.10646750357540126
6bba_ebdf3b34,0.0,803,53426,586,0.010968442331449108,0.7297633872976339,0.021612052591786682
6bba_ebff6e76,0.0,1264,42568,680,0.01597444089456869,0.5379746835443038,0.03102755977368133
6bba_ed9377fd,0.0,508,5721,343,0.059954553399755285,0.6751968503937008,0.11013003692406485
6bba_edf14583,0.0,760,53068,541,0.010194467475691565,0.7118421052631579,0.020101062643977114
6bba_eebc57a5,0.0,989,12297,544,0.044238432137919816,0.5500505561172901,0.08189071202769833
6bba_ef7b4f7e,0.0,1201,6556,976,0.14887126296522268,0.8126561199000832,0.2516436766791285
6bba_f17befbc,0.0,1015,20653,635,0.03074613857550961,0.625615763546798,0.05861177773675467
6bba_f1fde7e0,0.0,446,8068,228,0.02825979176995538,0.5112107623318386,0.053558844256518676
6bba_f20478e9,0.0,963,7017,636,0.09063702436938863,0.660436137071651,0.1593984962406015
6bba_f4ae811c,0.0,965,8148,723,0.08873343151693668,0.7492227979274612,0.1586744211565895
6bba_f8ffd5e7,0.0,370,28634,239,0.00834672068170706,0.6459459459459459,0.01648048545028272
6bba_fbc898dc,0.0,639,5757,552,0.09588327253778009,0.863849765258216,0.17260787992495308
6bba_fc516dc6,0.0,762,10280,449,0.04367704280155642,0.589238845144357,0.08132584676689006
6bba_fc5f39dc,0.0,458,13433,289,0.021514181493337305,0.631004366812227,0.04160967532934994
6bba_fc83837d,0.0,923,12674,552,0.043553732049865866,0.5980498374864572,0.08119438111348092
6bba_fe670320,0.0,680,10425,417,0.04,0.6132352941176471,0.07510130571814497
44b6_0113de3b,0.2,50,27153,31,0.0011416786358781719,0.62,0.0022791603867220525
44b6_0b24845f,0.2,49,29013,24,0.0008272153862061834,0.4897959183673469,0.0016516413185603195
44b6_0c582fdc,0.2,70,26157,43,0.0016439194097182398,0.6142857142857143,0.0032790635604529684
44b6_0db75fae,0.2,151,15039,121,0.008045747722587938,0.8013245033112583,0.015931533903884135
44b6_12dfb391,0.2,773,60661,556,0.009165691300835792,0.7192755498059509,0.01810072598235505
44b6_144b256d,0.2,119,68075,88,0.001292691883951524,0.7394957983193278,0.0025808722174971406
44b6_1574802b,0.2,153,16907,108,0.006387886674158632,0.7058823529411765,0.012661195779601404
44b6_18ced818,0.2,99,73888,67,0.0009067778258986574,0.6767676767676768,0.0018111289821184802
44b6_1d530831,0.2,271,33009,196,0.005937774546335848,0.7232472324723247,0.011778846153846154
44b6_24264f12,0.2,221,24579,152,0.006184140933317059,0.6877828054298643,0.012258064516129033
44b6_267148e4,0.2,277,18427,139,0.0075432788842459434,0.5018050541516246,0.014863130881094951
44b6_2a2eff9f,0.2,210,49847,158,0.0031696992797961765,0.7523809523809524,0.0063128034041193045
44b6_2f31fc2f,0.2,85,20299,32,0.0015764323365683038,0.3764705882352941,0.003139717425431711
44b6_33b596bf,0.2,49,20459,33,0.0016129820616843443,0.673469387755102,0.0032182562902282035
44b6_341df25f,0.2,209,7742,193,0.02492895892534229,0.9234449760765551,0.04854735253427242
44b6_3a861e03,0.2,919,40885,668,0.016338510456157515,0.7268770402611534,0.031958664242656205
44b6_3bb3690f,0.2,396,31681,245,0.007733341750576055,0.6186868686868687,0.015275742744022196
44b6_40c45f5a,0.2,198,32812,140,0.004266731683530416,0.7070707070707071,0.008482278097546198
44b6_415c0a3a,0.2,322,50855,192,0.0037754399764035,0.5962732919254659,0.007503370654786329
44b6_53f95252,0.2,68,36995,48,0.0012974726314366805,0.7058823529411765,0.002590184280819146
44b6_551a5dba,0.2,224,60020,144,0.0023992002665778073,0.6428571428571429,0.004780559059823385
44b6_5740d24b,0.2,170,16059,149,0.009278286319197958,0.8764705882352941,0.018362191139318505
44b6_587a1e22,0.2,371,16982,254,0.014957013308208691,0.6846361185983828,0.029274477035671067
44b6_5f15d135,0.2,273,30369,168,0.005531956929763904,0.6153846153846154,0.010965341687879382
44b6_668e0cc7,0.2,631,34357,441,0.012835812207119364,0.6988906497622821,0.0252086429633017
44b6_66f9292d,0.2,198,50751,104,0.0020492207050107386,0.5252525252525253,0.004082513886435454
44b6_706092f0,0.2,117,75692,77,0.001017280558051049,0.6581196581196581,0.0020314210713767494
44b6_71a4179f,0.2,119,70002,87,0.0012428216336676096,0.7310924369747899,0.002481424965416922
44b6_74d0c52e,0.2,139,13153,97,0.007374743404546491,0.697841726618705,0.014595245260306953
44b6_7a302da0,0.2,507,67791,345,0.0050891711289109175,0.6804733727810651,0.01010278485460775
44b6_7e557709,0.2,560,57956,404,0.0069708054386086,0.7214285714285714,0.013808189213206644
44b6_808952d6,0.2,179,15945,174,0.010912511759172154,0.9720670391061452,0.021582733812949638
44b6_81c256f0,0.2,197,10648,188,0.017655897821187077,0.9543147208121827,0.03467035500230521
44b6_87bba6c4,0.2,149,23436,73,0.0031148660180918245,0.4899328859060403,0.006190375238499046
44b6_8cc6506c,0.2,396,31523,250,0.007930717254068458,0.6313131313131313,0.01566465114821893
44b6_8f5ab931,0.2,604,25354,426,0.016802082511635244,0.7052980132450332,0.03282225132907003
44b6_8f9ecab4,0.2,370,75402,276,0.003660380361263627,0.745945945945946,0.007285012933537454
44b6_90724892,0.2,103,22518,80,0.0035527133848476775,0.7766990291262136,0.007073073692586534
44b6_949adeb1,0.2,378,33869,232,0.006849921757359237,0.6137566137566137,0.013548631996963238
44b6_95029e92,0.2,198,7279,192,0.026377249622200852,0.9696969696969697,0.0513574963220543
44b6_97725144,0.2,221,38359,145,0.0037800776871138456,0.6561085972850679,0.007516848107827889
44b6_996155de,0.2,377,10349,339,0.03275678809546816,0.8992042440318302,0.0632108894275592
44b6_9be80b04,0.2,220,62015,146,0.0023542691284366684,0.6636363636363637,0.004691893628986904
44b6_9bfa6a0a,0.2,259,65298,169,0.0025881343992159023,0.6525096525096525,0.005155818600607104
44b6_a21120c2,0.2,286,20921,186,0.008890588403995986,0.6503496503496503,0.017541377846937333
44b6_a2bb48bb,0.2,410,61247,220,0.003592012670008327,0.5365853658536586,0.007136253791134827
44b6_aaf8b0ea,0.2,206,20941,192,0.009168616589465642,0.9320388349514563,0.018158604057313094
44b6_abf82518,0.2,94,25100,86,0.0034262948207171313,0.9148936170212766,0.006827022306898468
44b6_b2c44266,0.2,168,60598,124,0.002046272154196508,0.7380952380952381,0.004081229634993253
44b6_c15fded2,0.2,102,18858,60,0.003181673560292714,0.5882352941176471,0.006329113924050633
44b6_c50204e0,0.2,325,44202,175,0.003959096873444641,0.5384615384615384,0.007860399308284862
44b6_c771cb04,0.2,223,50331,134,0.002662375076990324,0.600896860986547,0.0053012620168532655
44b6_c8e2a523,0.2,164,35217,129,0.003663003663003663,0.7865853658536586,0.007292049405047908
44b6_c96cfa10,0.2,616,42910,443,0.010323933814961547,0.7191558441558441,0.020355649496852455
44b6_cf2536e8,0.2,75,52670,36,0.0006835010442377065,0.48,0.0013650582993648688
44b6_cf8fed6b,0.2,188,37917,147,0.0038768889943824668,0.7819148936170213,0.007715522897257578
44b6_d29c9ab2,0.2,1328,40640,938,0.023080708661417322,0.7063253012048193,0.04470072436141822
44b6_d2f34f90,0.2,281,23122,196,0.008476775365452816,0.697508896797153,0.016749989317608856
44b6_d5e7d891,0.2,893,42517,499,0.0117364818778371,0.5587905935050392,0.022990094448283805
44b6_d754aa59,0.2,70,6608,51,0.007717917675544794,0.7285714285714285,0.015274034141958671
44b6_d78e09d9,0.2,451,20651,295,0.014285022517069392,0.6541019955654102,0.027959435124632736
44b6_db3c847b,0.2,162,14839,114,0.0076824583866837385,0.7037037037037037,0.015198986734217719
44b6_ddf577ad,0.2,647,52055,416,0.007991547401786573,0.642967542503864,0.015786877158362113
44b6_deabac95,0.2,124,13176,90,0.006830601092896175,0.7258064516129032,0.013533834586466165
44b6_e28840c6,0.2,309,76559,229,0.002991157146775689,0.7411003236245954,0.005958266118540875
44b6_e29f0176,0.2,50,10542,11,0.0010434452665528363,0.22,0.0020770392749244714
44b6_e31261b4,0.2,113,65139,89,0.0013663089700486652,0.7876106194690266,0.002727885735303133
44b6_e35b117d,0.2,266,31500,148,0.004698412698412698,0.556390977443609,0.00931813889063779
44b6_e57ff5c6,0.2,186,16602,90,0.005421033610408385,0.4838709677419355,0.010721944245889922
44b6_eb2880fc,0.2,379,39797,273,0.006859813553785461,0.7203166226912929,0.013590203106332138
44b6_f28707c6,0.2,61,17261,33,0.0019118243438966457,0.5409836065573771,0.003810183581572566
6bba_05b6850b,0.2,845,7892,594,0.07526609224531171,0.7029585798816568,0.13597344626301935
6bba_05db0fb1,0.2,1183,66985,860,0.012838695230275435,0.7269653423499577,0.025231780307475648
6bba_062c8d37,0.2,898,7334,574,0.07826561221707118,0.6391982182628062,0.13945578231292519
6bba_07477033,0.2,602,5756,456,0.07922168172341904,0.7574750830564784,0.14344133375275242
6bba_07e24132,0.2,345,33916,235,0.006928883123009789,0.6811594202898551,0.013718221884942065
6bba_085bf656,0.2,1168,8717,765,0.08775955030400368,0.6549657534246576,0.15477996965098637
6bba_09961292,0.2,1871,32689,1354,0.041420661384563615,0.72367717797969,0.07835648148148149
6bba_0c7fa718,0.2,659,13103,376,0.02869571853773945,0.5705614567526556,0.05464322046214213
6bba_0e7c0d07,0.2,198,20505,108,0.005267008046817849,0.5454545454545454,0.010433270540501374
6bba_12665c0e,0.2,998,7770,731,0.09407979407979408,0.7324649298597194,0.16674270072992703
6bba_13f19531,0.2,704,5912,525,0.08880243572395129,0.7457386363636364,0.1587061668681983
6bba_15403b9a,0.2,729,6555,433,0.06605644546147979,0.5939643347050755,0.11889071938495333
6bba_1d0d8384,0.2,1365,20809,794,0.03815656687010428,0.5816849816849817,0.07161540542978263
6bba_1ebfb80d,0.2,719,11713,462,0.03944335353880304,0.6425591098748261,0.07432432432432431
6bba_1f58c2f6,0.2,299,27617,156,0.005648694644602962,0.5217391304347826,0.011176386301762433
6bba_207c6aaf,0.2,450,11639,192,0.016496262565512503,0.4266666666666667,0.03176441393001903
6bba_20852818,0.2,909,10746,622,0.057882002605620694,0.6842684268426843,0.10673530673530673
