dataset,series,bg_median,bg_noise,dyn_range,snr_proxy,contrast_ratio,p01,p995,estimated_number_of_nodes,n_frames,est_per_frame,total_pred_nodes,pe_ratio,recall,precision,f1_score
44b6_2f31fc2f,44b6,398.0,568.5693106004447,1883.0,2.692723551075827,4.846733546564484,46.0,1929.0,24368,81,300.8395061728395,28127,1.1542596848325672,0.7978,0.0025,0.005
44b6_33b596bf,44b6,365.0,292.80948851000744,1457.0,3.89673151248884,4.126027284218431,49.0,1506.0,23330,71,328.59154929577466,26348,1.1293613373339049,0.82,0.0016,0.0031
44b6_341df25f,44b6,65.0,70.4225352112676,909.0,12.240398261863447,14.261536267455957,18.0,927.0,7436,100,74.36,9006,1.2111350188273264,0.9907,0.0238,0.0464
44b6_3a861e03,44b6,314.0,236.47146034099333,1647.0,5.768137687109162,5.343948874396533,31.0,1678.0,40546,100,405.46,49887,1.2303803087850835,0.9818,0.0184,0.0361
44b6_3bb3690f,44b6,666.0,1118.6063750926612,3501.0,2.5737382142347727,5.322822742900559,44.0,3545.0,31937,100,319.37,39219,1.2280113974387075,0.865,0.0088,0.0175
44b6_40c45f5a,44b6,684.0,951.0748702742773,3312.0,2.812607141120756,4.910818641654698,47.0,3359.0,32681,100,326.81,40358,1.2349071325846823,0.94,0.0047,0.0093
44b6_415c0a3a,44b6,537.0,413.63973313565606,1591.0,2.6206379294759756,3.018621917716538,30.0,1621.0,57292,100,572.92,60127,1.049483348460518,0.8157,0.0045,0.0089
44b6_53f95252,44b6,996.0,796.8865826538176,3043.0,2.6892157802069576,3.151606394060177,96.0,3139.0,38715,51,759.1176470588235,45945,1.1867493219682295,0.9571,0.0015,0.0029
44b6_551a5dba,44b6,1175.0,1040.0296515937732,3523.0,2.2922423158073064,3.028936144434586,36.0,3559.0,57627,100,576.27,73498,1.2754090964304927,0.9079,0.0028,0.0056
44b6_5740d24b,44b6,317.0,676.0563380281691,2179.0,2.754208292594002,6.873816817860669,0.0,2179.0,19730,100,197.3,20528,1.0404460212873796,0.9653,0.0081,0.0161
44b6_587a1e22,44b6,121.0,196.44180874722016,1191.0,5.5334450013351955,9.983470249299979,17.0,1208.0,18137,100,181.37,20871,1.1507415779897447,0.9134,0.0167,0.0327
44b6_5f15d135,44b6,818.0,1008.8954781319496,2522.0,1.755384993622231,3.165036636124247,67.0,2589.0,29519,100,295.19,38432,1.301941122666757,0.8777,0.0063,0.0126
44b6_668e0cc7,44b6,127.0,394.3661971830986,1437.0,3.3369999153832164,11.36220382974773,6.0,1443.0,39701,100,397.01,41494,1.045162590362963,0.9533,0.0148,0.0291
44b6_66f9292d,44b6,736.0,509.2661230541142,1828.0,2.2483332891848384,2.5557064870148576,53.0,1881.0,52710,100,527.1,60061,1.1394612028078164,0.78,0.0026,0.0052
44b6_706092f0,44b6,761.0,314.3068939955523,2014.0,4.6005989102309455,2.9001313679351988,193.0,2207.0,69898,100,698.98,90119,1.28929296975593,0.9746,0.0013,0.0025
44b6_71a4179f,44b6,740.0,393.62490733876945,2128.0,3.719276741670352,2.9783783381300224,76.0,2204.0,67688,100,676.88,83663,1.2360093369578065,1.0,0.0014,0.0029
44b6_74d0c52e,44b6,429.0,864.3439584877688,3375.0,3.408365312196528,7.867132683749821,0.0,3375.0,15090,100,150.9,16787,1.1124585818422796,0.8786,0.0073,0.0145
44b6_7a302da0,44b6,1079.0,627.1312083024462,3246.0,3.7376547867364507,3.1723818056313084,177.0,3423.0,66858,100,668.58,82392,1.232343175087499,0.9167,0.0057,0.0114
44b6_7e557709,44b6,425.0,241.66048925129726,1659.0,5.288410824108398,4.007058729245677,44.0,1703.0,56060,100,560.6,67550,1.2049589725294327,0.9965,0.0084,0.0167
44b6_808952d6,44b6,187.0,218.68050407709416,1098.0,4.367101495212884,6.106951545082805,44.0,1142.0,15742,100,157.42,18296,1.1622411383559903,1.0,0.0099,0.0196
44b6_81c256f0,44b6,87.0,106.74573758339511,955.0,8.365672827410233,11.26436652133718,25.0,980.0,10052,100,100.52,12215,1.2151810584958218,1.0,0.0163,0.0321
44b6_87bba6c4,44b6,223.0,372.8687916975538,1544.0,3.6313040775620435,7.071748561804998,33.0,1577.0,28102,81,346.9382716049383,31999,1.138673404028183,0.915,0.0044,0.0087
44b6_8cc6506c,44b6,761.0,1411.4158636026687,4147.0,2.4330178399047213,5.51248350180705,48.0,4195.0,32172,100,321.72,39519,1.2283662812383438,0.845,0.0086,0.0169
44b6_8f5ab931,44b6,349.0,575.9822090437361,2433.0,3.7119201414751575,7.126074294381826,54.0,2487.0,27571,100,275.71,30501,1.106271081933916,0.8766,0.0177,0.0347
44b6_8f9ecab4,44b6,776.0,348.40622683469235,1965.0,3.6997041491297686,2.6610824399345048,100.0,2065.0,74833,100,748.33,88252,1.1793192842729812,0.9572,0.0041,0.0081
44b6_90724892,44b6,376.0,398.07264640474426,1778.0,3.57974851342494,4.789893489630493,23.0,1801.0,25532,86,296.8837209302326,28375,1.111350462165126,0.981,0.0036,0.0072
44b6_949adeb1,44b6,424.0,420.3113417346182,1923.0,3.711534303229987,4.6792451726593125,61.0,1984.0,37179,100,371.79,42883,1.153419941364749,0.8686,0.0079,0.0156
44b6_95029e92,44b6,51.0,34.099332839140104,449.0,12.228974674589818,9.176468788927687,19.0,468.0,5161,100,51.61,8717,1.6890137570238326,1.0,0.0229,0.0449
44b6_97725144,44b6,858.0,703.484062268347,2107.0,1.8777966013366953,2.5396270100276572,72.0,2179.0,35774,100,357.74,48562,1.3574663163191145,0.8756,0.0041,0.0081
44b6_996155de,44b6,106.0,118.60637509266124,1265.0,9.923580413318126,12.103772443040334,18.0,1283.0,7573,100,75.73,11774,1.554733923148026,0.9658,0.0312,0.0604
44b6_9be80b04,44b6,1118.0,960.711638250556,3391.0,2.4003039873610335,3.0626117794041883,33.0,3424.0,57877,100,578.77,75491,1.3043350553760562,0.9234,0.0027,0.0054
44b6_9bfa6a0a,44b6,579.0,445.51519644180877,1970.0,3.2209899443408414,3.4784109934644043,44.0,2014.0,64308,100,643.08,76475,1.1891988555078683,0.9886,0.0034,0.0068
44b6_a21120c2,44b6,154.0,178.650852483321,1457.0,7.444688379963293,9.636363010625779,27.0,1484.0,23040,85,271.05882352941177,25855,1.1221788194444444,0.9865,0.0113,0.0223
44b6_a2bb48bb,44b6,2087.0,1052.6315789473686,4119.0,2.1241999798201,2.0713943360259015,204.0,4323.0,60613,100,606.13,77840,1.284212957616353,0.8798,0.0047,0.0094
44b6_aaf8b0ea,44b6,241.0,404.0029651593773,1757.0,3.86878339047727,7.485476867822537,47.0,1804.0,22099,100,220.99,24464,1.1070184171229467,0.9952,0.0085,0.0169
44b6_abf82518,44b6,155.0,433.6545589325426,1435.0,2.9747178801214633,9.322580043704512,10.0,1445.0,27604,58,475.9310344827586,30094,1.0902043182147514,1.0,0.0032,0.0064
44b6_b2c44266,44b6,757.0,509.2661230541142,2406.0,3.381336178145233,3.2747687810466477,73.0,2479.0,59729,100,597.29,72766,1.218269182474175,0.9588,0.0022,0.0045
44b6_c15fded2,44b6,226.0,242.40177909562638,1309.0,4.52554415581165,5.853982041859202,14.0,1323.0,20585,75,274.46666666666664,25135,1.2210347340296333,0.9615,0.004,0.0079
44b6_c50204e0,44b6,1122.0,1035.5819125277983,2801.0,1.703390105240707,2.5721924904439173,85.0,2886.0,47078,100,470.78,56331,1.196546157440843,0.8168,0.0048,0.0096
44b6_c771cb04,44b6,1469.0,1035.5819125277983,3445.0,2.0220515194864177,2.425459479745,118.0,3563.0,53345,100,533.45,61866,1.1597338082294497,0.8943,0.0033,0.0065
44b6_c8e2a523,44b6,247.0,149.7405485544848,1579.0,9.262687500229434,6.615384347555289,55.0,1634.0,33144,81,409.18518518518516,42632,1.2862659908279024,1.0,0.0039,0.0079
44b6_c96cfa10,44b6,420.0,415.1223128243143,1954.0,3.738657052795565,4.695237983446715,18.0,1972.0,46236,100,462.36,51794,1.1202093606713384,0.938,0.0114,0.0225
44b6_cf2536e8,44b6,700.0,445.51519644180877,1476.0,1.8630116054375598,2.1857142544897963,54.0,1530.0,57565,76,757.4342105263158,62869,1.0921393207678276,0.6316,0.0008,0.0015
44b6_cf8fed6b,44b6,210.0,386.9532987398073,1452.0,3.2200267367085047,6.933333003174619,4.0,1456.0,43729,100,437.29,47450,1.0850922728624026,1.0,0.004,0.008
44b6_d29c9ab2,44b6,323.0,203.8547071905115,1664.0,6.911785115490977,5.362228936153904,68.0,1732.0,38055,100,380.55,49121,1.2907896465641835,0.9749,0.0269,0.0523
44b6_d2f34f90,44b6,324.0,1218.6805040770942,3609.0,2.7234373255844466,11.243826813462137,34.0,3643.0,24074,100,240.74,29291,1.2167068206363711,0.9329,0.009,0.0179
44b6_d5e7d891,44b6,600.0,888.065233506301,2987.0,2.757680269448158,5.0816665819722235,62.0,3049.0,44848,100,448.48,52365,1.1676105957902247,0.8455,0.0146,0.0288
44b6_d754aa59,44b6,50.0,34.099332839140104,453.0,12.434257223084131,9.479998104000378,21.0,474.0,5171,76,68.03947368421052,8898,1.7207503384258365,1.0,0.0081,0.0161
44b6_d78e09d9,44b6,262.0,374.351371386212,2040.0,4.8617424443863255,7.946564582192193,42.0,2082.0,22259,100,222.59,25270,1.1352711262859967,0.9136,0.0167,0.0329
44b6_db3c847b,44b6,198.0,419.5700518902891,1836.0,3.977881530633177,9.429292453066038,31.0,1867.0,15023,100,150.23,18054,1.2017573054649537,0.8545,0.0078,0.0155
44b6_ddf577ad,44b6,485.0,376.5752409191994,1649.0,3.2184802294935073,3.498969000021258,48.0,1697.0,53492,100,534.92,61880,1.1568084947281836,0.9241,0.0098,0.0195
44b6_deabac95,44b6,92.0,190.51148999258712,1478.0,7.359135800487385,16.239128669659927,16.0,1494.0,13989,98,142.74489795918367,15813,1.130388162127386,0.9365,0.0075,0.0148
44b6_e28840c6,44b6,741.0,277.24240177909564,1744.0,4.090283274925344,2.530364338321669,131.0,1875.0,74686,100,746.86,89002,1.1916825107784592,0.9164,0.0032,0.0064
44b6_e29f0176,44b6,77.0,201.6308376575241,957.0,4.384249782560553,12.480517859673006,4.0,961.0,12969,81,160.11111111111111,14317,1.1039401650088674,0.6078,0.0022,0.0043
44b6_e31261b4,44b6,650.0,246.10822831727205,1505.0,3.908849238763927,2.4799999618461546,107.0,1612.0,72856,97,751.0927835051547,82511,1.132521686614692,0.9828,0.0014,0.0028
44b6_e35b117d,44b6,924.0,956.2638991845812,2522.0,1.7181449432730425,2.7781384980720945,45.0,2567.0,28641,100,286.41,40355,1.4089940993680388,0.7333,0.0049,0.0097
44b6_e57ff5c6,44b6,313.0,444.7739065974796,1553.0,2.8778666019626327,5.089456706407135,40.0,1593.0,20314,100,203.14,23619,1.1626956778576352,0.8446,0.0069,0.0137
44b6_eb2880fc,44b6,501.0,421.0526315789474,1339.0,2.0092499522803138,2.6886227008258943,8.0,1347.0,48084,100,480.84,48786,1.0145994509608185,0.9538,0.0076,0.0151
44b6_f28707c6,44b6,302.0,279.46627131208305,1247.0,3.517418972281215,4.25496674652428,38.0,1285.0,18656,73,255.56164383561645,22262,1.1932890222984562,0.8254,0.0023,0.0047
6bba_05b6850b,6bba,45.0,41.51223128243143,832.0,19.24733464916885,18.755551387655245,12.0,844.0,6362,100,63.62,9548,1.5007859163784973,0.9222,0.0832,0.1526
6bba_05db0fb1,6bba,1011.0,432.9132690882135,2284.0,3.215424583260141,2.376854575896592,119.0,2403.0,69800,100,698.0,79175,1.1343123209169055,0.9203,0.0143,0.0281
6bba_062c8d37,6bba,41.0,24.46256486286138,499.0,19.580931389491987,12.682923735872258,21.0,520.0,6030,100,60.3,9775,1.62106135986733,0.9624,0.0916,0.1672
6bba_07477033,6bba,31.0,17.790956263899186,502.0,26.979984835000188,16.48386565036592,9.0,511.0,4836,100,48.36,7002,1.4478908188585609,0.9772,0.0855,0.1573
6bba_07e24132,6bba,333.0,315.0481838398814,1197.0,2.8789246145018987,3.723723611900192,43.0,1240.0,21485,100,214.85,40624,1.8908075401442868,0.8914,0.0079,0.0156
6bba_085bf656,6bba,107.0,82.28317272053373,609.0,6.477629843394355,5.981307852214219,31.0,640.0,8463,100,84.63,10749,1.2701169797943992,0.9908,0.1104,0.1987
6bba_09961292,6bba,99.0,144.55151964418087,967.0,6.2884149495860635,10.181817153351803,41.0,1008.0,31117,100,311.17,38457,1.2358839219719124,0.9626,0.0488,0.0929
6bba_0c7fa718,6bba,191.0,224.6108228317272,1058.0,3.9267919043814428,5.617800752994725,15.0,1073.0,13650,100,136.5,19119,1.4006593406593406,0.9474,0.0349,0.0673
6bba_0e7c0d07,6bba,55.0,43.73610081541883,549.0,11.66084479144413,10.272725404959017,16.0,565.0,22467,86,261.24418604651163,27747,1.2350113499799706,0.89,0.0067,0.0133
6bba_12665c0e,6bba,64.0,63.00963676797628,502.0,7.284598843891312,8.17187372314473,21.0,523.0,8314,100,83.14,10184,1.2249218186191966,0.9817,0.0999,0.1813
6bba_13f19531,6bba,44.0,40.02965159377317,450.0,10.542182551591802,10.590906683884844,16.0,466.0,5773,100,57.73,7294,1.2634678676597957,0.9905,0.1001,0.1818
6bba_15403b9a,6bba,50.0,53.372868791697556,630.0,11.016831269207584,12.75999744800051,8.0,638.0,6889,100,68.89,8679,1.259834518798084,0.942,0.0823,0.1513
6bba_1d0d8384,6bba,216.0,195.70051890289105,1004.0,4.241174025706675,4.842592368398502,42.0,1046.0,17909,100,179.09,25612,1.4301189346138814,0.8804,0.0494,0.0936
6bba_1ebfb80d,6bba,94.0,88.95478131949592,734.0,7.633090808580041,8.223403380489001,39.0,773.0,11558,100,115.58,14531,1.2572244332929572,0.906,0.0465,0.0884
6bba_1f58c2f6,6bba,458.0,355.07783543365457,1153.0,2.0474383556994917,2.5873361880494286,32.0,1185.0,28903,100,289.03,36145,1.2505622253745285,0.8801,0.0077,0.0153
6bba_207c6aaf,6bba,124.0,155.67086730911788,615.0,3.3660759742458812,5.225806030176933,33.0,648.0,11999,100,119.99,16381,1.3651970997583132,0.6779,0.0197,0.0382
6bba_20852818,6bba,83.0,65.97479614529281,803.0,11.398290407158003,10.060239751778342,32.0,835.0,9758,100,97.58,13432,1.3765115802418528,0.9223,0.0654,0.1221
6bba_2312ac41,6bba,114.0,123.79540400296516,662.0,4.644760103845426,6.043859118959726,27.0,689.0,11950,100,119.5,13532,1.1323849372384938,0.9628,0.0822,0.1516
6bba_23af9eeb,6bba,57.0,28.169014084507044,656.0,22.2229921108378,11.982454038165958,27.0,683.0,4450,100,44.5,6240,1.402247191011236,0.9688,0.0796,0.1472
6bba_2540cd90,6bba,48.0,24.46256486286138,761.0,29.43271524099004,15.99999666666736,7.0,768.0,3783,100,37.83,6722,1.7768966428760242,0.9981,0.0785,0.1456
6bba_2646afc7,6bba,48.0,37.805782060785766,978.0,25.07552277904309,20.749995677084232,18.0,996.0,5495,100,54.95,8152,1.483530482256597,0.916,0.0829,0.1521
6bba_268e1230,6bba,24.0,12.601927353595256,398.0,30.630210988144338,17.083326215280742,12.0,410.0,5107,100,51.07,6941,1.3591149402780498,0.8721,0.0805,0.1475
6bba_2819ca14,6bba,39.0,37.805782060785766,457.0,11.188761746345177,11.84615080867928,5.0,462.0,5534,100,55.34,8019,1.4490422840621613,0.9757,0.12,0.2137
6bba_283bf9f1,6bba,206.0,201.6308376575241,793.0,3.079885876663013,4.014562911914422,34.0,827.0,20861,100,208.61,22603,1.0835051052202676,0.921,0.0547,0.1032
6bba_312f0dc3,6bba,57.0,41.51223128243143,607.0,13.803157389203692,11.052629639889537,23.0,630.0,9963,81,123.0,11625,1.1668172237277927,0.9846,0.044,0.0843
6bba_32db13fc,6bba,691.0,424.75908080059304,1767.0,2.7521482772661776,2.691751046429073,93.0,1860.0,38705,100,387.05,46985,1.213925849373466,0.8306,0.0152,0.0299
6bba_337b1b3a,6bba,271.0,127.50185322461083,921.0,5.466586780556653,3.5719555877507165,47.0,968.0,30480,100,304.8,37933,1.2445209973753282,0.9827,0.033,0.0638
6bba_372c8cb8,6bba,68.0,44.47739065974796,530.0,10.90441421499087,8.13235174524239,23.0,553.0,7021,100,70.21,10098,1.4382566585956416,0.973,0.0998,0.1811
6bba_3a1849c2,6bba,64.0,33.35804299481097,502.0,14.029595794238947,8.312498701172078,30.0,532.0,7003,100,70.03,9665,1.380122804512352,0.7783,0.0945,0.1685
6bba_3abfe10a,6bba,608.0,823.5730170496664,2265.0,2.100603034800059,3.8453946735954827,73.0,2338.0,52065,100,520.65,61515,1.181503889369058,0.9017,0.0146,0.0288
6bba_3c5691b6,6bba,57.0,32.61675315048184,543.0,15.452177080684796,9.842103536473063,18.0,561.0,6258,100,62.58,8855,1.4149888143176734,0.9948,0.0859,0.1582
6bba_3db54e20,6bba,67.0,34.840622683469235,556.0,14.695485143785222,8.641789754956752,23.0,579.0,23236,100,232.36,24935,1.0731192976415906,0.8944,0.018,0.0353
6bba_3fda6b25,6bba,81.0,68.93995552260934,602.0,7.992461206254821,7.802468172534793,30.0,632.0,9842,100,98.42,13773,1.3994106888843731,0.9917,0.0869,0.1598
6bba_43fea39d,6bba,25.0,16.30837657524092,425.0,24.895166552918326,17.23999310400276,6.0,431.0,5748,100,57.48,7823,1.3609951287404314,0.9835,0.1144,0.205
6bba_474be664,6bba,890.0,822.8317272053373,3348.0,3.135513475407138,3.8988763606867827,122.0,3470.0,28293,100,282.93,35436,1.2524652740960662,0.4452,0.0037,0.0073
6bba_48816121,6bba,280.0,222.3869532987398,1114.0,3.948073155801644,4.13571413801021,44.0,1158.0,23965,100,239.65,26432,1.102941790110578,0.9412,0.0333,0.0643
6bba_4aa14c89,6bba,60.0,29.65159377316531,495.0,15.176244881811412,8.49999858333357,15.0,510.0,6787,100,67.87,8365,1.2325033151613378,0.9463,0.08,0.1475
6bba_4f99ce20,6bba,55.0,35.58191252779837,364.0,9.386789028587831,7.072725986777093,25.0,389.0,5965,100,59.65,8837,1.4814752724224645,0.9782,0.117,0.209
6bba_4ffd3da3,6bba,103.0,176.42698295033358,596.0,2.8170292520935942,5.825242152889111,4.0,600.0,17637,100,176.37,20085,1.1387991154958326,0.721,0.0253,0.049
6bba_55b7eebe,6bba,79.0,67.45737583395108,899.0,12.467130019982593,11.645568146130614,21.0,920.0,5257,100,52.57,7831,1.4896328704584363,0.9872,0.0889,0.1631
6bba_55c70843,6bba,299.0,881.3936249073388,2680.0,2.77174681464183,9.170568255164943,62.0,2742.0,35415,100,354.15,42197,1.1915007765071297,0.8102,0.0094,0.0186
6bba_57b7cc1e,6bba,1090.0,174.20311341734617,951.0,2.9161360028141505,1.4660550324215136,647.0,1598.0,65511,100,655.11,83865,1.2801666895635848,0.7848,0.0155,0.0304
6bba_5a4d9360,6bba,34.0,21.49740548554485,435.0,19.351163412165707,13.235290224914639,15.0,450.0,5976,100,59.76,7887,1.3197791164658634,0.8956,0.0848,0.155
6bba_5b28472a,6bba,59.0,36.323202372127504,672.0,17.53699517195786,11.796608170066412,24.0,696.0,5802,100,58.02,9065,1.5623922785246467,0.9783,0.0795,0.1471
6bba_5c039895,6bba,120.0,107.48702742772424,705.0,5.768137394398804,6.166666152777821,35.0,740.0,8570,100,85.7,11609,1.3546091015169195,0.9761,0.0987,0.1793
6bba_5c824876,6bba,197.0,246.8495181616012,1239.0,4.395390212330889,6.507613882862239,43.0,1282.0,24647,100,246.47,28306,1.1484562015661135,0.9214,0.0381,0.0731
6bba_5dfe9ad1,6bba,219.0,253.5211267605634,1104.0,3.5302776385279375,5.086757758595536,10.0,1114.0,26913,100,269.13,30790,1.1440567755359863,0.8528,0.0427,0.0813
6bba_5f89039d,6bba,49.0,27.42772424017791,582.0,20.27145206859761,12.346936255727295,23.0,605.0,4611,100,46.11,6873,1.490566037735849,0.9845,0.1295,0.2289
6bba_61dd1e0d,6bba,63.0,49.66641957005189,862.0,16.69135484826303,14.15872791131303,30.0,892.0,10128,100,101.28,12342,1.2186018957345972,0.9803,0.0443,0.0848
6bba_61ecbe65,6bba,30.0,22.23869532987398,391.0,16.862492417499244,13.4999955000015,14.0,405.0,5774,100,57.74,7815,1.353481122272255,0.9688,0.0793,0.1467
6bba_6321a359,6bba,46.0,22.979985174203115,421.0,17.275895708005383,9.630432689036372,22.0,443.0,4821,100,48.21,7181,1.4895249948143539,0.9843,0.1134,0.2033
6bba_6479435d,6bba,403.0,356.5604151223128,1134.0,2.106234868164016,2.863523502145819,20.0,1154.0,23453,100,234.53,29783,1.2699015051379354,0.7504,0.0155,0.0305
6bba_67ebd073,6bba,239.0,398.8139362490734,1350.0,2.808327067129494,5.686192230703254,9.0,1359.0,16061,100,160.61,21403,1.3326069360562853,0.9286,0.02,0.0392
6bba_6ca87370,6bba,57.0,37.064492216456635,644.0,16.67363550145314,11.842103185595931,31.0,675.0,7195,100,71.95,10537,1.4644892286309938,0.9251,0.0949,0.1721
6bba_6db0e9b4,6bba,514.0,329.1326908821349,1460.0,3.0869008071119555,2.9766536385865052,70.0,1530.0,28435,100,284.35,33196,1.1674344997362405,0.9666,0.0131,0.0258
6bba_6feb10f0,6bba,302.0,495.1816160118606,2004.0,3.5441541200439537,6.81125805260735,53.0,2057.0,8862,100,88.62,10535,1.188783570300158,0.1637,0.0213,0.0376
6bba_6feeb0b1,6bba,68.0,65.23350630096368,777.0,11.343861897401169,11.882351193771882,31.0,808.0,7518,100,75.18,13066,1.7379622239957435,0.951,0.1011,0.1828
6bba_705ec2c9,6bba,30.0,17.790956263899186,342.0,17.98665655666679,11.666662777779074,8.0,350.0,5600,100,56.0,8066,1.440357142857143,0.8943,0.0661,0.1231
6bba_718b21f9,6bba,59.0,27.42772424017791,788.0,27.235206286407223,13.661014633726333,18.0,806.0,4306,100,43.06,7751,1.800046446818393,0.9743,0.0831,0.1531
6bba_74686d6a,6bba,483.0,206.81986656782803,1285.0,4.951168219386167,3.1200827511370033,222.0,1507.0,29803,100,298.03,31732,1.064725027681777,0.8669,0.016,0.0314
6bba_767a1e17,6bba,595.0,628.6137879911046,1882.0,2.1412193055600843,3.2621848191229446,59.0,1941.0,47714,100,477.14,53956,1.1308211426415726,0.8774,0.0117,0.023
6bba_76db78c1,6bba,64.0,45.95997034840623,698.0,14.120980798515628,11.140623259277616,15.0,713.0,4855,100,48.55,7162,1.4751802265705458,1.0,0.0861,0.1586
6bba_784a78c9,6bba,174.0,143.0689399555226,779.0,4.466377926158351,4.672413524573935,34.0,813.0,13096,100,130.96,15356,1.1725717776420281,0.9748,0.1135,0.2033
6bba_786893ac,6bba,1294.0,561.8977020014826,2714.0,3.1785144553058577,2.3802163649133203,366.0,3080.0,58979,100,589.79,73668,1.2490547483002425,0.8922,0.0177,0.0348
6bba_789f8168,6bba,106.0,104.5218680504077,733.0,6.2666306061216535,7.179244605731641,28.0,761.0,10676,100,106.76,13839,1.2962720119895093,0.9846,0.0507,0.0965
6bba_78a7bd97,6bba,733.0,611.5641215715344,1728.0,1.7577878500453843,2.4665756825842338,80.0,1808.0,40613,100,406.13,41870,1.0309506808164874,0.649,0.0137,0.0269
6bba_7af54fde,6bba,113.0,100.07412898443292,849.0,7.5643918367137335,7.699114362910233,21.0,870.0,9624,100,96.24,12052,1.2522859517871987,0.9355,0.0878,0.1605
6bba_7b5d3b2c,6bba,106.0,113.4173461823573,1514.0,12.749371424908361,14.64150805268792,38.0,1552.0,5780,100,57.8,7929,1.3717993079584776,0.9646,0.0687,0.1283
6bba_7d3058ae,6bba,54.0,43.73610081541883,652.0,14.175928962147767,12.48147917009645,22.0,674.0,7611,100,76.11,12197,1.6025489423203259,0.9908,0.0975,0.1775
6bba_7f87b3d8,6bba,87.0,74.12898443291327,511.0,6.057009182909461,6.160918832078295,25.0,536.0,10581,100,105.81,15066,1.4238729798695775,0.971,0.0644,0.1209
6bba_80d12824,6bba,70.0,66.71608598962194,992.0,14.224453423468036,14.557140777551316,27.0,1019.0,9021,100,90.21,12975,1.43831060857998,0.9706,0.0509,0.0967
6bba_825bd1c6,6bba,57.0,38.5470719051149,812.0,20.338763954424504,14.754383376423968,29.0,841.0,7586,100,75.86,14092,1.8576324808858424,0.9628,0.0661,0.1238
6bba_87289e13,6bba,197.0,155.67086730911788,1127.0,6.243942456043886,5.93400985106549,42.0,1169.0,14966,100,149.66,21418,1.4311105171722571,0.9986,0.0338,0.0653
6bba_8b7818bf,6bba,51.0,31.134173461823572,980.0,30.70579966139911,19.745094167628594,27.0,1007.0,5828,100,58.28,8326,1.4286204529855868,0.9919,0.0883,0.1621
6bba_907271db,6bba,97.0,75.61156412157153,700.0,8.371734186914763,7.525772420023461,30.0,730.0,7306,100,73.06,9842,1.3471119627703259,0.9725,0.0934,0.1704
6bba_91951b3a,6bba,92.0,73.38769458858414,542.0,6.458847604748947,6.152173244328995,24.0,566.0,11907,100,119.07,14207,1.1931636852271772,0.9613,0.0804,0.1484
6bba_96833384,6bba,41.0,37.805782060785766,457.0,11.321016613323252,11.439021600238632,12.0,469.0,4869,100,48.69,6287,1.2912302320805094,0.9578,0.1155,0.2061
6bba_969618f6,6bba,104.0,183.83988139362492,745.0,3.519366744047349,7.221153151812197,6.0,751.0,13888,100,138.88,16130,1.161434331797235,0.9411,0.0396,0.076
