dataset,series,gt_nodes,estimated_nodes,raw_nodes,raw_pe_ratio,raw_recall,target_nodes_90,int_nodes,int_pe_ratio,int_recall,int_recall_drop,snr_nodes,snr_pe_ratio,snr_recall,snr_recall_drop,comp_nodes,comp_pe_ratio,comp_recall,comp_recall_drop
44b6_668e0cc7,44b6,643,39701,41494,1.0452,0.9533,35731,35728,0.8999,0.9502,0.0031,35728,0.8999,0.9129,0.0404,35728,0.8999,0.9487,0.0047
44b6_66f9292d,44b6,200,52710,60061,1.1395,0.78,47439,47439,0.9,0.62,0.16,47439,0.9,0.715,0.065,47439,0.9,0.61,0.17
44b6_706092f0,44b6,118,69898,90119,1.2893,0.9746,62908,62908,0.9,0.2797,0.6949,62908,0.9,0.9068,0.0678,62908,0.9,0.8559,0.1186
44b6_71a4179f,44b6,121,67688,83663,1.236,1.0,60919,60916,0.9,0.9917,0.0083,60916,0.9,1.0,0.0,60916,0.9,1.0,0.0
44b6_74d0c52e,44b6,140,15090,16787,1.1125,0.8786,13581,13581,0.9,0.7286,0.15,13581,0.9,0.8643,0.0143,13581,0.9,0.6857,0.1929
44b6_7a302da0,44b6,516,66858,82392,1.2323,0.9167,60172,60166,0.8999,0.9089,0.0078,60166,0.8999,0.8275,0.0891,60166,0.8999,0.8605,0.0562
44b6_7e557709,44b6,570,56060,67550,1.205,0.9965,50454,50454,0.9,0.9825,0.014,50454,0.9,0.893,0.1035,50454,0.9,0.9263,0.0702
44b6_808952d6,44b6,181,15742,18296,1.1622,1.0,14168,14168,0.9,1.0,0.0,14168,0.9,1.0,0.0,14168,0.9,1.0,0.0
44b6_81c256f0,44b6,199,10052,12215,1.2152,1.0,9047,9047,0.9,1.0,0.0,9047,0.9,1.0,0.0,9047,0.9,1.0,0.0
44b6_87bba6c4,44b6,153,28102,31999,1.1387,0.915,25292,25292,0.9,0.902,0.0131,25292,0.9,0.8497,0.0654,25292,0.9,0.8758,0.0392
44b6_8cc6506c,44b6,400,32172,39519,1.2284,0.845,28955,28955,0.9,0.4625,0.3825,28955,0.9,0.5925,0.2525,28955,0.9,0.3975,0.4475
44b6_8f5ab931,44b6,616,27571,30501,1.1063,0.8766,24814,24814,0.9,0.8685,0.0081,24814,0.9,0.8523,0.0244,24814,0.9,0.8685,0.0081
44b6_8f9ecab4,44b6,374,74833,88252,1.1793,0.9572,67350,67347,0.9,0.7353,0.2219,67347,0.9,0.8556,0.1016,67347,0.9,0.8529,0.1043
44b6_90724892,44b6,105,25532,28375,1.1114,0.981,22979,22974,0.8998,0.981,0.0,22974,0.8998,0.9714,0.0095,22974,0.8998,0.981,0.0
44b6_949adeb1,44b6,388,37179,42883,1.1534,0.8686,33461,33461,0.9,0.8531,0.0155,33461,0.9,0.817,0.0515,33461,0.9,0.8454,0.0232
44b6_95029e92,44b6,200,5161,8717,1.689,1.0,4645,4641,0.8992,1.0,0.0,4641,0.8992,1.0,0.0,4641,0.8992,1.0,0.0
44b6_97725144,44b6,225,35774,48562,1.3575,0.8756,32197,32195,0.9,0.7156,0.16,32195,0.9,0.7733,0.1022,32195,0.9,0.7689,0.1067
44b6_996155de,44b6,380,7573,11774,1.5547,0.9658,6816,6816,0.9,0.1237,0.8421,6816,0.9,0.4711,0.4947,6816,0.9,0.2789,0.6868
44b6_9be80b04,44b6,222,57877,75491,1.3043,0.9234,52089,52089,0.9,0.9144,0.009,52089,0.9,0.8423,0.0811,52089,0.9,0.8694,0.0541
44b6_9bfa6a0a,44b6,264,64308,76475,1.1892,0.9886,57877,57877,0.9,0.9053,0.0833,57877,0.9,0.8598,0.1288,57877,0.9,0.8561,0.1326
44b6_a21120c2,44b6,296,23040,25855,1.1222,0.9865,20736,20736,0.9,0.9865,0.0,20736,0.9,0.9324,0.0541,20736,0.9,0.9662,0.0203
44b6_a2bb48bb,44b6,416,60613,77840,1.2842,0.8798,54552,54548,0.8999,0.7428,0.137,54548,0.8999,0.6827,0.1971,54548,0.8999,0.7019,0.1779
44b6_aaf8b0ea,44b6,209,22099,24464,1.107,0.9952,19889,19883,0.8997,0.7847,0.2105,19883,0.8997,0.9952,0.0,19883,0.8997,0.8708,0.1244
44b6_abf82518,44b6,96,27604,30094,1.0902,1.0,24844,24844,0.9,0.9896,0.0104,24844,0.9,1.0,0.0,24844,0.9,1.0,0.0
44b6_b2c44266,44b6,170,59729,72766,1.2183,0.9588,53756,53756,0.9,0.7471,0.2118,53756,0.9,0.9588,0.0,53756,0.9,0.9294,0.0294
44b6_c15fded2,44b6,104,20585,25135,1.221,0.9615,18526,18525,0.8999,0.9615,0.0,18525,0.8999,0.9423,0.0192,18525,0.8999,0.9519,0.0096
44b6_c50204e0,44b6,333,47078,56331,1.1965,0.8168,42370,42362,0.8998,0.7147,0.1021,42362,0.8998,0.6366,0.1802,42362,0.8998,0.6486,0.1682
44b6_c771cb04,44b6,227,53345,61866,1.1597,0.8943,48010,48010,0.9,0.8811,0.0132,48010,0.9,0.8238,0.0705,48010,0.9,0.8634,0.0308
44b6_c8e2a523,44b6,168,33144,42632,1.2863,1.0,29830,29823,0.8998,1.0,0.0,29823,0.8998,0.9881,0.0119,29823,0.8998,1.0,0.0
44b6_c96cfa10,44b6,629,46236,51794,1.1202,0.938,41612,41609,0.8999,0.8967,0.0413,41609,0.8999,0.9237,0.0143,41609,0.8999,0.9157,0.0223
44b6_cf2536e8,44b6,76,57565,62869,1.0921,0.6316,51808,51808,0.9,0.6316,0.0,51808,0.9,0.6053,0.0263,51808,0.9,0.6184,0.0132
44b6_cf8fed6b,44b6,191,43729,47450,1.0851,1.0,39356,39354,0.9,1.0,0.0,39354,0.9,1.0,0.0,39354,0.9,1.0,0.0
44b6_d29c9ab2,44b6,1353,38055,49121,1.2908,0.9749,34250,34250,0.9,0.7923,0.1826,34250,0.9,0.7517,0.2232,34250,0.9,0.7421,0.2328
44b6_d2f34f90,44b6,283,24074,29291,1.2167,0.9329,21667,21667,0.9,0.4912,0.4417,21667,0.9,0.5901,0.3428,21667,0.9,0.4452,0.4876
44b6_d5e7d891,44b6,906,44848,52365,1.1676,0.8455,40363,40362,0.9,0.7572,0.0883,40362,0.9,0.7163,0.1291,40362,0.9,0.7417,0.1038
44b6_d754aa59,44b6,72,5171,8898,1.7208,1.0,4654,4654,0.9,1.0,0.0,4654,0.9,1.0,0.0,4654,0.9,1.0,0.0
44b6_d78e09d9,44b6,463,22259,25270,1.1353,0.9136,20033,20030,0.8999,0.8877,0.0259,20030,0.8999,0.8575,0.0562,20030,0.8999,0.8898,0.0238
44b6_db3c847b,44b6,165,15023,18054,1.2018,0.8545,13521,13521,0.9,0.8061,0.0485,13521,0.9,0.8364,0.0182,13521,0.9,0.8242,0.0303
44b6_ddf577ad,44b6,659,53492,61880,1.1568,0.9241,48143,48139,0.8999,0.7876,0.1366,48139,0.8999,0.8316,0.0926,48139,0.8999,0.8255,0.0986
44b6_deabac95,44b6,126,13989,15813,1.1304,0.9365,12590,12590,0.9,0.9365,0.0,12590,0.9,0.8968,0.0397,12590,0.9,0.9286,0.0079
44b6_e28840c6,44b6,311,74686,89002,1.1917,0.9164,67217,67217,0.9,0.3601,0.5563,67217,0.9,0.701,0.2154,67217,0.9,0.5563,0.3601
44b6_e29f0176,44b6,51,12969,14317,1.1039,0.6078,11672,11672,0.9,0.6078,0.0,11672,0.9,0.549,0.0588,11672,0.9,0.5686,0.0392
44b6_e31261b4,44b6,116,72856,82511,1.1325,0.9828,65570,65570,0.9,0.931,0.0517,65570,0.9,0.9569,0.0259,65570,0.9,0.9483,0.0345
44b6_e35b117d,44b6,270,28641,40355,1.409,0.7333,25777,25774,0.8999,0.5519,0.1815,25774,0.8999,0.6704,0.063,25774,0.8999,0.6444,0.0889
44b6_e57ff5c6,44b6,193,20314,23619,1.1627,0.8446,18283,18279,0.8998,0.7927,0.0518,18279,0.8998,0.7927,0.0518,18279,0.8998,0.7979,0.0466
44b6_eb2880fc,44b6,390,48084,48786,1.0146,0.9538,43276,43276,0.9,0.941,0.0128,43276,0.9,0.9487,0.0051,43276,0.9,0.9487,0.0051
44b6_f28707c6,44b6,63,18656,22262,1.1933,0.8254,16790,16790,0.9,0.8254,0.0,16790,0.9,0.8254,0.0,16790,0.9,0.8254,0.0
6bba_05b6850b,6bba,861,6362,9548,1.5008,0.9222,5726,5726,0.9,0.8804,0.0418,5726,0.9,0.5749,0.3473,5726,0.9,0.8246,0.0976
6bba_05db0fb1,6bba,1229,69800,79175,1.1343,0.9203,62820,62820,0.9,0.664,0.2563,62820,0.9,0.8145,0.1058,62820,0.9,0.7632,0.157
6bba_062c8d37,6bba,930,6030,9775,1.6211,0.9624,5427,5427,0.9,0.6591,0.3032,5427,0.9,0.5011,0.4613,5427,0.9,0.5957,0.3667
6bba_07477033,6bba,613,4836,7002,1.4479,0.9772,4352,4352,0.8999,0.7945,0.1827,4352,0.8999,0.5677,0.4095,4352,0.8999,0.6982,0.279
6bba_07e24132,6bba,359,21485,40624,1.8908,0.8914,19336,19336,0.9,0.7855,0.1058,19336,0.9,0.7549,0.1365,19336,0.9,0.805,0.0864
6bba_085bf656,6bba,1198,8463,10749,1.2701,0.9908,7617,7615,0.8998,0.919,0.0718,7615,0.8998,0.6544,0.3364,7615,0.8998,0.8063,0.1845
6bba_09961292,6bba,1950,31117,38457,1.2359,0.9626,28005,28005,0.9,0.9041,0.0585,28005,0.9,0.9077,0.0549,28005,0.9,0.9154,0.0472
6bba_0c7fa718,6bba,704,13650,19119,1.4007,0.9474,12285,12285,0.9,0.6847,0.2628,12285,0.9,0.6662,0.2812,12285,0.9,0.6406,0.3068
6bba_0e7c0d07,6bba,209,22467,27747,1.235,0.89,20220,20219,0.8999,0.7895,0.1005,20219,0.8999,0.7799,0.11,20219,0.8999,0.8086,0.0813
6bba_12665c0e,6bba,1036,8314,10184,1.2249,0.9817,7483,7483,0.9,0.8909,0.0907,7483,0.9,0.7664,0.2153,7483,0.9,0.8349,0.1467
6bba_13f19531,6bba,737,5773,7294,1.2635,0.9905,5196,5196,0.9001,0.9009,0.0896,5196,0.9001,0.768,0.2225,5196,0.9001,0.8657,0.1248
6bba_15403b9a,6bba,758,6889,8679,1.2598,0.942,6200,6200,0.9,0.8008,0.1412,6200,0.9,0.6214,0.3206,6200,0.9,0.7177,0.2243
6bba_1d0d8384,6bba,1438,17909,25612,1.4301,0.8804,16118,16118,0.9,0.6182,0.2622,16118,0.9,0.6231,0.2573,16118,0.9,0.6022,0.2782
6bba_1ebfb80d,6bba,745,11558,14531,1.2572,0.906,10402,10401,0.8999,0.702,0.204,10401,0.8999,0.7262,0.1799,10401,0.8999,0.7383,0.1678
6bba_1f58c2f6,6bba,317,28903,36145,1.2506,0.8801,26013,26012,0.9,0.7035,0.1767,26012,0.9,0.817,0.0631,26012,0.9,0.7603,0.1199
6bba_207c6aaf,6bba,475,11999,16381,1.3652,0.6779,10799,10799,0.9,0.5221,0.1558,10799,0.9,0.5453,0.1326,10799,0.9,0.52,0.1579
6bba_20852818,6bba,952,9758,13432,1.3765,0.9223,8782,8779,0.8997,0.7973,0.125,8779,0.8997,0.8361,0.0861,8779,0.8997,0.8214,0.1008
6bba_2312ac41,6bba,1156,11950,13532,1.1324,0.9628,10755,10754,0.8999,0.8789,0.0839,10754,0.8999,0.8616,0.1012,10754,0.8999,0.8616,0.1012
6bba_23af9eeb,6bba,513,4450,6240,1.4022,0.9688,4005,4005,0.9,0.9396,0.0292,4005,0.9,0.4971,0.4717,4005,0.9,0.9337,0.0351
6bba_2540cd90,6bba,529,3783,6722,1.7769,0.9981,3405,3387,0.8953,0.8733,0.1248,3387,0.8953,0.4631,0.535,3387,0.8953,0.8563,0.1418
6bba_2646afc7,6bba,738,5495,8152,1.4835,0.916,4946,4946,0.9001,0.7818,0.1341,4946,0.9001,0.5325,0.3835,4946,0.9001,0.8496,0.0664
6bba_268e1230,6bba,641,5107,6941,1.3591,0.8721,4596,4593,0.8994,0.6443,0.2278,4593,0.8994,0.5398,0.3323,4593,0.8994,0.5491,0.3229
6bba_2819ca14,6bba,986,5534,8019,1.449,0.9757,4981,4981,0.9001,0.8611,0.1146,4981,0.9001,0.7241,0.2515,4981,0.9001,0.8712,0.1045
6bba_283bf9f1,6bba,1342,20861,22603,1.0835,0.921,18775,18774,0.9,0.7571,0.1639,18774,0.9,0.7973,0.1237,18774,0.9,0.7794,0.1416
6bba_312f0dc3,6bba,520,9963,11625,1.1668,0.9846,8967,8962,0.8995,0.9538,0.0308,8962,0.8995,0.7538,0.2308,8962,0.8995,0.9346,0.05
6bba_32db13fc,6bba,862,38705,46985,1.2139,0.8306,34834,34834,0.9,0.7077,0.123,34834,0.9,0.7309,0.0998,34834,0.9,0.7239,0.1067
6bba_337b1b3a,6bba,1272,30480,37933,1.2445,0.9827,27432,27432,0.9,0.7712,0.2115,27432,0.9,0.809,0.1737,27432,0.9,0.8263,0.1564
6bba_372c8cb8,6bba,1036,7021,10098,1.4383,0.973,6319,6319,0.9,0.9382,0.0347,6319,0.9,0.6458,0.3272,6319,0.9,0.9122,0.0608
6bba_3a1849c2,6bba,1173,7003,9665,1.3801,0.7783,6303,6298,0.8993,0.7067,0.0716,6298,0.8993,0.6633,0.1151,6298,0.8993,0.6803,0.098
6bba_3abfe10a,6bba,997,52065,61515,1.1815,0.9017,46858,46855,0.8999,0.7874,0.1143,46855,0.8999,0.7753,0.1264,46855,0.8999,0.7793,0.1224
6bba_3c5691b6,6bba,765,6258,8855,1.415,0.9948,5632,5631,0.8998,0.8915,0.1033,5631,0.8998,0.7085,0.2863,5631,0.8998,0.9059,0.0889
6bba_3db54e20,6bba,502,23236,24935,1.0731,0.8944,20912,20912,0.9,0.8307,0.0637,20912,0.9,0.8267,0.0677,20912,0.9,0.8486,0.0458
6bba_3fda6b25,6bba,1207,9842,13773,1.3994,0.9917,8858,8857,0.8999,0.7084,0.2833,8857,0.8999,0.7854,0.2063,8857,0.8999,0.6984,0.2933
6bba_43fea39d,6bba,910,5748,7823,1.361,0.9835,5173,5173,0.9,0.7099,0.2736,5173,0.9,0.7473,0.2363,5173,0.9,0.7374,0.2462
6bba_474be664,6bba,292,28293,35436,1.2525,0.4452,25464,25464,0.9,0.3973,0.0479,25464,0.9,0.3288,0.1164,25464,0.9,0.3767,0.0685
6bba_48816121,6bba,935,23965,26432,1.1029,0.9412,21568,21568,0.9,0.9369,0.0043,21568,0.9,0.9144,0.0267,21568,0.9,0.9283,0.0128
6bba_4aa14c89,6bba,707,6787,8365,1.2325,0.9463,6108,6104,0.8994,0.7454,0.2008,6104,0.8994,0.8741,0.0721,6104,0.8994,0.7779,0.1683
6bba_4f99ce20,6bba,1057,5965,8837,1.4815,0.9782,5368,5368,0.8999,0.9044,0.0738,5368,0.8999,0.6443,0.334,5368,0.8999,0.7919,0.1864
6bba_4ffd3da3,6bba,706,17637,20085,1.1388,0.721,15873,15873,0.9,0.6487,0.0722,15873,0.9,0.6246,0.0963,15873,0.9,0.6487,0.0722
6bba_55b7eebe,6bba,705,5257,7831,1.4896,0.9872,4731,4730,0.8998,0.6624,0.3248,4730,0.8998,0.834,0.1532,4730,0.8998,0.5177,0.4695
6bba_55c70843,6bba,490,35415,42197,1.1915,0.8102,31874,31874,0.9,0.749,0.0612,31874,0.9,0.7,0.1102,31874,0.9,0.7388,0.0714
6bba_57b7cc1e,6bba,1659,65511,83865,1.2802,0.7848,58960,58960,0.9,0.6389,0.1459,58960,0.9,0.6389,0.1459,58960,0.9,0.6456,0.1392
6bba_5a4d9360,6bba,747,5976,7887,1.3198,0.8956,5378,5378,0.8999,0.759,0.1365,5378,0.8999,0.419,0.4766,5378,0.8999,0.6064,0.2892
6bba_5b28472a,6bba,737,5802,9065,1.5624,0.9783,5222,5219,0.8995,0.9335,0.0448,5219,0.8995,0.4871,0.4912,5219,0.8995,0.8738,0.1045
6bba_5c039895,6bba,1174,8570,11609,1.3546,0.9761,7713,7704,0.8989,0.8382,0.138,7704,0.8989,0.73,0.2462,7704,0.8989,0.8109,0.1652
6bba_5c824876,6bba,1170,24647,28306,1.1485,0.9214,22182,22182,0.9,0.5188,0.4026,22182,0.9,0.8419,0.0795,22182,0.9,0.5803,0.341
6bba_5dfe9ad1,6bba,1542,26913,30790,1.1441,0.8528,24222,24221,0.9,0.5934,0.2594,24221,0.9,0.7147,0.1381,24221,0.9,0.6297,0.2231
6bba_5f89039d,6bba,904,4611,6873,1.4906,0.9845,4150,4141,0.8981,0.8263,0.1582,4141,0.8981,0.3595,0.625,4141,0.8981,0.646,0.3385
6bba_61dd1e0d,6bba,558,10128,12342,1.2186,0.9803,9115,9115,0.9,0.6075,0.3728,9115,0.9,0.9498,0.0305,9115,0.9,0.7921,0.1882
6bba_61ecbe65,6bba,640,5774,7815,1.3535,0.9688,5197,5197,0.9001,0.7688,0.2,5197,0.9001,0.4844,0.4844,5197,0.9001,0.6359,0.3328
6bba_6321a359,6bba,827,4821,7181,1.4895,0.9843,4339,4333,0.8988,0.8416,0.1427,4333,0.8988,0.7219,0.2624,4333,0.8988,0.8138,0.1705
6bba_6479435d,6bba,617,23453,29783,1.2699,0.7504,21108,21105,0.8999,0.577,0.1734,21105,0.8999,0.6305,0.1199,21105,0.8999,0.624,0.1264
6bba_67ebd073,6bba,462,16061,21403,1.3326,0.9286,14455,14455,0.9,0.8615,0.0671,14455,0.9,0.8723,0.0563,14455,0.9,0.8874,0.0411
6bba_6ca87370,6bba,1081,7195,10537,1.4645,0.9251,6476,6476,0.9001,0.8585,0.0666,6476,0.9001,0.5846,0.3404,6476,0.9001,0.8446,0.0805
6bba_6db0e9b4,6bba,449,28435,33196,1.1674,0.9666,25592,25592,0.9,0.6927,0.2739,25592,0.9,0.9555,0.0111,25592,0.9,0.8151,0.1514
6bba_6feb10f0,6bba,1368,8862,10535,1.1888,0.1637,7976,7976,0.9,0.0621,0.1016,7976,0.9,0.1316,0.0322,7976,0.9,0.0841,0.0797
6bba_6feeb0b1,6bba,1389,7518,13066,1.738,0.951,6766,6762,0.8994,0.7523,0.1987,6762,0.8994,0.5263,0.4248,6762,0.8994,0.7502,0.2009
6bba_705ec2c9,6bba,596,5600,8066,1.4404,0.8943,5040,5031,0.8984,0.7383,0.156,5031,0.8984,0.755,0.1393,5031,0.8984,0.755,0.1393
6bba_718b21f9,6bba,661,4306,7751,1.8,0.9743,3875,3848,0.8936,0.5598,0.4145,3848,0.8936,0.2663,0.708,3848,0.8936,0.4962,0.4781
6bba_74686d6a,6bba,586,29803,31732,1.0647,0.8669,26823,26823,0.9,0.7491,0.1177,26823,0.9,0.843,0.0239,26823,0.9,0.8567,0.0102
6bba_767a1e17,6bba,718,47714,53956,1.1308,0.8774,42943,42940,0.8999,0.8231,0.0543,42940,0.8999,0.8078,0.0696,42940,0.8999,0.8078,0.0696
6bba_76db78c1,6bba,617,4855,7162,1.4752,1.0,4370,4364,0.8989,0.9303,0.0697,4364,0.8989,0.5754,0.4246,4364,0.8989,0.8395,0.1605
6bba_784a78c9,6bba,1788,13096,15356,1.1726,0.9748,11786,11784,0.8998,0.9351,0.0397,11784,0.8998,0.8663,0.1085,11784,0.8998,0.9279,0.047
6bba_786893ac,6bba,1465,58979,73668,1.2491,0.8922,53081,53079,0.9,0.8321,0.0601,53079,0.9,0.8171,0.0751,53079,0.9,0.8294,0.0628
6bba_789f8168,6bba,713,10676,13839,1.2963,0.9846,9608,9606,0.8998,0.8149,0.1697,9606,0.8998,0.8513,0.1332,9606,0.8998,0.8317,0.1529
6bba_78a7bd97,6bba,886,40613,41870,1.031,0.649,36552,36550,0.9,0.5282,0.1208,36550,0.9,0.5869,0.0621,36550,0.9,0.535,0.114
6bba_7af54fde,6bba,1131,9624,12052,1.2523,0.9355,8662,8659,0.8997,0.809,0.1264,8659,0.8997,0.8417,0.0937,8659,0.8997,0.8559,0.0796
6bba_7b5d3b2c,6bba,565,5780,7929,1.3718,0.9646,5202,5200,0.8997,0.4584,0.5062,5200,0.8997,0.6319,0.3327,5200,0.8997,0.3912,0.5735
6bba_7d3058ae,6bba,1200,7611,12197,1.6025,0.9908,6850,6850,0.9,0.7458,0.245,6850,0.9,0.4342,0.5567,6850,0.9,0.6908,0.3
6bba_7f87b3d8,6bba,1000,10581,15066,1.4239,0.971,9523,9521,0.8998,0.814,0.157,9521,0.8998,0.822,0.149,9521,0.8998,0.815,0.156
6bba_80d12824,6bba,680,9021,12975,1.4383,0.9706,8119,8110,0.899,0.9206,0.05,8110,0.899,0.7853,0.1853,8110,0.899,0.8882,0.0824
6bba_825bd1c6,6bba,968,7586,14092,1.8576,0.9628,6827,6822,0.8993,0.7913,0.1715,6822,0.8993,0.4029,0.5599,6822,0.8993,0.6467,0.3161
6bba_87289e13,6bba,724,14966,21418,1.4311,0.9986,13469,13467,0.8998,0.8135,0.1851,13467,0.8998,0.7942,0.2044,13467,0.8998,0.837,0.1616
6bba_8b7818bf,6bba,741,5828,8326,1.4286,0.9919,5245,5244,0.8998,0.8165,0.1754,5244,0.8998,0.6221,0.3698,5244,0.8998,0.7341,0.2578
6bba_907271db,6bba,945,7306,9842,1.3471,0.9725,6575,6571,0.8994,0.9312,0.0413,6571,0.8994,0.6254,0.3471,6571,0.8994,0.8508,0.1217
6bba_91951b3a,6bba,1188,11907,14207,1.1932,0.9613,10716,10716,0.9,0.9133,0.048,10716,0.9,0.8241,0.1372,10716,0.9,0.8712,0.0901
6bba_96833384,6bba,758,4869,6287,1.2912,0.9578,4382,4382,0.9,0.8311,0.1266,4382,0.9,0.6741,0.2836,4382,0.9,0.7784,0.1794
6bba_969618f6,6bba,679,13888,16130,1.1614,0.9411,12499,12499,0.9,0.8822,0.0589,12499,0.9,0.8159,0.1252,12499,0.9,0.8895,0.0515
6bba_971fa5e0,6bba,792,5609,9285,1.6554,0.9924,5048,5044,0.8993,0.5543,0.4381,5044,0.8993,0.4381,0.5543,5044,0.8993,0.5025,0.4899
6bba_9a41d029,6bba,1401,18231,22421,1.2298,0.9615,16408,16408,0.9,0.7559,0.2056,16408,0.9,0.8765,0.0849,16408,0.9,0.7873,0.1742
6bba_9e23430b,6bba,914,7708,9622,1.2483,0.9595,6937,6936,0.8998,0.5864,0.3731,6936,0.8998,0.9245,0.035,6936,0.8998,0.7101,0.2495
6bba_a5e926bb,6bba,741,8440,11194,1.3263,0.9852,7596,7595,0.8999,0.8691,0.1161,7595,0.8999,0.7476,0.2375,7595,0.8999,0.8097,0.1754
6bba_a90a0b9c,6bba,1147,36896,44568,1.2079,0.8439,33206,33203,0.8999,0.8065,0.0375,33203,0.8999,0.6835,0.1604,33203,0.8999,0.7733,0.0706
6bba_ab78413d,6bba,1179,9241,13796,1.4929,0.3325,8317,8317,0.9,0.0857,0.2468,8317,0.9,0.2824,0.05,8317,0.9,0.1332,0.1993
6bba_acd782a8,6bba,356,19710,23789,1.207,0.9551,17739,17734,0.8997,0.9101,0.0449,17734,0.8997,0.8315,0.1236,17734,0.8997,0.9101,0.0449
6bba_ae82a791,6bba,1495,7403,10770,1.4548,0.9806,6663,6658,0.8994,0.8174,0.1632,6658,0.8994,0.6796,0.301,6658,0.8994,0.7124,0.2682
6bba_aeee7805,6bba,795,5034,6648,1.3206,0.9962,4531,4526,0.8991,0.8541,0.1421,4526,0.8991,0.805,0.1912,4526,0.8991,0.8151,0.1811
