dataset,total_gt,tp_baseline,tp_new,tp_gain,rec_baseline,rec_new
44b6_c771cb04,223,133,146,13,0.5964125560538116,0.6547085201793722
44b6_c8e2a523,164,134,141,7,0.8170731707317073,0.8597560975609756
44b6_c96cfa10,616,451,485,34,0.7321428571428571,0.7873376623376623
44b6_cf2536e8,75,38,39,1,0.5066666666666667,0.52
44b6_cf8fed6b,188,161,166,5,0.8563829787234043,0.8829787234042553
44b6_d29c9ab2,1328,981,1074,93,0.7387048192771084,0.8087349397590361
44b6_d2f34f90,281,171,191,20,0.608540925266904,0.6797153024911032
44b6_d5e7d891,893,465,554,89,0.5207166853303471,0.620380739081747
44b6_d754aa59,70,60,60,0,0.8571428571428571,0.8571428571428571
44b6_d78e09d9,451,346,359,13,0.7671840354767184,0.7960088691796009
44b6_db3c847b,162,119,126,7,0.7345679012345679,0.7777777777777778
44b6_ddf577ad,647,400,468,68,0.6182380216383307,0.723338485316847
44b6_deabac95,124,91,93,2,0.7338709677419355,0.75
44b6_e28840c6,309,185,232,47,0.598705501618123,0.7508090614886731
44b6_e29f0176,50,20,22,2,0.4,0.44
44b6_e31261b4,113,81,92,11,0.7168141592920354,0.8141592920353983
44b6_e35b117d,266,130,146,16,0.48872180451127817,0.5488721804511278
44b6_e57ff5c6,186,101,109,8,0.543010752688172,0.5860215053763441
44b6_eb2880fc,379,285,303,18,0.7519788918205804,0.7994722955145118
44b6_f28707c6,61,36,38,2,0.5901639344262295,0.6229508196721312
6bba_05b6850b,845,678,696,18,0.8023668639053254,0.8236686390532545
6bba_05db0fb1,1183,752,881,129,0.6356720202874049,0.7447168216398986
6bba_062c8d37,898,690,716,26,0.7683741648106904,0.7973273942093542
6bba_07477033,602,495,509,14,0.8222591362126246,0.845514950166113
6bba_07e24132,345,237,261,24,0.6869565217391305,0.7565217391304347
6bba_085bf656,1168,918,944,26,0.785958904109589,0.8082191780821918
6bba_09961292,1871,1177,1417,240,0.6290753607696419,0.7573490112239444
6bba_0c7fa718,659,412,434,22,0.6251896813353566,0.6585735963581184
6bba_0e7c0d07,198,135,141,6,0.6818181818181818,0.7121212121212122
6bba_12665c0e,998,859,872,13,0.8607214428857716,0.87374749498998
6bba_13f19531,704,617,622,5,0.8764204545454546,0.8835227272727273
6bba_15403b9a,729,496,516,20,0.6803840877914952,0.7078189300411523
6bba_1d0d8384,1365,893,971,78,0.6542124542124542,0.7113553113553114
6bba_1ebfb80d,719,513,538,25,0.713490959666203,0.7482614742698191
6bba_1f58c2f6,299,200,218,18,0.6688963210702341,0.7290969899665551
6bba_207c6aaf,450,211,225,14,0.4688888888888889,0.5
6bba_20852818,909,670,701,31,0.7370737073707371,0.7711771177117712
6bba_2312ac41,1132,1017,1027,10,0.8984098939929329,0.907243816254417
6bba_23af9eeb,499,427,427,0,0.8557114228456913,0.8557114228456913
6bba_2540cd90,523,289,337,48,0.5525812619502868,0.6443594646271511
6bba_2646afc7,721,471,494,23,0.6532593619972261,0.6851595006934813
6bba_268e1230,609,392,400,8,0.6436781609195402,0.6568144499178982
6bba_2819ca14,949,698,721,23,0.7355110642781876,0.7597471022128557
6bba_283bf9f1,1288,1001,1039,38,0.7771739130434783,0.8066770186335404
6bba_312f0dc3,500,345,361,16,0.69,0.722
6bba_32db13fc,811,475,508,33,0.5856966707768188,0.6263871763255241
6bba_337b1b3a,1213,1047,1077,30,0.8631492168178071,0.887881286067601
6bba_372c8cb8,1007,880,899,19,0.8738828202581926,0.8927507447864945
6bba_3a1849c2,1142,762,777,15,0.6672504378283712,0.680385288966725
6bba_3abfe10a,935,566,641,75,0.6053475935828877,0.6855614973262032
6bba_3c5691b6,746,650,655,5,0.871313672922252,0.8780160857908847
6bba_3db54e20,474,298,310,12,0.6286919831223629,0.6540084388185654
6bba_3fda6b25,1179,1059,1072,13,0.8982188295165394,0.909245122985581
6bba_43fea39d,880,746,756,10,0.8477272727272728,0.8590909090909091
6bba_474be664,286,51,55,4,0.17832167832167833,0.19230769230769232
6bba_48816121,918,735,757,22,0.8006535947712419,0.8246187363834423
6bba_4aa14c89,681,593,595,2,0.8707782672540382,0.8737151248164464
6bba_4f99ce20,1010,834,852,18,0.8257425742574257,0.8435643564356435
6bba_4ffd3da3,689,400,421,21,0.5805515239477503,0.6110304789550073
6bba_55b7eebe,688,588,595,7,0.8546511627906976,0.8648255813953488
6bba_55c70843,467,223,250,27,0.47751605995717344,0.5353319057815846
6bba_57b7cc1e,1592,780,888,108,0.4899497487437186,0.5577889447236181
6bba_5a4d9360,722,463,471,8,0.6412742382271468,0.6523545706371191
6bba_5b28472a,724,626,636,10,0.8646408839779005,0.8784530386740331
6bba_5c039895,1145,872,903,31,0.7615720524017467,0.788646288209607
6bba_5c824876,1130,956,973,17,0.8460176991150442,0.8610619469026549
6bba_5dfe9ad1,1487,1159,1209,50,0.7794216543375925,0.8130464021519839
6bba_5f89039d,885,742,754,12,0.8384180790960452,0.8519774011299435
6bba_61dd1e0d,543,450,456,6,0.8287292817679558,0.8397790055248618
6bba_61ecbe65,614,468,476,8,0.762214983713355,0.7752442996742671
6bba_6321a359,798,696,698,2,0.8721804511278195,0.87468671679198
6bba_6479435d,580,318,353,35,0.5482758620689655,0.6086206896551725
6bba_67ebd073,438,306,316,10,0.6986301369863014,0.7214611872146118
6bba_6ca87370,1052,794,818,24,0.7547528517110266,0.7775665399239544
6bba_6db0e9b4,440,362,369,7,0.8227272727272728,0.8386363636363636
6bba_6feb10f0,1343,146,154,8,0.10871183916604617,0.114668652271035
6bba_6feeb0b1,1343,846,931,85,0.6299329858525688,0.6932241250930752
6bba_705ec2c9,562,418,431,13,0.7437722419928826,0.7669039145907474
6bba_718b21f9,652,420,462,42,0.6441717791411042,0.7085889570552147
6bba_74686d6a,576,443,448,5,0.7690972222222222,0.7777777777777778
6bba_767a1e17,658,396,432,36,0.601823708206687,0.6565349544072948
6bba_76db78c1,604,493,507,14,0.8162251655629139,0.8394039735099338
6bba_784a78c9,1739,1579,1599,20,0.9079930994824612,0.9194939620471535
6bba_786893ac,1395,687,842,155,0.4924731182795699,0.603584229390681
6bba_789f8168,681,553,569,16,0.8120411160058737,0.8355359765051396
6bba_78a7bd97,832,442,462,20,0.53125,0.5552884615384616
6bba_7af54fde,1092,947,956,9,0.8672161172161172,0.8754578754578755
6bba_7b5d3b2c,555,456,474,18,0.8216216216216217,0.8540540540540541
6bba_7d3058ae,1173,929,970,41,0.7919863597612958,0.8269394714407502
6bba_7f87b3d8,934,610,635,25,0.6531049250535332,0.6798715203426124
6bba_80d12824,654,506,523,17,0.7737003058103975,0.7996941896024465
6bba_825bd1c6,930,592,678,86,0.6365591397849463,0.7290322580645161
6bba_87289e13,699,562,579,17,0.804005722460658,0.8283261802575107
6bba_8b7818bf,725,592,606,14,0.8165517241379311,0.8358620689655173
6bba_907271db,921,583,627,44,0.6330076004343105,0.6807817589576547
6bba_91951b3a,1148,991,1000,9,0.8632404181184669,0.8710801393728222
6bba_96833384,721,577,584,7,0.8002773925104022,0.8099861303744799
6bba_969618f6,658,524,535,11,0.7963525835866262,0.8130699088145896
6bba_971fa5e0,767,563,591,28,0.7340286831812256,0.7705345501955672
6bba_9a41d029,1353,1042,1078,36,0.770140428677014,0.7967479674796748
6bba_9e23430b,891,745,750,5,0.8361391694725028,0.8417508417508418
6bba_a5e926bb,698,559,561,2,0.8008595988538681,0.8037249283667621
6bba_a90a0b9c,1112,637,697,60,0.572841726618705,0.6267985611510791
6bba_ab78413d,1138,264,274,10,0.23198594024604569,0.24077328646748683
6bba_acd782a8,330,242,247,5,0.7333333333333333,0.7484848484848485
6bba_ae82a791,1471,1169,1232,63,0.7946974847042828,0.8375254928619986
6bba_aeee7805,768,708,709,1,0.921875,0.9231770833333334
6bba_af149c94,1317,1055,1065,10,0.8010630220197419,0.8086560364464692
6bba_afb141ff,626,508,516,8,0.8115015974440895,0.8242811501597445
6bba_b1ae37b9,579,468,491,23,0.8082901554404145,0.8480138169257341
6bba_b204cac7,811,513,572,59,0.6325524044389642,0.7053020961775586
6bba_b329af44,1268,744,865,121,0.5867507886435331,0.6821766561514195
6bba_b693381b,935,691,721,30,0.7390374331550802,0.7711229946524064
6bba_bb9f20c3,1879,1186,1367,181,0.6311868014901544,0.7275146354443853
6bba_bbb708ca,861,746,752,6,0.8664343786295006,0.8734030197444832
6bba_c27cba08,493,401,402,1,0.8133874239350912,0.8154158215010142
6bba_c328f2fd,500,322,342,20,0.644,0.684
6bba_c73a1d11,710,260,288,28,0.36619718309859156,0.4056338028169014
6bba_cdcfe533,1348,1160,1186,26,0.8605341246290801,0.8798219584569733
6bba_cf35214c,817,714,737,23,0.8739290085679314,0.9020807833537332
6bba_cff5865f,1501,1153,1240,87,0.7681545636242505,0.8261159227181879
6bba_d0fc38b5,813,656,662,6,0.8068880688806888,0.8142681426814268
6bba_d1acb6ff,643,470,477,7,0.7309486780715396,0.7418351477449455
6bba_d2b9fc0c,921,706,742,36,0.7665580890336591,0.8056460369163952
6bba_d3da753b,857,590,641,51,0.6884480746791132,0.7479579929988331
6bba_d5eae175,519,321,361,40,0.6184971098265896,0.6955684007707129
6bba_d6ecebbb,862,582,598,16,0.6751740139211136,0.6937354988399071
6bba_d82a4fc6,530,436,463,27,0.8226415094339623,0.8735849056603774
6bba_debd7bfa,729,512,526,14,0.7023319615912208,0.7215363511659808
6bba_df673a83,654,539,549,10,0.8241590214067278,0.8394495412844036
6bba_e16ffc58,942,594,677,83,0.6305732484076433,0.7186836518046709
6bba_e5e44988,634,430,441,11,0.6782334384858044,0.695583596214511
6bba_ebdf3b34,803,571,644,73,0.7110834371108343,0.8019925280199253
6bba_ebff6e76,1264,626,683,57,0.495253164556962,0.5403481012658228
6bba_ed9377fd,508,362,382,20,0.7125984251968503,0.7519685039370079
6bba_edf14583,760,551,606,55,0.725,0.7973684210526316
6bba_eebc57a5,989,719,744,25,0.7269969666329625,0.7522750252780587
6bba_ef7b4f7e,1201,1127,1136,9,0.9383846794338052,0.9458784346378019
6bba_f17befbc,1015,728,763,35,0.7172413793103448,0.7517241379310344
6bba_f1fde7e0,446,259,265,6,0.5807174887892377,0.594170403587444
6bba_f20478e9,963,758,775,17,0.7871235721703012,0.8047767393561787
6bba_f4ae811c,965,845,852,7,0.8756476683937824,0.8829015544041451
6bba_f8ffd5e7,370,261,281,20,0.7054054054054054,0.7594594594594595
6bba_fbc898dc,639,604,608,4,0.945226917057903,0.9514866979655712
6bba_fc516dc6,762,548,575,27,0.7191601049868767,0.7545931758530183
6bba_fc5f39dc,458,295,321,26,0.6441048034934498,0.7008733624454149
6bba_fc83837d,923,641,657,16,0.6944745395449621,0.7118093174431203
6bba_fe670320,680,472,499,27,0.6941176470588235,0.7338235294117647
