dataset,total_gt_nodes,total_gt_edges,delta_t_1,delta_t_2,delta_t_gt2,branch_parents,branch_edges,branch_edge_ratio,branch_tp_015,branch_fn_015
44b6_cf2536e8,76,75,75,0,0,0,0,0.0,0,0
44b6_cf8fed6b,191,188,188,0,0,0,0,0.0,0,0
44b6_d29c9ab2,1353,1328,1328,0,0,0,0,0.0,0,0
44b6_d2f34f90,283,281,281,0,0,2,4,0.0142,0,3
44b6_d5e7d891,906,893,893,0,0,2,4,0.0045,0,3
44b6_d754aa59,72,70,70,0,0,1,2,0.0286,0,1
44b6_d78e09d9,463,451,451,0,0,0,0,0.0,0,0
44b6_db3c847b,165,162,162,0,0,0,0,0.0,0,0
44b6_ddf577ad,659,647,647,0,0,0,0,0.0,0,0
44b6_deabac95,126,124,124,0,0,1,2,0.0161,0,1
44b6_e28840c6,311,309,309,0,0,2,4,0.0129,0,3
44b6_e29f0176,51,50,50,0,0,0,0,0.0,0,0
44b6_e31261b4,116,113,113,0,0,0,0,0.0,0,0
44b6_e35b117d,270,266,266,0,0,0,0,0.0,0,0
44b6_e57ff5c6,193,186,186,0,0,0,0,0.0,0,0
44b6_eb2880fc,390,379,379,0,0,1,2,0.0053,0,1
44b6_f28707c6,63,61,61,0,0,0,0,0.0,0,0
6bba_05b6850b,861,845,845,0,0,0,0,0.0,0,0
6bba_05db0fb1,1229,1183,1183,0,0,3,6,0.0051,0,4
6bba_062c8d37,930,898,898,0,0,1,2,0.0022,0,1
6bba_07477033,613,602,602,0,0,0,0,0.0,0,0
6bba_07e24132,359,345,345,0,0,2,4,0.0116,0,4
6bba_085bf656,1198,1168,1168,0,0,1,2,0.0017,0,1
6bba_09961292,1950,1871,1871,0,0,4,8,0.0043,0,5
6bba_0c7fa718,704,659,659,0,0,0,0,0.0,0,0
6bba_0e7c0d07,209,198,198,0,0,1,2,0.0101,0,1
6bba_12665c0e,1036,998,998,0,0,3,6,0.006,0,3
6bba_13f19531,737,704,704,0,0,0,0,0.0,0,0
6bba_15403b9a,758,729,729,0,0,0,0,0.0,0,0
6bba_1d0d8384,1438,1365,1365,0,0,1,2,0.0015,0,2
6bba_1ebfb80d,745,719,719,0,0,0,0,0.0,0,0
6bba_1f58c2f6,317,299,299,0,0,0,0,0.0,0,0
6bba_207c6aaf,475,450,450,0,0,1,2,0.0044,0,2
6bba_20852818,952,909,909,0,0,3,6,0.0066,0,4
6bba_2312ac41,1156,1132,1132,0,0,2,4,0.0035,0,2
6bba_23af9eeb,513,499,499,0,0,0,0,0.0,0,0
6bba_2540cd90,529,523,523,0,0,0,0,0.0,0,0
6bba_2646afc7,738,721,721,0,0,0,0,0.0,0,0
6bba_268e1230,641,609,609,0,0,1,2,0.0033,0,1
6bba_2819ca14,986,949,949,0,0,1,2,0.0021,0,1
6bba_283bf9f1,1342,1288,1288,0,0,0,0,0.0,0,0
6bba_312f0dc3,520,500,500,0,0,0,0,0.0,0,0
6bba_32db13fc,862,811,811,0,0,1,2,0.0025,0,1
6bba_337b1b3a,1272,1213,1213,0,0,2,4,0.0033,0,3
6bba_372c8cb8,1036,1007,1007,0,0,0,0,0.0,0,0
6bba_3a1849c2,1173,1142,1142,0,0,0,0,0.0,0,0
6bba_3abfe10a,997,935,935,0,0,1,2,0.0021,0,2
6bba_3c5691b6,765,746,746,0,0,2,4,0.0054,0,2
6bba_3db54e20,502,474,474,0,0,1,2,0.0042,0,1
6bba_3fda6b25,1207,1179,1179,0,0,1,2,0.0017,0,1
6bba_43fea39d,910,880,880,0,0,0,0,0.0,0,0
6bba_474be664,292,286,286,0,0,1,2,0.007,0,2
6bba_48816121,935,918,918,0,0,5,10,0.0109,0,9
6bba_4aa14c89,707,681,681,0,0,0,0,0.0,0,0
6bba_4f99ce20,1057,1010,1010,0,0,2,4,0.004,0,3
6bba_4ffd3da3,706,689,689,0,0,3,6,0.0087,0,4
6bba_55b7eebe,705,688,688,0,0,1,2,0.0029,0,1
6bba_55c70843,490,467,467,0,0,0,0,0.0,0,0
6bba_57b7cc1e,1659,1592,1592,0,0,3,6,0.0038,0,4
6bba_5a4d9360,747,722,722,0,0,0,0,0.0,0,0
6bba_5b28472a,737,724,724,0,0,0,0,0.0,0,0
6bba_5c039895,1174,1145,1145,0,0,3,6,0.0052,0,3
6bba_5c824876,1170,1130,1130,0,0,1,2,0.0018,0,1
6bba_5dfe9ad1,1542,1487,1487,0,0,0,0,0.0,0,0
6bba_5f89039d,904,885,885,0,0,0,0,0.0,0,0
6bba_61dd1e0d,558,543,543,0,0,0,0,0.0,0,0
6bba_61ecbe65,640,614,614,0,0,1,2,0.0033,0,1
6bba_6321a359,827,798,798,0,0,1,2,0.0025,0,1
6bba_6479435d,617,580,580,0,0,0,0,0.0,0,0
6bba_67ebd073,462,438,438,0,0,1,2,0.0046,0,1
6bba_6ca87370,1081,1052,1052,0,0,1,2,0.0019,0,1
6bba_6db0e9b4,449,440,440,0,0,0,0,0.0,0,0
6bba_6feb10f0,1368,1343,1343,0,0,0,0,0.0,0,0
6bba_6feeb0b1,1389,1343,1343,0,0,0,0,0.0,0,0
6bba_705ec2c9,596,562,562,0,0,1,2,0.0036,0,2
6bba_718b21f9,661,652,652,0,0,0,0,0.0,0,0
6bba_74686d6a,586,576,576,0,0,2,4,0.0069,0,3
6bba_767a1e17,718,658,658,0,0,0,0,0.0,0,0
6bba_76db78c1,617,604,604,0,0,0,0,0.0,0,0
6bba_784a78c9,1788,1739,1739,0,0,1,2,0.0012,0,1
6bba_786893ac,1465,1395,1395,0,0,3,6,0.0043,0,5
6bba_789f8168,713,681,681,0,0,0,0,0.0,0,0
6bba_78a7bd97,886,832,832,0,0,2,4,0.0048,0,3
6bba_7af54fde,1131,1092,1092,0,0,2,4,0.0037,0,2
6bba_7b5d3b2c,565,555,555,0,0,0,0,0.0,0,0
6bba_7d3058ae,1200,1173,1173,0,0,2,4,0.0034,0,2
6bba_7f87b3d8,1000,934,934,0,0,3,6,0.0064,0,4
6bba_80d12824,680,654,654,0,0,1,2,0.0031,0,2
6bba_825bd1c6,968,930,930,0,0,0,0,0.0,0,0
6bba_87289e13,724,699,699,0,0,1,2,0.0029,0,2
6bba_8b7818bf,741,725,725,0,0,2,4,0.0055,0,2
6bba_907271db,945,921,921,0,0,1,2,0.0022,0,2
6bba_91951b3a,1188,1148,1148,0,0,0,0,0.0,0,0
6bba_96833384,758,721,721,0,0,0,0,0.0,0,0
6bba_969618f6,679,658,658,0,0,3,6,0.0091,0,5
6bba_971fa5e0,792,767,767,0,0,0,0,0.0,0,0
6bba_9a41d029,1401,1353,1353,0,0,2,4,0.003,0,3
6bba_9e23430b,914,891,891,0,0,1,2,0.0022,0,1
6bba_a5e926bb,741,698,698,0,0,0,0,0.0,0,0
6bba_a90a0b9c,1147,1112,1112,0,0,0,0,0.0,0,0
6bba_ab78413d,1179,1138,1138,0,0,2,4,0.0035,0,4
6bba_acd782a8,356,330,330,0,0,0,0,0.0,0,0
6bba_ae82a791,1495,1471,1471,0,0,0,0,0.0,0,0
6bba_aeee7805,795,768,768,0,0,1,2,0.0026,0,1
6bba_af149c94,1350,1317,1317,0,0,0,0,0.0,0,0
6bba_afb141ff,654,626,626,0,0,4,8,0.0128,0,5
6bba_b1ae37b9,612,579,579,0,0,0,0,0.0,0,0
6bba_b204cac7,826,811,811,0,0,2,4,0.0049,0,3
6bba_b329af44,1316,1268,1268,0,0,1,2,0.0016,0,1
6bba_b693381b,983,935,935,0,0,0,0,0.0,0,0
6bba_bb9f20c3,1925,1879,1879,0,0,3,6,0.0032,0,5
6bba_bbb708ca,892,861,861,0,0,0,0,0.0,0,0
6bba_c27cba08,517,493,493,0,0,0,0,0.0,0,0
6bba_c328f2fd,511,500,500,0,0,2,4,0.008,0,3
6bba_c73a1d11,737,710,710,0,0,0,0,0.0,0,0
6bba_cdcfe533,1419,1348,1348,0,0,4,8,0.0059,0,4
6bba_cf35214c,842,817,817,0,0,0,0,0.0,0,0
6bba_cff5865f,1571,1501,1501,0,0,0,0,0.0,0,0
6bba_d0fc38b5,835,813,813,0,0,0,0,0.0,0,0
6bba_d1acb6ff,681,643,643,0,0,1,2,0.0031,0,1
6bba_d2b9fc0c,944,921,921,0,0,2,4,0.0043,0,3
6bba_d3da753b,887,857,857,0,0,1,2,0.0023,0,2
6bba_d5eae175,528,519,519,0,0,0,0,0.0,0,0
6bba_d6ecebbb,886,862,862,0,0,0,0,0.0,0,0
6bba_d82a4fc6,545,530,530,0,0,0,0,0.0,0,0
6bba_debd7bfa,766,729,729,0,0,4,8,0.011,0,6
6bba_df673a83,668,654,654,0,0,4,8,0.0122,0,5
6bba_e16ffc58,964,942,942,0,0,1,2,0.0021,0,2
6bba_e5e44988,666,634,634,0,0,0,0,0.0,0,0
6bba_ebdf3b34,847,803,803,0,0,2,4,0.005,0,3
6bba_ebff6e76,1318,1264,1264,0,0,0,0,0.0,0,0
6bba_ed9377fd,531,508,508,0,0,0,0,0.0,0,0
6bba_edf14583,801,760,760,0,0,0,0,0.0,0,0
6bba_eebc57a5,1026,989,989,0,0,0,0,0.0,0,0
6bba_ef7b4f7e,1234,1201,1201,0,0,2,4,0.0033,0,3
6bba_f17befbc,1078,1015,1015,0,0,0,0,0.0,0,0
6bba_f1fde7e0,476,446,446,0,0,0,0,0.0,0,0
6bba_f20478e9,1003,963,963,0,0,1,2,0.0021,0,1
6bba_f4ae811c,1001,965,965,0,0,0,0,0.0,0,0
6bba_f8ffd5e7,389,370,370,0,0,2,4,0.0108,0,3
6bba_fbc898dc,655,639,639,0,0,0,0,0.0,0,0
6bba_fc516dc6,788,762,762,0,0,0,0,0.0,0,0
6bba_fc5f39dc,471,458,458,0,0,2,4,0.0087,0,3
6bba_fc83837d,957,923,923,0,0,0,0,0.0,0,0
6bba_fe670320,716,680,680,0,0,2,4,0.0059,0,4
