dataset,optimal_threshold,opt_pe_ratio,opt_recall,opt_score
44b6_8f9ecab4,0.001,0.9402,0.6541,0.6541
44b6_90724892,0.002,0.9334,0.8447,0.8447
44b6_949adeb1,0.002,0.9797,0.6481,0.6481
44b6_95029e92,0.005,0.9818,0.9949,0.9949
44b6_97725144,0.005,0.9331,0.6199,0.6199
44b6_996155de,0.02,0.9155,0.435,0.435
44b6_9be80b04,0.002,0.8282,0.3955,0.3955
44b6_9bfa6a0a,0.001,0.9833,0.5676,0.5676
44b6_a21120c2,0.001,0.9655,0.8531,0.8531
44b6_a2bb48bb,0.002,0.9553,0.461,0.461
44b6_aaf8b0ea,0.0002,0.9641,0.9854,0.9854
44b6_abf82518,0.001,0.9696,0.9787,0.9787
44b6_b2c44266,0.002,0.841,0.6071,0.6071
44b6_c15fded2,0.001,0.9786,0.7451,0.7451
44b6_c50204e0,0.002,0.9303,0.4246,0.4246
44b6_c771cb04,0.002,0.9091,0.5381,0.5381
44b6_c8e2a523,0.002,0.9123,0.8415,0.8415
44b6_c96cfa10,0.001,0.9899,0.789,0.789
44b6_cf2536e8,0.001,0.9252,0.5067,0.5067
44b6_cf8fed6b,0.001,0.9604,0.7979,0.7979
44b6_d29c9ab2,0.002,0.9338,0.7169,0.7169
44b6_d2f34f90,0.002,0.935,0.5053,0.5053
44b6_d5e7d891,0.002,0.9342,0.4905,0.4905
44b6_d754aa59,0.01,0.9803,0.8714,0.8714
44b6_d78e09d9,0.002,0.969,0.7672,0.7672
44b6_db3c847b,0.005,0.907,0.6728,0.6728
44b6_ddf577ad,0.001,0.9629,0.5966,0.5966
44b6_deabac95,0.005,0.9405,0.7177,0.7177
44b6_e28840c6,0.001,0.9205,0.5049,0.5049
44b6_e29f0176,0.0002,0.9895,0.4,0.4
44b6_e31261b4,0.001,0.9152,0.7257,0.7257
44b6_e35b117d,0.005,0.8946,0.4549,0.4549
44b6_e57ff5c6,0.0005,0.9887,0.5538,0.5538
44b6_eb2880fc,0.0005,0.9704,0.7836,0.7836
44b6_f28707c6,0.005,0.93,0.541,0.541
6bba_05b6850b,0.01,0.987,0.8107,0.8107
6bba_05db0fb1,0.001,0.9892,0.7194,0.7194
6bba_062c8d37,0.005,0.97,0.8062,0.8062
6bba_07477033,0.015,0.9648,0.8256,0.8256
6bba_07e24132,0.01,0.7039,0.4348,0.4348
6bba_085bf656,0.005,0.9676,0.8057,0.8057
6bba_09961292,0.002,0.8704,0.5692,0.5692
6bba_0c7fa718,0.002,0.9186,0.61,0.61
6bba_0e7c0d07,0.002,0.9551,0.6919,0.6919
6bba_12665c0e,0.002,0.9773,0.8727,0.8727
6bba_13f19531,0.005,0.973,0.8693,0.8693
6bba_15403b9a,0.002,0.9752,0.7394,0.7394
6bba_1d0d8384,0.002,0.9482,0.5429,0.5429
6bba_1ebfb80d,0.005,0.887,0.6565,0.6565
6bba_1f58c2f6,0.002,0.9719,0.6722,0.6722
6bba_207c6aaf,0.005,0.9127,0.4378,0.4378
6bba_20852818,0.005,0.9388,0.7712,0.7712
6bba_2312ac41,0.002,0.9739,0.8993,0.8993
6bba_23af9eeb,0.01,0.9748,0.8357,0.8357
6bba_2540cd90,0.01,0.927,0.5736,0.5736
6bba_2646afc7,0.01,0.9563,0.6144,0.6144
6bba_268e1230,0.002,0.9841,0.6814,0.6814
6bba_2819ca14,0.005,0.9747,0.7756,0.7756
6bba_283bf9f1,0.0005,0.9783,0.7756,0.7756
6bba_312f0dc3,0.001,0.9782,0.702,0.702
6bba_32db13fc,0.002,0.9354,0.5302,0.5302
6bba_337b1b3a,0.001,0.9771,0.8681,0.8681
6bba_372c8cb8,0.01,0.9398,0.8788,0.8788
6bba_3a1849c2,0.01,0.9259,0.6769,0.6769
6bba_3abfe10a,0.002,0.9537,0.6203,0.6203
6bba_3c5691b6,0.01,0.9677,0.8539,0.8539
6bba_3db54e20,0.001,0.9668,0.6392,0.6392
6bba_3fda6b25,0.001,0.972,0.905,0.905
6bba_43fea39d,0.005,0.9835,0.8648,0.8648
6bba_474be664,0.005,0.8983,0.1643,0.1643
6bba_48816121,0.002,0.9662,0.7952,0.7952
6bba_4aa14c89,0.001,0.9783,0.8678,0.8678
6bba_4f99ce20,0.005,0.974,0.8495,0.8495
6bba_4ffd3da3,0.001,0.9775,0.5791,0.5791
6bba_55b7eebe,0.005,0.9747,0.8721,0.8721
6bba_55c70843,0.002,0.924,0.4754,0.4754
6bba_57b7cc1e,0.002,0.9697,0.4479,0.4479
6bba_5a4d9360,0.001,0.9864,0.6537,0.6537
6bba_5b28472a,0.01,0.9361,0.8936,0.8936
6bba_5c039895,0.005,0.9317,0.7424,0.7424
6bba_5c824876,0.002,0.9696,0.8434,0.8434
6bba_5dfe9ad1,0.002,0.9826,0.7552,0.7552
6bba_5f89039d,0.01,0.9679,0.8395,0.8395
6bba_61dd1e0d,0.002,0.9678,0.8416,0.8416
6bba_61ecbe65,0.002,0.968,0.7622,0.7622
6bba_6321a359,0.01,0.9475,0.8709,0.8709
6bba_6479435d,0.002,0.9261,0.5052,0.5052
6bba_67ebd073,0.002,0.9764,0.6941,0.6941
6bba_6ca87370,0.005,0.9541,0.7433,0.7433
6bba_6db0e9b4,0.002,0.9764,0.8159,0.8159
6bba_6feb10f0,0.0002,0.9425,0.1102,0.1102
6bba_6feeb0b1,0.005,0.9742,0.6299,0.6299
6bba_705ec2c9,0.005,0.9493,0.7313,0.7313
6bba_718b21f9,0.01,0.9621,0.6365,0.6365
6bba_74686d6a,0.0002,0.9062,0.783,0.783
6bba_767a1e17,0.002,0.9171,0.5973,0.5973
6bba_76db78c1,0.005,0.9825,0.8411,0.8411
6bba_784a78c9,0.001,0.9821,0.9137,0.9137
6bba_786893ac,0.002,0.9084,0.4495,0.4495
6bba_789f8168,0.005,0.9226,0.8032,0.8032
6bba_78a7bd97,0.0002,0.986,0.5433,0.5433
6bba_7af54fde,0.002,0.9863,0.8745,0.8745
6bba_7b5d3b2c,0.002,0.9746,0.8252,0.8252
6bba_7d3058ae,0.005,0.9606,0.8065,0.8065
6bba_7f87b3d8,0.002,0.9625,0.666,0.666
6bba_80d12824,0.005,0.9574,0.7798,0.7798
6bba_825bd1c6,0.005,0.9755,0.6688,0.6688
6bba_87289e13,0.002,0.9582,0.8112,0.8112
6bba_8b7818bf,0.015,0.9605,0.8593,0.8593
6bba_907271db,0.005,0.961,0.6775,0.6775
6bba_91951b3a,0.002,0.9686,0.8702,0.8702
6bba_96833384,0.005,0.9593,0.7975,0.7975
6bba_969618f6,0.0005,0.9856,0.807,0.807
6bba_971fa5e0,0.01,0.9802,0.7653,0.7653
6bba_9a41d029,0.002,0.9551,0.7517,0.7517
6bba_9e23430b,0.002,0.9476,0.8373,0.8373
6bba_a5e926bb,0.002,0.9727,0.8009,0.8009
6bba_a90a0b9c,0.001,0.9806,0.5764,0.5764
6bba_ab78413d,0.005,0.8918,0.2214,0.2214
6bba_acd782a8,0.002,0.9764,0.7545,0.7545
6bba_ae82a791,0.01,0.9537,0.8232,0.8232
6bba_aeee7805,0.005,0.9613,0.9154,0.9154
6bba_af149c94,0.002,0.9896,0.8079,0.8079
6bba_afb141ff,0.005,0.9827,0.8291,0.8291
6bba_b1ae37b9,0.002,0.9039,0.7444,0.7444
6bba_b204cac7,0.01,0.8612,0.5869,0.5869
6bba_b329af44,0.002,0.8983,0.5552,0.5552
6bba_b693381b,0.03,0.9439,0.7551,0.7551
6bba_bb9f20c3,0.002,0.9313,0.6578,0.6578
6bba_bbb708ca,0.002,0.99,0.8804,0.8804
6bba_c27cba08,0.0005,0.9753,0.8235,0.8235
6bba_c328f2fd,0.002,0.9436,0.61,0.61
6bba_c73a1d11,0.005,0.8711,0.2887,0.2887
6bba_cdcfe533,0.001,0.9719,0.8739,0.8739
6bba_cf35214c,0.002,0.98,0.8531,0.8531
6bba_cff5865f,0.002,0.9227,0.7169,0.7169
6bba_d0fc38b5,0.015,0.9594,0.8081,0.8081
6bba_d1acb6ff,0.001,0.9821,0.7372,0.7372
6bba_d2b9fc0c,0.005,0.8283,0.722,0.722
6bba_d3da753b,0.005,0.8456,0.6103,0.6103
6bba_d5eae175,0.01,0.9252,0.5838,0.5838
6bba_d6ecebbb,0.01,0.9058,0.6531,0.6531
6bba_d82a4fc6,0.002,0.8753,0.7434,0.7434
6bba_debd7bfa,0.001,0.9894,0.7106,0.7106
6bba_df673a83,0.005,0.9499,0.8073,0.8073
6bba_e16ffc58,0.01,0.9763,0.6316,0.6316
6bba_e5e44988,0.002,0.9815,0.7019,0.7019
6bba_ebdf3b34,0.002,0.8878,0.665,0.665
6bba_ebff6e76,0.002,0.9504,0.4889,0.4889
6bba_ed9377fd,0.03,0.9476,0.7382,0.7382
6bba_edf14583,0.0005,0.9715,0.8,0.8
6bba_eebc57a5,0.0002,0.9846,0.7391,0.7391
6bba_ef7b4f7e,0.001,0.9843,0.95,0.95
6bba_f17befbc,0.0005,0.9776,0.7163,0.7163
6bba_f1fde7e0,0.001,0.9825,0.6009,0.6009
6bba_f20478e9,0.005,0.9555,0.7882,0.7882
6bba_f4ae811c,0.001,0.9806,0.8788,0.8788
6bba_f8ffd5e7,0.002,0.9246,0.6703,0.6703
6bba_fbc898dc,0.01,0.9532,0.9531,0.9531
6bba_fc516dc6,0.005,0.9697,0.7257,0.7257
6bba_fc5f39dc,0.005,0.9359,0.5983,0.5983
6bba_fc83837d,0.0005,0.9885,0.7118,0.7118
6bba_fe670320,0.002,0.9818,0.7309,0.7309
