max_r,n_cand,n_pred,tp,recall,pe,penalty,score,time,dataset,is_fast
8.0,212957,53575,84,0.7058823529411765,0.7914992317692944,1.0,0.7058823529411765,5.596631288528442,44b6_71a4179f,False
9.0,288920,52682,84,0.7058823529411765,0.7783063467675215,1.0,0.7058823529411765,5.6430277824401855,44b6_71a4179f,False
10.0,376770,52412,85,0.7142857142857143,0.7743174565654178,1.0,0.7142857142857143,5.97684383392334,44b6_71a4179f,False
5.0,82711,56898,94,0.7899159663865546,0.8703193832599119,1.0,0.7899159663865546,4.371672868728638,44b6_144b256d,False
6.0,98577,55609,94,0.7899159663865546,0.8506026676456192,1.0,0.7899159663865546,4.148421049118042,44b6_144b256d,False
7.0,127638,53160,94,0.7899159663865546,0.8131424375917768,1.0,0.7899159663865546,4.650385856628418,44b6_144b256d,False
8.0,171376,51061,94,0.7899159663865546,0.7810358541360743,1.0,0.7899159663865546,4.802036762237549,44b6_144b256d,False
9.0,232456,49801,94,0.7899159663865546,0.7617627263827704,1.0,0.7899159663865546,4.972161293029785,44b6_144b256d,False
10.0,302950,49367,92,0.773109243697479,0.7551242046010769,1.0,0.773109243697479,5.186395883560181,44b6_144b256d,False
5.0,62256,46597,118,0.5959595959595959,0.884025801555682,1.0,0.5959595959595959,2.757267713546753,44b6_66f9292d,False
6.0,71411,46383,119,0.601010101010101,0.8799658508821856,1.0,0.601010101010101,2.7976033687591553,44b6_66f9292d,False
7.0,87706,45346,118,0.5959595959595959,0.8602921646746348,1.0,0.5959595959595959,3.0187971591949463,44b6_66f9292d,False
8.0,113376,44072,116,0.5858585858585859,0.8361221779548472,1.0,0.5858585858585859,3.1627588272094727,44b6_66f9292d,False
9.0,152882,42964,116,0.5858585858585859,0.8151014987668375,1.0,0.5858585858585859,3.1661877632141113,44b6_66f9292d,False
10.0,200229,42529,113,0.5707070707070707,0.8068487952950104,1.0,0.5707070707070707,3.3788318634033203,44b6_66f9292d,False
5.0,107172,72756,229,0.7411003236245954,0.9741584768229655,1.0,0.7411003236245954,5.705455780029297,44b6_e28840c6,False
6.0,132686,71486,219,0.7087378640776699,0.957153951209062,1.0,0.7087378640776699,5.4150450229644775,44b6_e28840c6,False
7.0,175951,69777,210,0.6796116504854369,0.9342714832766515,1.0,0.6796116504854369,5.837823152542114,44b6_e28840c6,False
8.0,241660,68394,204,0.6601941747572816,0.9157539565648181,1.0,0.6601941747572816,5.983863592147827,44b6_e28840c6,False
9.0,335172,67807,199,0.6440129449838188,0.9078943844897304,1.0,0.6440129449838188,6.579147815704346,44b6_e28840c6,False
10.0,444448,67797,196,0.6343042071197411,0.9077604905872586,1.0,0.6343042071197411,7.0118327140808105,44b6_e28840c6,False
5.0,110891,60983,76,0.6495726495726496,0.8724570087842285,1.0,0.6495726495726496,5.929434061050415,44b6_706092f0,False
6.0,140903,59270,77,0.6581196581196581,0.847949869810295,1.0,0.6581196581196581,5.659732818603516,44b6_706092f0,False
7.0,188101,57002,75,0.6410256410256411,0.815502589487539,1.0,0.6410256410256411,6.17606520652771,44b6_706092f0,False
8.0,255655,55275,73,0.6239316239316239,0.7907951586597614,1.0,0.6239316239316239,6.50806999206543,44b6_706092f0,False
9.0,349893,54328,72,0.6153846153846154,0.7772468454033019,1.0,0.6153846153846154,6.620450496673584,44b6_706092f0,False
10.0,459929,54061,72,0.6153846153846154,0.7734269936192738,1.0,0.6153846153846154,7.3114941120147705,44b6_706092f0,False
