dataset,threshold,threshold_single,raw_nodes,filtered_nodes,est_nodes,pe_ratio,in_ideal_pe,pred_edges,tp_edges,gt_edges,edge_recall,penalty,kaggle_score
44b6_267148e4,0.0002,0.0001,23333,21805,19130,1.1398,False,19079,170,277,0.6137,0.8602,0.5279
44b6_267148e4,0.0005,0.00025,23333,21316,19130,1.1143,False,18467,166,277,0.5993,0.8857,0.5308
44b6_267148e4,0.001,0.0005,23333,20639,19130,1.0789,False,17636,156,277,0.5632,0.9211,0.5188
44b6_267148e4,0.002,0.001,23333,19607,19130,1.0249,False,16393,141,277,0.509,0.9751,0.4963
44b6_267148e4,0.005,0.0025,23333,17142,19130,0.8961,False,13675,114,277,0.4116,1.0,0.4116
44b6_267148e4,0.01,0.005,23333,14585,19130,0.7624,False,11083,100,277,0.361,1.0,0.361
44b6_267148e4,0.015,0.0075,23333,12855,19130,0.672,False,9427,86,277,0.3105,1.0,0.3105
44b6_267148e4,0.02,0.01,23333,11540,19130,0.6032,False,8207,76,277,0.2744,1.0,0.2744
44b6_267148e4,0.03,0.015,23333,9518,19130,0.4975,False,6450,62,277,0.2238,1.0,0.2238
44b6_267148e4,0.05,0.025,23333,7063,19130,0.3692,False,4472,43,277,0.1552,1.0,0.1552
44b6_2f31fc2f,0.0002,0.0001,26695,24881,24368,1.0211,False,21094,42,85,0.4941,0.9789,0.4837
44b6_2f31fc2f,0.0005,0.00025,26695,24399,24368,1.0013,False,20472,40,85,0.4706,0.9987,0.47
44b6_2f31fc2f,0.001,0.0005,26695,23544,24368,0.9662,True,19360,37,85,0.4353,1.0,0.4353
44b6_2f31fc2f,0.002,0.001,26695,21958,24368,0.9011,True,17362,33,85,0.3882,1.0,0.3882
44b6_2f31fc2f,0.005,0.0025,26695,17664,24368,0.7249,False,12868,19,85,0.2235,1.0,0.2235
44b6_2f31fc2f,0.01,0.005,26695,13003,24368,0.5336,False,8759,10,85,0.1176,1.0,0.1176
44b6_2f31fc2f,0.015,0.0075,26695,10110,24368,0.4149,False,6460,6,85,0.0706,1.0,0.0706
44b6_2f31fc2f,0.02,0.01,26695,8024,24368,0.3293,False,4912,4,85,0.0471,1.0,0.0471
44b6_2f31fc2f,0.03,0.015,26695,5316,24368,0.2182,False,3043,1,85,0.0118,1.0,0.0118
44b6_2f31fc2f,0.05,0.025,26695,2893,24368,0.1187,False,1565,1,85,0.0118,1.0,0.0118
44b6_415c0a3a,0.0002,0.0001,63058,60194,57292,1.0507,False,54664,215,322,0.6677,0.9493,0.6339
44b6_415c0a3a,0.0005,0.00025,63058,57788,57292,1.0087,False,50981,211,322,0.6553,0.9913,0.6496
44b6_415c0a3a,0.001,0.0005,63058,53582,57292,0.9352,True,45226,205,322,0.6366,1.0,0.6366
44b6_415c0a3a,0.002,0.001,63058,46322,57292,0.8085,False,36492,185,322,0.5745,1.0,0.5745
44b6_415c0a3a,0.005,0.0025,63058,31349,57292,0.5472,False,21640,134,322,0.4161,1.0,0.4161
44b6_415c0a3a,0.01,0.005,63058,18498,57292,0.3229,False,11822,91,322,0.2826,1.0,0.2826
44b6_415c0a3a,0.015,0.0075,63058,12581,57292,0.2196,False,7779,75,322,0.2329,1.0,0.2329
44b6_415c0a3a,0.02,0.01,63058,9372,57292,0.1636,False,5670,61,322,0.1894,1.0,0.1894
44b6_415c0a3a,0.03,0.015,63058,6093,57292,0.1063,False,3522,43,322,0.1335,1.0,0.1335
44b6_415c0a3a,0.05,0.025,63058,3198,57292,0.0558,False,1770,26,322,0.0807,1.0,0.0807
44b6_587a1e22,0.0002,0.0001,20126,19482,18137,1.0742,False,17973,326,371,0.8787,0.9258,0.8135
44b6_587a1e22,0.0005,0.00025,20126,19035,18137,1.0495,False,17340,318,371,0.8571,0.9505,0.8147
44b6_587a1e22,0.001,0.0005,20126,18483,18137,1.0191,False,16441,305,371,0.8221,0.9809,0.8064
44b6_587a1e22,0.002,0.001,20126,17461,18137,0.9627,True,14865,282,371,0.7601,1.0,0.7601
44b6_587a1e22,0.005,0.0025,20126,14389,18137,0.7934,False,10962,197,371,0.531,1.0,0.531
44b6_587a1e22,0.01,0.005,20126,10522,18137,0.5801,False,7165,117,371,0.3154,1.0,0.3154
44b6_587a1e22,0.015,0.0075,20126,8082,18137,0.4456,False,5236,94,371,0.2534,1.0,0.2534
44b6_587a1e22,0.02,0.01,20126,6482,18137,0.3574,False,4037,74,371,0.1995,1.0,0.1995
44b6_587a1e22,0.03,0.015,20126,4539,18137,0.2503,False,2715,50,371,0.1348,1.0,0.1348
44b6_587a1e22,0.05,0.025,20126,2743,18137,0.1512,False,1567,31,371,0.0836,1.0,0.0836
44b6_87bba6c4,0.0002,0.0001,32189,30077,28102,1.0703,False,25993,86,149,0.5772,0.9297,0.5366
44b6_87bba6c4,0.0005,0.00025,32189,29386,28102,1.0457,False,25126,83,149,0.557,0.9543,0.5316
44b6_87bba6c4,0.001,0.0005,32189,28462,28102,1.0128,False,23947,78,149,0.5235,0.9872,0.5168
44b6_87bba6c4,0.002,0.001,32189,26892,28102,0.9569,True,22078,71,149,0.4765,1.0,0.4765
44b6_87bba6c4,0.005,0.0025,32189,23272,28102,0.8281,False,18033,67,149,0.4497,1.0,0.4497
44b6_87bba6c4,0.01,0.005,32189,19032,28102,0.6772,False,14001,57,149,0.3826,1.0,0.3826
44b6_87bba6c4,0.015,0.0075,32189,16149,28102,0.5747,False,11512,49,149,0.3289,1.0,0.3289
44b6_87bba6c4,0.02,0.01,32189,14151,28102,0.5036,False,9738,44,149,0.2953,1.0,0.2953
44b6_87bba6c4,0.03,0.015,32189,11161,28102,0.3972,False,7258,34,149,0.2282,1.0,0.2282
44b6_87bba6c4,0.05,0.025,32189,7446,28102,0.265,False,4490,23,149,0.1544,1.0,0.1544
44b6_aaf8b0ea,0.0002,0.0001,22226,21307,22099,0.9642,True,19549,202,206,0.9806,1.0,0.9806
44b6_aaf8b0ea,0.0005,0.00025,22226,20987,22099,0.9497,True,19145,202,206,0.9806,1.0,0.9806
44b6_aaf8b0ea,0.001,0.0005,22226,20541,22099,0.9295,True,18591,202,206,0.9806,1.0,0.9806
44b6_aaf8b0ea,0.002,0.001,22226,19835,22099,0.8976,False,17670,199,206,0.966,1.0,0.966
44b6_aaf8b0ea,0.005,0.0025,22226,18124,22099,0.8201,False,15559,195,206,0.9466,1.0,0.9466
44b6_aaf8b0ea,0.01,0.005,22226,16096,22099,0.7284,False,13279,190,206,0.9223,1.0,0.9223
44b6_aaf8b0ea,0.015,0.0075,22226,14706,22099,0.6655,False,11781,177,206,0.8592,1.0,0.8592
44b6_aaf8b0ea,0.02,0.01,22226,13562,22099,0.6137,False,10550,167,206,0.8107,1.0,0.8107
44b6_aaf8b0ea,0.03,0.015,22226,11827,22099,0.5352,False,8720,139,206,0.6748,1.0,0.6748
44b6_aaf8b0ea,0.05,0.025,22226,9194,22099,0.416,False,6189,97,206,0.4709,1.0,0.4709
44b6_c15fded2,0.0002,0.0001,22883,21344,20585,1.0369,False,19042,78,102,0.7647,0.9631,0.7365
44b6_c15fded2,0.0005,0.00025,22883,20851,20585,1.0129,False,18441,78,102,0.7647,0.9871,0.7548
44b6_c15fded2,0.001,0.0005,22883,20165,20585,0.9796,True,17583,76,102,0.7451,1.0,0.7451
44b6_c15fded2,0.002,0.001,22883,19023,20585,0.9241,True,16205,73,102,0.7157,1.0,0.7157
44b6_c15fded2,0.005,0.0025,22883,16651,20585,0.8089,False,13536,58,102,0.5686,1.0,0.5686
44b6_c15fded2,0.01,0.005,22883,14091,20585,0.6845,False,10853,45,102,0.4412,1.0,0.4412
44b6_c15fded2,0.015,0.0075,22883,12401,20585,0.6024,False,9157,37,102,0.3627,1.0,0.3627
44b6_c15fded2,0.02,0.01,22883,11123,20585,0.5403,False,7925,29,102,0.2843,1.0,0.2843
44b6_c15fded2,0.03,0.015,22883,9193,20585,0.4466,False,6206,25,102,0.2451,1.0,0.2451
44b6_c15fded2,0.05,0.025,22883,6803,20585,0.3305,False,4254,18,102,0.1765,1.0,0.1765
44b6_cf8fed6b,0.0002,0.0001,47912,45882,43729,1.0492,False,41352,173,188,0.9202,0.9508,0.8749
44b6_cf8fed6b,0.0005,0.00025,47912,44412,43729,1.0156,False,38923,169,188,0.8989,0.9844,0.8849
44b6_cf8fed6b,0.001,0.0005,47912,42080,43729,0.9623,True,35218,149,188,0.7926,1.0,0.7926
44b6_cf8fed6b,0.002,0.001,47912,37654,43729,0.8611,False,29226,131,188,0.6968,1.0,0.6968
44b6_cf8fed6b,0.005,0.0025,47912,26312,43729,0.6017,False,17533,84,188,0.4468,1.0,0.4468
44b6_cf8fed6b,0.01,0.005,47912,15486,43729,0.3541,False,9265,46,188,0.2447,1.0,0.2447
44b6_cf8fed6b,0.015,0.0075,47912,10120,43729,0.2314,False,5792,26,188,0.1383,1.0,0.1383
44b6_cf8fed6b,0.02,0.01,47912,7222,43729,0.1652,False,4032,14,188,0.0745,1.0,0.0745
44b6_cf8fed6b,0.03,0.015,47912,4261,43729,0.0974,False,2332,8,188,0.0426,1.0,0.0426
44b6_cf8fed6b,0.05,0.025,47912,2069,43729,0.0473,False,1109,3,188,0.016,1.0,0.016
6bba_20852818,0.0002,0.0001,11139,10779,9758,1.1046,False,9685,733,909,0.8064,0.8954,0.722
6bba_20852818,0.0005,0.00025,11139,10661,9758,1.0925,False,9502,733,909,0.8064,0.9075,0.7318
6bba_20852818,0.001,0.0005,11139,10474,9758,1.0734,False,9209,729,909,0.802,0.9266,0.7431
6bba_20852818,0.002,0.001,11139,10153,9758,1.0405,False,8743,721,909,0.7932,0.9595,0.7611
6bba_20852818,0.005,0.0025,11139,9429,9758,0.9663,True,7760,700,909,0.7701,1.0,0.7701
6bba_20852818,0.01,0.005,11139,8573,9758,0.8786,False,6686,652,909,0.7173,1.0,0.7173
6bba_20852818,0.015,0.0075,11139,7913,9758,0.8109,False,5964,607,909,0.6678,1.0,0.6678
6bba_20852818,0.02,0.01,11139,7452,9758,0.7637,False,5484,572,909,0.6293,1.0,0.6293
6bba_20852818,0.03,0.015,11139,6685,9758,0.6851,False,4685,515,909,0.5666,1.0,0.5666
6bba_20852818,0.05,0.025,11139,5724,9758,0.5866,False,3771,454,909,0.4994,1.0,0.4994
6bba_2312ac41,0.0002,0.0001,12510,12145,11950,1.0163,False,11224,1021,1132,0.9019,0.9837,0.8872
6bba_2312ac41,0.0005,0.00025,12510,12031,11950,1.0068,False,11094,1021,1132,0.9019,0.9932,0.8958
6bba_2312ac41,0.001,0.0005,12510,11883,11950,0.9944,False,10927,1020,1132,0.9011,1.0,0.9011
6bba_2312ac41,0.002,0.001,12510,11640,11950,0.9741,True,10654,1018,1132,0.8993,1.0,0.8993
6bba_2312ac41,0.005,0.0025,12510,11196,11950,0.9369,True,10083,1008,1132,0.8905,1.0,0.8905
6bba_2312ac41,0.01,0.005,12510,10631,11950,0.8896,False,9361,984,1132,0.8693,1.0,0.8693
6bba_2312ac41,0.015,0.0075,12510,10190,11950,0.8527,False,8706,953,1132,0.8419,1.0,0.8419
6bba_2312ac41,0.02,0.01,12510,9795,11950,0.8197,False,8047,921,1132,0.8136,1.0,0.8136
6bba_2312ac41,0.03,0.015,12510,8908,11950,0.7454,False,6825,863,1132,0.7624,1.0,0.7624
6bba_2312ac41,0.05,0.025,12510,7003,11950,0.586,False,4823,742,1132,0.6555,1.0,0.6555
6bba_23af9eeb,0.0002,0.0001,5289,5070,4450,1.1393,False,4649,430,499,0.8617,0.8607,0.7417
6bba_23af9eeb,0.0005,0.00025,5289,5046,4450,1.1339,False,4610,430,499,0.8617,0.8661,0.7463
6bba_23af9eeb,0.001,0.0005,5289,4985,4450,1.1202,False,4539,430,499,0.8617,0.8798,0.7581
6bba_23af9eeb,0.002,0.001,5289,4893,4450,1.0996,False,4415,430,499,0.8617,0.9004,0.7759
6bba_23af9eeb,0.005,0.0025,5289,4658,4450,1.0467,False,4154,425,499,0.8517,0.9533,0.8119
6bba_23af9eeb,0.01,0.005,5289,4414,4450,0.9919,False,3903,420,499,0.8417,1.0,0.8417
6bba_23af9eeb,0.015,0.0075,5289,4280,4450,0.9618,True,3752,417,499,0.8357,1.0,0.8357
6bba_23af9eeb,0.02,0.01,5289,4201,4450,0.944,True,3660,416,499,0.8337,1.0,0.8337
6bba_23af9eeb,0.03,0.015,5289,4043,4450,0.9085,True,3470,407,499,0.8156,1.0,0.8156
6bba_23af9eeb,0.05,0.025,5289,3767,4450,0.8465,False,3126,398,499,0.7976,1.0,0.7976
6bba_61ecbe65,0.0002,0.0001,6168,5870,5774,1.0166,False,5075,469,614,0.7638,0.9834,0.7511
6bba_61ecbe65,0.0005,0.00025,6168,5813,5774,1.0068,False,4998,469,614,0.7638,0.9932,0.7587
6bba_61ecbe65,0.001,0.0005,6168,5725,5774,0.9915,False,4904,469,614,0.7638,1.0,0.7638
6bba_61ecbe65,0.002,0.001,6168,5601,5774,0.97,True,4767,468,614,0.7622,1.0,0.7622
6bba_61ecbe65,0.005,0.0025,6168,5385,5774,0.9326,True,4531,466,614,0.759,1.0,0.759
6bba_61ecbe65,0.01,0.005,6168,5192,5774,0.8992,False,4305,463,614,0.7541,1.0,0.7541
6bba_61ecbe65,0.015,0.0075,6168,5038,5774,0.8725,False,4095,455,614,0.741,1.0,0.741
6bba_61ecbe65,0.02,0.01,6168,4897,5774,0.8481,False,3903,451,614,0.7345,1.0,0.7345
6bba_61ecbe65,0.03,0.015,6168,4636,5774,0.8029,False,3525,443,614,0.7215,1.0,0.7215
6bba_61ecbe65,0.05,0.025,6168,4031,5774,0.6981,False,2841,423,614,0.6889,1.0,0.6889
6bba_6feb10f0,0.0002,0.0001,8993,8356,8862,0.9429,True,7240,147,1343,0.1095,1.0,0.1095
6bba_6feb10f0,0.0005,0.00025,8993,8239,8862,0.9297,True,7066,147,1343,0.1095,1.0,0.1095
6bba_6feb10f0,0.001,0.0005,8993,7988,8862,0.9014,True,6726,140,1343,0.1042,1.0,0.1042
6bba_6feb10f0,0.002,0.001,8993,7522,8862,0.8488,False,6128,125,1343,0.0931,1.0,0.0931
6bba_6feb10f0,0.005,0.0025,8993,6408,8862,0.7231,False,4982,101,1343,0.0752,1.0,0.0752
6bba_6feb10f0,0.01,0.005,8993,5412,8862,0.6107,False,3998,87,1343,0.0648,1.0,0.0648
6bba_6feb10f0,0.015,0.0075,8993,4860,8862,0.5484,False,3465,77,1343,0.0573,1.0,0.0573
6bba_6feb10f0,0.02,0.01,8993,4465,8862,0.5038,False,3048,73,1343,0.0544,1.0,0.0544
6bba_6feb10f0,0.03,0.015,8993,3851,8862,0.4346,False,2487,61,1343,0.0454,1.0,0.0454
6bba_6feb10f0,0.05,0.025,8993,3057,8862,0.345,False,1880,51,1343,0.038,1.0,0.038
6bba_705ec2c9,0.0002,0.0001,6479,6075,5600,1.0848,False,5303,428,562,0.7616,0.9152,0.697
6bba_705ec2c9,0.0005,0.00025,6479,6025,5600,1.0759,False,5225,427,562,0.7598,0.9241,0.7021
6bba_705ec2c9,0.001,0.0005,6479,5915,5600,1.0562,False,5080,425,562,0.7562,0.9438,0.7137
6bba_705ec2c9,0.002,0.001,6479,5763,5600,1.0291,False,4897,422,562,0.7509,0.9709,0.729
6bba_705ec2c9,0.005,0.0025,6479,5443,5600,0.972,True,4516,412,562,0.7331,1.0,0.7331
6bba_705ec2c9,0.01,0.005,6479,5104,5600,0.9114,True,4123,402,562,0.7153,1.0,0.7153
6bba_705ec2c9,0.015,0.0075,6479,4853,5600,0.8666,False,3837,389,562,0.6922,1.0,0.6922
6bba_705ec2c9,0.02,0.01,6479,4666,5600,0.8332,False,3638,383,562,0.6815,1.0,0.6815
6bba_705ec2c9,0.03,0.015,6479,4356,5600,0.7779,False,3317,375,562,0.6673,1.0,0.6673
6bba_705ec2c9,0.05,0.025,6479,3925,5600,0.7009,False,2840,357,562,0.6352,1.0,0.6352
6bba_7f87b3d8,0.0002,0.0001,12425,11351,10581,1.0728,False,9187,651,934,0.697,0.9272,0.6463
6bba_7f87b3d8,0.0005,0.00025,12425,11175,10581,1.0561,False,8972,649,934,0.6949,0.9439,0.6559
6bba_7f87b3d8,0.001,0.0005,12425,10914,10581,1.0315,False,8669,643,934,0.6884,0.9685,0.6668
6bba_7f87b3d8,0.002,0.001,12425,10461,10581,0.9887,True,8177,626,934,0.6702,1.0,0.6702
6bba_7f87b3d8,0.005,0.0025,12425,9485,10581,0.8964,False,7073,570,934,0.6103,1.0,0.6103
6bba_7f87b3d8,0.01,0.005,12425,8459,10581,0.7995,False,5948,490,934,0.5246,1.0,0.5246
6bba_7f87b3d8,0.015,0.0075,12425,7744,10581,0.7319,False,5227,434,934,0.4647,1.0,0.4647
6bba_7f87b3d8,0.02,0.01,12425,7093,10581,0.6704,False,4673,396,934,0.424,1.0,0.424
6bba_7f87b3d8,0.03,0.015,12425,6234,10581,0.5892,False,3960,326,934,0.349,1.0,0.349
6bba_7f87b3d8,0.05,0.025,12425,5266,10581,0.4977,False,3199,265,934,0.2837,1.0,0.2837
6bba_907271db,0.0002,0.0001,8209,7780,7306,1.0649,False,7084,644,921,0.6992,0.9351,0.6539
6bba_907271db,0.0005,0.00025,8209,7691,7306,1.0527,False,6985,643,921,0.6982,0.9473,0.6614
6bba_907271db,0.001,0.0005,8209,7560,7306,1.0348,False,6851,638,921,0.6927,0.9652,0.6686
6bba_907271db,0.002,0.001,8209,7397,7306,1.0125,False,6671,636,921,0.6906,0.9875,0.682
6bba_907271db,0.005,0.0025,8209,7043,7306,0.964,True,6265,620,921,0.6732,1.0,0.6732
6bba_907271db,0.01,0.005,8209,6678,7306,0.914,True,5797,591,921,0.6417,1.0,0.6417
6bba_907271db,0.015,0.0075,8209,6389,7306,0.8745,False,5400,572,921,0.6211,1.0,0.6211
6bba_907271db,0.02,0.01,8209,6133,7306,0.8394,False,5060,557,921,0.6048,1.0,0.6048
6bba_907271db,0.03,0.015,8209,5664,7306,0.7753,False,4503,533,921,0.5787,1.0,0.5787
6bba_907271db,0.05,0.025,8209,4882,7306,0.6682,False,3597,495,921,0.5375,1.0,0.5375
6bba_91951b3a,0.0002,0.0001,12892,12289,11907,1.0321,False,11146,1003,1148,0.8737,0.9679,0.8457
6bba_91951b3a,0.0005,0.00025,12892,12104,11907,1.0165,False,10925,1003,1148,0.8737,0.9835,0.8592
6bba_91951b3a,0.001,0.0005,12892,11885,11907,0.9982,False,10660,1002,1148,0.8728,1.0,0.8728
6bba_91951b3a,0.002,0.001,12892,11550,11907,0.97,True,10271,998,1148,0.8693,1.0,0.8693
6bba_91951b3a,0.005,0.0025,12892,10939,11907,0.9187,True,9525,985,1148,0.858,1.0,0.858
6bba_91951b3a,0.01,0.005,12892,10162,11907,0.8534,False,8596,955,1148,0.8319,1.0,0.8319
6bba_91951b3a,0.015,0.0075,12892,9551,11907,0.8021,False,7850,930,1148,0.8101,1.0,0.8101
6bba_91951b3a,0.02,0.01,12892,9103,11907,0.7645,False,7252,907,1148,0.7901,1.0,0.7901
6bba_91951b3a,0.03,0.015,12892,8226,11907,0.6909,False,6179,841,1148,0.7326,1.0,0.7326
6bba_91951b3a,0.05,0.025,12892,6621,11907,0.5561,False,4551,699,1148,0.6089,1.0,0.6089
6bba_ebff6e76,0.0002,0.0001,47415,44726,41596,1.0752,False,39462,686,1264,0.5427,0.9248,0.5019
6bba_ebff6e76,0.0005,0.00025,47415,43947,41596,1.0565,False,38373,679,1264,0.5372,0.9435,0.5068
6bba_ebff6e76,0.001,0.0005,47415,42588,41596,1.0238,False,36549,658,1264,0.5206,0.9762,0.5082
6bba_ebff6e76,0.002,0.001,47415,40219,41596,0.9669,True,33511,621,1264,0.4913,1.0,0.4913
6bba_ebff6e76,0.005,0.0025,47415,34794,41596,0.8365,False,27520,519,1264,0.4106,1.0,0.4106
6bba_ebff6e76,0.01,0.005,47415,29576,41596,0.711,False,22347,433,1264,0.3426,1.0,0.3426
6bba_ebff6e76,0.015,0.0075,47415,26488,41596,0.6368,False,19273,395,1264,0.3125,1.0,0.3125
6bba_ebff6e76,0.02,0.01,47415,24337,41596,0.5851,False,17084,370,1264,0.2927,1.0,0.2927
6bba_ebff6e76,0.03,0.015,47415,20802,41596,0.5001,False,13760,305,1264,0.2413,1.0,0.2413
6bba_ebff6e76,0.05,0.025,47415,15911,41596,0.3825,False,9827,238,1264,0.1883,1.0,0.1883
