dataset,total_gt,base_tp,base_fp,base_fn,base_recall,base_precision,base_f1,new_tp,new_fp,new_fn,new_recall,new_precision,new_f1,tp_gain,recall_gain,status,interp_nodes_count
6bba_55c70843,467,223,26820,244,0.4775,0.0082,0.0162,318,38165,149,0.6809,0.0083,0.0163,95,0.2034,WIN,1192
6bba_57b7cc1e,1592,780,55262,812,0.4899,0.0139,0.0271,1002,73789,590,0.6294,0.0134,0.0262,222,0.1394,WIN,3392
6bba_5a4d9360,722,463,4343,259,0.6413,0.0963,0.1675,480,4858,242,0.6648,0.0899,0.1584,17,0.0235,WIN,67
6bba_5b28472a,724,626,4176,98,0.8646,0.1304,0.2266,673,5706,51,0.9296,0.1055,0.1895,47,0.0649,WIN,97
6bba_5c039895,1145,872,6724,273,0.7616,0.1148,0.1995,942,7663,203,0.8227,0.1095,0.1932,70,0.0611,WIN,109
6bba_5c824876,1130,956,20675,174,0.846,0.0442,0.084,986,23046,144,0.8726,0.041,0.0784,30,0.0265,WIN,423
6bba_5dfe9ad1,1487,1159,22619,328,0.7794,0.0487,0.0917,1279,26077,208,0.8601,0.0468,0.0887,120,0.0807,WIN,426
6bba_5f89039d,885,742,3497,143,0.8384,0.175,0.2896,754,3842,131,0.852,0.1641,0.2751,12,0.0136,WIN,22
6bba_61dd1e0d,543,450,8132,93,0.8287,0.0524,0.0986,467,9345,76,0.86,0.0476,0.0902,17,0.0313,WIN,152
6bba_61ecbe65,614,468,4247,146,0.7622,0.0993,0.1756,482,4770,132,0.785,0.0918,0.1643,14,0.0228,WIN,88
6bba_6321a359,798,696,3461,102,0.8722,0.1674,0.2809,711,4125,87,0.891,0.147,0.2524,15,0.0188,WIN,50
6bba_6479435d,580,318,18200,262,0.5483,0.0172,0.0333,370,24542,210,0.6379,0.0149,0.029,52,0.0897,WIN,1126
6bba_67ebd073,438,306,12436,132,0.6986,0.024,0.0464,332,16385,106,0.758,0.0199,0.0387,26,0.0594,WIN,499
6bba_6ca87370,1052,794,5526,258,0.7548,0.1256,0.2154,853,6461,199,0.8108,0.1166,0.2039,59,0.0561,WIN,131
6bba_6db0e9b4,440,362,23029,78,0.8227,0.0155,0.0304,383,29066,57,0.8705,0.013,0.0256,21,0.0477,WIN,847
6bba_6feb10f0,1343,146,6828,1197,0.1087,0.0209,0.0351,161,7547,1182,0.1199,0.0209,0.0356,15,0.0112,WIN,274
6bba_6feeb0b1,1343,846,5223,497,0.6299,0.1394,0.2283,1047,7042,296,0.7796,0.1294,0.222,201,0.1497,WIN,179
6bba_705ec2c9,562,418,4274,144,0.7438,0.0891,0.1591,444,5162,118,0.79,0.0792,0.144,26,0.0463,WIN,165
6bba_718b21f9,652,420,3299,232,0.6442,0.1129,0.1922,502,4107,150,0.7699,0.1089,0.1908,82,0.1258,WIN,43
6bba_74686d6a,576,443,22386,133,0.7691,0.0194,0.0379,454,25122,122,0.7882,0.0178,0.0347,11,0.0191,WIN,806
6bba_767a1e17,658,396,34688,262,0.6018,0.0113,0.0222,482,47272,176,0.7325,0.0101,0.0199,86,0.1307,WIN,1818
6bba_76db78c1,604,493,3711,111,0.8162,0.1173,0.2051,525,4294,79,0.8692,0.1089,0.1936,32,0.053,WIN,50
6bba_784a78c9,1739,1579,10199,160,0.908,0.1341,0.2336,1613,10964,126,0.9275,0.1282,0.2253,34,0.0196,WIN,151
6bba_786893ac,1395,687,44241,708,0.4925,0.0153,0.0297,1007,69481,388,0.7219,0.0143,0.028,320,0.2294,WIN,2820
6bba_789f8168,681,553,8485,128,0.812,0.0612,0.1138,587,9923,94,0.862,0.0559,0.1049,34,0.0499,WIN,206
6bba_78a7bd97,832,442,32380,390,0.5312,0.0135,0.0263,485,36896,347,0.5829,0.013,0.0254,43,0.0517,WIN,1287
6bba_7af54fde,1092,947,7303,145,0.8672,0.1148,0.2027,967,8550,125,0.8855,0.1016,0.1823,20,0.0183,WIN,192
6bba_7b5d3b2c,555,456,4678,99,0.8216,0.0888,0.1603,476,5004,79,0.8577,0.0869,0.1577,20,0.036,WIN,41
6bba_7d3058ae,1173,929,5348,244,0.792,0.148,0.2494,1045,6720,128,0.8909,0.1346,0.2338,116,0.0989,WIN,101
6bba_7f87b3d8,934,610,7591,324,0.6531,0.0744,0.1336,682,9391,252,0.7302,0.0677,0.1239,72,0.0771,WIN,460
6bba_80d12824,654,506,7062,148,0.7737,0.0669,0.1231,545,8823,109,0.8333,0.0582,0.1088,39,0.0596,WIN,185
6bba_825bd1c6,930,592,5382,338,0.6366,0.0991,0.1715,736,7818,194,0.7914,0.086,0.1552,144,0.1548,WIN,191
6bba_87289e13,699,562,11684,137,0.804,0.0459,0.0868,606,13834,93,0.867,0.042,0.0801,44,0.0629,WIN,272
6bba_8b7818bf,725,592,4635,133,0.8166,0.1133,0.1989,636,5582,89,0.8772,0.1023,0.1832,44,0.0607,WIN,108
6bba_907271db,921,583,5626,338,0.633,0.0939,0.1635,673,6618,248,0.7307,0.0923,0.1639,90,0.0977,WIN,91
6bba_91951b3a,1148,991,9324,157,0.8632,0.0961,0.1729,1017,10424,131,0.8859,0.0889,0.1616,26,0.0226,WIN,149
6bba_96833384,721,577,3712,144,0.8003,0.1345,0.2303,581,4069,140,0.8058,0.1249,0.2163,4,0.0055,WIN,35
6bba_969618f6,658,524,11274,134,0.7964,0.0444,0.0841,543,12392,115,0.8252,0.042,0.0799,19,0.0289,WIN,311
6bba_971fa5e0,767,563,4016,204,0.734,0.123,0.2106,640,5074,127,0.8344,0.112,0.1975,77,0.1004,WIN,93
6bba_9a41d029,1353,1042,14674,311,0.7701,0.0663,0.1221,1094,17657,259,0.8086,0.0583,0.1088,52,0.0384,WIN,390
6bba_9e23430b,891,745,5666,146,0.8361,0.1162,0.2041,762,6360,129,0.8552,0.107,0.1902,17,0.0191,WIN,102
6bba_a5e926bb,698,559,6314,139,0.8009,0.0813,0.1477,570,7093,128,0.8166,0.0744,0.1363,11,0.0158,WIN,120
6bba_a90a0b9c,1112,637,30487,475,0.5728,0.0205,0.0395,757,37183,355,0.6808,0.02,0.0388,120,0.1079,WIN,1128
6bba_ab78413d,1138,264,6985,874,0.232,0.0364,0.063,297,9987,841,0.261,0.0289,0.052,33,0.029,WIN,318
6bba_acd782a8,330,242,16222,88,0.7333,0.0147,0.0288,262,19110,68,0.7939,0.0135,0.0266,20,0.0606,WIN,481
6bba_ae82a791,1471,1169,4974,302,0.7947,0.1903,0.3071,1328,6241,143,0.9028,0.1755,0.2938,159,0.1081,WIN,102
6bba_aeee7805,768,708,3824,60,0.9219,0.1562,0.2672,721,4164,47,0.9388,0.1476,0.2551,13,0.0169,WIN,29
6bba_af149c94,1317,1055,6583,262,0.8011,0.1381,0.2356,1099,7592,218,0.8345,0.1265,0.2196,44,0.0334,WIN,106
6bba_afb141ff,626,508,4600,118,0.8115,0.0995,0.1772,536,5723,90,0.8562,0.0856,0.1557,28,0.0447,WIN,142
6bba_b1ae37b9,579,468,19678,111,0.8083,0.0232,0.0452,526,24765,53,0.9085,0.0208,0.0407,58,0.1002,WIN,787
6bba_b204cac7,811,513,3609,298,0.6326,0.1245,0.208,638,4662,173,0.7867,0.1204,0.2088,125,0.1541,WIN,79
6bba_b329af44,1268,744,45237,524,0.5868,0.0162,0.0315,1006,69064,262,0.7934,0.0144,0.0282,262,0.2066,WIN,2047
6bba_b693381b,935,691,3835,244,0.739,0.1527,0.2531,825,5262,110,0.8824,0.1355,0.235,134,0.1433,WIN,105
6bba_bb9f20c3,1879,1186,16070,693,0.6312,0.0687,0.124,1549,24486,330,0.8244,0.0595,0.111,363,0.1932,WIN,897
6bba_bbb708ca,861,746,4899,115,0.8664,0.1322,0.2293,762,5626,99,0.885,0.1193,0.2102,16,0.0186,WIN,98
6bba_c27cba08,493,401,5210,92,0.8134,0.0715,0.1314,412,5566,81,0.8357,0.0689,0.1273,11,0.0223,WIN,66
6bba_c328f2fd,500,322,25554,178,0.644,0.0124,0.0244,358,31289,142,0.716,0.0113,0.0223,36,0.072,WIN,506
6bba_c73a1d11,710,260,13624,450,0.3662,0.0187,0.0356,306,17078,404,0.431,0.0176,0.0338,46,0.0648,WIN,707
6bba_cdcfe533,1348,1160,23955,188,0.8605,0.0462,0.0877,1253,27474,95,0.9295,0.0436,0.0833,93,0.069,WIN,353
6bba_cf35214c,817,714,30888,103,0.8739,0.0226,0.044,781,35463,36,0.9559,0.0215,0.0421,67,0.082,WIN,495
6bba_cff5865f,1501,1153,35987,348,0.7682,0.031,0.0597,1347,46234,154,0.8974,0.0283,0.0549,194,0.1292,WIN,978
6bba_d0fc38b5,813,656,5031,157,0.8069,0.1154,0.2018,683,5718,130,0.8401,0.1067,0.1894,27,0.0332,WIN,63
6bba_d1acb6ff,643,470,11850,173,0.7309,0.0381,0.0725,487,13278,156,0.7574,0.0354,0.0676,17,0.0264,WIN,449
6bba_d2b9fc0c,921,706,16537,215,0.7666,0.0409,0.0777,782,21502,139,0.8491,0.0351,0.0674,76,0.0825,WIN,510
6bba_d3da753b,857,590,12895,267,0.6884,0.0438,0.0823,698,17847,159,0.8145,0.0376,0.072,108,0.126,WIN,590
6bba_d5eae175,519,321,3461,198,0.6185,0.0849,0.1493,389,4186,130,0.7495,0.085,0.1527,68,0.131,WIN,39
6bba_d6ecebbb,862,582,4391,280,0.6752,0.117,0.1995,621,5143,241,0.7204,0.1077,0.1874,39,0.0452,WIN,78
6bba_d82a4fc6,530,436,22774,94,0.8226,0.0188,0.0367,481,28613,49,0.9075,0.0165,0.0325,45,0.0849,WIN,750
6bba_debd7bfa,729,512,9073,217,0.7023,0.0534,0.0993,539,10326,190,0.7394,0.0496,0.093,27,0.037,WIN,255
6bba_df673a83,654,539,16544,115,0.8242,0.0316,0.0608,563,18672,91,0.8609,0.0293,0.0566,24,0.0367,WIN,425
6bba_e16ffc58,942,594,4704,348,0.6306,0.1121,0.1904,749,6397,193,0.7951,0.1048,0.1852,155,0.1645,WIN,117
6bba_e5e44988,634,430,4123,204,0.6782,0.0944,0.1658,460,4693,174,0.7256,0.0893,0.159,30,0.0473,WIN,60
6bba_ebdf3b34,803,571,43830,232,0.7111,0.0129,0.0253,708,59743,95,0.8817,0.0117,0.0231,137,0.1706,WIN,1692
6bba_ebff6e76,1264,626,33776,638,0.4953,0.0182,0.0351,737,40892,527,0.5831,0.0177,0.0344,111,0.0878,WIN,1343
6bba_ed9377fd,508,362,3706,146,0.7126,0.089,0.1582,392,4553,116,0.7717,0.0793,0.1438,30,0.0591,WIN,63
6bba_edf14583,760,551,43358,209,0.725,0.0125,0.0247,683,57989,77,0.8987,0.0116,0.023,132,0.1737,WIN,1653
6bba_eebc57a5,989,719,7303,270,0.727,0.0896,0.1596,759,7860,230,0.7674,0.0881,0.158,40,0.0404,WIN,130
6bba_ef7b4f7e,1201,1127,3995,74,0.9384,0.22,0.3565,1151,4641,50,0.9584,0.1987,0.3292,24,0.02,WIN,61
6bba_f17befbc,1015,728,20227,287,0.7172,0.0347,0.0663,784,22935,231,0.7724,0.0331,0.0634,56,0.0552,WIN,1007
6bba_f1fde7e0,446,259,6739,187,0.5807,0.037,0.0696,280,7776,166,0.6278,0.0348,0.0659,21,0.0471,WIN,281
6bba_f20478e9,963,758,4255,205,0.7871,0.1512,0.2537,803,4796,160,0.8339,0.1434,0.2447,45,0.0467,WIN,107
6bba_f4ae811c,965,845,6890,120,0.8756,0.1092,0.1943,863,7482,102,0.8943,0.1034,0.1854,18,0.0187,WIN,126
6bba_f8ffd5e7,370,261,23597,109,0.7054,0.0109,0.0215,333,31503,37,0.9,0.0105,0.0207,72,0.1946,WIN,838
6bba_fbc898dc,639,604,3773,35,0.9452,0.138,0.2408,610,4343,29,0.9546,0.1232,0.2182,6,0.0094,WIN,46
6bba_fc516dc6,762,548,5701,214,0.7192,0.0877,0.1563,606,7301,156,0.7953,0.0766,0.1398,58,0.0761,WIN,143
6bba_fc5f39dc,458,295,11944,163,0.6441,0.0241,0.0465,331,13656,127,0.7227,0.0237,0.0458,36,0.0786,WIN,390
6bba_fc83837d,923,641,10174,282,0.6945,0.0593,0.1092,674,11539,249,0.7302,0.0552,0.1026,33,0.0358,WIN,302
6bba_fe670320,680,472,7795,208,0.6941,0.0571,0.1055,531,10160,149,0.7809,0.0497,0.0934,59,0.0868,WIN,226
