dataset,total_gt,tp_baseline,tp_3stage,tp_gain,rec_baseline,rec_3stage,rec_diff,fp_baseline,fp_3stage
44b6_706092f0,117,73,91,18,0.623931618598875,0.7777777711301045,0.15384615253122946,51307,91624
44b6_71a4179f,119,80,92,12,0.6722689019137067,0.7731092372007627,0.10084033528705605,52128,83130
44b6_74d0c52e,139,90,98,8,0.6474820097303453,0.7050359661508204,0.057553956420475116,12479,13528
44b6_7a302da0,507,313,411,98,0.6173570007547199,0.8106508859750475,0.19329388522032764,51666,78371
44b6_7e557709,560,413,487,74,0.7374999986830357,0.8696428555899235,0.13214285690688776,42057,61298
44b6_808952d6,179,179,179,0,0.9999999944134078,0.9999999944134078,0.0,14523,16072
44b6_81c256f0,197,197,197,0,0.9999999949238579,0.9999999949238579,0.0,9433,10379
44b6_87bba6c4,149,86,90,4,0.577181204179992,0.6040268415837124,0.02684563740372048,24814,28785
44b6_8cc6506c,396,249,311,62,0.6287878772000306,0.7853535333703193,0.15656565617028873,27406,38082
44b6_8f5ab931,604,424,465,41,0.7019867538046577,0.7698675483942591,0.06788079458960139,22312,28042
44b6_8f9ecab4,370,250,318,68,0.6756756738495252,0.8594594571365961,0.1837837832870709,60441,87377
44b6_90724892,103,84,91,7,0.8155339726647187,0.8834951370534453,0.06796116438872657,20467,26536
44b6_949adeb1,378,244,273,29,0.6455026437949666,0.7222222203115815,0.07671957651661487,30368,40184
44b6_95029e92,198,196,198,2,0.9898989848995001,0.999999994949495,0.010101010049994863,4258,5237
44b6_97725144,221,141,168,27,0.6380090468868369,0.7601809920353801,0.12217194514854324,29921,42963
44b6_996155de,377,320,351,31,0.8488063637962696,0.9310344802890332,0.08222811649276363,8120,9287
44b6_9be80b04,220,93,153,60,0.42272727080578515,0.6954545422933884,0.2727272714876033,44684,81708
44b6_9bfa6a0a,259,139,183,44,0.5366795346074149,0.7065637038356614,0.16988416922824645,47865,75005
44b6_a21120c2,286,244,259,15,0.8531468501638222,0.9055944024279916,0.05244755226416942,19858,22819
44b6_a2bb48bb,410,200,278,78,0.4878048768590125,0.6780487788340274,0.19024390197501484,49159,72122
44b6_aaf8b0ea,206,203,199,-4,0.9854368884202093,0.9660194127863135,-0.01941747563389573,18878,20500
44b6_abf82518,94,93,93,0,0.9893616916025352,0.9893616916025352,0.0,22784,27902
44b6_b2c44266,168,118,132,14,0.7023809482001134,0.785714281037415,0.0833333328373016,45719,71126
44b6_c15fded2,102,72,86,14,0.7058823460207614,0.8431372466359094,0.137254900615148,16532,20451
44b6_c50204e0,325,160,209,49,0.49230769079289943,0.6430769210982249,0.15076923030532546,40012,51608
44b6_c771cb04,223,133,164,31,0.5964125533793159,0.7354260056707355,0.1390134522914196,42769,60057
44b6_c8e2a523,164,134,151,17,0.8170731657495539,0.9207317017028555,0.10365853595330154,23849,35175
44b6_c96cfa10,616,451,530,79,0.7321428559543135,0.860389608992874,0.12824675303856048,34209,48996
44b6_cf2536e8,75,38,43,5,0.5066666599111113,0.5733333256888891,0.0666666657777778,46311,64627
44b6_cf8fed6b,188,161,177,16,0.8563829741681757,0.9414893566942055,0.08510638252602987,36941,45090
44b6_d29c9ab2,1328,981,1166,185,0.7387048187208547,0.8780120475316173,0.13930722881076263,30260,40244
44b6_d2f34f90,281,171,219,48,0.6085409231012778,0.7793594278314612,0.17081850473018334,20462,25735
44b6_d5e7d891,893,465,622,157,0.5207166847472378,0.6965285546511438,0.17581186990390607,35565,49483
44b6_d754aa59,70,60,62,2,0.8571428448979594,0.8857142730612247,0.0285714281632653,4925,6259
44b6_d78e09d9,451,346,376,30,0.7671840337756451,0.8337028806348051,0.06651884685915999,18934,22780
44b6_db3c847b,162,119,131,12,0.7345678967001982,0.8086419703170249,0.07407407361682672,13186,15503
44b6_ddf577ad,647,400,520,120,0.6182380206827851,0.8037094268876207,0.1854714062048356,42972,60321
44b6_deabac95,124,91,93,2,0.7338709618236213,0.749999993951613,0.01612903212799166,12333,13954
44b6_e28840c6,309,185,270,85,0.5987054996805647,0.8737864049392026,0.2750809052586378,58691,91037
44b6_e29f0176,50,20,22,2,0.3999999920000002,0.4399999912000002,0.039999999200000025,10609,12243
44b6_e31261b4,113,81,102,21,0.7168141529485473,0.902654859268541,0.18584070631999372,52485,78638
44b6_e35b117d,266,130,168,38,0.4887218026739782,0.6315789449940641,0.1428571423200859,22858,34935
44b6_e57ff5c6,186,101,110,9,0.5430107497687594,0.5913978462828073,0.048387096514047934,16087,19035
44b6_eb2880fc,379,285,317,32,0.7519788898364673,0.83641160729179,0.08443271745532266,38930,46893
44b6_f28707c6,61,36,36,0,0.5901639247514111,0.5901639247514111,0.0,17099,20106
6bba_05b6850b,845,678,703,25,0.8023668629557789,0.8319526617373342,0.029585798781555317,5050,6475
6bba_05db0fb1,1183,752,1020,268,0.6356720197500658,0.862214707639717,0.22654268788965115,48471,76424
6bba_062c8d37,898,690,750,60,0.7683741639550399,0.8351893086467825,0.06681514469174266,4083,5216
6bba_07477033,602,495,528,33,0.8222591348467456,0.8770764105031953,0.05481727565644967,3953,4661
6bba_07e24132,345,237,269,32,0.6869565197479521,0.7797101426675068,0.09275362291955469,23551,35322
6bba_085bf656,1168,918,981,63,0.785958903436679,0.8398972595548824,0.05393835611820341,6542,7540
6bba_09961292,1871,1177,1619,442,0.6290753604334177,0.8653126665604955,0.23623730612707783,22207,35158
6bba_0c7fa718,659,412,458,46,0.6251896803866621,0.694992411691969,0.0698027313053069,9910,13375
6bba_0e7c0d07,198,135,141,6,0.6818181783746556,0.7121212085246403,0.0303030301499847,17681,23876
6bba_12665c0e,998,859,878,19,0.8607214420233252,0.8797595181565536,0.019038076133228388,6144,6957
6bba_13f19531,704,617,624,7,0.8764204533005391,0.8863636351045971,0.009943181804058066,4710,5145
6bba_15403b9a,729,496,539,43,0.6803840868581837,0.7393689976140343,0.05898491075585055,5106,5892
6bba_1d0d8384,1365,893,1031,138,0.6542124537331776,0.7553113547580136,0.10109890102483599,15691,18740
6bba_1ebfb80d,719,513,558,45,0.7134909586738651,0.776077884873327,0.06258692619946182,9328,11333
6bba_1f58c2f6,299,200,231,31,0.6688963188331227,0.7725752482522567,0.10367892941913393,21573,32531
6bba_207c6aaf,450,211,248,37,0.46888888784691357,0.5511111098864198,0.08222222203950619,9510,12471
6bba_20852818,909,670,747,77,0.7370737065598749,0.821782177313771,0.08470847075389609,7147,9307
6bba_2312ac41,1132,1017,1034,17,0.8984098931992844,0.9134275610305409,0.015017667831256465,9841,10536
6bba_23af9eeb,499,427,433,6,0.8557114211308389,0.867735469202935,0.012024048072096116,4000,4351
6bba_2540cd90,523,289,407,118,0.5525812608937261,0.7782026753762855,0.22562141448255946,2641,3731
6bba_2646afc7,721,471,515,44,0.6532593610911798,0.7142857132950268,0.061026352203847,4419,5364
6bba_268e1230,609,392,422,30,0.6436781598625975,0.6929392435255514,0.0492610836629539,3645,4346
6bba_2819ca14,949,698,772,74,0.7355110635031495,0.8134878811238273,0.07797681762067776,3867,4592
6bba_283bf9f1,1288,1001,1040,39,0.7771739124400823,0.8074534155221634,0.03027950308208116,16998,18377
6bba_312f0dc3,500,345,367,22,0.68999999862,0.733999998532,0.04399999991199999,7947,8920
6bba_32db13fc,811,475,556,81,0.585696670054628,0.6855733653692067,0.09987669531457866,31078,41476
6bba_337b1b3a,1213,1047,1108,61,0.8631492161062249,0.913437756872681,0.05028854076645617,25121,29162
6bba_372c8cb8,1007,880,906,26,0.8738828193903845,0.8997020845087368,0.025819265118352308,5420,6719
6bba_3a1849c2,1142,762,803,41,0.6672504372440888,0.7031523636574847,0.035901926413395846,5110,6468
6bba_3abfe10a,935,566,722,156,0.6053475929354571,0.7721925125431096,0.16684491960765246,39073,56848
6bba_3c5691b6,746,650,661,11,0.8713136717542712,0.8860589800454973,0.014745308291226111,5377,6065
6bba_3db54e20,474,298,317,19,0.6286919817960085,0.6687763698970963,0.04008438810108783,18558,21582
6bba_3fda6b25,1179,1059,1089,30,0.8982188287546913,0.9236641213539744,0.025445292599283076,7455,8271
6bba_43fea39d,880,746,776,30,0.8477272717639462,0.8818181808161157,0.034090909052169494,4165,4814
6bba_474be664,286,51,75,24,0.17832167769817595,0.262237761320847,0.08391608362267103,23725,31058
6bba_48816121,918,735,773,38,0.8006535938990702,0.8420479293659608,0.04139433546689064,20534,22667
6bba_4aa14c89,681,593,599,6,0.8707782659753623,0.8795888386496493,0.008810572674286976,5353,5779
6bba_4f99ce20,1010,834,867,33,0.8257425734398588,0.8584158407342417,0.03267326729438291,3863,4800
6bba_4ffd3da3,689,400,423,23,0.5805515231051502,0.6139332356836963,0.03338171257854605,14920,16575
6bba_55b7eebe,688,588,615,27,0.8546511615484722,0.8938953475379429,0.03924418598947066,3886,4556
6bba_55c70843,467,223,315,92,0.4775160589346551,0.6745181998404322,0.19700214090577706,26820,38722
6bba_57b7cc1e,1592,780,965,185,0.4899497484359612,0.6061557785137212,0.11620603007775998,55262,76210
6bba_5a4d9360,722,463,474,11,0.6412742373389554,0.6565096943815655,0.01523545704261009,4343,4896
6bba_5b28472a,724,626,654,28,0.8646408827836451,0.9033149158793993,0.03867403309575412,4176,5751
6bba_5c039895,1145,872,940,68,0.7615720517366182,0.82096069797296,0.05938864623634177,6724,7751
6bba_5c824876,1130,956,983,27,0.846017698366356,0.8699115036549455,0.02389380528858953,20675,23287
6bba_5dfe9ad1,1487,1159,1271,112,0.7794216538134353,0.85474108886702,0.07531943505358474,22619,26408
6bba_5f89039d,885,742,751,9,0.8384180781486802,0.848587569662613,0.01016949151393276,3497,3842
6bba_61dd1e0d,543,450,460,10,0.8287292802417509,0.8471454864693453,0.018416206227594434,8132,9463
6bba_61ecbe65,614,468,469,1,0.7622149824719626,0.7638436469644241,0.0016286644924614624,4247,4832
6bba_6321a359,798,696,701,5,0.8721804500348616,0.8784461141874109,0.006265664152549366,3461,4173
6bba_6479435d,580,318,364,46,0.5482758611236623,0.6275862058145065,0.07931034469084419,18200,25281
6bba_67ebd073,438,306,339,33,0.6986301353912554,0.7739726009726653,0.07534246558140989,12436,16596
6bba_6ca87370,1052,794,856,62,0.7547528509935809,0.8136882121542887,0.058935361160707744,5526,6525
6bba_6db0e9b4,440,362,380,18,0.822727270857438,0.8636363616735537,0.04090909081611571,23029,29480
6bba_6feb10f0,1343,146,160,14,0.10871183908509914,0.11913626201106756,0.010424422925968416,6828,7630
6bba_6feeb0b1,1343,846,1035,189,0.6299329853835197,0.7706626948840932,0.1407297095005735,5223,7075
6bba_705ec2c9,562,418,445,27,0.7437722406694444,0.7918149452102937,0.04804270454084936,4274,5243
6bba_718b21f9,652,420,502,82,0.6441717781531108,0.769938649125861,0.1257668709727502,3299,4115
6bba_74686d6a,576,443,456,13,0.769097220886984,0.7916666652922454,0.02256944440526143,22386,25340
6bba_767a1e17,658,396,474,78,0.6018237072920612,0.7203647405465582,0.11854103325449694,34688,48320
6bba_76db78c1,604,493,520,27,0.8162251642115478,0.8609271508925047,0.04470198668095693,3711,4303
6bba_784a78c9,1739,1579,1611,32,0.907993098960326,0.9263944790532521,0.018401380092926134,10199,11061
6bba_786893ac,1395,687,993,306,0.4924731179265425,0.7118279564789763,0.21935483855243382,44241,71161
6bba_789f8168,681,553,577,24,0.8120411148134492,0.8472834055105971,0.035242290697147904,8485,10086
6bba_78a7bd97,832,442,484,42,0.5312499993614783,0.5817307685315736,0.05048076917009525,32380,37508
6bba_7af54fde,1092,947,969,22,0.8672161164219632,0.8873626365500341,0.020146520128070944,7303,8643
6bba_7b5d3b2c,555,456,480,24,0.8216216201412223,0.8648648633065498,0.04324324316532746,4678,5023
6bba_7d3058ae,1173,929,1036,107,0.7919863590861156,0.8832054553425358,0.09121909625642022,5348,6767
6bba_7f87b3d8,934,610,677,67,0.6531049243542774,0.7248393996522062,0.07173447529792887,7591,9531
6bba_80d12824,654,506,546,40,0.7737003046273696,0.8348623840445529,0.061162079417183324,7062,8935
6bba_825bd1c6,930,592,746,154,0.636559139100474,0.8021505367718812,0.16559139767140718,5382,7910
6bba_87289e13,699,562,591,29,0.8040057213104354,0.8454935610221838,0.04148783971174841,11684,14133
6bba_8b7818bf,725,592,635,43,0.8165517230116528,0.8758620677574316,0.05931034474577879,4635,5607
6bba_907271db,921,583,685,102,0.6330075997470058,0.7437567852945095,0.11074918554750368,5626,6655
6bba_91951b3a,1148,991,1015,24,0.8632404173665152,0.8841463406932523,0.02090592332673702,9324,10555
6bba_96833384,721,577,575,-2,0.8002773914004474,0.7975034663002726,-0.0027739251001748233,3712,4105
6bba_969618f6,658,524,541,17,0.7963525823763639,0.8221884485984978,0.025835866222133963,11274,12534
6bba_971fa5e0,767,563,641,78,0.7340286822242129,0.8357235973458623,0.10169491512164941,4016,5109
6bba_9a41d029,1353,1042,1086,44,0.7701404281078045,0.8026607532870208,0.032520325179216325,14674,17934
6bba_9e23430b,891,745,751,6,0.836139168534075,0.842873175260524,0.006734006726448971,5666,6424
6bba_a5e926bb,698,559,564,5,0.8008595977065048,0.8080229214784772,0.007163323771972374,6314,7149
6bba_a90a0b9c,1112,637,745,108,0.5728417261035595,0.6699640281744927,0.0971223020709332,30487,37766
6bba_ab78413d,1138,264,299,35,0.23198594004219159,0.2627416517902094,0.030755711748017833,6985,10107
6bba_acd782a8,330,242,258,16,0.7333333311111111,0.7818181794490359,0.04848484833792477,16222,19415
6bba_ae82a791,1471,1169,1323,154,0.7946974841640397,0.8993881707006198,0.10469068653658009,4974,6264
6bba_aeee7805,768,708,711,3,0.921874998799642,0.9257812487945557,0.0039062499949137353,3824,4195
6bba_af149c94,1317,1055,1087,32,0.8010630214114934,0.825360667558572,0.024297646147078522,6583,7653
6bba_afb141ff,626,508,529,21,0.8115015961477611,0.8450479219727669,0.03354632582500583,4600,5837
6bba_b1ae37b9,579,468,520,52,0.8082901540444039,0.8981001711604487,0.08981001711604486,19678,25010
6bba_b204cac7,811,513,645,132,0.6325524036589982,0.7953144256531265,0.16276202199412826,3609,4664
6bba_b329af44,1268,744,990,246,0.5867507881807958,0.780757097176059,0.19400630899526317,45237,69974
6bba_b693381b,935,691,822,131,0.7390374323646659,0.8791443840864765,0.14010695172181065,3835,5278
6bba_bb9f20c3,1879,1186,1534,348,0.631186801154238,0.8163916972770666,0.18520489612282864,16070,24775
6bba_bbb708ca,861,746,766,20,0.8664343776231889,0.8896631813128186,0.023228803689629762,4899,5682
6bba_c27cba08,493,401,404,3,0.8133874222852182,0.8194726149706438,0.006085192685425622,5210,5641
6bba_c328f2fd,500,322,356,34,0.643999998712,0.711999998576,0.06799999986400007,25554,31593
6bba_c73a1d11,710,260,303,43,0.36619718258282086,0.4267605627792105,0.06056338019638963,13624,17455
6bba_cdcfe533,1348,1160,1238,78,0.8605341239907016,0.9183976254314556,0.05786350144075403,23955,27932
6bba_cf35214c,817,714,780,66,0.8739290074982509,0.954712361132543,0.08078335363429212,30888,36110
6bba_cff5865f,1501,1153,1336,183,0.7681545631124885,0.8900732838840284,0.12191872077153987,35987,46985
6bba_d0fc38b5,813,656,666,10,0.8068880678882066,0.8191881908743073,0.012300122986100726,5031,5759
6bba_d1acb6ff,643,470,480,10,0.730948676934761,0.7465007764440112,0.015552099509250294,11850,13519
6bba_d2b9fc0c,921,706,775,69,0.7665580882013484,0.8414766548952479,0.07491856669389951,16537,22023
6bba_d3da753b,857,590,680,90,0.6884480738757899,0.7934655766704019,0.10501750279461197,12895,18282
6bba_d5eae175,519,321,392,71,0.6184971086348804,0.7552986497971125,0.1368015411622321,3461,4186
6bba_d6ecebbb,862,582,612,30,0.6751740131378492,0.7099767973202126,0.03480278418236338,4391,5240
6bba_d82a4fc6,530,436,478,42,0.8226415078818085,0.901886790751157,0.07924528286934851,22774,29119
6bba_debd7bfa,729,512,538,26,0.7023319606278026,0.7379972555034331,0.03566529487563053,9073,10428
6bba_df673a83,654,539,562,23,0.8241590201465459,0.8593272158114262,0.035168195664880386,16544,18824
6bba_e16ffc58,942,594,757,163,0.630573247738245,0.8036093409728139,0.17303609323456892,4704,6417
6bba_e5e44988,634,430,460,30,0.6782334374160356,0.7255520493287823,0.047318611912746666,4123,4723
6bba_ebdf3b34,803,571,705,134,0.7110834362253008,0.8779576576862296,0.16687422146092878,43830,60484
6bba_ebff6e76,1264,626,756,130,0.49525316416514775,0.5981012653496034,0.10284810118445564,33776,41368
6bba_ed9377fd,508,362,404,42,0.7125984237940975,0.795275588985678,0.08267716519158042,3706,4538
6bba_edf14583,760,551,672,121,0.7249999990460526,0.8842105251523545,0.15921052610630193,43358,58953
6bba_eebc57a5,989,719,762,43,0.7269969658978798,0.7704752267234831,0.043478260825603354,7303,7943
6bba_ef7b4f7e,1201,1127,1153,26,0.938384678652469,0.9600333047793227,0.0216486261268537,3995,4669
6bba_f17befbc,1015,728,779,51,0.7172413786037031,0.7674876839729186,0.05024630536921548,20227,23327
6bba_f1fde7e0,446,259,276,17,0.5807174874871806,0.6188340793299685,0.03811659184278793,6739,7916
6bba_f20478e9,963,758,793,35,0.787123571352935,0.8234683272861181,0.03634475593318309,4255,4824
6bba_f4ae811c,965,845,857,12,0.8756476674863755,0.888082900634111,0.012435233147735536,6890,7573
6bba_f8ffd5e7,370,261,327,66,0.7054054034989043,0.883783781395179,0.17837837789627464,23597,32407
6bba_fbc898dc,639,604,611,7,0.9452269155786747,0.9561815321499506,0.010954616571275944,3773,4385
6bba_fc516dc6,762,548,601,53,0.7191601040430969,0.7887139097260972,0.06955380568300029,5701,7385
6bba_fc5f39dc,458,295,332,37,0.6441048020871074,0.7248908281115921,0.0807860260244847,11944,13751
6bba_fc83837d,923,641,667,26,0.6944745387925519,0.72264355284654,0.028169014053988084,10174,11713
6bba_fe670320,680,472,531,59,0.6941176460380623,0.7808823517928201,0.08676470575475781,7795,10287
