dataset,total_gt_edges,total_pred_edges,tp,fp,fn,precision,recall,f1_score,official_edge_tp,official_edge_fp,official_edge_fn,current_recall,hybrid_recall,chosen_method,snr_proxy,bg_median,branch_parents,branch_edges,branch_edge_ratio,edge_recall,edge_precision,edge_f1,node_edge_gap,mean_cells_per_frame,max_cells_per_frame,primary_bottleneck
44b6_3bb3690f,396,26990,209,26781,187,0.0077,0.5278,0.0153,209,82,187,0.9374999999414062,0.9374999999414062,Method 2: Mild Bg-Sub,3.243630105438666,384.0,0,0,0.0,0.527777777776445,0.718213058416776,0.6084425031489187,0.40972222216496124,4.0,4,Severe Tracking Disconnect
44b6_267148e4,277,17625,152,17473,125,0.0086,0.5487,0.017,152,70,125,0.89999999991,0.9999999999,Method 1: Standard Bg-Sub,7.58450599864813,84.0,1,2,0.0072,0.5487364620918819,0.6846846846816006,0.6092184363773799,0.4512635378081181,2.8,3,Severe Tracking Disconnect
44b6_0b24845f,49,27954,24,27930,25,0.0009,0.4898,0.0017,24,5,25,0.49999999975,0.49999999975,Method 2: Mild Bg-Sub,1.868431558243806,1007.0,0,0,0.0,0.48979591835735115,0.8275862068680143,0.6153846149017094,0.010204081392648834,1.275,2,Balanced / Moderate
44b6_f28707c6,61,17135,36,17099,25,0.0021,0.5902,0.0042,36,19,25,0.49999999975,0.9999999995,Method 2: Mild Bg-Sub,3.346634085114768,241.0,0,0,0.0,0.5901639344165547,0.6545454545335537,0.6206896546630499,0.4098360650834453,1.0,1,Severe Tracking Disconnect
6bba_78a7bd97,832,32822,442,32380,390,0.0135,0.5312,0.0263,442,142,390,0.7999999999771429,0.9714285714008164,Method 1: Standard Bg-Sub,6.918522434311752,105.0,2,4,0.0048,0.5312499999993615,0.7568493150671972,0.6242937848251899,0.4401785714014549,9.425531914893616,20,Severe Tracking Disconnect
6bba_a90a0b9c,1112,31124,637,30487,475,0.0205,0.5728,0.0395,637,286,475,0.8333333333159723,0.8958333333146702,Method 2: Mild Bg-Sub,5.874344185599737,581.0,0,0,0.0,0.5728417266181899,0.6901408450696749,0.6260442255479237,0.3229916066964803,11.47,20,False Positive Edge Inflation
44b6_e57ff5c6,186,16188,101,16087,85,0.0062,0.543,0.0123,101,33,85,0.8888888887901234,0.8888888887901234,Method 1: Standard Bg-Sub,9.033481054806613,89.0,0,0,0.0,0.5430107526852527,0.7537313432779573,0.6312499995092579,0.3458781361048707,1.93,4,Balanced / Moderate
44b6_cf2536e8,75,46349,38,46311,37,0.0008,0.5067,0.0016,38,7,37,0.7499999998125,0.7499999998125,Method 2: Mild Bg-Sub,2.118465652386098,687.0,0,0,0.0,0.5066666666599111,0.8444444444256791,0.6333333328540277,0.24333333315258887,1.0,1,Balanced / Moderate
44b6_c771cb04,223,42902,133,42769,90,0.0031,0.5964,0.0062,133,60,90,0.999999999875,0.999999999875,Method 2: Mild Bg-Sub,2.2208092313461094,1229.0,0,0,0.0,0.5964125560511372,0.6891191709808854,0.6394230764226031,0.4035874438238628,2.27,4,Severe Tracking Disconnect
6bba_d5eae175,519,3782,321,3461,198,0.0849,0.6185,0.1493,319,156,200,0.9999999999411764,0.9999999999411764,Method 0: Global Norm,30.1388135152646,40.0,0,0,0.0,0.6146435452781992,0.6715789473670072,0.6418511061395273,0.3853564546629772,5.387755102040816,8,Severe Tracking Disconnect
6bba_907271db,921,6209,583,5626,338,0.0939,0.633,0.1635,584,303,337,0.972222222195216,0.9999999999722224,Method 2: Mild Bg-Sub,7.12192576415604,118.0,1,2,0.0022,0.634093376763698,0.658399098082685,0.6460176986145064,0.3659066232085244,9.45,11,Severe Tracking Disconnect
6bba_6479435d,580,18518,318,18200,262,0.0172,0.5483,0.0333,318,81,262,0.9599999999616,0.99999999996,Method 2: Mild Bg-Sub,2.1878738875747508,346.0,0,0,0.0,0.5482758620680203,0.7969924812010101,0.6496424918548851,0.45172413789197974,6.494736842105263,14,Severe Tracking Disconnect
6bba_32db13fc,811,31553,475,31078,336,0.0151,0.5857,0.0294,475,158,336,0.8684210526087258,0.9736842105006926,Method 2: Mild Bg-Sub,4.222247562060061,899.0,1,2,0.0025,0.5856966707760966,0.7503949447065554,0.6578947363487916,0.3879875397245961,8.707070707070708,24,Severe Tracking Disconnect
44b6_66f9292d,198,40215,113,40102,85,0.0028,0.5707,0.0056,113,30,85,0.874999999890625,0.999999999875,Method 2: Mild Bg-Sub,2.3042918058001534,699.0,0,0,0.0,0.5707070707041884,0.7902097902042643,0.6627565977495894,0.42929292917081163,2.0,2,Severe Tracking Disconnect
6bba_f1fde7e0,446,6998,259,6739,187,0.037,0.5807,0.0696,259,74,187,0.8181818181446281,0.954545454502066,Method 2: Mild Bg-Sub,3.17411752711808,144.0,0,0,0.0,0.5807174887879356,0.7777777777754421,0.6649550701121513,0.37382796571413035,4.808080808080808,8,Severe Tracking Disconnect
6bba_3db54e20,474,18856,298,18558,176,0.0158,0.6287,0.0308,298,122,176,0.913043478221172,0.913043478221172,Method 0: Global Norm,13.521367851087156,56.0,1,2,0.0042,0.6286919831210366,0.7095238095221202,0.6666666661669994,0.28435149510013547,5.28421052631579,12,Balanced / Moderate
6bba_767a1e17,658,35084,396,34688,262,0.0113,0.6018,0.0222,396,129,262,0.9333333332711112,0.9333333332711112,Method 2: Mild Bg-Sub,2.513368578575404,480.0,0,0,0.0,0.6018237082057724,0.7542857142842776,0.6694843612972421,0.3315096250653389,15.27659574468085,31,Balanced / Moderate
44b6_d2f34f90,281,20633,171,20462,110,0.0083,0.6085,0.0164,171,55,110,0.9999999999,0.9999999999,Method 1: Standard Bg-Sub,4.305403675756488,209.0,2,4,0.0142,0.6085409252647384,0.756637168138245,0.6745562125209746,0.39145907463526164,2.83,4,Severe Tracking Disconnect
44b6_12dfb391,773,38898,449,38449,324,0.0115,0.5809,0.0226,449,106,324,0.9999999999705884,0.9999999999705884,Method 2: Mild Bg-Sub,5.210763969274012,412.0,1,2,0.0026,0.5808538162993779,0.8090090090075513,0.6762048187895636,0.4191461836712105,7.88,11,Severe Tracking Disconnect
6bba_b204cac7,811,4122,513,3609,298,0.1245,0.6326,0.208,515,197,296,0.9999999999696972,0.9999999999696972,Method 2: Mild Bg-Sub,15.450262368374384,85.0,2,4,0.0049,0.6350184956835573,0.7233146067405571,0.6762967821670157,0.36498150428613996,8.26,9,Severe Tracking Disconnect
6bba_b329af44,1268,45981,744,45237,524,0.0162,0.5868,0.0315,744,188,524,0.9137931034325208,0.9310344827425684,Method 2: Mild Bg-Sub,2.600459706575441,1296.0,1,2,0.0016,0.5867507886430704,0.7982832618017186,0.6763636358746844,0.344283694099498,13.16,20,Balanced / Moderate
6bba_718b21f9,652,3719,420,3299,232,0.1129,0.6442,0.1922,421,168,231,0.9599999999616,0.9599999999616,Method 0: Global Norm,24.53049129167559,58.0,0,0,0.0,0.6457055214714023,0.7147707979614351,0.6784850921673989,0.31429447849019776,6.61,9,Balanced / Moderate
44b6_5f15d135,273,24458,164,24294,109,0.0067,0.6007,0.0133,164,46,109,0.9166666665902776,0.8333333332638889,Method 2: Mild Bg-Sub,2.033428824896021,821.0,1,2,0.0073,0.6007326007304002,0.7809523809486622,0.6790890264208085,0.23260073253348867,2.78,4,Balanced / Moderate
6bba_6feeb0b1,1343,6069,846,5223,497,0.1394,0.6299,0.2283,847,301,496,0.9622641509252404,0.9622641509252404,Method 0: Global Norm,12.09338631600257,61.0,0,0,0.0,0.6306775874902228,0.7378048780481378,0.6800481729268456,0.3315865634350176,13.89,17,Balanced / Moderate
6bba_2646afc7,721,4890,471,4419,250,0.0963,0.6533,0.1679,471,187,250,0.99999999996875,0.99999999996875,Method 0: Global Norm,24.75811109829571,51.0,0,0,0.0,0.6532593619963201,0.7158054711235322,0.6831036978321775,0.34674063797242993,7.38,11,Balanced / Moderate
44b6_71a4179f,119,52208,80,52128,39,0.0015,0.6723,0.0031,80,35,39,0.79999999984,0.9999999998,Method 2: Mild Bg-Sub,3.4284108531759045,715.0,0,0,0.0,0.6722689075573759,0.6956521739069943,0.6837606832549856,0.3277310922426241,1.21,2,False Positive Edge Inflation
6bba_4ffd3da3,689,15320,400,14920,289,0.0261,0.5806,0.05,400,81,289,0.6129032257866805,0.7419354838470343,Method 2: Mild Bg-Sub,2.5524243365748047,132.0,3,6,0.0087,0.5805515239469078,0.8316008315991027,0.6837606832753174,0.16138395990012655,7.06,11,Balanced / Moderate
6bba_3abfe10a,935,39639,566,39073,369,0.0143,0.6053,0.0279,566,148,369,0.8695652173534971,0.9999999999565218,Method 1: Standard Bg-Sub,4.288756168718064,214.0,1,2,0.0021,0.6053475935822403,0.7927170868336236,0.686476652024825,0.39465240637428145,12.158536585365853,26,Severe Tracking Disconnect
6bba_825bd1c6,930,5974,592,5382,338,0.0991,0.6366,0.1715,591,193,339,0.999999999967742,0.999999999967742,Method 2: Mild Bg-Sub,11.776401111793216,57.0,0,0,0.0,0.6354838709670586,0.7538265306112834,0.6896149353254603,0.3645161290006834,9.68,18,Severe Tracking Disconnect
6bba_e16ffc58,942,5298,594,4704,348,0.1121,0.6306,0.1904,594,181,348,0.94999999997625,0.94999999997625,Method 0: Global Norm,14.949873949673975,63.0,1,2,0.0021,0.6305732484069739,0.7664516129022368,0.6919044840700277,0.319426751569276,9.64,13,Balanced / Moderate
44b6_7a302da0,507,51979,313,51666,194,0.006,0.6174,0.0119,313,84,194,0.8571428571020409,0.9047619047188208,Method 2: Mild Bg-Sub,3.642299940079724,974.0,1,2,0.0039,0.6173570019711689,0.7884130982347899,0.6924778756120659,0.28740490274765185,5.16,7,Balanced / Moderate
44b6_18ced818,99,54519,62,54457,37,0.0011,0.6263,0.0023,62,17,37,0.99999999975,0.99999999975,Method 2: Mild Bg-Sub,2.46079324403208,891.0,0,0,0.0,0.6262626262563004,0.7848101265723442,0.6966292129816309,0.3737373734936996,1.0,1,Severe Tracking Disconnect
44b6_ddf577ad,647,43372,400,42972,247,0.0092,0.6182,0.0182,400,101,247,0.9666666666344444,0.9999999999666668,Method 2: Mild Bg-Sub,3.5533233022673807,427.0,0,0,0.0,0.6182380216373752,0.7984031936111808,0.6968641110051308,0.3817619783292916,6.59,12,Severe Tracking Disconnect
44b6_415c0a3a,322,47422,205,47217,117,0.0043,0.6366,0.0086,205,60,117,0.8749999999453125,0.9999999999375,Method 2: Mild Bg-Sub,2.7938022309243915,479.0,0,0,0.0,0.6366459627309421,0.7735849056574582,0.6984667797408357,0.3633540372065579,3.31,6,Severe Tracking Disconnect
6bba_0c7fa718,659,10322,412,9910,247,0.0399,0.6252,0.075,412,105,247,0.9166666666284722,0.9999999999583332,Method 2: Mild Bg-Sub,3.6572887670695673,203.0,0,0,0.0,0.6251896813344079,0.7969052224355959,0.700680271614942,0.37481031862392533,7.48936170212766,13,Severe Tracking Disconnect
44b6_8cc6506c,396,27655,249,27406,147,0.009,0.6288,0.0178,249,65,147,0.9374999999414062,0.9374999999414062,Method 2: Mild Bg-Sub,2.48717421670962,654.0,0,0,0.0,0.6287878787862909,0.792993630570723,0.7014084502089188,0.30871212115511526,4.0,4,Balanced / Moderate
44b6_706092f0,117,51380,73,51307,44,0.0014,0.6239,0.0028,73,18,44,0.9999999998,0.9999999998,Method 2: Mild Bg-Sub,4.575833188431949,742.0,1,2,0.0171,0.6239316239262912,0.8021978021889868,0.7019230764241401,0.3760683758737088,1.18,2,Severe Tracking Disconnect
44b6_949adeb1,378,30612,244,30368,134,0.008,0.6455,0.0157,244,70,134,0.9999999999090908,0.9999999999090908,Method 2: Mild Bg-Sub,3.834657311611987,289.0,0,0,0.0,0.6455026455009378,0.7770700636917928,0.7052023116409669,0.354497354408153,5.105263157894737,10,Severe Tracking Disconnect
6bba_5a4d9360,722,4806,463,4343,259,0.0963,0.6413,0.1675,463,125,259,0.8846153845813609,0.8846153845813609,Method 0: Global Norm,17.9968808459563,38.0,0,0,0.0,0.6412742382262586,0.7874149659850554,0.7068702285117862,0.2433411463551023,7.47,11,Balanced / Moderate
44b6_e28840c6,309,58876,185,58691,124,0.0031,0.5987,0.0063,185,28,124,0.9999999999166668,0.9999999999166668,Method 2: Mild Bg-Sub,3.980836365936015,769.0,2,4,0.0129,0.5987055016161854,0.8685446009348895,0.7088122600505938,0.40129449830048136,3.11,4,Severe Tracking Disconnect
6bba_7f87b3d8,934,8201,610,7591,324,0.0744,0.6531,0.1336,610,170,324,0.9795918367147024,0.999999999979592,Method 2: Mild Bg-Sub,3.6009161411300448,160.0,3,6,0.0064,0.6531049250528339,0.7820512820502794,0.7117852970527974,0.3468950749267581,10.1010101010101,17,Balanced / Moderate
6bba_1d0d8384,1365,16584,893,15691,472,0.0538,0.6542,0.0995,894,246,471,0.9242424242284204,0.9545454545309916,Method 2: Mild Bg-Sub,4.623085187311675,148.0,1,2,0.0015,0.6549450549445751,0.7842105263151016,0.7137724545932842,0.2996003995864165,14.38,27,Balanced / Moderate
6bba_312f0dc3,500,8292,345,7947,155,0.0416,0.69,0.0785,347,125,153,0.999999999952381,0.999999999952381,Method 1: Standard Bg-Sub,7.917494328906555,84.0,0,0,0.0,0.6939999999986121,0.7351694915238662,0.7139917690462709,0.3059999999537689,6.419753086419753,10,Balanced / Moderate
6bba_d3da753b,857,13485,590,12895,267,0.0438,0.6884,0.0823,590,203,267,0.999999999967742,0.999999999967742,Method 2: Mild Bg-Sub,8.150999225655072,150.0,1,2,0.0023,0.6884480746783098,0.7440100882714451,0.7151515146514005,0.3115519252894322,8.87,13,Balanced / Moderate
6bba_bb9f20c3,1879,17256,1186,16070,693,0.0687,0.6312,0.124,1185,241,694,0.9180327868701962,0.9344262294928783,Method 2: Mild Bg-Sub,5.494227795547898,156.0,3,6,0.0032,0.6306546035121711,0.8309957924257847,0.7170953096451168,0.3037716259807073,20.052083333333332,25,Balanced / Moderate
44b6_74d0c52e,139,12569,90,12479,49,0.0072,0.6475,0.0142,90,22,49,0.9999999998,0.9999999998,Method 1: Standard Bg-Sub,4.475569624161617,214.0,1,2,0.0144,0.6474820143838311,0.8035714285642538,0.7171314736036571,0.35251798541616886,1.4,2,Severe Tracking Disconnect
6bba_ed9377fd,508,4068,362,3706,146,0.089,0.7126,0.1582,362,135,146,0.9499999999525,0.9499999999525,Method 0: Global Norm,22.895519198317945,45.0,0,0,0.0,0.7125984251954477,0.7283702213265023,0.7203980094488751,0.23740157475705226,5.31,7,Balanced / Moderate
44b6_c15fded2,102,16604,72,16532,30,0.0043,0.7059,0.0086,72,25,30,0.99999999975,0.99999999975,Method 2: Mild Bg-Sub,4.7809384502112655,176.0,0,0,0.0,0.705882352934256,0.7422680412294611,0.7236180899453043,0.2941176468157439,1.9259259259259258,2,Balanced / Moderate
6bba_09961292,1871,23384,1177,22207,694,0.0503,0.6291,0.0932,1179,208,692,0.987179487166831,0.9999999999871796,Method 1: Standard Bg-Sub,4.1555880617372045,117.0,4,8,0.0043,0.6301443078564243,0.8500360490260634,0.7237569055879384,0.3698556921307553,19.5,33,Severe Tracking Disconnect
6bba_05db0fb1,1183,49223,752,48471,431,0.0153,0.6357,0.0298,751,136,432,0.99999999998,0.9799999999804,Method 2: Mild Bg-Sub,3.480274601527999,941.0,3,6,0.0051,0.6348267117492521,0.8466741826371514,0.7256038642438222,0.3451732882311479,12.29,17,Balanced / Moderate
44b6_0c582fdc,70,23750,49,23701,21,0.0021,0.7,0.0041,49,16,21,0.9999999996666666,0.9999999996666666,Method 2: Mild Bg-Sub,3.2103473872574018,476.0,0,0,0.0,0.69999999999,0.7538461538345562,0.7259259254158573,0.2999999996766667,1.0,1,Balanced / Moderate
6bba_fe670320,680,8267,472,7795,208,0.0571,0.6941,0.1055,474,148,206,0.9615384615014791,0.9615384615014791,Method 0: Global Norm,19.103572332026104,34.0,2,4,0.0059,0.6970588235283867,0.7620578778122796,0.7281105985782147,0.2644796379730925,7.16,13,Balanced / Moderate
6bba_d6ecebbb,862,4973,582,4391,280,0.117,0.6752,0.1995,579,148,283,0.9642857142512756,0.9642857142512756,Method 0: Global Norm,42.4579698548414,29.0,0,0,0.0,0.6716937354980607,0.7964236588709815,0.7287602260602751,0.29259197875321497,8.86,15,Balanced / Moderate
6bba_e5e44988,634,4553,430,4123,204,0.0944,0.6782,0.1658,430,114,204,0.9655172413460168,0.9999999999655173,Method 1: Standard Bg-Sub,8.791756575848341,40.0,0,0,0.0,0.6782334384847346,0.7904411764691353,0.730050933287757,0.32176656148078264,6.66,10,Balanced / Moderate
6bba_c328f2fd,500,25876,322,25554,178,0.0124,0.644,0.0244,322,59,178,0.8333333332870371,0.7777777777345679,Method 2: Mild Bg-Sub,3.591626780581104,238.0,2,4,0.008,0.643999999998712,0.8451443569531624,0.7309875136958852,0.13377777773585586,5.322916666666667,9,Balanced / Moderate
6bba_0e7c0d07,198,17816,135,17681,63,0.0076,0.6818,0.015,135,36,63,0.9999999998888888,0.9999999998888888,Method 0: Global Norm,17.33259897524969,33.0,1,2,0.0101,0.6818181818147383,0.7894736842059096,0.7317073165718818,0.31818181807415047,2.488095238095238,6,Balanced / Moderate
44b6_b2c44266,168,45837,118,45719,50,0.0026,0.7024,0.0051,118,36,50,0.8571428570204082,0.8571428570204082,Method 2: Mild Bg-Sub,3.375506618817854,678.0,0,0,0.0,0.7023809523767716,0.7662337662287907,0.732919254154778,0.1547619046436366,1.7,2,Balanced / Moderate
6bba_268e1230,609,4037,392,3645,217,0.0971,0.6437,0.1687,392,67,217,0.9166666666284722,0.9166666666284722,Method 0: Global Norm,31.58904782197874,23.0,1,2,0.0033,0.6436781609184833,0.854030501087464,0.7340823965122337,0.2729885057099889,6.41,9,Balanced / Moderate
6bba_15403b9a,729,5602,496,5106,233,0.0885,0.6804,0.1567,496,123,233,0.92307692304142,0.9999999999615384,Method 1: Standard Bg-Sub,6.405515984037015,83.0,0,0,0.0,0.6803840877905619,0.8012924071069446,0.7359050440126234,0.3196159121709765,7.58,11,Balanced / Moderate
6bba_eebc57a5,989,8022,719,7303,270,0.0896,0.727,0.1596,719,246,270,0.9249999999768752,0.94999999997625,Method 1: Standard Bg-Sub,11.372381937053111,71.0,0,0,0.0,0.7269969666322275,0.7450777202064818,0.7359263045146753,0.2230030333440225,10.26,13,Balanced / Moderate
44b6_40c45f5a,198,26191,138,26053,60,0.0053,0.697,0.0105,138,39,60,0.999999999875,0.999999999875,Method 2: Mild Bg-Sub,3.467876859835546,427.0,0,0,0.0,0.6969696969661769,0.7796610169447478,0.7359999994976427,0.30303030290882305,2.0,2,Balanced / Moderate
44b6_97725144,221,30062,141,29921,80,0.0047,0.638,0.0093,141,21,80,0.8888888887901234,0.9999999998888888,Method 2: Mild Bg-Sub,3.2586233052616422,195.0,0,0,0.0,0.6380090497708688,0.8703703703649978,0.7362924277064538,0.36199095011801996,2.25,3,Severe Tracking Disconnect
6bba_67ebd073,438,12742,306,12436,132,0.024,0.6986,0.0464,306,87,132,0.8823529411245675,0.8235294117162629,Method 2: Mild Bg-Sub,2.28861420315648,370.0,1,2,0.0046,0.6986301369847063,0.778625954196492,0.7364620933625096,0.1248992747315566,4.62,9,Balanced / Moderate
44b6_8f9ecab4,370,60691,250,60441,120,0.0041,0.6757,0.0082,250,53,120,0.9999999999375,0.9999999999375,Method 2: Mild Bg-Sub,4.025731859668642,715.0,0,0,0.0,0.6756756756738496,0.825082508248102,0.742942050022807,0.32432432426365043,3.74,4,Balanced / Moderate
6bba_1f58c2f6,299,21773,200,21573,99,0.0092,0.6689,0.0181,200,38,99,0.9166666665902776,0.9999999999166668,Method 2: Mild Bg-Sub,2.457349162940603,365.0,0,0,0.0,0.668896321067997,0.8403361344502507,0.7448789566731375,0.33110367884866976,3.202020202020202,5,Balanced / Moderate
44b6_1d530831,271,28404,186,28218,85,0.0065,0.6863,0.013,186,42,85,0.89999999991,0.9999999999,Method 2: Mild Bg-Sub,3.665113879701496,397.0,0,0,0.0,0.6863468634661021,0.8157894736806326,0.7454909814646529,0.3136531364338979,2.76,4,Balanced / Moderate
6bba_3a1849c2,1142,5872,762,5110,380,0.1298,0.6673,0.2173,762,136,380,0.7555555555387655,0.7555555555387655,Method 0: Global Norm,15.63455869461034,60.0,0,0,0.0,0.667250437827787,0.8485523385291219,0.7470588230358324,0.08830511771097849,11.73,16,Balanced / Moderate
6bba_f17befbc,1015,20955,728,20227,287,0.0347,0.7172,0.0663,726,199,289,0.9534883720708492,0.9767441860237968,Method 2: Mild Bg-Sub,4.842426034564434,127.0,0,0,0.0,0.7152709359598864,0.7848648648640164,0.7484536077477272,0.2614732500639103,10.88888888888889,17,Balanced / Moderate
6bba_fc83837d,923,10815,641,10174,282,0.0593,0.6945,0.1092,641,145,282,0.8888888888641976,0.9166666666412038,Method 1: Standard Bg-Sub,8.991084393551358,99.0,0,0,0.0,0.6944745395442097,0.8155216284976902,0.7501462838791637,0.2221921270969941,9.57,14,Balanced / Moderate
6bba_fc516dc6,762,6249,548,5701,214,0.0877,0.7192,0.1563,551,143,211,0.9666666666344444,0.9999999999666668,Method 1: Standard Bg-Sub,6.575590285094359,140.0,0,0,0.0,0.7230971128599435,0.7939481268000087,0.7568681313681827,0.2769028871067233,7.88,12,Balanced / Moderate
