dataset,edge_recall,recall_node,total_gt_edges,total_gt_nodes,official_edge_tp,official_edge_fn,pe_ratio_final,cull_rate_pct
6bba_df673a83,0.8241590214067278,0.9222,654,668,539,115,0.9984,8.06
6bba_61dd1e0d,0.8250460405156538,0.9677,543,558,448,95,0.9644,10.5
6bba_4f99ce20,0.8257425742574257,0.9896,1010,1057,834,176,0.9705,13.23
44b6_0db75fae,0.8278145695364238,0.9363,151,157,125,26,1.01,12.06
6bba_9e23430b,0.8361391694725028,0.954,891,914,745,146,0.9468,8.64
6bba_5f89039d,0.8384180790960452,0.9834,885,904,742,143,0.9993,5.77
6bba_5c824876,0.8460176991150442,0.9308,1130,1170,956,174,0.9923,7.65
6bba_43fea39d,0.8477272727272728,0.9813,880,910,746,134,1.005,9.45
44b6_996155de,0.8488063660477454,0.9526,377,380,320,57,1.2455,8.75
44b6_a21120c2,0.8531468531468531,0.9932,286,296,244,42,0.9755,7.92
6bba_55b7eebe,0.8546511627906976,0.9929,688,705,588,100,0.9675,10.49
44b6_cf8fed6b,0.8563829787234043,1.0,188,191,161,27,0.9938,9.3
44b6_d754aa59,0.8571428571428571,1.0,70,72,60,10,1.1539,18.82
6bba_cdcfe533,0.8590504451038575,0.9986,1348,1419,1158,190,0.9683,8.49
6bba_12665c0e,0.8607214428857716,0.971,998,1036,859,139,0.9685,8.85
6bba_23af9eeb,0.8637274549098196,0.9825,499,513,431,68,1.102,7.21
6bba_5b28472a,0.8646408839779005,0.9824,724,737,626,98,1.0128,16.08
6bba_91951b3a,0.8649825783972126,0.968,1148,1188,993,155,0.9782,9.58
6bba_337b1b3a,0.8656224237427865,0.989,1213,1272,1050,163,0.9794,8.33
6bba_bbb708ca,0.8664343786295006,0.9563,861,892,746,115,0.9835,10.56
6bba_7af54fde,0.8672161172161172,0.9363,1092,1131,947,145,0.9737,11.53
6bba_3c5691b6,0.871313672922252,0.9987,746,765,650,96,1.0722,9.63
6bba_372c8cb8,0.871896722939424,0.9768,1007,1036,878,129,1.0191,14.05
6bba_4aa14c89,0.8737151248164464,0.9335,681,707,595,86,0.9778,6.57
6bba_cf35214c,0.8739290085679314,0.9905,817,842,714,103,1.023,9.75
6bba_6321a359,0.87468671679198,0.9794,798,827,698,100,1.0058,13.24
6bba_f4ae811c,0.8756476683937824,0.954,965,1001,845,120,0.9754,7.76
6bba_13f19531,0.8764204545454546,0.9959,704,737,617,87,1.0243,7.9
6bba_3fda6b25,0.8982188295165394,0.9843,1179,1207,1059,120,0.97,8.2
6bba_2312ac41,0.8984098939929329,0.9619,1132,1156,1017,115,0.9897,5.38
44b6_5740d24b,0.9,0.9653,170,173,153,17,0.8914,8.64
6bba_784a78c9,0.9085681426106959,0.9765,1739,1788,1580,159,0.9789,6.35
44b6_341df25f,0.9186602870813397,0.9583,209,216,192,17,0.9952,7.37
6bba_aeee7805,0.921875,0.9962,768,795,708,60,0.9821,8.46
6bba_ef7b4f7e,0.9383846794338052,0.9895,1201,1234,1127,74,0.9419,11.58
44b6_0113de3b,0.94,1.0,50,52,47,3,1.0073,12.22
6bba_fbc898dc,0.94679186228482,1.0,639,655,605,34,1.002,10.11
44b6_aaf8b0ea,0.9854368932038835,1.0,206,209,203,3,0.949,5.58
44b6_abf82518,0.9893617021276596,1.0,94,96,93,1,0.962,11.16
44b6_95029e92,0.98989898989899,1.0,198,200,196,2,0.9671,15.59
44b6_81c256f0,1.0,1.0,197,199,197,0,1.0406,6.74
44b6_808952d6,1.0,1.0,179,181,179,0,1.0192,6.85
