dataset,pair_type,distance_um,cos_similarity,accel_norm_um,speed_ratio
6bba_15403b9a,FP_Noise_Link (TP->FP),5.3433843,0.0,5.3433843,534338.44
6bba_ebdf3b34,True_Cell_Link (TP->TP),4.2413745,0.99867326,4.614113,0.47953865
6bba_ebdf3b34,FP_Noise_Link (TP->FP),3.4946947,-0.8543089,11.968872,0.39511746
6bba_96833384,True_Cell_Link (TP->TP),2.0714767,0.9805805,0.5745243,0.84983313
6bba_96833384,FP_Noise_Link (TP->FP),3.4710016,0.3901371,3.3745658,1.4239948
44b6_ddf577ad,True_Cell_Link (TP->TP),1.6750116,0.07132629,5.6584077,0.3031362
44b6_ddf577ad,FP_Noise_Link (TP->FP),5.5255976,-0.61081076,9.917827,0.9999982
44b6_7a302da0,True_Cell_Link (TP->TP),1.6750116,0.1714984,1.6750116,2.915425
44b6_7a302da0,FP_Noise_Link (TP->FP),6.6629953,-0.21556525,6.809991,11.597211
44b6_5740d24b,True_Cell_Link (TP->TP),0.9084026,0.31622714,0.9084026,1.5811112
44b6_5740d24b,FP_Noise_Link (TP->FP),6.1878157,0.37139055,5.9982095,10.770142
6bba_268e1230,True_Cell_Link (TP->TP),2.0714767,0.9770485,1.8616713,0.5404936
6bba_268e1230,FP_Noise_Link (TP->FP),5.04143,0.69187814,3.65625,1.3154193
6bba_7af54fde,True_Cell_Link (TP->TP),0.0,0.0,1.1490486,0.0
6bba_7af54fde,FP_Noise_Link (TP->FP),6.080193,0.944911,5.0085864,5.291456
44b6_2a2eff9f,True_Cell_Link (TP->TP),2.1877232,0.28236312,5.170718,0.40942574
44b6_2a2eff9f,FP_Noise_Link (TP->FP),5.915089,0.42817655,6.0393405,1.1069909
6bba_5dfe9ad1,True_Cell_Link (TP->TP),3.0400965,0.8315218,1.7235727,1.0582968
6bba_5dfe9ad1,FP_Noise_Link (TP->FP),6.90625,-0.19133475,7.9712005,2.4041548
6bba_09961292,True_Cell_Link (TP->TP),2.03125,0.0,2.03125,203125.0
6bba_09961292,FP_Noise_Link (TP->FP),6.9420033,0.0,6.9420033,694200.3
6bba_825bd1c6,True_Cell_Link (TP->TP),1.1490486,0.0,1.2846752,1.9999652
6bba_825bd1c6,FP_Noise_Link (TP->FP),3.172914,0.09053569,3.172914,5.522584
6bba_bbb708ca,True_Cell_Link (TP->TP),0.0,0.0,0.9084026,0.0
6bba_bbb708ca,FP_Noise_Link (TP->FP),4.8239512,-0.75324345,5.540511,5.3103085
6bba_907271db,True_Cell_Link (TP->TP),2.9295104,0.26311737,3.3500233,1.140171
6bba_907271db,FP_Noise_Link (TP->FP),6.147678,0.6060107,5.025035,2.392688
6bba_825bd1c6,True_Cell_Link (TP->TP),2.8145826,0.7302966,2.0714767,2.1908734
6bba_825bd1c6,FP_Noise_Link (TP->FP),4.614113,0.47331908,4.1628237,3.591629
6bba_c328f2fd,True_Cell_Link (TP->TP),0.5745243,0.27734986,1.9902104,0.27734876
6bba_c328f2fd,FP_Noise_Link (TP->FP),4.02167,-0.39621437,5.2025385,1.9414413
6bba_fe670320,True_Cell_Link (TP->TP),3.7233427,0.37038925,3.6787503,1.4142082
6bba_fe670320,FP_Noise_Link (TP->FP),3.4946947,-0.7174959,5.6875,1.3273627
44b6_d29c9ab2,True_Cell_Link (TP->TP),7.8038077,0.9435273,3.5648293,1.5897757
44b6_d29c9ab2,FP_Noise_Link (TP->FP),4.614113,0.7505263,3.3745658,0.9399776
44b6_d5e7d891,True_Cell_Link (TP->TP),2.3337286,0.0,2.3337286,233372.86
44b6_d5e7d891,FP_Noise_Link (TP->FP),3.7233427,0.0,3.7233427,372334.28
44b6_7e557709,True_Cell_Link (TP->TP),1.7235727,-0.8574927,3.2752922,1.0289854
44b6_7e557709,FP_Noise_Link (TP->FP),1.8168052,-0.21693039,2.7252078,1.0846459
6bba_b329af44,True_Cell_Link (TP->TP),5.296852,-0.49847633,6.6629953,2.42116
6bba_b329af44,FP_Noise_Link (TP->FP),6.95388,-0.8787234,8.9375,3.1785777
6bba_bb9f20c3,True_Cell_Link (TP->TP),1.625,0.0,1.8616713,1.7888347
6bba_bb9f20c3,FP_Noise_Link (TP->FP),6.625737,-0.6855105,7.2785673,7.2937527
6bba_fc83837d,True_Cell_Link (TP->TP),2.03125,0.99999976,0.0,0.99999505
6bba_fc83837d,FP_Noise_Link (TP->FP),6.512683,-0.037426967,6.894291,3.206228
6bba_d1acb6ff,True_Cell_Link (TP->TP),5.1547346,0.0,5.1547346,515473.47
6bba_d1acb6ff,FP_Noise_Link (TP->FP),6.6132708,0.0,6.6132708,661327.06
6bba_767a1e17,True_Cell_Link (TP->TP),0.0,0.0,8.617864,0.0
6bba_767a1e17,FP_Noise_Link (TP->FP),3.5648293,-0.4244001,10.63258,0.41365534
44b6_d29c9ab2,True_Cell_Link (TP->TP),1.6750116,-0.5854904,3.4471455,0.765638
44b6_d29c9ab2,FP_Noise_Link (TP->FP),6.461802,0.84056866,4.772357,2.953652
6bba_718b21f9,True_Cell_Link (TP->TP),1.2846752,0.447213,1.1490486,2.236029
6bba_718b21f9,FP_Noise_Link (TP->FP),5.759588,0.74813175,5.3433843,10.024794
6bba_786893ac,True_Cell_Link (TP->TP),2.4375,0.0,2.4375,243750.0
6bba_786893ac,FP_Noise_Link (TP->FP),5.4048047,0.0,5.4048047,540480.5
6bba_09961292,True_Cell_Link (TP->TP),2.4375,0.7453556,1.8616713,2.683252
6bba_09961292,FP_Noise_Link (TP->FP),6.95388,-0.62703586,7.556687,7.654979
6bba_f17befbc,True_Cell_Link (TP->TP),3.3500233,0.97014225,2.1877232,2.7487144
6bba_f17befbc,FP_Noise_Link (TP->FP),6.525341,-0.3112864,7.001186,5.354082
6bba_ebff6e76,True_Cell_Link (TP->TP),1.2846752,0.0,1.2846752,128467.52
6bba_ebff6e76,FP_Noise_Link (TP->FP),5.970631,0.0,5.970631,597063.1
6bba_cdcfe533,True_Cell_Link (TP->TP),3.74544,0.9999999,0.0,0.9999973
6bba_cdcfe533,FP_Noise_Link (TP->FP),5.8590207,-0.5414911,8.492472,1.5643035
6bba_f1fde7e0,True_Cell_Link (TP->TP),4.0010986,0.91119754,4.667457,0.49935633
6bba_f1fde7e0,FP_Noise_Link (TP->FP),6.2541394,0.44790912,7.643548,0.7805466
6bba_09961292,True_Cell_Link (TP->TP),0.8125,-0.9999969,1.21875,1.9999506
6bba_09961292,FP_Noise_Link (TP->FP),4.667457,0.34815514,4.542013,11.488842
6bba_09961292,True_Cell_Link (TP->TP),0.40625,0.0,0.5745243,0.9999753
6bba_09961292,FP_Noise_Link (TP->FP),6.8582892,-0.8292881,7.198768,16.881527
6bba_2819ca14,True_Cell_Link (TP->TP),11.746176,0.7655876,9.917827,4.571634
6bba_2819ca14,FP_Noise_Link (TP->FP),6.8582892,0.24351229,6.712352,2.6692593
44b6_3a861e03,True_Cell_Link (TP->TP),4.9087377,0.73291373,3.3745658,1.2023052
44b6_3a861e03,FP_Noise_Link (TP->FP),3.7233427,0.5428373,3.74544,0.9119644
6bba_09961292,True_Cell_Link (TP->TP),0.5745243,0.8616401,4.1825995,0.123091236
6bba_09961292,FP_Noise_Link (TP->FP),6.1342406,-0.57642865,9.613629,1.3142548
6bba_b204cac7,True_Cell_Link (TP->TP),1.2846752,0.31622714,1.21875,3.1621995
6bba_b204cac7,FP_Noise_Link (TP->FP),5.970631,0.6804136,5.7019906,14.696576
6bba_d82a4fc6,True_Cell_Link (TP->TP),0.9084026,0.44721237,0.8125,2.236013
6bba_d82a4fc6,FP_Noise_Link (TP->FP),6.4233766,0.9486829,6.0393405,15.810999
44b6_d29c9ab2,True_Cell_Link (TP->TP),2.4711223,0.82072926,1.6750116,0.8435245
44b6_d29c9ab2,FP_Noise_Link (TP->FP),5.420051,-0.68601286,7.7294335,1.8501496
6bba_b329af44,True_Cell_Link (TP->TP),1.8616713,-0.97725433,3.5648293,1.0801172
6bba_b329af44,FP_Noise_Link (TP->FP),6.306696,-0.07591458,6.6629953,3.659062
44b6_d29c9ab2,True_Cell_Link (TP->TP),1.8616713,-0.6686477,3.2752922,1.0801172
44b6_d29c9ab2,FP_Noise_Link (TP->FP),2.8726213,-0.5999999,4.1429534,1.666657
6bba_085bf656,True_Cell_Link (TP->TP),2.6328008,0.74095845,1.8168052,1.1114331
6bba_085bf656,FP_Noise_Link (TP->FP),4.1628237,-0.58577913,5.873088,1.7573301
6bba_784a78c9,True_Cell_Link (TP->TP),1.9902104,0.4082482,2.1877232,0.97979105
6bba_784a78c9,FP_Noise_Link (TP->FP),3.9804208,-0.40824825,5.1547346,1.9595821
6bba_2540cd90,True_Cell_Link (TP->TP),2.0714767,-0.5547001,3.3500233,1.2018435
6bba_2540cd90,FP_Noise_Link (TP->FP),3.3745658,0.1986265,3.4710016,1.9578786
6bba_87289e13,True_Cell_Link (TP->TP),14.334352,0.0,14.334352,1.4334352e+06
6bba_87289e13,FP_Noise_Link (TP->FP),5.2183757,0.0,5.2183757,521837.6
44b6_c96cfa10,True_Cell_Link (TP->TP),2.9575446,0.9637511,0.9084026,0.8961168
44b6_c96cfa10,FP_Noise_Link (TP->FP),5.7019906,-0.49988455,7.887948,1.7276661
6bba_05b6850b,True_Cell_Link (TP->TP),0.9084026,0.70710653,2.03125,0.35355204
6bba_05b6850b,FP_Noise_Link (TP->FP),6.7491317,-0.4949015,8.325647,2.626775
6bba_43fea39d,True_Cell_Link (TP->TP),3.4946947,0.9936145,0.40625,1.0355953
6bba_43fea39d,FP_Noise_Link (TP->FP),5.170718,0.10404246,5.873088,1.5322572
6bba_337b1b3a,True_Cell_Link (TP->TP),3.0671203,0.857215,1.6750116,1.4806372
6bba_337b1b3a,FP_Noise_Link (TP->FP),4.9087377,0.8115342,3.4471455,2.369669
6bba_9e23430b,True_Cell_Link (TP->TP),0.40625,-0.9486815,1.6750116,0.31622532
6bba_9e23430b,FP_Noise_Link (TP->FP),6.4233766,0.47999993,5.915089,4.9999614
6bba_7b5d3b2c,True_Cell_Link (TP->TP),1.7235727,0.2357022,2.3337286,0.8485239
6bba_7b5d3b2c,FP_Noise_Link (TP->FP),6.21443,0.8498366,4.614113,3.0593965
44b6_d29c9ab2,True_Cell_Link (TP->TP),1.625,0.0,1.6750116,3.9999013
44b6_d29c9ab2,FP_Noise_Link (TP->FP),3.3003907,-0.8616398,3.65625,8.123838
6bba_786893ac,True_Cell_Link (TP->TP),0.9084026,0.21693031,1.7235727,0.54232293
6bba_786893ac,FP_Noise_Link (TP->FP),6.7000465,0.58823526,5.873088,3.9999762
6bba_6db0e9b4,True_Cell_Link (TP->TP),2.1877232,0.6692446,6.4105167,0.2854128
6bba_6db0e9b4,FP_Noise_Link (TP->FP),5.8590207,0.88197154,3.7233427,0.7643743
6bba_a5e926bb,True_Cell_Link (TP->TP),2.1877232,0.85593057,1.7235727,0.6894975
6bba_a5e926bb,FP_Noise_Link (TP->FP),1.6750116,-0.6521235,4.450246,0.5279079
44b6_c771cb04,True_Cell_Link (TP->TP),1.4647552,-0.48953533,3.0671203,0.7071034
44b6_c771cb04,FP_Noise_Link (TP->FP),6.2541394,0.6496946,5.1547346,3.019155
6bba_09961292,True_Cell_Link (TP->TP),0.0,0.0,4.7376485,0.0
6bba_09961292,FP_Noise_Link (TP->FP),6.4105167,0.8585942,3.3745658,1.3530982
6bba_d5eae175,True_Cell_Link (TP->TP),3.4710016,0.30345544,3.3745658,2.0138295
6bba_d5eae175,FP_Noise_Link (TP->FP),4.337563,0.573964,3.6336105,2.516597
6bba_09961292,True_Cell_Link (TP->TP),2.1877232,-0.37139025,2.3688242,5.385032
6bba_09961292,FP_Noise_Link (TP->FP),6.95388,0.35052362,6.822098,17.116821
6bba_cdcfe533,True_Cell_Link (TP->TP),2.03125,-0.98058045,4.082762,0.9805759
6bba_cdcfe533,FP_Noise_Link (TP->FP),4.3184967,-0.5350225,5.7019906,2.084733
6bba_5dfe9ad1,True_Cell_Link (TP->TP),2.8726213,0.99084693,0.40625,1.0540887
6bba_5dfe9ad1,FP_Noise_Link (TP->FP),5.984436,-0.95124346,8.617864,2.195948
6bba_78a7bd97,True_Cell_Link (TP->TP),0.0,0.0,7.887948,0.0
6bba_78a7bd97,FP_Noise_Link (TP->FP),6.894291,0.58268565,6.809991,0.8740273
6bba_3c5691b6,True_Cell_Link (TP->TP),0.5745243,-0.1714984,1.8616713,0.34299514
6bba_3c5691b6,FP_Noise_Link (TP->FP),4.3754463,0.22518864,4.3184967,2.612173
6bba_bb9f20c3,True_Cell_Link (TP->TP),0.8125,0.13736051,2.9575446,0.2747202
6bba_bb9f20c3,FP_Noise_Link (TP->FP),6.822098,0.76071227,4.9589133,2.3066685
44b6_8f5ab931,True_Cell_Link (TP->TP),6.6629953,0.93019134,3.810963,2.0343146
44b6_8f5ab931,FP_Noise_Link (TP->FP),4.9087377,0.25662965,5.1547346,1.4987129
6bba_fc83837d,True_Cell_Link (TP->TP),0.8125,0.72554225,8.946728,0.08535784
6bba_fc83837d,FP_Noise_Link (TP->FP),4.875,-0.76822126,13.6260395,0.512147
6bba_32db13fc,True_Cell_Link (TP->TP),7.501888,0.0,7.501888,750188.8
6bba_32db13fc,FP_Noise_Link (TP->FP),6.306696,0.0,6.306696,630669.6
6bba_74686d6a,True_Cell_Link (TP->TP),6.080193,0.0,6.080193,608019.3
6bba_74686d6a,FP_Noise_Link (TP->FP),5.7452426,0.0,5.7452426,574524.25
6bba_d5eae175,True_Cell_Link (TP->TP),2.1877232,0.5284982,3.2752922,0.5676447
6bba_d5eae175,FP_Noise_Link (TP->FP),6.8582892,0.66809785,5.1547346,1.7795085
6bba_edf14583,True_Cell_Link (TP->TP),0.0,0.0,2.7252078,0.0
6bba_edf14583,FP_Noise_Link (TP->FP),6.2541394,-0.6971914,8.384906,2.2949135
6bba_ae82a791,True_Cell_Link (TP->TP),0.0,0.0,1.8616713,0.0
6bba_ae82a791,FP_Noise_Link (TP->FP),5.5850143,-0.19047618,6.21443,2.999984
6bba_5b28472a,True_Cell_Link (TP->TP),0.0,0.0,1.7235727,0.0
6bba_5b28472a,FP_Noise_Link (TP->FP),5.759588,0.5818804,4.9589133,3.341637
6bba_1d0d8384,True_Cell_Link (TP->TP),1.4647552,-0.1961159,1.6750116,2.5494652
6bba_1d0d8384,FP_Noise_Link (TP->FP),5.970631,-0.7698001,6.4233766,10.392123
6bba_372c8cb8,True_Cell_Link (TP->TP),1.4647552,0.13453451,2.0714767,0.8744694
6bba_372c8cb8,FP_Noise_Link (TP->FP),5.420051,-0.4544703,6.3588185,3.2358096
6bba_268e1230,True_Cell_Link (TP->TP),2.9575446,0.97553277,1.1490486,0.77168804
6bba_268e1230,FP_Noise_Link (TP->FP),6.822098,0.1325561,7.3687077,1.7800345
6bba_bb9f20c3,True_Cell_Link (TP->TP),2.9295104,0.8320501,2.03125,2.403681
6bba_bb9f20c3,FP_Noise_Link (TP->FP),3.3745658,0.24077167,3.3003907,2.7688518
44b6_3bb3690f,True_Cell_Link (TP->TP),0.0,0.0,2.3337286,0.0
44b6_3bb3690f,FP_Noise_Link (TP->FP),4.082762,0.86606866,2.3688242,1.7494512
6bba_e5e44988,True_Cell_Link (TP->TP),1.2846752,0.7378646,1.7235727,0.52704406
6bba_e5e44988,FP_Noise_Link (TP->FP),6.5631695,0.887211,4.542013,2.6925714
6bba_a90a0b9c,True_Cell_Link (TP->TP),2.03125,-0.5366562,3.3745658,1.1180278
6bba_a90a0b9c,FP_Noise_Link (TP->FP),6.201137,0.38087314,5.759588,3.4131908
6bba_f8ffd5e7,True_Cell_Link (TP->TP),2.7252078,0.99380785,0.40625,1.1180294
6bba_f8ffd5e7,FP_Noise_Link (TP->FP),6.712352,-0.44383347,8.094474,2.753774
44b6_b2c44266,True_Cell_Link (TP->TP),0.8125,-0.894426,1.6750116,0.89441735
44b6_b2c44266,FP_Noise_Link (TP->FP),5.6584077,-0.35318863,6.0393405,6.2288957
6bba_2540cd90,True_Cell_Link (TP->TP),1.8168052,0.0,1.8168052,181680.53
6bba_2540cd90,FP_Noise_Link (TP->FP),4.082762,0.0,4.082762,408276.2
6bba_085bf656,True_Cell_Link (TP->TP),2.4375,0.6666665,1.8168052,1.4999907
6bba_085bf656,FP_Noise_Link (TP->FP),3.8540258,-0.10540924,4.337563,2.3716936
6bba_062c8d37,True_Cell_Link (TP->TP),1.8616713,0.21821776,1.8616713,2.2912595
6bba_062c8d37,FP_Noise_Link (TP->FP),2.0714767,-0.5883481,2.6328008,2.5494783
6bba_d82a4fc6,True_Cell_Link (TP->TP),0.8125,0.43643552,1.6750116,0.43643343
6bba_d82a4fc6,FP_Noise_Link (TP->FP),4.7376485,0.48651272,4.1628237,2.5448225
6bba_3abfe10a,True_Cell_Link (TP->TP),0.9084026,0.99999875,0.0,0.999989
6bba_3abfe10a,FP_Noise_Link (TP->FP),3.4946947,0.051987506,3.5648293,3.8470345
6bba_05db0fb1,True_Cell_Link (TP->TP),1.7235727,0.7698003,2.8726213,0.4330116
6bba_05db0fb1,FP_Noise_Link (TP->FP),6.625737,-0.30037567,8.69413,1.6645778
6bba_d82a4fc6,True_Cell_Link (TP->TP),0.5745243,0.7071063,2.0714767,0.23570131
6bba_d82a4fc6,FP_Noise_Link (TP->FP),6.9420033,-0.11704113,7.621926,2.8479896
44b6_e57ff5c6,True_Cell_Link (TP->TP),4.9087377,0.257979,6.2541394,0.91865534
44b6_e57ff5c6,FP_Noise_Link (TP->FP),3.3003907,-0.58958375,7.7613955,0.6176581
6bba_f1fde7e0,True_Cell_Link (TP->TP),2.1877232,0.77326,8.375058,0.21984823
6bba_f1fde7e0,FP_Noise_Link (TP->FP),6.9420033,-0.16245829,13.025366,0.6976144
6bba_9e23430b,True_Cell_Link (TP->TP),2.03125,0.5692098,1.6750116,1.5811266
6bba_9e23430b,FP_Noise_Link (TP->FP),5.9290237,0.49835405,5.4048047,4.6151567
44b6_d29c9ab2,True_Cell_Link (TP->TP),0.5745243,-0.9999984,1.7235727,0.49999565
44b6_d29c9ab2,FP_Noise_Link (TP->FP),2.4375,-0.23570217,2.9295104,2.1213017
6bba_f17befbc,True_Cell_Link (TP->TP),0.0,0.0,4.9589133,0.0
6bba_f17befbc,FP_Noise_Link (TP->FP),4.1825995,0.35806876,5.2183757,0.8434491
6bba_5c039895,True_Cell_Link (TP->TP),1.8168052,0.19999988,1.8616713,1.999978
6bba_5c039895,FP_Noise_Link (TP->FP),4.3942657,-0.78555316,5.138701,4.8373013
6bba_aeee7805,True_Cell_Link (TP->TP),0.0,0.0,3.8540258,0.0
6bba_aeee7805,FP_Noise_Link (TP->FP),6.712352,-0.9378097,10.413005,1.7416422
6bba_a5e926bb,True_Cell_Link (TP->TP),0.0,0.0,1.7235727,0.0
6bba_a5e926bb,FP_Noise_Link (TP->FP),6.7613473,0.07080988,6.8582892,3.9228446
6bba_718b21f9,True_Cell_Link (TP->TP),0.0,0.0,0.5745243,0.0
6bba_718b21f9,FP_Noise_Link (TP->FP),4.9589133,-0.63721263,5.3433843,8.631187
6bba_5b28472a,True_Cell_Link (TP->TP),0.0,0.0,0.5745243,0.0
6bba_5b28472a,FP_Noise_Link (TP->FP),6.461802,-0.31118786,6.6629953,11.2470255
44b6_e29f0176,True_Cell_Link (TP->TP),3.4471455,0.9523809,1.2846752,0.85714066
44b6_e29f0176,FP_Noise_Link (TP->FP),6.319767,-0.46753243,8.9375,1.5714247
6bba_6feeb0b1,True_Cell_Link (TP->TP),2.03125,0.97166747,1.21875,0.65653
6bba_6feeb0b1,FP_Noise_Link (TP->FP),2.9295104,-0.32776064,4.9087377,0.9468611
6bba_085bf656,True_Cell_Link (TP->TP),3.7233427,0.5779476,3.2752922,1.1033514
6bba_085bf656,FP_Noise_Link (TP->FP),6.5631695,0.6781044,4.9422445,1.9448873
6bba_bb9f20c3,True_Cell_Link (TP->TP),0.5745243,-0.98994863,2.6012692,0.28284132
6bba_bb9f20c3,FP_Noise_Link (TP->FP),5.7452426,0.7071067,4.542013,2.8284132
6bba_718b21f9,True_Cell_Link (TP->TP),5.6438055,0.0,5.6438055,564380.56
6bba_718b21f9,FP_Noise_Link (TP->FP),5.9290237,0.0,5.9290237,592902.4
6bba_57b7cc1e,True_Cell_Link (TP->TP),0.9084026,0.89442676,1.2846752,0.44721138
6bba_57b7cc1e,FP_Noise_Link (TP->FP),5.6875,-0.4285714,6.809991,2.7999861
6bba_fe670320,True_Cell_Link (TP->TP),2.1877232,0.96490115,0.9084026,0.7772788
6bba_fe670320,FP_Noise_Link (TP->FP),5.5255976,0.5518192,4.614113,1.9631963
6bba_6feb10f0,True_Cell_Link (TP->TP),1.625,0.0,1.6750116,3.9999013
6bba_6feb10f0,FP_Noise_Link (TP->FP),4.9087377,0.7448449,4.614113,12.082748
6bba_718b21f9,True_Cell_Link (TP->TP),1.6750116,0.31755358,2.0714767,0.89973056
6bba_718b21f9,FP_Noise_Link (TP->FP),4.2413745,-0.48073408,5.3895154,2.2782495
6bba_2312ac41,True_Cell_Link (TP->TP),0.40625,0.7071062,2.6012692,0.14142086
6bba_2312ac41,FP_Noise_Link (TP->FP),4.0625,-0.87681234,6.724634,1.4142087
6bba_57b7cc1e,True_Cell_Link (TP->TP),2.4375,0.82697666,5.5255976,0.33079025
6bba_57b7cc1e,FP_Noise_Link (TP->FP),5.759588,0.12832697,8.750893,0.7816269
6bba_67ebd073,True_Cell_Link (TP->TP),3.3003907,0.9254761,1.2846752,0.98518145
6bba_67ebd073,FP_Noise_Link (TP->FP),5.025035,-0.9999999,8.375058,1.4999955
6bba_57b7cc1e,True_Cell_Link (TP->TP),2.0714767,0.27734998,2.0714767,1.8027599
6bba_57b7cc1e,FP_Noise_Link (TP->FP),6.894291,0.49999994,6.397631,5.999947
6bba_d5eae175,True_Cell_Link (TP->TP),1.6750116,-0.7134771,3.4710016,0.8086036
6bba_d5eae175,FP_Noise_Link (TP->FP),5.138701,-0.49613893,6.4233766,2.4806826
6bba_784a78c9,True_Cell_Link (TP->TP),1.9902104,0.0,1.9902104,199021.05
6bba_784a78c9,FP_Noise_Link (TP->FP),5.9982095,0.0,5.9982095,599820.94
6bba_bb9f20c3,True_Cell_Link (TP->TP),0.0,0.0,1.8616713,0.0
6bba_bb9f20c3,FP_Noise_Link (TP->FP),4.9087377,-0.3792566,5.873088,2.6367228
44b6_706092f0,True_Cell_Link (TP->TP),0.40625,0.9701411,1.2846752,0.24253418
44b6_706092f0,FP_Noise_Link (TP->FP),5.2025385,-0.71967626,6.512683,3.105953
6bba_907271db,True_Cell_Link (TP->TP),4.9087377,0.90672696,3.0671203,2.243755
6bba_907271db,FP_Noise_Link (TP->FP),3.7233427,-0.04052204,4.3942657,1.7019181
6bba_e5e44988,True_Cell_Link (TP->TP),0.0,0.0,4.7550344,0.0
6bba_e5e44988,FP_Noise_Link (TP->FP),4.3754463,-0.5711408,8.094474,0.92016935
6bba_b329af44,True_Cell_Link (TP->TP),9.475297,0.0,9.475297,947529.75
6bba_b329af44,FP_Noise_Link (TP->FP),5.296852,0.0,5.296852,529685.25
6bba_8b7818bf,True_Cell_Link (TP->TP),3.2752922,-0.039223224,4.2413745,1.27475
6bba_8b7818bf,FP_Noise_Link (TP->FP),4.450246,-0.115470044,5.3895154,1.7320442
6bba_b204cac7,True_Cell_Link (TP->TP),1.2846752,0.31622714,1.21875,3.1621995
6bba_b204cac7,FP_Noise_Link (TP->FP),4.1628237,0.78071964,3.8540258,10.246698
6bba_7af54fde,True_Cell_Link (TP->TP),1.7235727,0.9245001,0.8125,0.8320463
6bba_7af54fde,FP_Noise_Link (TP->FP),6.918188,-0.11516335,7.4466853,3.3397212
6bba_b329af44,True_Cell_Link (TP->TP),1.4647552,0.9647634,0.40625,1.1401665
6bba_b329af44,FP_Noise_Link (TP->FP),6.9893894,-0.88225746,8.1452875,5.440546
6bba_767a1e17,True_Cell_Link (TP->TP),1.8168052,0.32998314,3.6787503,0.4714033
6bba_767a1e17,FP_Noise_Link (TP->FP),6.90625,0.19221687,7.2330756,1.7919527
6bba_05b6850b,True_Cell_Link (TP->TP),2.1877232,-0.16162701,3.4471455,0.9374328
6bba_05b6850b,FP_Noise_Link (TP->FP),5.6438055,-0.6891711,7.4466853,2.4183538
6bba_cdcfe533,True_Cell_Link (TP->TP),3.8540258,0.6459422,3.4946947,0.8808283
6bba_cdcfe533,FP_Noise_Link (TP->FP),6.5505843,0.13819602,7.3575006,1.4971203
44b6_d29c9ab2,True_Cell_Link (TP->TP),0.9084026,0.21693031,1.7235727,0.54232293
44b6_d29c9ab2,FP_Noise_Link (TP->FP),3.6336105,-0.10846521,4.1628237,2.1692917
44b6_e28840c6,True_Cell_Link (TP->TP),0.40625,0.0,1.6750116,0.24999847
44b6_e28840c6,FP_Noise_Link (TP->FP),6.7491317,-0.2407717,7.3125,4.153286
6bba_6ca87370,True_Cell_Link (TP->TP),0.8125,0.31622747,1.2846752,0.63245064
6bba_6ca87370,FP_Noise_Link (TP->FP),5.540511,0.23186944,5.3895154,4.312738
6bba_bb9f20c3,True_Cell_Link (TP->TP),4.542013,0.0,4.542013,454201.34
6bba_bb9f20c3,FP_Noise_Link (TP->FP),3.8540258,0.0,3.8540258,385402.6
6bba_7b5d3b2c,True_Cell_Link (TP->TP),0.40625,-0.59999925,2.2980971,0.19999902
6bba_7b5d3b2c,FP_Noise_Link (TP->FP),4.9087377,-0.41380286,6.0393405,2.4165974
44b6_9bfa6a0a,True_Cell_Link (TP->TP),0.5745243,0.9999984,0.5745243,0.49999565
44b6_9bfa6a0a,FP_Noise_Link (TP->FP),5.970631,-0.76980025,6.894291,5.196107
44b6_3a861e03,True_Cell_Link (TP->TP),2.03125,-0.6559132,4.337563,0.7453533
