dataset,gt_edges,pairs_pos,pairs_neg,elapsed_sec
6bba_c27cba08,493,424,6224,0.47
6bba_c328f2fd,500,362,41123,0.86
6bba_c73a1d11,710,308,20860,0.62
6bba_cdcfe533,1348,1297,34737,0.92
6bba_cf35214c,817,794,43233,1.03
6bba_cff5865f,1501,1395,60632,1.43
6bba_d0fc38b5,813,728,6683,0.52
6bba_d1acb6ff,643,492,15410,0.59
6bba_d2b9fc0c,921,866,33528,0.78
6bba_d3da753b,857,770,26152,0.71
6bba_d5eae175,519,463,5066,0.49
6bba_d6ecebbb,862,658,6566,0.51
6bba_d82a4fc6,530,489,40775,0.84
6bba_debd7bfa,729,536,12076,0.56
6bba_df673a83,654,568,20411,0.65
6bba_e16ffc58,942,849,8636,0.53
6bba_e5e44988,634,482,5127,0.46
6bba_ebdf3b34,803,728,85566,1.68
6bba_ebff6e76,1264,748,53941,1.22
6bba_ed9377fd,508,435,5547,0.48
6bba_edf14583,760,718,93931,1.65
6bba_eebc57a5,989,833,10089,0.57
6bba_ef7b4f7e,1201,1163,5382,0.56
6bba_f17befbc,1015,800,30170,0.78
6bba_f1fde7e0,446,283,9050,0.5
6bba_f20478e9,963,834,5385,0.54
6bba_f4ae811c,965,869,8340,0.56
6bba_f8ffd5e7,370,335,41732,0.89
6bba_fbc898dc,639,629,5248,0.49
6bba_fc516dc6,762,653,9652,0.69
6bba_fc5f39dc,458,310,14635,0.56
6bba_fc83837d,923,698,15506,0.6
6bba_fe670320,680,567,13529,0.57
