dataset,inter_nn_median,inter_nn_p75,n_nodes,n_frames,density
6bba_12665c0e,3.72334275215162,5.465534769123694,8842,100,88.42
6bba_13f19531,2.03125,3.350023320814349,6423,100,64.23
6bba_15403b9a,4.1429533547941375,5.9150892850404215,7350,100,73.5
6bba_1d0d8384,1.6750116604071745,2.368824207280903,21497,100,214.97
6bba_1ebfb80d,2.6012692214570947,4.182599744775969,13223,100,132.23
6bba_1f58c2f6,1.4647552056572457,3.25,35733,100,357.33
6bba_207c6aaf,2.0714766773970688,2.9575446425202108,14724,100,147.24
6bba_20852818,3.447145558284419,5.008586377412294,11139,100,111.39
6bba_2312ac41,1.86167137607581,3.494694639736067,12510,100,125.1
6bba_23af9eeb,1.284675299443404,1.86167137607581,5289,100,52.89
6bba_2540cd90,1.8168052317185792,2.2980970388562794,4395,100,43.95
6bba_2646afc7,1.6750116604071745,1.9902104160113323,6430,100,64.3
6bba_268e1230,3.25,4.0827619710803615,5844,100,58.44
6bba_2819ca14,3.65625,5.138701197773616,6173,100,61.73
6bba_283bf9f1,2.84375,3.843290366614104,21689,100,216.89
6bba_312f0dc3,4.596194077712559,5.58501412822743,10552,100,105.52
6bba_32db13fc,3.65625,5.202538442914189,46220,100,462.2
6bba_337b1b3a,5.065863914339419,5.759587794495366,32571,100,325.71
6bba_372c8cb8,1.21875,1.9902104160113323,8332,100,83.32
6bba_3a1849c2,0.5745242597140698,1.8168052317185792,7964,100,79.64
6bba_3abfe10a,2.6012692214570947,3.832554834897995,62599,100,625.99
6bba_3c5691b6,1.4647552056572457,2.6012692214570947,7428,100,74.28
6bba_3db54e20,2.0714766773970688,3.300110643762331,24687,100,246.87
6bba_3fda6b25,9.084026158592895,24.734586314846133,10432,100,104.32
6bba_43fea39d,3.2752922102462856,5.206497765956319,6387,100,63.87
6bba_474be664,1.9902104160113323,3.471001521535247,34260,100,342.6
6bba_48816121,1.7235727791422095,2.8726212985703494,25497,100,254.97
6bba_4aa14c89,3.300390601883359,4.696145912188868,7107,100,71.07
6bba_4f99ce20,4.318496736423452,6.616387397201482,6675,100,66.75
6bba_4ffd3da3,1.8168052317185792,3.350023320814349,18726,100,187.26
6bba_55b7eebe,1.6750116604071745,2.6012692214570947,5708,100,57.08
6bba_55c70843,2.9295104113144914,4.4687118464808995,42246,100,422.46
6bba_57b7cc1e,1.86167137607581,3.471001521535247,85101,100,851.01
6bba_5a4d9360,3.494694639736067,4.318496736423452,6272,100,62.72
6bba_5b28472a,1.625,2.0714766773970688,7007,100,70.07
6bba_5c039895,1.8168052317185792,2.5361957496953735,9591,100,95.91
6bba_5c824876,2.632800908728193,3.72334275215162,26520,100,265.2
6bba_5dfe9ad1,2.6012692214570947,3.667500106184163,29955,100,299.55
6bba_5f89039d,1.7235727791422095,3.19850850068938,4891,100,48.91
6bba_61dd1e0d,2.2980970388562794,4.375446405796785,10920,100,109.2
6bba_61ecbe65,3.300390601883359,4.102777415478043,6168,100,61.68
6bba_6321a359,2.765389816385793,5.370142291606671,5601,100,56.01
6bba_6479435d,2.9575446425202108,4.755034338729848,28673,100,286.73
6bba_67ebd073,2.569350598886808,4.95057888737956,19127,100,191.27
6bba_6ca87370,1.8168052317185792,3.6336104634371584,8318,100,83.18
6bba_6db0e9b4,4.182599744775969,5.73078913192013,32511,100,325.11
6bba_6feb10f0,3.2752922102462856,6.358818311015027,8993,100,89.93
6bba_6feeb0b1,1.86167137607581,2.8726212985703494,8971,100,89.71
6bba_705ec2c9,3.471001521535247,5.533054354287139,6479,100,64.79
6bba_718b21f9,1.625,2.0714766773970688,4931,100,49.31
6bba_74686d6a,1.7235727791422095,2.8726212985703494,28292,100,282.92
6bba_767a1e17,4.5420130792964475,6.397631397634597,54324,100,543.24
6bba_76db78c1,1.6750116604071745,2.6012692214570947,5188,100,51.88
6bba_784a78c9,1.8168052317185792,2.4375,13698,100,136.98
6bba_786893ac,1.86167137607581,3.2752922102462856,78477,100,784.77
6bba_789f8168,4.182599744775969,5.454195463647727,11975,100,119.75
6bba_78a7bd97,4.958913218891817,5.859020822628983,41900,100,419.0
6bba_7af54fde,1.86167137607581,3.5179154019566483,10618,100,106.18
6bba_7b5d3b2c,2.2980970388562794,3.72334275215162,6018,100,60.18
6bba_7d3058ae,2.6012692214570947,4.0625,8455,100,84.55
6bba_7f87b3d8,5.138701197773616,7.198768340834423,12425,100,124.25
6bba_80d12824,3.447145558284419,4.971331508521936,10704,100,107.04
6bba_825bd1c6,2.0714766773970688,4.692721998348936,9648,100,96.48
6bba_87289e13,3.1729139308370784,3.995929069490417,16177,100,161.77
6bba_8b7818bf,1.284675299443404,1.86167137607581,6933,100,69.33
6bba_907271db,2.9295104113144914,3.65625,8209,100,82.09
6bba_91951b3a,1.86167137607581,3.25,12892,100,128.92
6bba_96833384,2.333728575156074,3.374565944310468,5265,100,52.65
6bba_969618f6,1.86167137607581,3.482848080635657,14637,100,146.37
6bba_971fa5e0,2.0714766773970688,4.958466389427947,6607,100,66.07
6bba_9a41d029,1.8168052317185792,3.0671202393287422,20680,100,206.8
6bba_9e23430b,3.300390601883359,4.942244555867304,7992,100,79.92
6bba_a5e926bb,3.65625,5.8941136736147,9108,100,91.08
6bba_a90a0b9c,1.7235727791422095,3.2752922102462856,41402,100,414.02
6bba_ab78413d,1.6750116604071745,3.300390601883359,11844,100,118.44
6bba_acd782a8,2.1877232028983924,3.2752922102462856,21438,100,214.38
6bba_ae82a791,1.8168052317185792,2.368824207280903,8369,100,83.69
6bba_aeee7805,1.6750116604071745,2.041306669349267,5407,100,54.07
6bba_af149c94,1.625,2.2980970388562794,9751,100,97.51
6bba_afb141ff,3.374565944310468,6.107276653713994,7192,100,71.92
6bba_b1ae37b9,2.368824207280903,4.162823748671087,27115,100,271.15
6bba_b204cac7,1.6500058302035874,2.0714766773970688,5741,100,57.41
6bba_b329af44,2.368824207280903,4.318496736423452,75302,100,753.02
6bba_b693381b,5.170718337426629,6.420161590840683,7060,100,70.6
6bba_bb9f20c3,0.0,31.05882760202465,28153,100,281.53
6bba_bbb708ca,4.908737426772795,6.563169608695177,7474,100,74.74
6bba_c27cba08,3.0671202393287422,4.162823748671087,6725,100,67.25
6bba_c328f2fd,0.0,4.172711746723528,34173,100,341.73
6bba_c73a1d11,2.368824207280903,4.0625,20100,100,201.0
6bba_cdcfe533,5.525597394173774,6.2541392543258905,31530,100,315.3
6bba_cf35214c,1.86167137607581,2.4375,39629,100,396.29
6bba_cff5865f,3.7343913439634275,4.394265616971737,51967,100,519.67
6bba_d0fc38b5,1.6750116604071745,2.6012692214570947,6995,100,69.95
6bba_d1acb6ff,3.8109628048565365,5.296851954227152,15976,100,159.76
6bba_d2b9fc0c,2.368824207280903,3.325206961348854,24865,100,248.65
6bba_d3da753b,2.569350598886808,3.300390601883359,20874,100,208.74
6bba_d5eae175,1.284675299443404,8.260172737344881,4988,100,49.88
6bba_d6ecebbb,1.284675299443404,1.946460688037905,6499,100,64.99
6bba_d82a4fc6,1.625,2.0714766773970688,31790,100,317.9
6bba_debd7bfa,4.318496736423452,6.662995408410545,12843,100,128.43
6bba_df673a83,1.8168052317185792,2.8726212985703494,20899,100,208.99
6bba_e16ffc58,1.8168052317185792,2.4375,7899,100,78.99
6bba_e5e44988,2.2980970388562794,3.1729139308370784,6082,100,60.82
6bba_ebdf3b34,3.832554834897995,5.629165124598851,65009,100,650.09
6bba_ebff6e76,1.9902104160113323,3.6336104634371584,47415,100,474.15
6bba_ed9377fd,1.625,5.158162577491023,5386,100,53.86
6bba_edf14583,1.284675299443404,1.86167137607581,63891,100,638.91
6bba_eebc57a5,1.6750116604071745,2.4375,9525,100,95.25
6bba_ef7b4f7e,6.423376497217021,13.141586803574747,6511,100,65.11
6bba_f17befbc,2.2980970388562794,3.300390601883359,26720,100,267.2
6bba_f1fde7e0,2.4375,3.494694639736067,10094,100,100.94
6bba_f20478e9,5.525597394173774,8.25510410615091,6722,100,67.22
6bba_f4ae811c,2.8581856492851747,4.528304287780417,9424,100,94.24
6bba_f8ffd5e7,2.1877232028983924,3.471001521535247,35655,100,356.55
6bba_fbc898dc,1.7235727791422095,2.9080703084858683,5452,100,54.52
6bba_fc516dc6,3.832554834897995,4.658583528850423,9171,100,91.71
6bba_fc5f39dc,1.8168052317185792,2.747551526258258,15474,100,154.74
6bba_fc83837d,2.2980970388562794,4.260655073539546,14027,100,140.27
6bba_fe670320,2.8436019304348874,8.98582033113965,12353,100,123.53
