dataset,threshold,threshold_single,raw_nodes,filtered_nodes,est_nodes,pe_ratio,in_ideal_pe,is_positive,pred_edges,tp_edges,gt_edges,edge_recall,penalty,kaggle_score
44b6_12dfb391,0.015,0.0075,70294,13482,58672,0.2298,False,False,8462,118,773,0.1527,1.0,0.1527
44b6_12dfb391,0.02,0.01,70294,9919,58672,0.1691,False,False,6114,87,773,0.1125,1.0,0.1125
44b6_12dfb391,0.03,0.015,70294,6153,58672,0.1049,False,False,3653,51,773,0.066,1.0,0.066
44b6_12dfb391,0.05,0.025,70294,2966,58672,0.0506,False,False,1683,25,773,0.0323,1.0,0.0323
44b6_144b256d,0.0002,0.0001,81473,76603,65376,1.1717,False,False,68464,97,119,0.8151,0.8283,0.6751
44b6_144b256d,0.0005,0.00025,81473,70797,65376,1.0829,False,False,60090,96,119,0.8067,0.9171,0.7398
44b6_144b256d,0.001,0.0005,81473,61595,65376,0.9422,True,True,49147,91,119,0.7647,1.0,0.7647
44b6_144b256d,0.002,0.001,81473,48104,65376,0.7358,False,False,35465,84,119,0.7059,1.0,0.7059
44b6_144b256d,0.005,0.0025,81473,26526,65376,0.4057,False,False,17156,52,119,0.437,1.0,0.437
44b6_144b256d,0.01,0.005,81473,12782,65376,0.1955,False,False,7649,28,119,0.2353,1.0,0.2353
44b6_144b256d,0.015,0.0075,81473,7309,65376,0.1118,False,False,4261,18,119,0.1513,1.0,0.1513
44b6_144b256d,0.02,0.01,81473,4882,65376,0.0747,False,False,2823,13,119,0.1092,1.0,0.1092
44b6_144b256d,0.03,0.015,81473,2720,65376,0.0416,False,False,1532,8,119,0.0672,1.0,0.0672
44b6_144b256d,0.05,0.025,81473,1299,65376,0.0199,False,False,709,3,119,0.0252,1.0,0.0252
44b6_1574802b,0.0002,0.0001,19457,18675,17677,1.0565,False,False,16978,128,153,0.8366,0.9435,0.7894
44b6_1574802b,0.0005,0.00025,19457,18392,17677,1.0404,False,False,16604,128,153,0.8366,0.9596,0.8028
44b6_1574802b,0.001,0.0005,19457,17946,17677,1.0152,False,False,15926,128,153,0.8366,0.9848,0.8239
44b6_1574802b,0.002,0.001,19457,17131,17677,0.9691,True,True,14780,128,153,0.8366,1.0,0.8366
44b6_1574802b,0.005,0.0025,19457,14886,17677,0.8421,False,False,12067,119,153,0.7778,1.0,0.7778
44b6_1574802b,0.01,0.005,19457,12176,17677,0.6888,False,False,9254,109,153,0.7124,1.0,0.7124
44b6_1574802b,0.015,0.0075,19457,10175,17677,0.5756,False,False,7455,94,153,0.6144,1.0,0.6144
44b6_1574802b,0.02,0.01,19457,8793,17677,0.4974,False,False,6222,83,153,0.5425,1.0,0.5425
44b6_1574802b,0.03,0.015,19457,6898,17677,0.3902,False,False,4610,71,153,0.4641,1.0,0.4641
44b6_1574802b,0.05,0.025,19457,4597,17677,0.2601,False,False,2856,45,153,0.2941,1.0,0.2941
44b6_18ced818,0.0002,0.0001,98743,90384,78644,1.1493,False,False,77456,75,99,0.7576,0.8507,0.6445
44b6_18ced818,0.0005,0.00025,98743,83274,78644,1.0589,False,False,68311,68,99,0.6869,0.9411,0.6464
44b6_18ced818,0.001,0.0005,98743,73821,78644,0.9387,True,True,57713,65,99,0.6566,1.0,0.6566
44b6_18ced818,0.002,0.001,98743,60646,78644,0.7711,False,False,44580,58,99,0.5859,1.0,0.5859
44b6_18ced818,0.005,0.0025,98743,39009,78644,0.496,False,False,26147,46,99,0.4646,1.0,0.4646
44b6_18ced818,0.01,0.005,98743,23779,78644,0.3024,False,False,14957,32,99,0.3232,1.0,0.3232
44b6_18ced818,0.015,0.0075,98743,16751,78644,0.213,False,False,10129,24,99,0.2424,1.0,0.2424
44b6_18ced818,0.02,0.01,98743,12461,78644,0.1584,False,False,7355,15,99,0.1515,1.0,0.1515
44b6_18ced818,0.03,0.015,98743,7969,78644,0.1013,False,False,4533,10,99,0.101,1.0,0.101
44b6_18ced818,0.05,0.025,98743,3987,78644,0.0507,False,False,2181,5,99,0.0505,1.0,0.0505
44b6_1d530831,0.0002,0.0001,42754,40355,35825,1.1264,False,False,36114,202,271,0.7454,0.8736,0.6511
44b6_1d530831,0.0005,0.00025,42754,39176,35825,1.0935,False,False,34555,200,271,0.738,0.9065,0.669
44b6_1d530831,0.001,0.0005,42754,37367,35825,1.043,False,False,32248,196,271,0.7232,0.957,0.6921
44b6_1d530831,0.002,0.001,42754,34266,35825,0.9565,True,True,28503,187,271,0.69,1.0,0.69
44b6_1d530831,0.005,0.0025,42754,27760,35825,0.7749,False,False,21669,157,271,0.5793,1.0,0.5793
44b6_1d530831,0.01,0.005,42754,21581,35825,0.6024,False,False,15920,127,271,0.4686,1.0,0.4686
44b6_1d530831,0.015,0.0075,42754,17919,35825,0.5002,False,False,12647,104,271,0.3838,1.0,0.3838
44b6_1d530831,0.02,0.01,42754,15370,35825,0.429,False,False,10457,93,271,0.3432,1.0,0.3432
44b6_1d530831,0.03,0.015,42754,11753,35825,0.3281,False,False,7535,76,271,0.2804,1.0,0.2804
44b6_1d530831,0.05,0.025,42754,7238,35825,0.202,False,False,4275,51,271,0.1882,1.0,0.1882
44b6_24264f12,0.0002,0.0001,29451,28159,26353,1.0685,False,False,25661,187,221,0.8462,0.9315,0.7882
44b6_24264f12,0.0005,0.00025,29451,27489,26353,1.0431,False,False,24773,186,221,0.8416,0.9569,0.8053
44b6_24264f12,0.001,0.0005,29451,26641,26353,1.0109,False,False,23617,181,221,0.819,0.9891,0.8101
44b6_24264f12,0.002,0.001,29451,25186,26353,0.9557,True,True,21743,170,221,0.7692,1.0,0.7692
44b6_24264f12,0.005,0.0025,29451,21946,26353,0.8328,False,False,17973,148,221,0.6697,1.0,0.6697
44b6_24264f12,0.01,0.005,29451,18271,26353,0.6933,False,False,14247,129,221,0.5837,1.0,0.5837
44b6_24264f12,0.015,0.0075,29451,15882,26353,0.6027,False,False,11979,115,221,0.5204,1.0,0.5204
44b6_24264f12,0.02,0.01,29451,14125,26353,0.536,False,False,10338,105,221,0.4751,1.0,0.4751
44b6_24264f12,0.03,0.015,29451,11629,26353,0.4413,False,False,8093,92,221,0.4163,1.0,0.4163
44b6_24264f12,0.05,0.025,29451,8150,26353,0.3093,False,False,5300,70,221,0.3167,1.0,0.3167
44b6_267148e4,0.0002,0.0001,23333,21808,19130,1.14,False,False,19072,169,277,0.6101,0.86,0.5247
44b6_267148e4,0.0005,0.00025,23333,21306,19130,1.1137,False,False,18442,164,277,0.5921,0.8863,0.5247
44b6_267148e4,0.001,0.0005,23333,20621,19130,1.0779,False,False,17604,155,277,0.5596,0.9221,0.516
44b6_267148e4,0.002,0.001,23333,19554,19130,1.0222,False,False,16325,140,277,0.5054,0.9778,0.4942
44b6_267148e4,0.005,0.0025,23333,16920,19130,0.8845,False,False,13466,112,277,0.4043,1.0,0.4043
44b6_267148e4,0.01,0.005,23333,14045,19130,0.7342,False,False,10629,94,277,0.3394,1.0,0.3394
44b6_267148e4,0.015,0.0075,23333,12132,19130,0.6342,False,False,8863,82,277,0.296,1.0,0.296
44b6_267148e4,0.02,0.01,23333,10659,19130,0.5572,False,False,7559,70,277,0.2527,1.0,0.2527
44b6_267148e4,0.03,0.015,23333,8526,19130,0.4457,False,False,5756,58,277,0.2094,1.0,0.2094
44b6_267148e4,0.05,0.025,23333,6094,19130,0.3186,False,False,3857,39,277,0.1408,1.0,0.1408
44b6_2a2eff9f,0.0002,0.0001,64155,60458,56367,1.0726,False,False,53680,182,210,0.8667,0.9274,0.8038
44b6_2a2eff9f,0.0005,0.00025,64155,57319,56367,1.0169,False,False,49132,172,210,0.819,0.9831,0.8052
44b6_2a2eff9f,0.001,0.0005,64155,52162,56367,0.9254,True,True,42672,155,210,0.7381,1.0,0.7381
44b6_2a2eff9f,0.002,0.001,64155,44019,56367,0.7809,False,False,33506,121,210,0.5762,1.0,0.5762
44b6_2a2eff9f,0.005,0.0025,64155,27945,56367,0.4958,False,False,18687,73,210,0.3476,1.0,0.3476
44b6_2a2eff9f,0.01,0.005,64155,14911,56367,0.2645,False,False,9104,38,210,0.181,1.0,0.181
44b6_2a2eff9f,0.015,0.0075,64155,9329,56367,0.1655,False,False,5475,28,210,0.1333,1.0,0.1333
44b6_2a2eff9f,0.02,0.01,64155,6403,56367,0.1136,False,False,3691,23,210,0.1095,1.0,0.1095
44b6_2a2eff9f,0.03,0.015,64155,3622,56367,0.0643,False,False,2019,16,210,0.0762,1.0,0.0762
44b6_2a2eff9f,0.05,0.025,64155,1646,56367,0.0292,False,False,877,9,210,0.0429,1.0,0.0429
44b6_2f31fc2f,0.0002,0.0001,26695,24873,24368,1.0207,False,False,21087,42,85,0.4941,0.9793,0.4839
44b6_2f31fc2f,0.0005,0.00025,26695,24378,24368,1.0004,False,False,20442,40,85,0.4706,0.9996,0.4704
44b6_2f31fc2f,0.001,0.0005,26695,23514,24368,0.965,True,False,19322,37,85,0.4353,1.0,0.4353
44b6_2f31fc2f,0.002,0.001,26695,21812,24368,0.8951,False,False,17214,31,85,0.3647,1.0,0.3647
44b6_2f31fc2f,0.005,0.0025,26695,17157,24368,0.7041,False,False,12404,18,85,0.2118,1.0,0.2118
44b6_2f31fc2f,0.01,0.005,26695,11923,24368,0.4893,False,False,7948,9,85,0.1059,1.0,0.1059
44b6_2f31fc2f,0.015,0.0075,26695,8753,24368,0.3592,False,False,5573,3,85,0.0353,1.0,0.0353
44b6_2f31fc2f,0.02,0.01,26695,6750,24368,0.277,False,False,4125,2,85,0.0235,1.0,0.0235
44b6_2f31fc2f,0.03,0.015,26695,4277,24368,0.1755,False,False,2448,0,85,0.0,1.0,0.0
44b6_2f31fc2f,0.05,0.025,26695,2246,24368,0.0922,False,False,1215,0,85,0.0,1.0,0.0
44b6_33b596bf,0.0002,0.0001,26320,24849,23330,1.0651,False,False,22290,38,49,0.7755,0.9349,0.725
44b6_33b596bf,0.0005,0.00025,26320,24308,23330,1.0419,False,False,21573,38,49,0.7755,0.9581,0.743
44b6_33b596bf,0.001,0.0005,26320,23492,23330,1.0069,False,False,20612,38,49,0.7755,0.9931,0.7701
44b6_33b596bf,0.002,0.001,26320,22268,23330,0.9545,True,True,19142,38,49,0.7755,1.0,0.7755
44b6_33b596bf,0.005,0.0025,26320,19500,23330,0.8358,False,False,15966,38,49,0.7755,1.0,0.7755
44b6_33b596bf,0.01,0.005,26320,16481,23330,0.7064,False,False,12881,33,49,0.6735,1.0,0.6735
44b6_33b596bf,0.015,0.0075,26320,14455,23330,0.6196,False,False,10851,30,49,0.6122,1.0,0.6122
44b6_33b596bf,0.02,0.01,26320,12904,23330,0.5531,False,False,9332,27,49,0.551,1.0,0.551
44b6_33b596bf,0.03,0.015,26320,10573,23330,0.4532,False,False,7116,24,49,0.4898,1.0,0.4898
44b6_33b596bf,0.05,0.025,26320,7277,23330,0.3119,False,False,4503,17,49,0.3469,1.0,0.3469
44b6_341df25f,0.0002,0.0001,7996,7758,7436,1.0433,False,False,7294,194,209,0.9282,0.9567,0.888
44b6_341df25f,0.0005,0.00025,7996,7695,7436,1.0348,False,False,7209,194,209,0.9282,0.9652,0.8959
44b6_341df25f,0.001,0.0005,7996,7593,7436,1.0211,False,False,7104,194,209,0.9282,0.9789,0.9086
44b6_341df25f,0.002,0.001,7996,7476,7436,1.0054,False,False,6974,194,209,0.9282,0.9946,0.9232
44b6_341df25f,0.005,0.0025,7996,7236,7436,0.9731,True,True,6641,192,209,0.9187,1.0,0.9187
44b6_341df25f,0.01,0.005,7996,6918,7436,0.9303,True,True,6259,190,209,0.9091,1.0,0.9091
44b6_341df25f,0.015,0.0075,7996,6667,7436,0.8966,False,False,5940,188,209,0.8995,1.0,0.8995
44b6_341df25f,0.02,0.01,7996,6445,7436,0.8667,False,False,5666,187,209,0.8947,1.0,0.8947
44b6_341df25f,0.03,0.015,7996,6051,7436,0.8137,False,False,5135,178,209,0.8517,1.0,0.8517
44b6_341df25f,0.05,0.025,7996,5289,7436,0.7113,False,False,4179,159,209,0.7608,1.0,0.7608
44b6_3a861e03,0.0002,0.0001,46343,43814,40546,1.0806,False,False,39842,773,919,0.8411,0.9194,0.7733
44b6_3a861e03,0.0005,0.00025,46343,42366,40546,1.0449,False,False,37693,755,919,0.8215,0.9551,0.7847
44b6_3a861e03,0.001,0.0005,46343,40376,40546,0.9958,False,False,34800,721,919,0.7845,1.0,0.7845
44b6_3a861e03,0.002,0.001,46343,36831,40546,0.9084,True,True,30232,648,919,0.7051,1.0,0.7051
44b6_3a861e03,0.005,0.0025,46343,29110,40546,0.7179,False,False,21659,492,919,0.5354,1.0,0.5354
44b6_3a861e03,0.01,0.005,46343,20477,40546,0.505,False,False,14069,319,919,0.3471,1.0,0.3471
44b6_3a861e03,0.015,0.0075,46343,15359,40546,0.3788,False,False,10162,241,919,0.2622,1.0,0.2622
44b6_3a861e03,0.02,0.01,46343,12133,40546,0.2992,False,False,7847,205,919,0.2231,1.0,0.2231
44b6_3a861e03,0.03,0.015,46343,8399,40546,0.2071,False,False,5216,135,919,0.1469,1.0,0.1469
44b6_3a861e03,0.05,0.025,46343,4683,40546,0.1155,False,False,2772,64,919,0.0696,1.0,0.0696
44b6_3bb3690f,0.0002,0.0001,43485,40329,31937,1.2628,False,False,34953,255,396,0.6439,0.7372,0.4747
44b6_3bb3690f,0.0005,0.00025,43485,37962,31937,1.1887,False,False,31858,245,396,0.6187,0.8113,0.502
44b6_3bb3690f,0.001,0.0005,43485,34261,31937,1.0728,False,False,27739,216,396,0.5455,0.9272,0.5058
44b6_3bb3690f,0.002,0.001,43485,28799,31937,0.9017,True,False,22456,183,396,0.4621,1.0,0.4621
44b6_3bb3690f,0.005,0.0025,43485,20396,31937,0.6386,False,False,15069,110,396,0.2778,1.0,0.2778
44b6_3bb3690f,0.01,0.005,43485,14089,31937,0.4411,False,False,10029,61,396,0.154,1.0,0.154
44b6_3bb3690f,0.015,0.0075,43485,10835,31937,0.3393,False,False,7448,49,396,0.1237,1.0,0.1237
44b6_3bb3690f,0.02,0.01,43485,8774,31937,0.2747,False,False,5836,37,396,0.0934,1.0,0.0934
44b6_3bb3690f,0.03,0.015,43485,6064,31937,0.1899,False,False,3810,29,396,0.0732,1.0,0.0732
44b6_3bb3690f,0.05,0.025,43485,3248,31937,0.1017,False,False,1917,19,396,0.048,1.0,0.048
44b6_40c45f5a,0.0002,0.0001,41576,38860,32681,1.1891,False,False,34351,146,198,0.7374,0.8109,0.598
44b6_40c45f5a,0.0005,0.00025,41576,37445,32681,1.1458,False,False,32620,146,198,0.7374,0.8542,0.6299
44b6_40c45f5a,0.001,0.0005,41576,35563,32681,1.0882,False,False,30561,145,198,0.7323,0.9118,0.6677
44b6_40c45f5a,0.002,0.001,41576,32882,32681,1.0062,False,False,27631,144,198,0.7273,0.9938,0.7228
44b6_40c45f5a,0.005,0.0025,41576,27803,32681,0.8507,False,False,22375,139,198,0.702,1.0,0.702
44b6_40c45f5a,0.01,0.005,41576,22932,32681,0.7017,False,False,17673,131,198,0.6616,1.0,0.6616
44b6_40c45f5a,0.015,0.0075,41576,19692,32681,0.6026,False,False,14677,128,198,0.6465,1.0,0.6465
44b6_40c45f5a,0.02,0.01,41576,17309,32681,0.5296,False,False,12474,119,198,0.601,1.0,0.601
44b6_40c45f5a,0.03,0.015,41576,13678,32681,0.4185,False,False,9315,103,198,0.5202,1.0,0.5202
44b6_40c45f5a,0.05,0.025,41576,9158,32681,0.2802,False,False,5765,73,198,0.3687,1.0,0.3687
44b6_415c0a3a,0.0002,0.0001,63058,60181,57292,1.0504,False,False,54646,215,322,0.6677,0.9496,0.634
44b6_415c0a3a,0.0005,0.00025,63058,57673,57292,1.0067,False,False,50840,211,322,0.6553,0.9933,0.6509
44b6_415c0a3a,0.001,0.0005,63058,53335,57292,0.9309,True,True,44941,205,322,0.6366,1.0,0.6366
44b6_415c0a3a,0.002,0.001,63058,45624,57292,0.7963,False,False,35865,185,322,0.5745,1.0,0.5745
44b6_415c0a3a,0.005,0.0025,63058,29627,57292,0.5171,False,False,20358,134,322,0.4161,1.0,0.4161
44b6_415c0a3a,0.01,0.005,63058,15857,57292,0.2768,False,False,10060,87,322,0.2702,1.0,0.2702
44b6_415c0a3a,0.015,0.0075,63058,9797,57292,0.171,False,False,6027,67,322,0.2081,1.0,0.2081
44b6_415c0a3a,0.02,0.01,63058,6711,57292,0.1171,False,False,4053,51,322,0.1584,1.0,0.1584
44b6_415c0a3a,0.03,0.015,63058,3839,57292,0.067,False,False,2238,35,322,0.1087,1.0,0.1087
44b6_415c0a3a,0.05,0.025,63058,1806,57292,0.0315,False,False,1008,18,322,0.0559,1.0,0.0559
44b6_53f95252,0.0002,0.0001,46643,43719,38715,1.1293,False,False,38767,58,68,0.8529,0.8707,0.7427
44b6_53f95252,0.0005,0.00025,46643,41978,38715,1.0843,False,False,36579,58,68,0.8529,0.9157,0.7811
44b6_53f95252,0.001,0.0005,46643,39568,38715,1.022,False,False,33772,58,68,0.8529,0.978,0.8341
44b6_53f95252,0.002,0.001,46643,35945,38715,0.9285,True,True,29972,54,68,0.7941,1.0,0.7941
44b6_53f95252,0.005,0.0025,46643,29388,38715,0.7591,False,False,23432,51,68,0.75,1.0,0.75
44b6_53f95252,0.01,0.005,46643,23388,38715,0.6041,False,False,18097,42,68,0.6176,1.0,0.6176
44b6_53f95252,0.015,0.0075,46643,19983,38715,0.5162,False,False,15059,37,68,0.5441,1.0,0.5441
44b6_53f95252,0.02,0.01,46643,17564,38715,0.4537,False,False,12856,32,68,0.4706,1.0,0.4706
44b6_53f95252,0.03,0.015,46643,14215,38715,0.3672,False,False,9805,23,68,0.3382,1.0,0.3382
44b6_53f95252,0.05,0.025,46643,9932,38715,0.2565,False,False,6369,16,68,0.2353,1.0,0.2353
44b6_551a5dba,0.0002,0.0001,80053,74031,57627,1.2847,False,False,64516,133,224,0.5938,0.7153,0.4247
44b6_551a5dba,0.0005,0.00025,80053,68005,57627,1.1801,False,False,56929,117,224,0.5223,0.8199,0.4283
44b6_551a5dba,0.001,0.0005,80053,59690,57627,1.0358,False,False,48083,97,224,0.433,0.9642,0.4175
44b6_551a5dba,0.002,0.001,80053,49011,57627,0.8505,False,False,37698,68,224,0.3036,1.0,0.3036
44b6_551a5dba,0.005,0.0025,80053,32641,57627,0.5664,False,False,23378,45,224,0.2009,1.0,0.2009
44b6_551a5dba,0.01,0.005,80053,20923,57627,0.3631,False,False,14121,29,224,0.1295,1.0,0.1295
44b6_551a5dba,0.015,0.0075,80053,15054,57627,0.2612,False,False,9797,22,224,0.0982,1.0,0.0982
44b6_551a5dba,0.02,0.01,80053,11417,57627,0.1981,False,False,7238,15,224,0.067,1.0,0.067
44b6_551a5dba,0.03,0.015,80053,7317,57627,0.127,False,False,4443,10,224,0.0446,1.0,0.0446
44b6_551a5dba,0.05,0.025,80053,3617,57627,0.0628,False,False,2072,5,224,0.0223,1.0,0.0223
44b6_5740d24b,0.0002,0.0001,19252,17834,19730,0.9039,True,True,15512,156,170,0.9176,1.0,0.9176
44b6_5740d24b,0.0005,0.00025,19252,17518,19730,0.8879,False,False,15109,156,170,0.9176,1.0,0.9176
44b6_5740d24b,0.001,0.0005,19252,16955,19730,0.8594,False,False,14447,156,170,0.9176,1.0,0.9176
44b6_5740d24b,0.002,0.001,19252,15978,19730,0.8098,False,False,13241,155,170,0.9118,1.0,0.9118
44b6_5740d24b,0.005,0.0025,19252,13283,19730,0.6732,False,False,10322,149,170,0.8765,1.0,0.8765
44b6_5740d24b,0.01,0.005,19252,10261,19730,0.5201,False,False,7494,133,170,0.7824,1.0,0.7824
44b6_5740d24b,0.015,0.0075,19252,8306,19730,0.421,False,False,5856,115,170,0.6765,1.0,0.6765
44b6_5740d24b,0.02,0.01,19252,6966,19730,0.3531,False,False,4758,103,170,0.6059,1.0,0.6059
44b6_5740d24b,0.03,0.015,19252,5202,19730,0.2637,False,False,3365,81,170,0.4765,1.0,0.4765
44b6_5740d24b,0.05,0.025,19252,3292,19730,0.1669,False,False,2002,47,170,0.2765,1.0,0.2765
44b6_587a1e22,0.0002,0.0001,20126,19482,18137,1.0742,False,False,17966,327,371,0.8814,0.9258,0.816
44b6_587a1e22,0.0005,0.00025,20126,19039,18137,1.0497,False,False,17335,319,371,0.8598,0.9503,0.8171
44b6_587a1e22,0.001,0.0005,20126,18476,18137,1.0187,False,False,16413,307,371,0.8275,0.9813,0.812
44b6_587a1e22,0.002,0.001,20126,17407,18137,0.9598,True,True,14794,281,371,0.7574,1.0,0.7574
44b6_587a1e22,0.005,0.0025,20126,14140,18137,0.7796,False,False,10718,187,371,0.504,1.0,0.504
44b6_587a1e22,0.01,0.005,20126,9899,18137,0.5458,False,False,6672,102,371,0.2749,1.0,0.2749
44b6_587a1e22,0.015,0.0075,20126,7143,18137,0.3938,False,False,4560,75,371,0.2022,1.0,0.2022
44b6_587a1e22,0.02,0.01,20126,5395,18137,0.2975,False,False,3307,58,371,0.1563,1.0,0.1563
44b6_587a1e22,0.03,0.015,20126,3335,18137,0.1839,False,False,1966,34,371,0.0916,1.0,0.0916
44b6_587a1e22,0.05,0.025,20126,1720,18137,0.0948,False,False,982,15,371,0.0404,1.0,0.0404
44b6_5f15d135,0.0002,0.0001,37539,35317,29519,1.1964,False,False,31373,182,273,0.6667,0.8036,0.5357
44b6_5f15d135,0.0005,0.00025,37539,34681,29519,1.1749,False,False,30467,182,273,0.6667,0.8251,0.5501
44b6_5f15d135,0.001,0.0005,37539,33461,29519,1.1335,False,False,28739,179,273,0.6557,0.8665,0.5681
44b6_5f15d135,0.002,0.001,37539,31044,29519,1.0517,False,False,25677,165,273,0.6044,0.9483,0.5732
44b6_5f15d135,0.005,0.0025,37539,24567,29519,0.8322,False,False,18618,129,273,0.4725,1.0,0.4725
44b6_5f15d135,0.01,0.005,37539,17451,29519,0.5912,False,False,12399,95,273,0.348,1.0,0.348
44b6_5f15d135,0.015,0.0075,37539,13274,29519,0.4497,False,False,9122,78,273,0.2857,1.0,0.2857
44b6_5f15d135,0.02,0.01,37539,10760,29519,0.3645,False,False,7171,60,273,0.2198,1.0,0.2198
44b6_5f15d135,0.03,0.015,37539,7652,29519,0.2592,False,False,4829,46,273,0.1685,1.0,0.1685
